English, Bahnar
"Adam, Seth, Enosh","Ađam pơjing Set, Set pơjing Ênos"
"Cainan, Mahalalel, Jared","Ênos pơjing Kênan, Kênan pơjing Mahalale, Mahalale pơjing Jaret"
"Enoch, Methuselah, Lamech","Jêret pơjing Ênok, Ênok pơjing Mêthusêla, Mêthusêla pơjing Lêmek"
"Noah, Shem, Ham, and Japheth.","Lêmek pơjing Nôê, Nôê pơjing Sem, Cham păng Japhet. Adrĕch Japhet"
"The sons of Japheth were Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras.","Kon drŏ-nglo Japhet: Gômer, Magok, Mađai, Jawan, Tubal, Mêsek păng Tiras."
"The sons of Gomer were Ashkenaz, Diphath, and Togarmah.","Kon drŏ-nglo Gômer: Askenas, Diphat păng Tôgarma."
"The sons of Javan were Elishah, Tarshishah, Kittim, and Rodanim.","Kon drŏ-nglo Jawan: Êlisa, Tarsis, Kittim păng Rôđanim. Adrĕch Cham"
"The sons of Ham were Cush, Mizraim, Put, and Canaan.","Kon drŏ-nglo Cham: Kus, Misraim, Phut păng Kanaan."
"The sons of Cush were Seba, Havilah, Sabta, Raama, and Sabtecha. The sons of Raama were Sheba and Dedan.","Kon drŏ-nglo Kus: Sêba, Hawila, Sapta, Raama păng Saptêka. Kon drŏ-nglo Raama: Seba păng Đêdan."
"Cush begot Nimrod; he began to be a mighty one on the earth.","Kus kư̆m pơjing Nimrôt bơngai nuih blŭng-a kơpal teh âu."
"Mizraim begot Ludim, Anamim, Lehabim, Naphtuhim","Misraim pơjing adrĕch Luđit, Anamim, Lêhabit, Naptuhit"
"Pathrusim, Casluhim (from whom came the Philistines and the Caphtorim).","Pathrusit, Kasluhim, păng Kaptôrit. Đơ̆ng Kasluhit đei adrĕch Philistin."
"Canaan begot Sidon, his firstborn, and Heth","Kanaan pơjing Siđôn kon drŏ-nglo kơdră sư păng adrĕch Hêt"
"the Jebusite, the Amorite, and the Girgashite","Jêbus, Amôrit, Girgasit"
"the Hivite, the Arkite, and the Sinite","Hêwit, Arêkit, Sinit"
"the Arvadite, the Zemarite, and the Hamathite.","Arwadit Sêmarit păng Hamat. Adrĕch Sem"
"The sons of Shem were Elam, Asshur, Arphaxad, Lud, Aram, Uz, Hul, Gether, and Meshech.","Kon drŏ-nglo Sem: Êlam, Asur, Apaksat, Lut păng Aram. Aram pơjing: Us, Hul, Gêther păng Mêsek."
"Arphaxad begot Shelah, and Shelah begot Eber.","Apaksat pơjing Sêla; Sêla pơjing Eber."
