English, Bahnar
"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, concerning the Word of life","Nhôn chih roi kơ iĕm gah tơdrong Yêsu Krist. Sư dang nơ̆r 'Bok Kei-Dei yua kơ Sư tơbăt ăn kơ bơ̆n tơdrong 'Bok Kei-Dei wă kơ bơ̆n arih ling-lang. Sư arih adrol kơ 'Bok Kei-Dei pơjing plĕnh teh sơ̆. Nhôn kơtơ̆ng Sư pơma. Nhôn 'bôh Sư păng măt nhôn kơdih păng ti nhôn mơn pel akâu Sư tơpă."
"the life was manifested, and we have seen, and bear witness, and declare to you that eternal life which was with the Father and was manifested to us","Nhôn 'bôh Yêsu Krist oei tơ teh âu. Sư boih ăn kơ bơ̆n arih ling-lang păng 'Bok Kei-Dei. Kơlih kơ nhôn 'bôh Sư tơpă na nhôn gơh roi ăn kơ iĕm tơdrong Sư. Sư arih păng 'Bă Sư 'Bok Kei-Dei đơ̆ng blŭng-a sơ̆. Sư arih ling-lang ưh pă layơ lôch. Sư jur tơ ala teh âu păng tơ'bôh kơ nhôn akâu Sư."
"that which we have seen and heard we declare to you, that you also may have fellowship with us; and truly our fellowship is with the Father and with His Son Jesus Christ.","Dôm tơdrong nhôn 'bôh păng kơtơ̆ng nhôn wă roi ăn kơ iĕm, wă kơ iĕm juăt păng nhôn, na 'Bok Kei-Dei păng Kon Sư Yêsu Krist juăt đĭ-đăng rim 'nu kơ bơ̆n."
"And these things we write to you that your joy may be full.","Nhôn chih kơ iĕm dôm tơdrong lăm kơthơ âu wă kơ đĭ-đăng kơ bơ̆n hiôk hơiă tơpă."
"This is the message which we have heard from Him and declare to you, that God is light and in Him is no darkness at all.","Âu boih tơdrong nhôn kơtơ̆ng đơ̆ng Kon Sư na nhôn roi ăn kơ iĕm: 'Bok Kei-Dei thoi hơdah măt 'năr. Măt 'năr 'noh wă pơchrang hơdah ling-lang, ưh kơ đei layơ măng mu tŏ sĕt."
"If we say that we have fellowship with Him, and walk in darkness, we lie and do not practice the truth.","Lu buăl bơ̆n mơ'nah khan 'Bok Kei-Dei juăt păng bơ̆n, mă-lei bơ̆n oei lăm măng mu pơm yoch, 'noh bơ̆n hơlĕnh kơ Sư đĕch, 'bơ̆r đon, tơdrong bơ̆n pơm kư̆m hơlĕnh lei-lăi đĕch."
"But if we walk in the light as He is in the light, we have fellowship with one another, and the blood of Jesus Christ His Son cleanses us from all sin.","Dah bơ̆n oei lăm hơdah Sư, kư̆m thoi Sư oei lăm hơdah, lei 'bơ̆r đon bơ̆n hiôk hơiă dih băl tơpă. Na pham Kon Sư Yêsu Krist 'nhao rơgoh bơ̆n tôm tơdrong yoch."
"If we say that we have no sin, we deceive ourselves, and the truth is not in us.","Dah bơ̆n khan bơ̆n ưh kơ đei tơdrong yoch, 'noh bơ̆n kư̆m hơlĕnh kơdih bơ̆n mơ̆n păng 'bơ̆r bơ̆n kư̆m ưh kơ gơh pơma tơpăt tŏ sĕt."
"If we confess our sins, He is faithful and just to forgive us our sins and to cleanse us from all unrighteousness.","'Bok Kei-Dei pơm trŏ thoi Sư pơkă, Sư pơm tơpăt ling-lang. Kơlih kơ thoi noh na bơ̆n dah roi tơdrong yoch bơ̆n kơ Sư, na Sư gô pơklaih bơ̆n đơ̆ng tơdrong yoch tơpă păng 'nhao jơhngơ̆m bơ̆n đơ̆ng dôm tơdrong kơnê̆."
"If we say that we have not sinned, we make Him a liar, and His word is not in us.","Dah bơ̆n khan bơ̆n ưh kơ đei tơdrong yoch, 'noh dang bơ̆n khan 'Bok Kei-Dei hơlĕnh kơlih kơ bơ̆n bơngai yoch tơpă na Sư khan kơ bơ̆n thoi noh. Dah bơ̆n ling-lang pơma thoi noh, bơ̆n ưh kơ đei layơ gơh băt tơdrong Sư tŏ sĕt."
"My little children, these things I write to you, so that you may not sin. And if anyone sins, we have an Advocate with the Father, Jesus Christ the righteous.","Ơ lu kon hơ'lơ̆p, dang ei inh đei chih ăn kơ iĕm kơthơ âu wă kơ iĕm huay pă pơm yoch. Mă-lei bơngai bu yoch, sư đei minh 'nu Bơngai pơma kơ 'Bă bơ̆n 'Bok Kei-Dei wă dŏng bơ̆n. Bơngai 'noh anăn Sư Yêsu Krist mă 'lơ̆ng tơpăt."
"And He Himself is the propitiation for our sins, and not for ours only but also for the whole world.","Sư lôch tang bơ̆n wă pơklaih bơ̆n đơ̆ng tơdrong yoch. Mă-lei ưh kơ sĭ Sư wă pơklaih kơdrô̆ yoch bơ̆n đĕch ôh, Sư pơklaih đĭ-đăng bơngai ala teh âu mơ̆n."
"Now by this we know that we know Him, if we keep His commandments.","Dah bơ̆n răk dôm tơdrong Sư pơkă lei noh bơ̆n lui kơ Sư tơpă."
"He who says, “I know Him,” and does not keep His commandments, is a liar, and the truth is not in him.","Dah bơngai bu khan: “Inh lui kơ Sư,” sơmă bơngai 'noh ưh kơ răk tơdrong Sư pơkă, bơngai 'noh hơlĕnh đĕch. Sư ưh kơ pơma tơpăt tŏ sĕt ôh."
"But whoever keeps His word, truly the love of God is perfected in him. By this we know that we are in Him.","Sơmă dah bơngai bu răk dôm nơ̆r Sư pơkă, bơngai 'noh băt 'mêm kơ 'Bok Kei-Dei. Wă kơ bơ̆n băt tơdrong bơ̆n lui kơ Yêsu Krist, bơ̆n athei kiơ̆ thoi Sư oei tơ ala teh âu sơ̆."
"He who says he abides in Him ought himself also to walk just as He walked.","Sơmă dah bơngai bu răk dôm nơ̆r Sư pơkă, bơngai 'noh băt 'mêm kơ 'Bok Kei-Dei. Wă kơ bơ̆n băt tơdrong bơ̆n lui kơ Yêsu Krist, bơ̆n athei kiơ̆ thoi Sư oei tơ ala teh âu sơ̆."
"Brethren, I write no new commandment to you, but an old commandment which you have had from the beginning. The old commandment is the word which you heard from the beginning.","Ơ 'nhŏng oh mă juăt păng inh, tơdrong inh chih pơkă kơ iĕm âu ưh kơ sĭ tơdrong 'nao ôh. Tơdrong âu tơdrong so mơ̆n mă đêl pơkă kơ iĕm sơ̆. Tơdrong pơkă so âu tơdrong đe bơtho iĕm boih păng iĕm kơtơ̆ng boih."
"Again, a new commandment I write to you, which thing is true in Him and in you, because the darkness is passing away, and the true light is already shining.","Mă tơdrong inh chih pơkă kơ iĕm âu 'nao mơ̆n. Yêsu Krist răk tơdrong pơkă âu păng iĕm kư̆m răk tơdrong pơkă âu mơ̆n. Yua kơ iĕm tơm hmơm đơ̆ng măng mu mă-lei dang ei 'brưch rai wă jê̆ hơdah măt 'năr boih păng hơdah jơ̆p hloi."
"He who says he is in the light, and hates his brother, is in darkness until now.","Tơdrong pơkă 'noh thoi âu: Bơngai bu khan sư oei lăm tơdrong hơdah, sơmă oei hil areh kơ 'nhŏng oh sư ling-lang, bơngai 'noh oei lăm măng mu khơ̆ dang ei đĕch."
"He who loves his brother abides in the light, and there is no cause for stumbling in him.","Bơngai bu 'mêm kơ 'nhŏng oh sư, bơngai 'noh sư oei lăm tơdrong hơdah tơpă boih. Thoi noh bơ̆n băt kơ sư pơm 'lơ̆ng tơpă."
"But he who hates his brother is in darkness and walks in darkness, and does not know where he is going, because the darkness has blinded his eyes.","Na dah bơngai bu hil areh kơ 'nhŏng oh sư, bơngai 'noh sư oei lăm măng mu khŏm khŏm. Sư yak nơnăm lăm măng mu. Sư ưh kơ băt trong sư wă năm tơ yơ kơlih kơ măng mu klơ̆p măt sư."
"I write to you, little children, Because your sins are forgiven you for His name’s sake.","Ơ lu kon hơ'lơ̆p, inh chih ăn kơ iĕm kơthơ âu kơlih kơ iĕm klaih đơ̆ng tơdrong yoch yua kơ Yêsu lôch tang bơ̆n."
"I write to you, fathers, Because you have known Him who is from the beginning. I write to you, young men, Because you have overcome the wicked one. I write to you, little children, Because you have known the Father.","Ơ lu mih ma duch nă, inh chih kơ iĕm kơthơ âu kơlih kơ iĕm băt kơ Yêsu Krist mă oei arih đơ̆ng blŭng-a sơ̆. Ơ lu adruh tơdăm, inh chih kơ iĕm kơthơ âu kơlih kơ yang Satan thuơ kơ iĕm boih."
"I have written to you, fathers, Because you have known Him who is from the beginning. I have written to you, young men, Because you are strong, and the word of God abides in you, And you have overcome the wicked one.","Ơ lu kon hơ'lơ̆p, inh chih kơ iĕm kơlih kơ iĕm băt kơ 'Bă bơ̆n 'Bok Kei-Dei. Ơ lu mih ma duch nă, inh chih kơ iĕm kơlih kơ iĕm băt kơ Yêsu Krist mă oei arih đơ̆ng blŭng-a sơ̆. Ơ lu adruh tơdăm, inh chih kơ iĕm kơlih kơ iĕm pran kơtang. Iĕm kiơ̆ tơpă dôm nơ̆r 'Bok Kei-Dei, na yang Satan thuơ kơ iĕm boih."
"Do not love the world or the things in the world. If anyone loves the world, the love of the Father is not in him.","Iĕm 'nĕ kơ 'mêm dôm tơdrong ala teh âu. Bơngai bu 'mêm kơ tơdrong ala teh âu, bơngai 'noh sư ưh kơ 'mêm kơ 'Bă bơ̆n 'Bok Kei-Dei ôh."
"For all that is in the world—the lust of the flesh, the lust of the eyes, and the pride of life—is not of the Father but is of the world.","Dôm tơdrong chih roi tơ ala âu lĕch đơ̆ng ala teh: Tơdrong kư̆ kă jơhngơ̆m kon bơngai 'maih pơm, tơdrong kư̆ kă mơ̆n măt kon bơngai 'maih lăng, lơ tơdrong tơpă, mơ'nah đei tơmam yua wă pơang akâu sư kơdih. Dôm tơdrong noh ưh kơ lĕch đơ̆ng 'Bă bơ̆n 'Bok Kei-Dei ôh, lĕch đơ̆ng lu bơngai ala teh âu đĕch."
"And the world is passing away, and the lust of it; but he who does the will of God abides forever.","Ala teh âu dôm tơdrong kon bơngai 'maih iŏk gô răm, mă-lei dah bơngai bu pơm trŏ thoi 'Bok Kei-Dei wă, bơngai 'noh gô arih ling-lang."
"Little children, it is the last hour; and as you have heard that the Antichrist is coming, even now many antichrists have come, by which we know that it is the last hour.","Ơ lu kon hơ'lơ̆p, năr tôch wă jê̆ truh boih. Iĕm kơtơ̆ng đơ̆ng sơ̆ boih gah tơdrong bơngai ayăt kơ Yêsu Krist gô truh. Na dang ei đei lơ bơngai ayăt kơ Yêsu Krist truh boih, thoi noh bơih bơ̆n băt kơ năr tôch wă jê̆ truh."
"They went out from us, but they were not of us; for if they had been of us, they would have continued with us; but they went out that they might be made manifest, that none of them were of us.","Lu bơngai ayăt kơ Yêsu Krist dang ei, tơm hmơm sơ̆ sư khan sư wă bôl lu bơngai lui tơpă, mă dang ei sư achăng tŭk lu bơ̆n bơngai lui. Dah sư bôl bơ̆n bơngai lui tơpă lei sư bôl bơ̆n ling-lang ưh kơ đei layơ tŭk. Na dang ei sư achăng tŭk bơ̆n tơpă boih, noh bơ̆n băt lơ̆m lu sư ưh kơ đei bu buăl bơ̆n."
"But you have an anointing from the Holy One, and you know all things.","Gah iĕm, Yêsu Krist mă 'lơ̆ng tơpăt, Sư ăn kơ iĕm Yang Bơhngol 'Lơ̆ng na đĭ dôm iĕm băt nhên tơpă gah tơdrong 'Bok Kei-Dei."
