English, Bahnar
"Now King David was old, advanced in years; and they put covers on him, but he could not get warm.","Pơtao Đawit đĭ kră sơnăm đĭ kơjung boih, mă khan đe pơhrŭk ăn hơbĕn ao kơ sư lơ hơdôm blah ră mă-lei sư oei ưh kơ tơnŏ."
"Therefore his servants said to him, “Let a young woman, a virgin, be sought for our lord the king, and let her stand before the king, and let her care for him; and let her lie in your bosom, that our lord the king may be warm.”","Na lu đĭch đam sư khan kơ sư: “Lê̆ nhôn chă ăn kơ ih mă yŏng pơtao nhôn, minh 'nu adruh 'nao iung, wă kơ sư awih awăn păng wei-lăng ih. Sư gô 'bĭch 'bơ̆t cheng ih, wă kơ ih, yŏng pơtao nhôn tơnŏ."
"So they sought for a lovely young woman throughout all the territory of Israel, and found Abishag the Shunammite, and brought her to the king.","Thoi noh lu sư chă minh 'nu adruh 'lơ̆ng guăng đơ̆ng lăm dêh char Isơrael, lu sư chă 'bôh minh 'nu adruh anăn sư Abisak, bơngai Sunami păng chông ba sư năm tơ pơtao."
"The young woman was very lovely; and she cared for the king, and served him; but the king did not know her.","Adruh noh 'lơ̆ng hơbŏ dêh, sư wei-lăng păng awih awăn kơ pơtao, mă-lei pơtao ưh kơ jê̆ sư ôh."
"Then Adonijah the son of Haggith exalted himself, saying, “I will be king”; and he prepared for himself chariots and horsemen, and fifty men to run before him.","Adonija kon yă Hagit, pôk atŏk sư kơdih khan: “Inh gô pơm pơtao” Sư chă hơmet kơ sư gre aseh lơlap păng chă bơngai hao gre aseh đei pơđăm-jĭt 'nu kơdâu adrol kơ sư."
"(And his father had not rebuked him at any time by saying, “Why have you done so?” He was also very good-looking. His mother had borne him after Absalom.)","'Bă sư ưh kơ đei wă pơm kơ sư sơ'ngon ôh, hăm nơ̆r jet: “Liơ e pơm thoi noh?” Adonija jơ̆ minh 'nu bơngai 'lơ̆ng hơbŏ dêh, mĕ sư tơpŭ kơ sư đơ̆ng rŏng kơ Apsalôm."
"Then he conferred with Joab the son of Zeruiah and with Abiathar the priest, and they followed and helped Adonijah.","Sư pơđâu băl hăm Jôap kon drŏ-nglo Sêruia păng hăm 'bok soi Abiathar. Lu sư kiơ̆ Adonija păng tơgŭm sư."
"But Zadok the priest, Benaiah the son of Jehoiada, Nathan the prophet, Shimei, Rei, and the mighty men who belonged to David were not with Adonijah.","Mă-lei 'bok soi Sadôk, Bênaia kon drŏ-nglo Jêhôiada, Nathan bơngai khan lê̆ adrol, Simei, Rei păng lu linh Đawit mă nuih kơtang ưh kơ kiơ̆ ôh Adonija."
"And Adonijah sacrificed sheep and oxen and fattened cattle by the stone of Zoheleth, which is by En Rogel; he also invited all his brothers, the king’s sons, and all the men of Judah, the king’s servants.","Adonija pơyơ̆r triu, rơmo păng kon rơmo bek, pơm tơmam soi 'bơ̆t tơmo Sohôlet, jê̆ Ên Rôgel. Sư krao wơ̆n đĭ-đăng 'nhŏng oh sư, lu kon drŏ-nglo pơtao, păng đĭ-đăng lu bơngai pơm yŏng pơgơ̆r mă bơ̆jang kơ pơtao."
"But he did not invite Nathan the prophet, Benaiah, the mighty men, or Solomon his brother.","Mă-lei sư ưh kơ krao wơ̆n ôh Nathan 'bok khan lê̆ adrol, dah Bênaia, dah lu linh nuih kơtang păng kư̆m ưh kơ krao wơ̆n mơ̆n Sôlômôn oh sư."
