English, Bahnar
"Now there was a certain man of Ramathaim Zophim, of the mountains of Ephraim, and his name was Elkanah the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephraimite.","Đei minh 'nu bơngai drŏ-nglo đơ̆ng pơlei Ramathaim Suphima lăm tơring groi kông Êphraim anăn sư Êlkana, kon drŏ-nglo Jêrôham sâu Êlihu, sâu i Tơhu, sâu ach Sup, bơngai adrĕch Êphraim."
"And he had two wives: the name of one was Hannah, and the name of the other Peninnah. Peninnah had children, but Hannah had no children.","Sư đei 'bar 'nu akăn; minh 'nu anăn sư Hana, minh 'nu nai anăn sư Pênina. Pêninia đei kon hơ'lơ̆p mă-lei An ưh kơ đei hơ'lơ̆p."
"This man went up from his city yearly to worship and sacrifice to the LORD of hosts in Shiloh. Also the two sons of Eli, Hophni and Phinehas, the priests of the LORD, were there.","Rim sơnăm Êlkana lĕch đơ̆ng pơlei sư tŏk năm tơ pơlei Silô akŭm kơkuh păng wă pơyơ̆r tơmam soi kơ Kră Yang Tih Hloh. Tơ noh đei 'bar 'nu kon drŏ-nglo Hêli, bre Hopni păng Phinêhas, pơm 'bok soi Kră Yang."
"And whenever the time came for Elkanah to make an offering, he would give portions to Peninnah his wife and to all her sons and daughters.","Năr Êlkana pơyơ̆r tơmam soi sư klah asong minh kơ Pênina akăn sư păng kơ rim 'nu kon drŏ-nglo, kon drŏ-kăn sư."
"But to Hannah he would give a double portion, for he loved Hannah, although the LORD had closed her womb.","Na sư asong ăn kơ Hana 'bar yua kơ sư hưch dêh kơ Hana, mă-lei Kră Yang ăn kơ sư hơwŏng."
"And her rival also provoked her severely, to make her miserable, because the LORD had closed her womb.","Pênina jơ̆ păng pơklai jơhngơ̆m sư, yua kơ Kră Yang ăn kơ sư hơwŏng."
"So it was, year by year, when she went up to the house of the LORD, that she provoked her; therefore she wept and did not eat.","Ling-lang thoi noh lăm rim sơnăm; rim wơ̆t Hana tŏk năm tơ hnam Kră Yang Pênina ơh pơklai lăm jơhngơ̆m. Dĭng mah Hana nhơ̆m păng ưh kơ sŏng sa."
"Then Elkanah her husband said to her, “Hannah, why do you weep? Why do you not eat? And why is your heart grieved? Am I not better to you than ten sons?”","Êlkana klo sư khan kơ sư, ơ Hana, yua kơ kiơ ih nhơ̆m? Hăm yua kơ kiơ ih ưh kơ sŏng sa? Yua kơ kiơ jơhngơ̆m ih sơ'ngon? Liơ ih đei inh bơih ưh kơ gĭt hloh kơ đei mơjĭt 'nu kon drŏ-nglo hă?"
"So Hannah arose after they had finished eating and drinking in Shiloh. Now Eli the priest was sitting on the seat by the doorpost of the tabernacle of the LORD.","Đang kơ lu sư sŏng sa tơ pơlei Silô bơih, Hana iung, kơplah noh Hêli, oei ngôi hơ-oei kơpal tang-dŏ jê̆ 'măng mơ̆t tơ hnam Kră Yang."
"And she was in bitterness of soul, and prayed to the LORD and wept in anguish.","Hana jơhngơ̆m sư rŭng răng ưh kơsŭk sư krao apinh Kră Yang sư nhơ̆m sơ'ngon dêh."
"Then she made a vow and said, “O LORD of hosts, if You will indeed look on the affliction of Your maidservant and remember me, and not forget Your maidservant, but will give Your maidservant a male child, then I will give him to the LORD all the days of his life, and no razor shall come upon his head.”","Sư pơma pơkă khan: Ơ Kră Yang Tih Hloh, tơdah ih lăng mơnat kơ đam drŏ-kăn ih, 'blŏk bĕ kơ inh 'nĕ kơ hiơt kơ inh đam drŏ-kăn ih, mă-lei gô ăn kơ đam drŏ-kăn ih đei minh 'nu kon drŏ-nglo, thoi ei inh gô ăn sư kơ ih Kră Yang đĭ chăl arih sư, ưh kơ gơh yuă dah hơkôih sŏk sư."
"And it happened, as she continued praying before the LORD, that Eli watched her mouth.","Kơplah sư oei krao khan 'bơ̆t anăp Kră Yang, Hêli lăng 'bơ̆r sư."
"Now Hannah spoke in her heart; only her lips moved, but her voice was not heard. Therefore Eli thought she was drunk.","Hana pơma lăm jơhngơ̆m sư, hơkŭng sư đĕch pơpơ̆; đe ưh kơ đei kơtơ̆ng nơ̆r sư ôh. Na Hêli tơchĕng khan, Hana suai sik."
"So Eli said to her, “How long will you be drunk? Put your wine away from you!”","Na Hêli khan kơ sư. Dang yơ ih praih kơ suai sik? Lê̆ pă et."
"But Hannah answered and said, “No, my lord, I am a woman of sorrowful spirit. I have drunk neither wine nor intoxicating drink, but have poured out my soul before the LORD.","Hana tơl, ưh, ơ yŏng tơ'ngla inh, inh minh 'nu bơngai drŏ-kăn ơh sơ'ngon dêh. Inh ưh kơ đei et sik ôh, kư̆m ưh kơ đei suai mơ̆n, yua kơ inh tơ'bôh đĭ jơhngơ̆m inh kơ Kră Yang."
"“Do not consider your maidservant a wicked woman, for out of the abundance of my complaint and grief I have spoken until now.”","'Nĕ jơ̆ kơ inh đam ih thoi bơngai drŏ-kăn kư̆ kă, yua kơ inh pơma âu dang ei kơlih kơ jơhngơ̆m inh rŭng răng ơh sơ'ngon."
"Then Eli answered and said, “Go in peace, and the God of Israel grant your petition which you have asked of Him.”","Na Hêli khan, năm mă 'lơ̆ng bĕ krao khan bĕ kơ Kră Yang 'Bok Kei-Dei Isơrael ăn kơ ih tơdrong ih krao apinh sư."
"And she said, “Let your maidservant find favor in your sight.” So the woman went her way and ate, and her face was no longer sad.","Sư drơ̆ng, apinh ih ăn kơ inh đam drŏ-kăn ih đei mơnat 'bơ̆t anăp ih. Na Hana wih brŏk păng sŏng sa, muh măt sư ưh pă sơ'ngon bơih."
"Then they rose early in the morning and worshiped before the LORD, and returned and came to their house at Ramah. And Elkanah knew Hannah his wife, and the LORD remembered her.","Lu sư iung đơ̆ng hrôih drap kơkuh 'bơ̆t anăp Kră Yang; đơ̆ng noh lu sư wih brŏk tơ hnam lu sư tơ pơlei Rama. Êlkana oei hơdai hăm akăn sư Hana, Kră Yang 'blŏk kơ sư."
"So it came to pass in the process of time that Hannah conceived and bore a son, and called his name Samuel, saying, “Because I have asked for him from the LORD.”","Na truh tơ Hana anăp na tơpŭ kơ minh 'nu kon drŏ-nglo. Krao anăn sư Samuel,b yua kơ sư đei khan, inh đei apinh bơih sư đơ̆ng Kră Yang."
"Now the man Elkanah and all his house went up to offer to the LORD the yearly sacrifice and his vow.","Êlkana păng đĭ-đăng hnam dơnŏ sư tŏk năm wă pơyơ̆r kơ Kră Yang tơmam soi lăm rim sơnăm, wă pơsĭt tơdrong sư đei pơkă bơih."
"But Hannah did not go up, for she said to her husband, “Not until the child is weaned; then I will take him, that he may appear before the LORD and remain there forever.”","Mă-lei Hana ưh kơ tŏk năm hơdai ôh, sư khan kơ klo sư, gô kon hơ'lơ̆p lê̆ mŏ, inh gô năm chông ba sư, wă kơ sư năm 'bơ̆t anăp Kră Yang păng oei hloi tơ noh ling-lang."
"So Elkanah her husband said to her, “Do what seems best to you; wait until you have weaned him. Only let the LORD establish His word.” Then the woman stayed and nursed her son until she had weaned him.","Êlkana klo sư khan kơ sư, pơm bĕ thoi ih tơchĕng khan 'lơ̆ng. Gô bĕ dĭng tơ sư lê̆ mŏm. Wă kơ apinh Kră Yang pơsĭt nơ̆r ih pơma. Thoi noh sư oei hnam, rong kon drŏ-nglo noh truh tơ sư lê̆ mŏm."
"Now when she had weaned him, she took him up with her, with three bulls, one ephah of flour, and a skin of wine, and brought him to the house of the LORD in Shiloh. And the child was young.","Truh tơ sư lê̆ mŏm bơih, Hana chông ba kon sư năm hơdai sư. Păng kư̆m dui ba rơmo tơno pêng sơnăm, minh êphac tơpŭng, minh pơm get akar sik hơmu. Sư chông kon sư tơ hnam Kră Yang tơ pơlei Silô. Kon hơ'lơ̆p sư noh oei 'lơ̆p."
"Then they slaughtered a bull, and brought the child to Eli.","Lu sư 'bet pơlôch rơmo noh na chông ba hơ'lơ̆p noh tơ Hêli."
"And she said, “O my lord! As your soul lives, my lord, I am the woman who stood by you here, praying to the LORD.","Păng khan: “Ơ yŏng tơ'ngla inh arih ling-lang ơ yŏng inh, inh bơih bơngai drŏ-kăn mă oei dơ̆ng tơ âu 'bơ̆t anăp ih krao apinh Kră Yang."
"For this child I prayed, and the LORD has granted me my petition which I asked of Him.","Inh krao apinh yua kơ bơngai hơ'lơ̆p âu; Kră Yang ăn bơih tơdrong inh krao apinh sư."
"Therefore I also have lent him to the LORD; as long as he lives he shall be lent to the LORD.” So they worshiped the LORD there.","Na inh pơyơ̆r sư kơ Kră Yang yua; lăm đĭ chăl sư arih dang yơ; sưd noh jing tơmam Kră Yang boih.” Klaih kơ noh lu sư drap kơkuh bơnê kơ Kră Yang tơ noh."
"And Hannah prayed and said: “My heart rejoices in the LORD; My horn is exalted in the LORD. I smile at my enemies, Because I rejoice in Your salvation.","Hana krao apinh păng khan: Jơhngơ̆m inh chơt hiôk lăm Kră Yang; Kră Yang pơm ăn kơ jơhngơ̆m inh hiôk chơt. 'Bơ̆r inh pơma pơgreh khan kơ lu bơngai ayăt kơ inh. Inh chơt hiôk Ih dŏng pơklaih inh."
"“No one is holy like the LORD, For there is none besides You, Nor is there any rock like our God.","Ưh kơ đei bu 'lơ̆ng rơgoh thoi Kră Yang ôh, Ưh kơ đei bu nai thoi Ih; ưh kơ đei tơmo ayơ pĕng lu nhôn thoi Kră Yang 'Bok Kei-Dei."
"“Talk no more so very proudly; Let no arrogance come from your mouth, For the LORD is the God of knowledge; And by Him actions are weighed.","Thôi, 'nĕ pă pơma pơang dêh. 'Nĕ pă ăn tơdrong pơang lĕch đơ̆ng 'bơ̆r ih; Yua kơ Kră Yang bơih 'Bok Kei-Dei băt đi; Sư boih kŏng pơtŏ lăng đĭ tơdrong bơ̆n jang."
"“The bows of the mighty men are broken, And those who stumbled are girded with strength.","Hră lu bơngai kơtang tơgơ̆ bơih, mă-lei lu bơngai tơrăn oei đei jơhngơ̆m pran kơtang."
"Those who were full have hired themselves out for bread, And the hungry have ceased to hunger. Even the barren has borne seven, And she who has many children has become feeble.","Lu bơngai phĭ jơnap athei jang kơ đe wă kơ đei tơmam sa. Mă-lei lu bơngai pơngot pă đei pơngot dơ̆ng. Drŏ-kăn hơwŏng tơpŭ đei tơpơh 'nu kon, Mă-lei drŏ-kăn đei kon lơ bơih oei sơ'ngon."
"“The LORD kills and makes alive; He brings down to the grave and brings up.","Kră Yang ăn lôch păng ăn arih; Sư tơhuŏng bơngai lăm pơlei bơngai lôch păng gô tơiung hơtŏk arih dơ̆ng."
"The LORD makes poor and makes rich; He brings low and lifts up.","Kră Yang ăn kơ đe dơnuh, Păng tơiung đe mơdrŏng; Sư tơjur đe păng kư̆m pôk hơtŏk mơ̆n."
"He raises the poor from the dust And lifts the beggar from the ash heap, To set them among princes And make them inherit the throne of glory. “For the pillars of the earth are the LORD’s, And He has set the world upon them.","Sư rô̆ tơiung bơngai dơnuh đơ̆ng 'mui teh; Sư pơdơ̆ng tơiung lu bơngai kơ'bah đơ̆ng lăm 'mui tơnuh, Wă kơ lu sư dơ̆ng hơdai hăm lu bơngai yŏng pơgơ̆r. Păng kư̆m ăn oei lăm anih đe pơyom. Jrăng plei teh noh đơ̆ng Kră Yang, Păng kơpal jrăng noh sư pơdơ̆ng bơih plei teh."
"He will guard the feet of His saints, But the wicked shall be silent in darkness. “For by strength no man shall prevail.","Sư wei-lăng jơ̆ng lu bơngai kiơ̆ Sư tơpăt; Mă-lei lu bơngai kơnê̆ sư gô tơlơ̆ lê̆ lăm măng mu. Kon bơngai ưh kơ kĕ ôh yua tơdrong pran kơdih."
"The adversaries of the LORD shall be broken in pieces; From heaven He will thunder against them. The LORD will judge the ends of the earth. “He will give strength to His king, And exalt the horn of His anointed.”","Ơ! Kră Yang; Ih gô pơrăm lu bơngai ayăt hĕch hoch đĭ. Đơ̆ng plĕnh Sư gô ăn grơ̆m re pơrăm lu đe noh; Kră Yang gô sek tơlang kơ đĭ-đăng bơngai. Sư gô ăn tơdrong pran kơtang kơ pơtao Sư Păng ăn tơdrong kĕ jei kơ bơngai mă Sư đei hling đak pơgang 'bâu phu.a"
"Then Elkanah went to his house at Ramah. But the child ministered to the LORD before Eli the priest.","Đơ̆ng noh Êlkana wih brŏk tơ pơlei sư tơ Rama, kon hơ'lơ̆p noh oei tơ noh bơ̆jang kơ Kră Yang 'bơ̆t anăp Hêli 'bok soi."
"Now the sons of Eli were corrupt; they did not know the LORD.","'Bar 'nu kon drŏ-nglo Hêli jing bơngai kơnê̆ tơpă, bre sư ưh kơ băt hli yom kơ Kră Yang."
