English, Bahnar
"Paul, Silvanus, and Timothy, To the church of the Thessalonians in God the Father and the Lord Jesus Christ: Grace to you and peace from God our Father and the Lord Jesus Christ.","Nhôn pêng 'nu, Pôl, Silas, Timôthê, chih hơpong kơ lu bơngai lui tơ pơlei Têsalônik. 'Bă tơm bơ̆n 'Bok Kei-Dei păng Kră Yang bơ̆n Yêsu Krist wei-lăng iĕm ling-lang. Nhôn krao khan apinh Sư tơgŭm iĕm lăm tôm tơdrong wă kơ Sư ăn kơ iĕm hiôk-hian."
"We give thanks to God always for you all, making mention of you in our prayers","Nhôn ling-lang krao khan bơnê kơ 'Bok Kei-Dei yua kơ iĕm lui kơ Sư kơjăp, hăm nhôn apinh Sư tơgŭm iĕm khŏm khŏm."
"remembering without ceasing your work of faith, labor of love, and patience of hope in our Lord Jesus Christ in the sight of our God and Father","Nhôn oei 'blŏk hơdơ̆r ling-lang kơ iĕm lui kơjăp kơ Kră Yang Yêsu Krist, iĕm gơh 'mêm kơ Sư păng 'mêm mơnat kơ bôl buăl păng jang gleh tơpă tơdrong Sư. Nhôn oei 'blŏk hơdơ̆r kơ iĕm mơ̆n, iĕm đei tơdrong gleh pơmat-tat, iĕm oei khŏm adrin 'mơ̆i, yua kơ iĕm chang gô Kră Yang Yêsu Krist jur tơ ala teh âu dơ̆ng. 'Bă tơm bơ̆n 'Bok Kei-Dei kư̆m 'bôh mơ̆n dôm lu tơdrong iĕm jang kơ Sư 'noh."
"knowing, beloved brethren, your election by God.","Ơ 'nhŏng oh, 'Bok Kei-Dei 'mêm mơnat kơ iĕm tơpă. Nhôn băt kơ Sư rơih iŏk iĕm boih wă kơ lu iĕm jing kon Sư."
"For our gospel did not come to you in word only, but also in power, and in the Holy Spirit and in much assurance, as you know what kind of men we were among you for your sake.","Nhôn bơtho kơ iĕm tơdrong 'nao 'lơ̆ng ưh kơ sĭ păng 'bơ̆r nhôn pơma đĕch ôh, yua kơ mơsêh mơyang đơ̆ng Yang Bơhngol 'Lơ̆ng tơgŭm nhôn păng tơgŭm iĕm na iĕm băt nhôn bơtho tơdrong 'Bok Kei-Dei tơpă. Iĕm kư̆m băt nhôn bơngai thoi yơ pơm tơdrong kiơ hơtai nhôn oei hăm iĕm ki. Hăm trŏ nhôn adrin tơgŭm iĕm ling-lang tơpă dah ưh?"
"And you became followers of us and of the Lord, having received the word in much affliction, with joy of the Holy Spirit","Iĕm pơm kiơ̆ rok thoi nhôn boih, noh thoi nhôn pơm kiơ̆ rok Kră Yang Yêsu Krist ki mơ̆n. Iĕm đei lơ tơdrong pơmat-tat mă-lei khŏm lui kơ tơdrong nhôn bơtho, Yang Bơhngol 'Lơ̆ng ăn kơ iĕm jơhngơ̆m hiôk hơiă tơpă."
"so that you became examples to all in Macedonia and Achaia who believe.","Iĕm pơm thoi noh trŏ tơpă na đĭ-đăng bơngai lui tơ dêh char Masêđôn păng dêh char Grĕk 'bôh iĕm lui kơjăp, na lu sư hơdai wă pơm kiơ̆ thoi iĕm mơ̆n."
"For from you the word of the Lord has sounded forth, not only in Macedonia and Achaia, but also in every place. Your faith toward God has gone out, so that we do not need to say anything.","Đơ̆ng iĕm bơtho tơdrong 'Bok Kei-Dei na đe kơtơ̆ng tơdrong 'noh jơ̆p kơ dêh char Masêđôn păng dêh char Grĕk boih; păng jơ̆p-jang kơ teh đak băt kơ iĕm lui kơ 'Bok Kei-Dei. Yua kơ thoi noh na nhôn ưh kơ kăl roi kơ đe tơdrong iĕm lui 'noh ôh yua kơ đe băt đĭ-đăng boih."
"For they themselves declare concerning us what manner of entry we had to you, and how you turned to God from idols to serve the living and true God","Đe kơtơ̆ng thoi noh, đe kư̆m roi kơ nhôn mơ̆n tơdrong iĕm sơng iŏk nhôn păng tơdrong iĕm ưh pă wă kơkuh kơ lu rup yang dơ̆ng, na iĕm lui hloi kơ Kră Yang 'Bok Kei-Dei. 'Bok Kei-Dei Sư Yang tơpă, Sư arih ling-lang."
"and to wait for His Son from heaven, whom He raised from the dead, even Jesus who delivers us from the wrath to come.","Păng iĕm chang gô Kon Sư jur đơ̆ng plĕnh pă minh 'măng dơ̆ng. Yêsu boih Kon Sư; 'Bok Kei-Dei tơiung arih Sư đơ̆ng lôch. Yêsu boih dŏng pơklaih bơ̆n đơ̆ng tơdrong phak ning-mônh."
