English, Bahnar
"Paul, an apostle of Jesus Christ by the will of God, and Timothy our brother, To the church of God which is at Corinth, with all the saints who are in all Achaia","Inh Pôl bơngai mă 'Bok Kei-Dei rơih pơm jơ̆ng 'bang Yêsu Krist, na nhi oh bơ̆n Timôthê chih hơpong kơ lu 'nhŏng oh bơngai lui tơ pơlei iĕm Kôrintô, lu mă 'Bok Kei-Dei rơih iŏk, hăm đĭ-đăng kơ lu kon 'Bok Kei-Dei jơ̆p kơ dêh Grĕk."
"Grace to you and peace from God our Father and the Lord Jesus Christ.","Nhôn apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm Kră Yang bơ̆n Yêsu Krist wei-lăng iĕm tôm tơdrong wă kơ Sư ăn kơ iĕm hiôk-hian ling-lang."
"Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort","Bơnê kơ 'Bok Kei-Dei 'Bă Yêsu Krist Yŏng bơ̆n, Sư 'Bă tơm bơ̆n 'mêm kơ bơ̆n dêh, Sư Kră Yang gơh pơlung bơ̆n tôm tơdrong kơplah bơ̆n đei tơdrong gleh truh pơmat-tat."
"who comforts us in all our tribulation, that we may be able to comfort those who are in any trouble, with the comfort with which we ourselves are comforted by God.","Sư pơlung bơ̆n pơmat-tat wă kơ bơ̆n gơh pơlung lu bôl bơ̆n mă đei tơdrong pơmat-tat. 'Bok Kei-Dei pơlung bơ̆n thoi yơ, bơ̆n pơlung bôl thoi noh."
"For as the sufferings of Christ abound in us, so our consolation also abounds through Christ.","Yua kơ bơ̆n chu iŏk tơdrong pơmat-tat thoi Yêsu Krist, na Sư pơlung bơ̆n, wă kơ bơ̆n huay kơ sơ'ngon."
"Now if we are afflicted, it is for your consolation and salvation, which is effective for enduring the same sufferings which we also suffer. Or if we are comforted, it is for your consolation and salvation.","Nhôn đei tơdrong pơmat-tat, 'noh nhôn adrin tơgŭm iĕm wă kơ iĕm hiôk păng klaih đơ̆ng tơdrong yoch. Nhôn đei 'Bok Kei-Dei pơlung pơhiôk jơhngơ̆m đon nhôn, wă kơ nhôn pơlung pơhiôk jơhngơ̆m đon iĕm, wă kơ iĕm pran jăng hli kơ iĕm mah đei tơdrong pơmat thoi nhôn."
"And our hope for you is steadfast, because we know that as you are partakers of the sufferings, so also you will partake of the consolation.","Tơdrong lui kơjăp, nhôn băt kơ iĕm lui kơjăp tơpă. Yua kơ iĕm chu iŏk tơdrong pơmat-tat thoi nhôn, na 'Bok Kei-Dei kư̆m pơlung iĕm hiôk lei-lăi thoi nhôn mơ̆n."
"For we do not want you to be ignorant, brethren, of our trouble which came to us in Asia: that we were burdened beyond measure, above strength, so that we despaired even of life.","Ơ 'nhŏng oh, nhôn wă roi tơbăt ăn kơ iĕm gah tơdrong đe pơmat nhôn tơ dêh Asi. Nhôn pŭ pơmat trăp dêh, nhôn pă ngêh kơ arih boih."
"Yes, we had the sentence of death in ourselves, that we should not trust in ourselves but in God who raises the dead","Nhôn tơchĕng gah lôch đĕch, mă-lei pơm huay huăi. Nhôn băt kơ tơdrong noh truh wă kơ nhôn huay kơ sơđơ̆ng kơ akâu kơdih, wă kơ nhôn gơnang kơ 'Bok Kei-Dei đĕch, yua kơ pôm Sư đĕch gơh tơiung arih kon bơngai."
"who delivered us from so great a death, and does deliver us; in whom we trust that He will still deliver us","Tơ̆ng Sư ưh kơ tơdŏng nhôn, nhôn lôch tơpă boih. Mă Sư kư̆m oei wă tơdŏng nhôn kơnh pơgê đơ̆ng tôm tơdrong hli hlơt. Lu nhôn oei wă sơđơ̆ng kơ Sư tơdŏng nhôn ling-lang."
"you also helping together in prayer for us, that thanks may be given by many persons on our behalf for the gift granted to us through many.","Iĕm krao khan tơgŭm nhôn hŏ, wă kơ 'Bok Kei-Dei mơnat kơ nhôn đơ̆ng lơ bơngai krao khan tơgŭm, wă kơ lơ bơngai bơnê kơ 'Bok Kei-Dei tơdŏng đơ̆ng bơngai tơpôl krao khan."
"For our boasting is this: the testimony of our conscience that we conducted ourselves in the world in simplicity and godly sincerity, not with fleshly wisdom but by the grace of God, and more abundantly toward you.","Tơdrong nhôn hiôk, nhôn hiôk yua kơ tơdrong âu: Jơhngơ̆m đon nhôn mơn kơdih nhôn pơm 'lơ̆ng kơ đĭ-đăng bơngai; mă loi pơm 'lơ̆ng pơm tơpăt hăm iĕm. Mă-lei nhôn ưh kơ bơnê kơ akâu nhôn kơdih hơgei ôh, nhôn bơnê kơ 'Bok Kei-Dei tơgŭm nhôn pơm 'lơ̆ng thoi noh."
"For we are not writing any other things to you than what you read or understand. Now I trust you will understand, even to the end","Dôm tơdrong nhôn chih kơ iĕm, nhôn ưh kơ đei chih pơjuang ôh; nhôn chih roi tơpăt hloi. Nhôn chih thoi yơ, iĕm đŏk iĕm hlôh thoi ei."
"(as also you have understood us in part), that we are your boast as you also are ours, in the day of the Lord Jesus.","Dang ei iĕm tam mă băt nhên nhôn bơngai thoi yơ, layơ kơnh iĕm kư̆m hlôh mơ̆n. Thoi noh na mưh Kră Yang Yêsu Krist jur, iĕm hiôk yua kơ nhôn pơm 'lơ̆ng; nhôn kư̆m hiôk yua kơ iĕm lui đơ̆ng nhôn bơtho."
"And in this confidence I intended to come to you before, that you might have a second benefit","Thoi noh na ki inh băt kơ iĕm lăp đon tơpă, na inh pơkă wă năm hơpong tơ dêh iĕm, inh wă năm tơ pơlei iĕm hơdrol"
