English, Bahnar
"Simon Peter, a bondservant and apostle of Jesus Christ, To those who have obtained like precious faith with us by the righteousness of our God and Savior Jesus Christ","Inh Simôn Pêtrôs, bơngai đĭch đam Yêsu Krist, kư̆m pơm jơ̆ng 'bang Sư mơ̆n. Inh chih hơpong kơ lu bơngai mă 'Bok Kei-Dei hăm 'Bok Dŏng Pơklaih bơ̆n Yêsu Krist krao lui kơ Sư thoi nhôn, yua kơ Sư pơm tơpăt kơ đĭ-đăng."
"Grace and peace be multiplied to you in the knowledge of God and of Jesus our Lord","Inh apinh 'Bok Kei-Dei wei-lăng iĕm hiôk-hian wă kơ iĕm lui rai kơjăp, yua kơ iĕm băt kơnăl kơ Sư, hăm băt kơnăl kơ Kră Yang bơ̆n Yêsu Krist."
"as His divine power has given to us all things that pertain to life and godliness, through the knowledge of Him who called us by glory and virtue","Yua kơ Sư Yang, Sư mơsêh tơpă, na Sư ăn kơ bơ̆n tôm tơdrong gơh arih, gơh pơm 'lơ̆ng tơpăt thoi Sư. 'Noh yua kơ Sư krao, na bơ̆n băt kơ Sư. Bơ̆n 'bôh Sư mơsêh păng 'lơ̆ng tơpăt na bơ̆n băt kơ kiơ̆ Sư."
"by which have been given to us exceedingly great and precious promises, that through these you may be partakers of the divine nature, having escaped the corruption that is in the world through lust.","Yua kơ Sư Yang, Sư mơsêh, Sư 'lơ̆ng tơpăt, Sư pơkă wă tơgŭm bơ̆n tih tơpă. Na Sư pơklaih bơ̆n đơ̆ng dôm tơdrong kơnê̆ 'mê̆-'mach tơ ala teh âu, tơdrong mă kon bơngai 'maih pơm, wă kơ bơ̆n jing kon Sư kư̆m 'lơ̆ng tơpăt thoi Sư."
"But also for this very reason, giving all diligence, add to your faith virtue, to virtue knowledge","Yua kơ thoi noh na dang ei iĕm lui kơ Yêsu Krist boih, iĕm athei adrin pơm 'lơ̆ng, pơm tơpăt păng pơhrăm iŏk dôm tơdrong 'Bok Kei-Dei."
"to knowledge self-control, to self-control perseverance, to perseverance godliness","Dah iĕm pơhrăm iŏk boih, iĕm gô đei tơdrong pơgơ̆t, đơ̆ng tơdrong pơgơ̆t iĕm gô đei jơhngơ̆m chơ̆n. Dah jơhngơ̆m iĕm chơ̆n tơpă, noh iĕm gơh pơm kiơ̆ dôm tơdrong 'Bok Kei-Dei boih."
"to godliness brotherly kindness, and to brotherly kindness love.","Dah iĕm pơm kiơ̆ dôm tơdrong 'Bok Kei-Dei, iĕm gô đei đon 'mêm kơ bôl buăl bơngai lui, đơ̆ng noh na iĕm jing 'mêm kơ đĭ-đăng bơngai."
"For if these things are yours and abound, you will be neither barren nor unfruitful in the knowledge of our Lord Jesus Christ.","Dah iĕm adrin pơm kiơ̆ dôm tơdrong noh tơpă, iĕm gô hlôh tơpă dôm tơdrong Kră Yang bơ̆n Yêsu Krist. 'Noh iĕm jing bơngai yua kơ tơdrong jang Sư boih."
"For he who lacks these things is shortsighted, even to blindness, and has forgotten that he was cleansed from his old sins.","Mă-lei bu ưh kơ pơm kiơ̆ dôm tơdrong noh, bơngai noh sư thoi bơngai măt bơbul, ưh kơ 'bôh hơdah; păng sư thoi bơngai hiơt kơ 'Bok Kei-Dei dŏng pơklaih bơ̆n đơ̆ng tơdrong yoch."
"Therefore, brethren, be even more diligent to make your call and election sure, for if you do these things you will never stumble","Ơ 'nhŏng oh, 'Bok Kei-Dei krao bơ̆n lui kơ Sư boih, na bơ̆n athei adrin lui mă kơjăp bĕ, na Sư gô iŏk bơ̆n tơpă. Dah bơ̆n adrin lui kiơ̆ thoi noh tơpă, bơ̆n huay kơ achăng lê̆ Sư ôh."
