English, Bahnar
"Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus","Inh Pôl jơ̆ng 'bang Yêsu Krist chih hơpong kơ Timôthê. Hmach kơ ih, dăm. Ih kon inh mă 'mêm kơeng tơpă. Sơ̆ 'Bok Kei-Dei athei inh pơm jơ̆ng 'bang Yêsu Krist wă pơtruh nơ̆r pơkă khan: Yua kơ Yêsu Krist lôch tang kon bơngai na Sư gô ăn kon bơngai arih ling-lang. Inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm Kră Yang bơ̆n Yêsu Krist wei-lăng ih tôm tơdrong. Apinh Sư mơnat kơ ih, hăm ăn kơ ih hiôk-hian ling-lang."
"To Timothy, a beloved son: Grace, mercy, and peace from God the Father and Christ Jesus our Lord.","Inh Pôl jơ̆ng 'bang Yêsu Krist chih hơpong kơ Timôthê. Hmach kơ ih, dăm. Ih kon inh mă 'mêm kơeng tơpă. Sơ̆ 'Bok Kei-Dei athei inh pơm jơ̆ng 'bang Yêsu Krist wă pơtruh nơ̆r pơkă khan: Yua kơ Yêsu Krist lôch tang kon bơngai na Sư gô ăn kon bơngai arih ling-lang. Inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm Kră Yang bơ̆n Yêsu Krist wei-lăng ih tôm tơdrong. Apinh Sư mơnat kơ ih, hăm ăn kơ ih hiôk-hian ling-lang."
"I thank God, whom I serve with a pure conscience, as my forefathers did, as without ceasing I remember you in my prayers night and day","Inh lui kơ 'Bok Kei-Dei trŏ thoi Sư wă, na inh ưh kơ hli. Lu 'bok kơdră inh lui sơ̆ thoi noh mơ̆n. Na inh krao khan kơ 'Bok Kei-Dei ling-lang wă kơ Sư tơgŭm ih păng inh kư̆m bơnê kơ Sư yua kơ ih lui kơjăp."
"greatly desiring to see you, being mindful of your tears, that I may be filled with joy","Inh oei 'blŏk mơ̆n kơ ih hmoi kơ inh hơtai ba wă tơklah dih băl sơ̆, na dang ei inh rơnguơ̆ dêh, inh wă kơ ba tơ'bơ̆p băl dơ̆ng na jơhngơ̆m inh hiôk."
"when I call to remembrance the genuine faith that is in you, which dwelt first in your grandmother Lois and your mother Eunice, and I am persuaded is in you also.","Inh băt kơ ih lui kơjăp tơpă, kư̆m lei-lăi thoi yă ih Lôih păng mĕ ih Eunik lui sơ̆ mơ̆n. Na dang ei inh băt kơ ih lui kơjăp thoi sư sơ̆ tơpă."
"Therefore I remind you to stir up the gift of God which is in you through the laying on of my hands.","Sơ̆ inh pel kơ̆l ih wă ăn kơ ih jang tơdrong 'Bok Kei-Dei. Đơ̆ng năr noh sơ̆ 'Bok Kei-Dei ăn kơ ih pran hơgei jang tơdrong Sư. Inh wă kơ ih oei 'blŏk hơdơ̆r kơ năr noh păng kư̆ gơnang kơ Sư na ih jang tơdrong Sư pran hơgei."
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.","'Bok Kei-Dei ăn kơ bơ̆n Yang Bơhngol 'Lơ̆ng Sư. Na Yang Bơhngol 'Lơ̆ng ưh kơ wă ăn kơ bơ̆n jơhngơ̆m lêl ôh, Sư ăn kơ bơ̆n jơhngơ̆m nuih kơtang. Sư ăn kơ bơ̆n gơh 'mêm kơ 'Bok Kei-Dei păng bôl buăl bơ̆n mơ̆n păng ăn kơ bơ̆n jơhngơ̆m chơ̆n tơpă."
"Therefore do not be ashamed of the testimony of our Lord, nor of me His prisoner, but share with me in the sufferings for the gospel according to the power of God","Ih 'nĕ mơlâu kơ bơtho đe tơdrong Kră Yang Yêsu păng ih 'nĕ mơlâu kơ đe phak inh lăm hnam phak. Đe phak inh yua kơ inh lui kơ Kră Yang Yêsu. 'Bok Kei-Dei tơgŭm ih tơpă, na mă ih đei tơdrong gleh pơmat-tat, ih kư̆ adrin bơtho tơdrong 'nao 'lơ̆ng Sư, thoi lĕ kơ inh đei tơdrong pơmat-tat dang ei, inh kư̆m oei adrin mơ̆n."
"who has saved us and called us with a holy calling, not according to our works, but according to His own purpose and grace which was given to us in Christ Jesus before time began","'Bok Kei-Dei pơklaih bơ̆n đơ̆ng tơdrong yoch. Sư krao iŏk bơ̆n wă kơ bơ̆n jing kon 'lơ̆ng tơpăt Sư. Sư krao bơ̆n ưh kơ sĭ bơ̆n pơm tơdrong 'lơ̆ng na Sư krao ôh, Sư krao bơ̆n yua kơ Sư 'mêm mơnat kơ bơ̆n. Đơ̆ng blŭng-a sơ̆ Sư tam mă pơjing plĕnh păng teh, đơ̆ng noh boih Sư 'mêm mơnat kơ bơ̆n wă ăn Yêsu Krist pơklaih bơ̆n."
"but has now been revealed by the appearing of our Savior Jesus Christ, who has abolished death and brought life and immortality to light through the gospel","Na dang ei Sư wơh Kon Sư Yêsu Krist dŏng pơklaih bơ̆n boih, na bơ̆n băt Sư 'mêm mơnat kơ bơ̆n tơpă. Yêsu Krist ăn kơ bơ̆n arih ling-lang. Bơ̆n huay kơ lôch răm ôh. 'Bok Kei-Dei tơbăt ăn kơ bơ̆n tơdrong arih ling-lang lăm tơdrong 'nao 'lơ̆ng Sư."
