English, Bahnar
"The former account I made, O Theophilus, of all that Jesus began both to do and teach","Ơ Theophil, lăm hla bơar mă mônh hơdrol sơ̆, inh chih ră roi kơ ih tôm tơdrong Yêsu pơm păng 'bơ̆r Sư bơtho"
"until the day in which He was taken up, after He through the Holy Spirit had given commandments to the apostles whom He had chosen","tơm hmơm truh tơ năr 'Bok Kei-Dei atŏk Sư tơ plĕnh. Hơdrol kơ Sư wă tŏk tơ plĕnh, Yang Bơhngol 'Lơ̆ng ăn kơ Sư bơtho lu jơ̆ng 'bang mă đêl Sư rơih."
"to whom He also presented Himself alive after His suffering by many infallible proofs, being seen by them during forty days and speaking of the things pertaining to the kingdom of God.","Đơ̆ng rŏng kơ Yêsu lôch tam mă tŏk tơ plĕnh noh Sư năm tơ'bôh akâu Sư tơ jơ̆ng 'bang Sư ei. Yêsu tơbăt kơ lu sư akâu Sư kơdih oei arih. Kơplah puăn-jĭt năr noh Sư tơ'bôh akâu păng bơtho lu sư gah tơdrong 'Bok Kei-Dei wă pơgơ̆r."
"And being assembled together with them, He commanded them not to depart from Jerusalem, but to wait for the Promise of the Father, “which,” He said, “you have heard from Me","Hơtai ei lu sư oei akŭm dih băl, Yêsu khă lu sư: “Iĕm 'nĕ tam jăk đơ̆ng Pơlei Jêrusalem, iĕm athei chang gô Yang Bơhngol 'Lơ̆ng mă đêl 'Bă Inh pơkă gô ăn kơ iĕm kư̆m thoi Inh roi kơ iĕm ki."
"for John truly baptized with water, but you shall be baptized with the Holy Spirit not many days from now.”","Yôhan pơm kơ iĕm 'batem păng đak, mă-lei pă đunh boih 'Bă Inh gô pơm kơ iĕm 'batem phara, Sư gô ăn kơ iĕm Yang Bơhngol 'Lơ̆ng Sư.”"
"Therefore, when they had come together, they asked Him, saying, “Lord, will You at this time restore the kingdom to Israel?”","Na dôm lu sư âu oei akŭm dih băl jet Yêsu thoi âu: “Ơ Kră Yang, hăm trŏ dang ei Ih wă ăn dêh Isơrael rơngei dơ̆ng?”"
"And He said to them, “It is not for you to know times or seasons which the Father has put in His own authority.","Yêsu khan: “Năr 'noh 'Bă Inh pơkă kơdih, Sư ưh kơ ăn iĕm băt ôh."
"But you shall receive power when the Holy Spirit has come upon you; and you shall be witnesses to Me in Jerusalem, and in all Judea and Samaria, and to the end of the earth.”","Mă-lei lăp Yang Bơhngol 'Lơ̆ng jur oei păng iĕm, iĕm gô đei jơhngơ̆m pran năm bơtho tơdrong Inh tơ Pơlei Jêrusalem, jơ̆p kơ dêh char Juđê păng dêh Samari, đơ̆ng noh jơ̆p kơ teh đak.”"
"Now when He had spoken these things, while they watched, He was taken up, and a cloud received Him out of their sight.","Sư bơtho khan kơ đe ei đang boih, đơ̆ng noh Kră Yang Yêsu tŏk tơ kơpal plĕnh, hơmơ̆l gom Sư. Na đe ei hnhoi Sư dĭng tơ hơmơ̆l gom Sư ưh pă 'bôh boih."
"And while they looked steadfastly toward heaven as He went up, behold, two men stood by them in white apparel","Lu sư oei 'bloh tơ plĕnh khŏm khŏm, na lu sư 'bôh hloi 'bar 'nu linh jang 'lơ̆ng hrŭk ao kok dơ̆ng jê̆ 'bơ̆t lu đe ei. Na bre linh jang 'lơ̆ng khan kơ lu đe ei thoi âu"
"who also said, “Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.”","“Ơ bơngai Galilê, iĕm lăng 'bloh chă kiơ tơ plĕnh? Ning-mônh Sư gô jur dơ̆ng kư̆m thoi Sư tŏk mơ̆n.”"
"Then they returned to Jerusalem from the mount called Olivet, which is near Jerusalem, a Sabbath day’s journey.","Đơ̆ng noh na lu bơngai jơ̆ng 'bang Yêsu đơ̆ng kông Ôliwơ brŏk tơ Pơlei Jêrusalem dang minh kơsô̆."
"And when they had entered, they went up into the upper room where they were staying: Peter, James, John, and Andrew; Philip and Thomas; Bartholomew and Matthew; James the son of Alphaeus and Simon the Zealot; and Judas the son of James.","Lăp lu sư truh tơ Pơlei Jêrusalem boih na lu sư tŏk tơ hnam anih gah kơpal. Na anăn lu sư oei tơ ei: Pêtrôs, Yôhan, Yakơ, Andrê, Philip, Thôm, 'Barthôlêmi, Mathiơ, Yakơ kon Alphê, Simôn mă kiơ̆ khŭl đe Sêlôt sơ̆, Juđa kon Yakơ bơngai nai."
"These all continued with one accord in prayer and supplication, with the women and Mary the mother of Jesus, and with His brothers.","Lu đe âu krao khan ling-lang kơ Kră Yang 'Bok Kei-Dei. Kư̆m đei Mari mĕ Yêsu păng lu oh Yêsu drŏ-nglo păng lu drŏ-kăn nai dơ̆ng akŭm pôm đon krao khan păng lu sư mơ̆n."
"And in those days Peter stood up in the midst of the disciples (altogether the number of names was about a hundred and twenty), and said","Kơplah noh sơ̆, minh năr ei đei dang lăp minh-hrĕng 'bar-jĭt 'nu bơngai akŭm dih băl, Pêtrôs iung 'bơ̆t tŏk-bŏk bôl sư khan hloi"
"“Men and brethren, this Scripture had to be fulfilled, which the Holy Spirit spoke before by the mouth of David concerning Judas, who became a guide to those who arrested Jesus","“Ơ lu 'nhŏng oh, Yang Bơhngol 'Lơ̆ng ăn kơ Đawit chih pơkă lê̆ hơdrol roi gah Juđa sơ̆ lăm sơ̆p hla bơar 'Bok Kei-Dei. Yua kơ thoi noh na trŏ dang ei tơpă. Juđa tơ'bôh trong kơ đe năm rôp Yêsu."
"for he was numbered with us and obtained a part in this ministry.”","Juđa sơ̆ oei păng bơ̆n, jang hơdai păng bơ̆n."
"(Now this man purchased a field with the wages of iniquity; and falling headlong, he burst open in the middle and all his entrails gushed out.","“Juđa iŏk jên đơ̆ng bơngai wă rôp Yêsu na đơ̆ng jên ei sư blơ̆ răt mir đe. Đơ̆ng noh na Juđa sư pơrăm kơdih akâu, sư huŏng hơtat pơchah klak lôch hloi."
"And it became known to all those dwelling in Jerusalem; so that field is called in their own language, Akel Dama, that is, Field of Blood.)","Đĭ-đăng bơngai lăm Pơlei Jêrusalem kơtơ̆ng tơdrong noh na lu sư anăn mir ei Akelđama, wă khan mir pơda."
"“For it is written in the Book of Psalms: ‘Let his dwelling place be desolate, And let no one live in it’; and, ‘Let another take his office.’","Đawit chih lăm sơ̆p hla bơar tơdrong hơriso hơdrol kơ đe tam mă tơpŭ kơ Juđa thoi âu: ‘Hnam sư gô adro ưh kơ đei bu oei. Tơdrong jang sư bơ̆n ăn kơ bơngai nai iŏk.’"
"“Therefore, of these men who have accompanied us all the time that the Lord Jesus went in and out among us","“Na dang ei bơ̆n athei rơih minh 'nu dơ̆ng wă mơ̆t bơ̆jang hơdai lu jơ̆ng 'bang Yêsu bơ̆n, na sư hơdai păng bơ̆n gô roi tơbăt kơ đe Yêsu iung arih boih. Bơ̆n athei rơih chă minh 'nu bơngai đêl oei hơdai păng bơ̆n, đơ̆ng Yêsu 'nao oei păng bơ̆n na Yôhan pơm 'batem sơ̆ truh tơ 'Bok Kei-Dei atŏk Yêsu tơ plĕnh.”"
"beginning from the baptism of John to that day when He was taken up from us, one of these must become a witness with us of His resurrection.”","“Na dang ei bơ̆n athei rơih minh 'nu dơ̆ng wă mơ̆t bơ̆jang hơdai lu jơ̆ng 'bang Yêsu bơ̆n, na sư hơdai păng bơ̆n gô roi tơbăt kơ đe Yêsu iung arih boih. Bơ̆n athei rơih chă minh 'nu bơngai đêl oei hơdai păng bơ̆n, đơ̆ng Yêsu 'nao oei păng bơ̆n na Yôhan pơm 'batem sơ̆ truh tơ 'Bok Kei-Dei atŏk Yêsu tơ plĕnh.”"
"And they proposed two: Joseph called Barsabas, who was surnamed Justus, and Matthias.","Pêtrôs pơma đang boih na lu sư rơih iŏk 'bar 'nu bơngai, minh 'nu đei pêng tŏ anăn: Yôsep 'Barsa'ba Jutu; păng minh 'nu dơ̆ng anăn sư Mathias."
