English, Bahnar
"The words of Amos, who was among the sheepbreeders of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash, king of Israel, two years before the earthquake.","Nơ̆r Amôs bơngai wei triu oei tơ pơlei Thekoa; noh nơ̆r mă Kră Yang đei tơ'bôh tơblang ăn kơ sư gah lu bơngai Isơrael 'bar sơnăm adrol kơ teh tơdrŏ. Noh lăm chăl Usia pơm pơtao đe Juđa păng lăm chăl Jêrôbôam, kon drŏ-nglo Jêhôas, pơm pơtao đe Isơrael."
"And he said: “The LORD roars from Zion, And utters His voice from Jerusalem; The pastures of the shepherds mourn, And the top of Carmel withers.”","Amôs khan: Kră Yang gô krao ôr đơ̆ng Siôn. Sư gô ôr pơret nơ̆r sư đơ̆ng Jêrusalem. Dôm lu 'nhĕt 'nhot bơngai wei triu kro jô păng tơ kơ̆l Kông Karmel 'long pơgê kư̆m jô kro mơ̆n."
"Thus says the LORD: “For three transgressions of Damascus, and for four, I will not turn away its punishment, Because they have threshed Gilead with implements of iron.","Kră Yang khan: Yua kơ đơ̆ng kon pơlei Đamas rai pơm yoch pơm yoch hloh kơ adrol, thoi ei na Inh ưh kơ lê̆ ôh wă phak lu sư. Yua kơ lu sư pơjuă dêh char Gileat thoi đe preh 'ba păng kơmăi mam"
"But I will send a fire into the house of Hazael, Which shall devour the palaces of Ben-Hadad.","Inh gô ăn ŭnh truh tơ lăm hnam Hasael, wă soh pơrăm kơđông kơjăp Ben Hadat."
"I will also break the gate bar of Damascus, And cut off the inhabitant from the Valley of Aven, And the one who holds the scepter from Beth Eden. The people of Syria shall go captive to Kir,” Says the LORD.","Inh gô gơ̆ lê̆ 'long chơkăl 'măng jang pơlei Đamas, Inh gô pơrăm lu kon pơlei oei lăm thŭng Awen păng bơngai mă chĕp 'long jra pơtao sư tơ dêh Bet Eđen; gah kon pơlei Siri gô năm pơm bơnă tơ tơring Kir, Kră Yang khan thoi noh."
"Thus says the LORD: “For three transgressions of Gaza, and for four, I will not turn away its punishment, Because they took captive the whole captivity To deliver them up to Edom.","Kră Yang khan: Yua kơ đơ̆ng kon pơlei Gasa rai pơm yoch pơm yoch kơnê̆ hloh kơ adrol, na Inh ưh kơ lê̆ ôh wă phak lu sư; yua kơ lu sư rôp ba đĭ-đăng kon pơlei năm pơm bơnă păng jao lu sư kơ bơngai Eđôm"
"But I will send a fire upon the wall of Gaza, Which shall devour its palaces.","Inh gô ăn ŭnh truh tơ kơpal dur pơlei Gasa, ŭnh gô sa pơrăm lu kơđông sư kơjăp."
"I will cut off the inhabitant from Ashdod, And the one who holds the scepter from Ashkelon; I will turn My hand against Ekron, And the remnant of the Philistines shall perish,” Says the Lord GOD.","Inh gô pơrăm kon pơlei oei lăm pơlei Asdôt păng bơngai chĕp 'long jra pơtao sư tơ pơlei Askalon. Inh gô yơ̆r ti Inh blah pơlei Ekrôn; păng lu bơngai Philistin mă oei klaih gô lôch, Kră Yang khan thoi noh."
"Thus says the LORD: “For three transgressions of Tyre, and for four, I will not turn away its punishment, Because they delivered up the whole captivity to Edom, And did not remember the covenant of brotherhood.","Kră Yang khan: Yua kơ đơ̆ng kon pơlei Tirơ pơm yoch rai kơnê̆ hloh kơ adrol, thoi ei na Inh ưh kơ lê̆ ôh wă phak lu sư; yua kơ lu sư jao boih đĭ-đăng kon pơlei kơ kon pơlei Eđôm, ưh pă 'blŏk kơ tơdrong pơgơ̆p băl tơduă 'nhŏng oh."
"But I will send a fire upon the wall of Tyre, Which shall devour its palaces.”","Inh gô ăn ŭnh truh tơ kơpal dur pơlei Tirơ, sư gô sa pơrăm dôm kơđông kơjăp sư."
