English, Bahnar
"Paul, an apostle of Jesus Christ by the will of God, and Timothy our brother","Inh âu Pôl bơngai mă 'Bok Kei-Dei rơih pơm jơ̆ng 'bang Yêsu Krist; na âu nhi oh bơ̆n Timôthê"
"To the saints and faithful brethren in Christ who are in Colosse: Grace to you and peace from God our Father and the Lord Jesus Christ.","chih hơpong kơ iĕm lu kon 'Bok Kei-Dei tơ Pơlei Kôlôssê, lu iĕm bơngai lui kơjăp minh jơhngơ̆m minh đon hăm Yêsu Krist. Inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei wei-lăng iĕm tôm tơdrong wă kơ Sư ăn kơ iĕm hiôk-hian ling-lang."
"We give thanks to the God and Father of our Lord Jesus Christ, praying always for you","Rim kơ nhôn krao khan kơ 'Bok Kei-Dei 'Bă Yêsu Krist Yŏng bơ̆n, nhôn bơnê kơ Sư ling-lang"
"since we heard of your faith in Christ Jesus and of your love for all the saints","yua kơ nhôn kơtơ̆ng tơdrong iĕm lui kơ Yêsu Krist kơjăp, hăm băt 'mêm mơnat kơ đĭ-đăng lu kon 'Bok Kei-Dei."
"because of the hope which is laid up for you in heaven, of which you heard before in the word of the truth of the gospel","Tơdrong lui iĕm rai wơ̆ băt 'mêm mơnat kơ đe thoi noh, yua kơ iĕm băt nhên tơpă bơ̆n gô đei tơdrong hiôk tơ kơpal plĕnh thoi Sư khan kơ bơ̆n boih, kơplah mă đe bơtho kơ bơ̆n tơdrong 'nao 'lơ̆ng sơ̆; tơdrong noh tơdrong tơpă, ưh kơ tơdrong kư̆ kă ôh."
"which has come to you, as it has also in all the world, and is bringing forth fruit, as it is also among you since the day you heard and knew the grace of God in truth","Lăp iĕm kơtơ̆ng đe bơtho tơdrong 'Bok Kei-Dei 'mêm mơnat kơ bơ̆n sơ̆ na iĕm hlôh hloi; đơ̆ng năr noh boih iĕm jing bơngai 'nao, na bơngai lui iĕm rai đunh rai lơ, kư̆m thoi đe bơtho jing kơtơ̆ng jơ̆p-jang kơ teh đak đei lơ bơngai lui."
"as you also learned from Epaphras, our dear fellow servant, who is a faithful minister of Christ on your behalf","Iĕm kơtơ̆ng tơdrong noh đơ̆ng Êpapra bơtho iĕm sơ̆, tơdrong sư bơtho trŏ tơpă. Sư bơngai jang tơdrong Yêsu Krist hăm nhôn, nhôn 'mêm kơ sư tơpă; sư jang tang inh oei hơdai hăm iĕm tơ noh."
"who also declared to us your love in the Spirit.","Sư roi kơ nhôn tơdrong Yang Bơhngol 'Lơ̆ng oei hăm iĕm, pơm kơ iĕm băt 'mêm băl tơduă bơngai lui."
"For this reason we also, since the day we heard it, do not cease to pray for you, and to ask that you may be filled with the knowledge of His will in all wisdom and spiritual understanding","Thoi noh boih na đơ̆ng năr nhôn kơtơ̆ng tơdrong iĕm lui kơjăp, na nhôn krao khan kơ 'Bok Kei-Dei ăn kơ iĕm gơnang kơ Yang Bơhngol 'Lơ̆ng wă kơ iĕm hlôh băt tôm tơdrong 'Bok Kei-Dei, kiơ̆ thoi Sư lăp đon."
"that you may walk worthy of the Lord, fully pleasing Him, being fruitful in every good work and increasing in the knowledge of God","Thoi noh na iĕm gơh pơm trŏ thoi Sư wă, trŏ thoi Sư lăp đon. Iĕm gô pơm dôm tơdrong 'lơ̆ng dôm tơdrong tơpăt, rai đunh rai hlôh băt tơdrong 'Bok Kei-Dei."
