English, Bahnar
"In the third year of the reign of Jehoiakim king of Judah, Nebuchadnezzar king of Babylon came to Jerusalem and besieged it.","Sơnăm mă pêng lăm chăl Jêhôiakim, pơtao đe Juđa, na Nebukatnessar, pơtao Babilôn, năm truh tơ pơlei tih Jêrusalem wang wă blah iŏk."
"And the Lord gave Jehoiakim king of Judah into his hand, with some of the articles of the house of God, which he carried into the land of Shinar to the house of his god; and he brought the articles into the treasure house of his god.","Kră Yang 'Bok Kei-Dei jao Jêhôiakim, pơtao đe Juđa păng đei tơmam đơ̆ng hnam Kră Yang 'Bok Kei-Dei lăm ti Nebukatnessar. Sư anhăk ba tơmam noh brŏk tơ dêh Babilôn, tơmơ̆t lăm rông yang sư păng 'măn lê̆ tơ lăm hnam mong tơmam ăn kơ yang sư kơdih."
"Then the king instructed Ashpenaz, the master of his eunuchs, to bring some of the children of Israel and some of the king’s descendants and some of the nobles","Pơtao pơkă kơ Aspenas, bơngai mă pơgơ̆r tơm lu linh krĕo, chă rơih iŏk lăm lu kon sâu Isơrael, lăm adrĕch pơtao păng lăm lu jang tih."
"young men in whom there was no blemish, but good-looking, gifted in all wisdom, possessing knowledge and quick to understand, who had ability to serve in the king’s palace, and whom they might teach the language and literature of the Chaldeans.","Năm ba lu hơ'lơ̆p drŏ-nglo 'lơ̆ng huay kơ đei jĭ jăn, muh măt 'lơ̆ng hơbŏ, đei dôm tơdrong gơh hơgei, gơh tơchĕng hlôh wao, gơh băt dôm tơdrong, gơh jang tơ lăm anih hnam pơtao, bơtho kơ lu sư tơdrong gơh hơgei păng nơ̆r pơma bơngai Kalđê."
"And the king appointed for them a daily provision of the king’s delicacies and of the wine which he drank, and three years of training for them, so that at the end of that time they might serve before the king.","Pơtao khan wă ăn kơ lu bơngai noh sŏng sa rim năr tơmam sŏng sa 'băt 'lơ̆ng mă pơtao sa păng tơdrô mă đơ̆ng pơtao huch, wă rong păng bơtho lu sư thoi noh lăm pêng sơnăm, na lu sư gô awih awăn 'bơ̆t anăp pơtao."
"Now from among those of the sons of Judah were Daniel, Hananiah, Mishael, and Azariah.","Lăm lu buăl noh đei Đaniel, Hanania, Mêsael păng Asaria adrĕch adrung bơngai Juđa."
"To them the chief of the eunuchs gave names: he gave Daniel the name Belteshazzar; to Hananiah, Shadrach; to Mishael, Meshach; and to Azariah, Abed-Nego.","Bơngai yŏng pơgơ̆r linh krĕo krao ming anăn lu sư; Đaniel sư krao Beltơsatsar, Hanania sư krao Sadrak; Mêsael sư krao Mêsak; păng Asaria krao sư Abetnigo."
"But Daniel purposed in his heart that he would not defile himself with the portion of the king’s delicacies, nor with the wine which he drank; therefore he requested of the chief of the eunuchs that he might not defile himself.","'Nâu, Đaniel pơkă lăm jơhngơ̆m sư khan, ưh kơ wă sŏng sa tơmam 'lơ̆ng păng tơdrô pơtao soi kơ yang jing pơm kơ inh kơnê̆, na apinh bơngai wei-lăng 'nĕ pơgŏ sư pơm yoch kơnê̆ noh."
"Now God had brought Daniel into the favor and goodwill of the chief of the eunuchs.","Kră Yang 'Bok Kei-Dei pơm ăn bơngai wei-lăng linh krĕo gơh mơnat ăn kơ Đaniel."
"And the chief of the eunuchs said to Daniel, “I fear my lord the king, who has appointed your food and drink. For why should he see your faces looking worse than the young men who are your age? Then you would endanger my head before the king.”","Bơngai yŏng linh krĕo âu khan kơ Đaniel thoi âu: Inh hli kơ pơtao yŏng tơ'ngla inh, đei pơkă athei ăn kơ lu iĕm tơmam sa păng tơdrô huch, na kơnh pơtao 'bôh muh măt iĕm hơkĕ hloh kơ buăl 'lơ̆p nai, mă sơnăm 'lơ̆p 'lŏ iĕm hơdai, na lu iĕm gô năm ba kơ pơtao kăt hơko inh hă?"
"So Daniel said to the steward whom the chief of the eunuchs had set over Daniel, Hananiah, Mishael, and Azariah","Đaniel khan kơ Hamensa bơngai wei-lăng linh krĕo mă kư̆m wei rong lu đe Đaniel, Hanania, Mêsael, Asaria thoi âu"
