English, Bahnar
"These are the words which Moses spoke to all Israel on this side of the Jordan in the wilderness, in the plain opposite Suph, between Paran, Tophel, Laban, Hazeroth, and Dizahab.","Nâu nơ̆r Môis pơma khan kơ đĭ-đăng bơngai Isơrael, gah hơlĕch kơ đak Krong Jôrđăn, tơ lăm thŭng Araba jê̆ pơlei Supha sơlam pơlei Paran păng Tôphêl, La'ban. Haserôt păng Đisahap."
"It is eleven days’ journey from Horeb by way of Mount Seir to Kadesh Barnea.","Yak năm mơjĭt-mônh năr kơ trong đơ̆ng Hôrêp truh tơ Kades Barnêa, rok trong kông Seir."
"Now it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spoke to the children of Israel according to all that the LORD had given him as commandments to them","Lăm sơnăm mă puăn-jĭt năr mă mônh khei mơjĭt-mônh, Môis pơma khan kơ kon pơlei Isơrael dôm tơdrong mă đơ̆ng Kră Yang. Kră Yang tơtă kơ sư athei pơma khan kơ lu đe noh."
"after he had killed Sihon king of the Amorites, who dwelt in Heshbon, and Og king of Bashan, who dwelt at Ashtaroth in Edrei.","Đơ̆ng rŏng kơ sư blah pơlôch Sihôn pơtao Amôrit oei tơ pơlei Hesbôn păng Ôk pơtao Basan oei tơ pơlei Astarôt păng pơlei Êdrei."
"On this side of the Jordan in the land of Moab, Moses began to explain this law, saying","Tơ gah hơlĕch kơ đak Krong Jôrđăn, lăm dêh Môap, Môis pơtơm bơtho tơblang khôi juăt noh khan"
"“The LORD our God spoke to us in Horeb, saying: ‘You have dwelt long enough at this mountain.","Kră Yang 'Bok Kei-Dei lu bơ̆n đei khan boih hăm lu bơ̆n tơ Hôrêp thoi âu: Lu iĕm oei tơ kông đunh dêh bơih."
"Turn and take your journey, and go to the mountains of the Amorites, to all the neighboring places in the plain, in the mountains and in the lowland, in the South and on the seacoast, to the land of the Canaanites and to Lebanon, as far as the great river, the River Euphrates.","Năm bĕ yak dăr dơ̆ng năm tơklă tơ kông groi kon pơlei Amôrit kư̆m năm truh tơ lu tơring jê̆ lu sư lăm thŭng glă Araba păng tơ kông groi bơmơ̆t teh dơnă tơ tơring gah gơal rok cheng đak dơsĭ, mơ̆t tơ dêh kon pơlei Kanaan păng char Liban, truh tơ đak krong tih noh krong Ơphrat."
"See, I have set the land before you; go in and possess the land which the LORD swore to your fathers—to Abraham, Isaac, and Jacob—to give to them and their descendants after them.’","Inh jao ăn kơ iĕm dêh âu; mơ̆t păng iŏk oei bĕ, dêh mă Kră Yang đei pơkă ăn kơ lu 'bok lu iĕm Abraham, Isăk, Jakôp, hăm lu kon sâu sư."
"“And I spoke to you at that time, saying: ‘I alone am not able to bear you.","Kơplah noh inh đei pơma hăm lu iĕm; minh 'nu inh ưh kơ kĕ wă pŭ pơđĭ lu iĕm."
"The LORD your God has multiplied you, and here you are today, as the stars of heaven in multitude.","Kră Yang 'Bok Kei-Dei lu iĕm ăn kơ iĕm bơngai rai lơ, năr 'nâu lu iĕm lơ thoi sơnglŏng kơpal plĕnh."
