English, Bahnar
"The words of the Preacher, the son of David, king in Jerusalem.","Nơ̆r 'bok bơtho, sư kon drŏ-nglo Đawit, pơtao oei lăm pơlei Jêrusalem."
"“Vanity of vanities,” says the Preacher; “Vanity of vanities, all is vanity.”","'Bok mă bơtho noh khan: “Đĭ-đăng dôm tơdrong ưh kơ yua kiơ̆ hloi, tơdrong kơđei ngăl. Ưh kơ đei bu kĕ hlôh tôm tơdrong lăm chăl arih bơ̆n.”"
"What profit has a man from all his labor In which he toils under the sun?","Dôm tơdrong kon bơngai jang gleh hrat lăm ala teh 'nâu, hăm đei yua kiơ̆ ưh!"
"One generation passes away, and another generation comes; But the earth abides forever.","Đơ̆ng chăl 'nâu, truh tơ chăl nai, mă-lei teh 'nâu oei oei khŏm khŏm đĕch."
"The sun also rises, and the sun goes down, And hastens to the place where it arose.","'Năr lĕch, đơ̆ng noh 'năr mơ̆t, sư wơ̆t hơlơ̆k tơ anih đêl sư lĕch noh dơ̆ng."
"The wind goes toward the south, And turns around to the north; The wind whirls about continually, And comes again on its circuit.","Kial tơthu tơ gah gơal, wơ̆t tơ gah yă-nơ̆m, sư wơ̆t wih ưh kơ pơdơh, đơ̆ng noh wơ̆t tơ đêl trong sư blŭng-a dơ̆ng."
"All the rivers run into the sea, Yet the sea is not full; To the place from which the rivers come, There they return again.","Đĭ-đăng đak krong ro truh tơ đak dơsĭ ngăl, mă-lei ưh kơ kĕ kơ 'bĕnh; sư wơ̆t hơlơ̆k dơ̆ng tơ đêl anih sư lĕch blŭng-a noh."
"All things are full of labor; Man cannot express it. The eye is not satisfied with seeing, Nor the ear filled with hearing.","Đĭ-đăng tôm tơmam oei oei hơnơ̆ng, 'bơ̆r kon bơngai ưh kơ gơh roi ôh; măt lăng ưh kơ bơ̆l, đon mơ̆ng ưh kơ hăl."
"That which has been is what will be, That which is done is what will be done, And there is nothing new under the sun.","Tơdrong kiơ hlôi đei boih, tơdrong noh tơ anăp oei đei; tơdrong kiơ mă hlôi pơm boih, tơdrong noh oei pơm dơ̆ng; ưh kơ đei kiơ̆ 'nao lăm ala teh 'nâu."
"Is there anything of which it may be said, “See, this is new”? It has already been in ancient times before us.","Dah đei minh pôm tơmam kiơ mă đe khan: “Lăng bĕ, tơmam 'nâu 'nao,” mă tơpă tơmam noh sư hlôi đei đơ̆ng lu chăl adrol kơ lu bơ̆n sơ̆ boih."
"There is no remembrance of former things, Nor will there be any remembrance of things that are to come By those who will come after.","Đe ưh pă 'blŏk boih lu chăl adrol sơ̆, lu bơngai truh đơ̆ng rŏng kư̆m ưh kơ 'blŏk lu chăl adrol noh mơ̆n."
"I, the Preacher, was king over Israel in Jerusalem.","Inh boih 'bok bơtho, hlôi pơm pơtao lu bơngai Isơrael lăm pơlei Jêrusalem."
"And I set my heart to seek and search out by wisdom concerning all that is done under heaven; this burdensome task God has given to the sons of man, by which they may be exercised.","Inh nŏng kơ yua tơdrong gơh hơgei wă tơchĕng pơwao dôm tơdrong jang tơ ala teh âu; noh jơ̆ minh tơdrong gleh hrat mă 'Bok Kei-Dei pơjao boih kơ kon bơngai wă kơ jang."
"I have seen all the works that are done under the sun; and indeed, all is vanity and grasping for the wind.","Inh 'bôh boih dôm tơdrong đei jang tơ ala teh âu; đĭ-đăng tơdrong kơ đei ngăl, mơ̆ng kơ kial bơbơ̆t tơ yơ kiơ̆ tơ noh."
"What is crooked cannot be made straight, And what is lacking cannot be numbered.","Tơdrong kiơ hlôi đŏng boih, ưh kơ gơh 'bơ̆ jing tơpăt dơ̆ng păng tơmam kiơ ưh kơ đei kư̆m ưh kơ đei."
"I communed with my heart, saying, “Look, I have attained greatness, and have gained more wisdom than all who were before me in Jerusalem. My heart has understood great wisdom and knowledge.”","Inh pơma lăm to khan: “Âu inh đei boih tơdrong hơgei tih hloh kơ đĭ-đăng lu bơngai mă oei adrol kơ inh tơ pơlei Jêrusalem. Jơhngơ̆m inh 'bôh tơpă boih lơ tơdrong hlôh băt, gơh hơgei.”"
"And I set my heart to know wisdom and to know madness and folly. I perceived that this also is grasping for the wind.","Inh kư̆m nŏng kơ hŏk wă kơ băt tơdrong hơgei păng wă kơ băt tơdrong kơtul bơlŭk; inh băt kơnăl tơdrong noh kư̆m mơ̆ng kơ kial bơbơ̆t tơ yơ, sư kiơ̆ tơ noh."
"For in much wisdom is much grief, And he who increases knowledge increases sorrow.","Yua kơ tơdah đei tơdrong gơh hơgei lơ, tơdrong ơh sơ'ngon kư̆m lơ, bu hlôh băt roi lơ, bơngai noh gô chhŭr nuih rai lơ."
"I said in my heart, “Come now, I will test you with mirth; therefore enjoy pleasure”; but surely, this also was vanity.","Inh pơma lăm to: “Inh pơlong hiôk chơt 'nă hal lăng 'mơ̆i, lăng lăng hăm đei kiơ hiôk. “Mă-lei inh 'bôh tơdrong noh kư̆m jơ̆ tơdrong kơ đei mơ̆n."
