English, Bahnar
"Paul, an apostle of Jesus Christ by the will of God, To the saints who are in Ephesus, and faithful in Christ Jesus","Inh Pôl bơngai 'Bok Kei-Dei rơih pơm jơ̆ng 'bang Yêsu Krist. Inh chih hơpong kơ lu kon 'Bok Kei-Dei tơ Pơlei Êphêsô, lu iĕm bơngai lui kơjăp minh jơhngơ̆m minh đon hăm Yêsu Krist."
"Grace to you and peace from God our Father and the Lord Jesus Christ.","Inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm Kră Yang bơ̆n Yêsu Krist wei-lăng iĕm tôm tơdrong wă kơ Sư ăn kơ iĕm hiôk-hian ling-lang."
"Blessed be the God and Father of our Lord Jesus Christ, who has blessed us with every spiritual blessing in the heavenly places in Christ","Bơnê kơ Kră Yang 'Bok Kei-Dei 'Bă Yêsu Krist Yŏng bơ̆n, yua kơ Sư ăn kơ bơ̆n tôm tơdrong hiôk 'lơ̆ng tơ plĕnh ti. Bơ̆n đei tôm tơdrong noh yua kơ bơ̆n lui kơ Yêsu Krist."
"just as He chose us in Him before the foundation of the world, that we should be holy and without blame before Him in love","Adrol kơ 'Bok Kei-Dei tam mă pơjing plĕnh teh sơ̆, Sư rơih iŏk bơ̆n boih, yua kơ Yêsu Krist wă lôch tang bơ̆n. Sư rơih iŏk bơ̆n wă kơ bơ̆n jing 'lơ̆ng tơpăt huay kơ đei tơdrong yoch 'bơ̆t anăp Sư."
"having predestined us to adoption as sons by Jesus Christ to Himself, according to the good pleasure of His will","Sư 'mêm kơ bơ̆n đơ̆ng blŭng-a sơ̆ boih, Sư khan lu bơ̆n gô jing kon Sư yua kơ Sư ăn Yêsu lôch tang bơ̆n tơ 'long pơglang."
"to the praise of the glory of His grace, by which He made us accepted in the Beloved.","Sư wă kơ bơ̆n bơnê kơ Sư 'mêm kơ bơ̆n tơpă, Kon pôm kơdih mă ăn lôch thoi noh."
"In Him we have redemption through His blood, the forgiveness of sins, according to the riches of His grace","Kon pôm Sư lôch tuh pham wă huai iŏk bơ̆n, wă kơ bơ̆n klaih đơ̆ng tơdrong 'Bok Kei-Dei jô̆ yo. Tơdrong noh yua kơ Sư 'mêm na Sư ăn đĕch thoi noh."
"which He made to abound toward us in all wisdom and prudence","Sư kư̆m ăn kơ bơ̆n hơgei gơh hlôh wao nhên"
"having made known to us the mystery of His will, according to His good pleasure which He purposed in Himself","tôm tơdrong Sư tam mă tơbăt ăn kơ đe đơ̆ng sơ̆. Tơdrong noh Sư wă ăn Yêsu Krist pơgơ̆r tôm tơdrong tơ plĕnh hăm tơ ala teh âu mă gô trŏ kơ năr Sư pơkă ei sơ̆."
"that in the dispensation of the fullness of the times He might gather together in one all things in Christ, both which are in heaven and which are on earth—in Him.","tôm tơdrong Sư tam mă tơbăt ăn kơ đe đơ̆ng sơ̆. Tơdrong noh Sư wă ăn Yêsu Krist pơgơ̆r tôm tơdrong tơ plĕnh hăm tơ ala teh âu mă gô trŏ kơ năr Sư pơkă ei sơ̆."
