English, Bahnar
"Now it came to pass in the days of Ahasuerus (this was the Ahasuerus who reigned over one hundred and twenty-seven provinces, from India to Ethiopia)","chăl pơtao Asêrus, sư pơgơ̆r lăm minh-hrĕng 'bar-jĭt tơpơh tŏ char iŏk đơ̆ng char Ânđô̆ truh tơ Êthiôpi."
"in those days when King Ahasuerus sat on the throne of his kingdom, which was in Shushan the citadel","Kơplah pơtao Asêrus pơgơ̆r sư oei lăm pơlei tih Susa."
"that in the third year of his reign he made a feast for all his officials and servants—the powers of Persia and Media, the nobles, and the princes of the provinces being before him","Lăm sơnăm mă pêng chăl sư pơgơ̆r, sư pơih sŏng sa tih, sư krao wơ̆n lu kră pơgơ̆r wei-lăng tơring păng lu yŏng linh char Phersia hăm Mêdi năm 'bơ̆t anăp sư."
"when he showed the riches of his glorious kingdom and the splendor of his excellent majesty for many days, one hundred and eighty days in all.","Lăm đunh năr wă khan minh-hrĕng tơhngam-jĭt năr, sư pơdah tơdrong 'lơ̆ng rŏ hơbŏ sor sư."
"And when these days were completed, the king made a feast lasting seven days for all the people who were present in Shushan the citadel, from great to small, in the court of the garden of the king’s palace.","Đơ̆ng rŏng kơ lu năr noh hlôi boih, pơtao krao đĭ-đăng lu kon pơlei mă oei lăm pơlei tih Susa, mă pơm tih, pơm iĕ sŏng sa lăm tơpơh năr tơ anih lăm pơgar pơkao sư."
"There were white and blue linen curtains fastened with cords of fine linen and purple on silver rods and marble pillars; and the couches were of gold and silver on a mosaic pavement of alabaster, turquoise, and white and black marble.","Tăp dăr kơ pơgar đei dăng che kok, che dreng hla 'long, dreng jơk plĕnh, iŏk tơlei kok păng 'brê hơhĭm chô̆ tơ kong hu păng jrăng tơmo brông, lu giơng pơm păng hu maih, dan kơpal hơnă lơ̆k tơmo gôh kok păng tơmo rang gĭt găm."
"And they served drinks in golden vessels, each vessel being different from the other, with royal wine in abundance, according to the generosity of the king.","Lu sư huch sa păng kơchŏk maih, đei lơ kơchŏk phara pha, đei tơdrô lơ trŏ kơ tơdrong mơdrŏng pơtao."
"In accordance with the law, the drinking was not compulsory; for so the king had ordered all the officers of his household, that they should do according to each man’s pleasure.","Tơdrong huch sa kiơ̆ thoi ưh kơ đei bu pơgŏ ôh, yua kơ pơtao pơkă boih kơ lu bơngai mă bơ̆jang lăm hnam pơtao ăn kon pơlei huch sa mơ̆ng kiơ̆ kơ akâu kơdih wă."
"Queen Vashti also made a feast for the women in the royal palace which belonged to King Ahasuerus.","Yă pơtao Wathi kư̆m hơmet sŏng sa tih ăn kơ lu bơngai drŏ-kăn tơ lăm hnam pơtao Asêrus."
"On the seventh day, when the heart of the king was merry with wine, he commanded Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, and Carcas, seven eunuchs who served in the presence of King Ahasuerus","Truh lăm năr mă tơpơh jơhngơ̆m pơtao hiôk dêh đơ̆ng huch tơdrô na sư pơkă kơ Mêhuman, Bistha, Harbôna, Biktha, Abaktha, Sethar păng Karkas. Tơpơh 'nu linh krĕo bơ̆jang lăm hnam pơtao Asêrus"
