English, Bahnar
"Now these are the names of the children of Israel who came to Egypt; each man and his household came with Jacob","'Nâu anăn lu kon drŏ-nglo Isơrael rim 'nu kơ lu sư đei chông ba hnam dơnŏ kơdih kiơ̆ Jakôp tơ dêh Êyiptơ"
"Reuben, Simeon, Levi, and Judah","Rubên, Simêôn, Lêwi păng Juđa"
"Issachar, Zebulun, and Benjamin","Isakar, Sabulôn păng Bênjamin"
"Dan, Naphtali, Gad, and Asher.","Đan, Neptali, Gat păng Aser."
"All those who were descendants of Jacob were seventy persons (for Joseph was in Egypt already).","Đĭ-đăng adrĕch Jakôp, đei tơpơh-jĭt 'nu; Jôsep sư đei oei tơ dêh Êyiptơ."
"And Joseph died, all his brothers, and all that generation.","Jôsep lôch păng 'nhŏng oh sư hăm lu bơngai arih lăm jơhnơr 'noh lu sư kư̆m lôch đĭ-đăng."
"But the children of Israel were fruitful and increased abundantly, multiplied and grew exceedingly mighty; and the land was filled with them.","Mă-lei kon sâu Isơrael pơjing rai lơ, rai kơdrâ̆m hlĭch chrơp tơpă, rai đunh jing mơdrŏng pran kơtang, oei 'bĕnh-'bang jơ̆p-jang kơ dêh 'noh."
"Now there arose a new king over Egypt, who did not know Joseph.","Tơ char Êyiptơ, đei minh 'nu pơtao 'nao pơgơ̆r, sư ưh kơ băt kơ Jôsep."
"And he said to his people, “Look, the people of the children of Israel are more and mightier than we","Pơtao khan kơ kon pơlei sư: Kon pơlei adrĕch Isơrael rai lơ kơdrâ̆m păng pran hloh kơ lu bơ̆n."
"come, let us deal shrewdly with them, lest they multiply, and it happen, in the event of war, that they also join our enemies and fight against us, and so go up out of the land.”","Na bơ̆n athei iŏk đon hlôh wao gơh hơgei wă pơm kơ lu sư, hli kơ lu sư rai lơ, tơ anăp kơnh tơdah đei tơdrong tơblah lu sư pơgơ̆p hăm lu ayăt kơ bơ̆n blah bơ̆n păng kơdâu jăk hloi đơ̆ng dêh 'nâu."
"Therefore they set taskmasters over them to afflict them with their burdens. And they built for Pharaoh supply cities, Pithom and Raamses.","Lei na pơtao ăn bơngai Êyiptơ wei-lăng tơdrong jang chă athei lu sư, wă rôp pơgŏ ăn tơdrong jang gleh trăp kơ kon pơlei Isơrael; lu sư man pơm pơlei Phithom păng Ramse wă pơm hnam tah mong tơmam kơ Pharaôn."
"But the more they afflicted them, the more they multiplied and grew. And they were in dread of the children of Israel.","Mă tơpă lu bơngai Êyiptơ rai wă rôp pơgŏ pơmat lu sư, kon pơlei Isơrael rai lơ rai jơ̆p-jang kơ dêh char, lăm jơhngơ̆m lu bơngai Êyiptơ hli kơ kon pơlei Isơrael."
"So the Egyptians made the children of Israel serve with rigor.","Lei na bơngai Êyiptơ rôp pơgŏ bơngai Isơrael jang gleh hrat pơmat-tat tơpă."
"And they made their lives bitter with hard bondage—in mortar, in brick, and in all manner of service in the field. All their service in which they made them serve was with rigor.","Lu sư pơmat kon pơlei Isơrael hăm tơdrong jang hrat pơjuă teh pơm găch păng lơ tơdrong jang nai lăm mir chŭn. Dôm tơdrong jang lu bơngai Êyiptơ rôp pơgŏ kon pơlei Isơrael jang gleh pơmat-tat dêh."
"Then the king of Egypt spoke to the Hebrew midwives, of whom the name of one was Shiphrah and the name of the other Puah","Pơtao dêh Êyiptơ khan kơ lu yă kơ'mĭn bơngai Hêbrơ tơpŭ, minh 'nu anăn Sipra păng minh 'nu anăn Phuah."
"and he said, “When you do the duties of a midwife for the Hebrew women, and see them on the birthstools, if it is a son, then you shall kill him; but if it is a daughter, then she shall live.”","Sư khan: Tơdah lu iĕm kơ'mĭna lu bơngai drŏ-kăn Hêbrơ tơpŭ, mưh tơpŭ kon drŏ-nglo, iĕm ket pơlôch lê̆ hŏ, mưh bơngai drŏ-kăn iĕm rong arih."
"But the midwives feared God, and did not do as the king of Egypt commanded them, but saved the male children alive.","Mă-lei lu yă kơ'mĭn đe tơpŭ mă băt hli yom kơ Kră Yang 'Bok Kei-Dei ưh kơ đei pơm kiơ̆ nơ̆r pơtao Êyiptơ pơkă pơkăm, sư rong đĭ lu nge drŏ-nglo arih ngăl."
"So the king of Egypt called for the midwives and said to them, “Why have you done this thing, and saved the male children alive?”","Pơtao dêh Êyiptơ krao lu yă kơ'mĭn ei khan: Liơ mă lu iĕm pơm thoi noh, rong lu kon drŏ-nglo arih ngăl?"
"And the midwives said to Pharaoh, “Because the Hebrew women are not like the Egyptian women; for they are lively and give birth before the midwives come to them.”","Lu yă kơ'mĭn đe tơpŭ ei tơl: “'Noh yua kơ lu bơngai drŏ-kăn Hêbrơ ưh kơ thoi lu bơngai drŏ-kăn Êyiptơ ôh; lu sư đei jơhngơ̆m pran ngăl lu sư tơpŭ hlôi adrol kơ lu nhôn truh.”"
"Therefore God dealt well with the midwives, and the people multiplied and grew very mighty.","Kră Yang 'Bok Kei-Dei ăn tơdrong 'lơ̆ng kơ lu yă kơ'mĭn; kon pơlei rai tŏk păng jing rai lơ kơdrâ̆m."
"And so it was, because the midwives feared God, that He provided households for them.","Yua kơ lu yă kơ'mĭn đei jơhngơ̆m hli yom tơpă kơ Kră Yang 'Bok Kei-Dei, na Kră Yang 'Bok Kei-Dei ăn kơ hnam dơnŏ lu sư hiôk jơnap"
"So Pharaoh commanded all his people, saying, “Every son who is born you shall cast into the river, and every daughter you shall save alive.”","Pharaôn khan tơtă kơ đĭ-đăng kon pơlei sư kơdih thoi âu: Mưh iĕm 'bôh lu bơngai Hêbrơ 'nao tơpŭ kon drŏ-nglo iĕm klơ̆m lê̆ tơ đak krong Nil; kon drŏ-kăn iĕm rong sư arih."
"And a man of the house of Levi went and took as wife a daughter of Levi.","Đei minh 'nu lăm adrĕch adrung Lêwi rôp bơngai adruh Lêwi pơm akăn."
"So the woman conceived and bore a son. And when she saw that he was a beautiful child, she hid him three months.","Drŏ-kăn ei anăp, na tơpŭ kơ minh 'nu kon drŏ-nglo; 'bôh kon drŏ-nglo 'lơ̆ng dêh tơpă, na ôn lê̆ lăm pêng khei."
"But when she could no longer hide him, she took an ark of bulrushes for him, daubed it with asphalt and pitch, put the child in it, and laid it in the reeds by the river’s bank.","Mă sư 'maih ôn đunh hloh kơ noh ră mă-lei ưh kơ gơh boih, na duch ei iŏk minh pôm bai hre, pik chai hơngo, na tơ'bĭch kon nge lăm noh, năm ming ôn sư 'bơ̆t 'nhĕt trang tơter jih lăm đak krong."
"And his sister stood afar off, to know what would be done to him.","Mŏ bơngai nge ei sư dơ̆ng tơmang đơ̆ng ataih wă kơ băt đei thoi yơ."
"Then the daughter of Pharaoh came down to bathe at the river. And her maidens walked along the riverside; and when she saw the ark among the reeds, she sent her maid to get it.","Na truh kon adruh pơtao Pharaôn năm jur hum tơ đak krong, dôm lu đam sư dăr ngôi kiơ̆ jih đak krong ei; kon adruh pơtao 'bôh bai hre noh tơ lăm 'nhĕt trang na sư krao lu đam sư ei pôk iŏk hơtŏk kơ sư."
"And when she opened it, she saw the child, and behold, the baby wept. So she had compassion on him, and said, “This is one of the Hebrews’ children.”","Kon adruh pơtao pơih bai 'bôh kon nge drŏ-nglo oei nhơ̆m, sư 'brơ̆k mơnat khan: Âu boih minh 'nu kon lu bơngai Hêbrơ."
"Then his sister said to Pharaoh’s daughter, “Shall I go and call a nurse for you from the Hebrew women, that she may nurse the child for you?”","Mŏ bơngai nge ei năm roi khan hloi hăm kon adruh pơtao: Ih hăm wă kơ inh năm krao minh 'nu bơngai đơ̆ng lăm bơngai Hêbrơ tơmŏm nge âu dah ưh?"
"And Pharaoh’s daughter said to her, “Go.” So the maiden went and called the child’s mother.","Kon adruh pơtao sư drơ̆ng: “Lei jah năm wăi.” Na mŏ bơngai nge ei năm krao mĕ bơngai nge noh."
"Then Pharaoh’s daughter said to her, “Take this child away and nurse him for me, and I will give you your wages.” So the woman took the child and nursed him.","Kon adruh pơtao khan kơ sư: “Iŏk bĕ nge âu tơ hnam wei rong tơmŏm sư ăn kơ inh; inh gô apah ih jên wei rong.” Sư pôk kơ'mĭn iŏk nge ei na tơmŏm hloi."
"And the child grew, and she brought him to Pharaoh’s daughter, and he became her son. So she called his name Moses, saying, “Because I drew him out of the water.”","Truh wơ̆ 'lŏ wao boih, mĕ sư chông ba sư năm ăn kơ kon adruh pơtao, kon adruh pơtao iŏk pơm kon, sư krao anăn noh Môisa yua kơ sư khan: Đêl inh iŏk pơklaih sư đơ̆ng đak."
"Now it came to pass in those days, when Moses was grown, that he went out to his brethren and looked at their burdens. And he saw an Egyptian beating a Hebrew, one of his brethren.","Lăm minh năr, Môis 'lŏ hlôh băt tôm tơdrong boih. Sư năm ngôi tơ lu 'nhŏng oh sư, sư 'bôh tơdrong jang lu 'nhŏng oh sư pơmat-tat; na 'bôh minh 'nu bơngai Êyiptơ tôn teh bơngai Hêbrơ lăm lu 'nhŏng oh sư kơdih"
"So he looked this way and that way, and when he saw no one, he killed the Egyptian and hid him in the sand.","sư chă lăng jum dăr ưh kơ đei 'bôh bơngai bu, na sư pơlôch bơngai Êyiptơ klaih kơ noh sư 'bŭ ôn lê̆ lăm chuơh."
"And when he went out the second day, behold, two Hebrew men were fighting, and he said to the one who did the wrong, “Why are you striking your companion?”","Truh năr đơ̆ng rŏng, Môis năm tơ noh dơ̆ng, sư 'bôh 'bar 'nu bơngai Hêbrơ tơteh băl, sư khan hăm bơngai mă pơm yoch ei thoi âu: Liơ mă măr iĕm tơteh băl tơduă buăl kơdih?"
