English, Bahnar
"Now it came to pass in the thirtieth year, in the fourth month, on the fifth day of the month, as I was among the captives by the River Chebar, that the heavens were opened and I saw visions of God.","Lăm sơnăm pêng-jĭt, năr pơđăm khei puăn, kơplah inh oei hơdai hăm lu bơnă tơ krong Kêbar, lu plĕnh tơpơih păng inh lăng đei tơdrong tơ'bôh đơ̆ng Kră Yang 'Bok Kei-Dei."
"On the fifth day of the month, which was in the fifth year of King Jehoiachin’s captivity","Năr pơđăm khei noh lăm sơnăm mă pơđăm, đơ̆ng năr pơtao Jêhôiachin đe rôp."
"the word of the LORD came expressly to Ezekiel the priest, the son of Buzi, in the land of the Chaldeans by the River Chebar; and the hand of the LORD was upon him there.","Kră Yang khan tơ'bôh kơ Êsêkiên, kon drŏ-nglo 'bok soi Busi, kơplah sư oei lăm char Kalđê jih đak krong Kêbar; tơ noh Kră Yang dan ti kơpal sư."
"Then I looked, and behold, a whirlwind was coming out of the north, a great cloud with raging fire engulfing itself; and brightness was all around it and radiating out of its midst like the color of amber, out of the midst of the fire.","Inh lăng 'bôh kial hơbŭt lĕch đơ̆ng gah yă-nơ̆m, đei hơmơ̆l tih dêh đei ŭnh hơdah jum dăr, păng tŏk-bŏk sư, inh 'bôh nhen thoi đei bơsei rang hơdah lăm ŭnh."
"Also from within it came the likeness of four living creatures. And this was their appearance: they had the likeness of a man.","Păng tŏk-bŏk ŭnh 'bôh puăn tŏ kon sem arih, hơbŏ rup thoi kon bơngai."
"Each one had four faces, and each one had four wings.","Rim kơ lu sư đei puăn tŏ muh măt păng puăn tŏ pơnăr."
"Their legs were straight, and the soles of their feet were like the soles of calves’ feet. They sparkled like the color of burnished bronze.","Jơ̆ng lu sư tơpăt, tơpang jơ̆ng thoi kơchôp kon rơmo, hơdah 'brŭng thoi kong rang rơgoh."
"The hands of a man were under their wings on their four sides; and each of the four had faces and wings.","Ala kơ pơnăr, puăn pah đei ti bơngai, rim tŏ kon sem đei puăn tŏ muh măt păng puăn tŏ pơnăr."
"Their wings touched one another. The creatures did not turn when they went, but each one went straight forward.","Pơnăr lu sư tơ'bưh dih băl. Rim kơ lu sư năm tơpăt anăp kiơ̆ kơ muh măt, akâu ưh kơ weh-woh."
"As for the likeness of their faces, each had the face of a man; each of the four had the face of a lion on the right side, each of the four had the face of an ox on the left side, and each of the four had the face of an eagle.","Muh măt lu sư thoi âu: Rim kơ lăm puăn tŏ noh đei muh măt thoi kon bơngai, rim lăm puăn tŏ noh đei muh măt dăm-brang gah 'ma; rim lăm puăn tŏ noh đei muh măt rơmo gah 'ngiĕo; păng rim lăm puăn tŏ noh đei muh măt sem klang."
"Thus were their faces. Their wings stretched upward; two wings of each one touched one another, and two covered their bodies.","Muh măt lu sư thoi noh. Pơnăr tưk kơjung rim lu sư đei 'bar 'bar hlak pơnăr lu sư bơyar tơ'bưh băl păng 'bar hlak pơnăr to pĕng akâu."
"And each one went straight forward; they went wherever the spirit wanted to go, and they did not turn when they went.","Rim kơ lu sem arih năm tơpăt tơ anăp kiơ̆ kơ Yang Bơhngol năm, mưh wă năm ưh kơ weh-woh ôh."
