English, Bahnar
"Now in the first year of Cyrus king of Persia, that the word of the LORD by the mouth of Jeremiah might be fulfilled, the LORD stirred up the spirit of Cyrus king of Persia, so that he made a proclamation throughout all his kingdom, and also put it in writing, saying","Sơnăm blŭng-a lăm chăl Sirus, pơtao pơgơ̆r dêh char Phersia, Kră Yang wă pơsĭt nơ̆r Sư đei yua 'bơ̆r Jêrêmi đei khan, na Sư pơm ăn kơ jơhngơ̆m Sirus, pơtao Phersia ră roi jơ̆p-jang kơ teh đak sư kơdih păng kư̆m đei chih hla bơar tơjur nơ̆r sư thoi âu"
"Thus says Cyrus king of Persia: All the kingdoms of the earth the LORD God of heaven has given me. And He has commanded me to build Him a house at Jerusalem which is in Judah.","Sirus pơtao Phersia, khan thoi âu: Kră Yang Kră Yang 'Bok Kei-Dei đei ăn kơ inh pơgơ̆r dôm lu dêh char lăm teh đak păng kơdih Sư athei inh pơm kơ Sư minh pôm hnam akŭm tơ pơlei Jêrusalem, lăm dêh Juđa."
"Who is among you of all His people? May his God be with him, and let him go up to Jerusalem which is in Judah, and build the house of the LORD God of Israel (He is God), which is in Jerusalem.","Bơngai bu lăm lu iĕm, mă kon pơlei Sư, athei wih brŏka tơ pơlei Jêrusalem dêh Juđa, wă pơm ming dơ̆ng hnam akŭm Kră Yang, Sư boih Kră Yang 'Bok Kei-Dei lu bơngai Isơrael, mă oei lăm pơlei Jêrusalem. Hơpơi kơ Kră Yang 'Bok Kei-Dei bơngai noh oei hơdai hăm sư!"
"And whoever is left in any place where he dwells, let the men of his place help him with silver and gold, with goods and livestock, besides the freewill offerings for the house of God which is in Jerusalem.","Lu bơngai Juđa mă oei arih, mă khan oei tơ yơ, kon pơlei mă tơ anih lu sư oei, athei tơgŭm lu sư hu, maih, mŭk tơmam, sem dơrong, wă pơm hnam akŭm Kră Yang 'Bok Kei-Dei, ưh kơ jô̆ lu tơmam đei pơyơ̆r boih tơ lăm hnam akŭm Kră Yang 'Bok Kei-Dei tơ pơlei Jêrusalem."
"Then the heads of the fathers’ houses of Judah and Benjamin, and the priests and the Levites, with all whose spirits God had moved, arose to go up and build the house of the LORD which is in Jerusalem.","Kơplah noh, lu kơdră adrĕch Juđa păng Bênjamin, lu 'bok soi păng bơngai Lêwi, đĭ-đăng dôm lu đe bu mă Kră Yang 'Bok Kei-Dei đei pơtrŭt lăm jơhngơ̆m lu sư wă, năm pơjing hnam akŭm Kră Yang tơ pơlei Jêrusalem."
"And all those who were around them encouraged them with articles of silver and gold, with goods and livestock, and with precious things, besides all that was willingly offered.","Lu kon pơlei oei lăm tơring ei lu sư tơgŭm tơmam ngăl, ăn kơ lu sư tơmam păng hu păng maih, mŭk tơmam, sem dơrong păng dôm lu tơmam gĭt, ưh kơ jô̆ lu tơmam mă đe đei pơyơ̆r nai."
"King Cyrus also brought out the articles of the house of the LORD, which Nebuchadnezzar had taken from Jerusalem and put in the temple of his gods","Pơtao Sirus kư̆m pơdrâu dôm lu tơmam yua lăm hnam akŭm Kră Yang, mă đêl Nebukatnessar đei iŏk đơ̆ng pơlei Jêrusalem păng tah 'măn lăm hnam yang sư."
"and Cyrus king of Persia brought them out by the hand of Mithredath the treasurer, and counted them out to Sheshbazzar the prince of Judah.","Sirus, pơtao Phersia, athei Mitrêdat, bơngai wei tơmam, iŏk lu tơmam yua lăm hnam akŭm tơlĕch đĭ tơ 'nguaih, jô̆ păng pơjao kơ Sêsbasar kuan tih lăm dêh Juđa."
"This is the number of them: thirty gold platters, one thousand silver platters, twenty-nine knives","'Nâu kơsô̆ lu tơmam yua lăm hnam akŭm ei: Pêng-jĭt tŏ pơnhan chhĕr maih, minh-rơbâu tŏ kơthao hu, 'bar-jĭt tơsĭn tŏ săng"
"thirty gold basins, four hundred and ten silver basins of a similar kind, and one thousand other articles.","pêng-jĭt hlak pơnhan maih, puăn-hrĕng mơjĭt hlak pơnhan hu, lei-lăi, minh-rơbâu tŏ tơmam yua nai dơ̆ng."
