English, Bahnar
"Paul, an apostle (not from men nor through man, but through Jesus Christ and God the Father who raised Him from the dead)","Inh Pôl chih hơpong kơ lu bơngai lui tơ dêh char Galati. Jet gia 'nhŏng oh. Lu 'nhŏng oh bơngai lui tơ inh âu kư̆m đei nơ̆r jet gia kơ iĕm mơ̆n. Inh pơm jơ̆ng 'bang Yêsu Krist yua kơ Sư ăn inh pơm jơ̆ng 'bang Sư. 'Bă Sư 'Bok Kei-Dei tơiung arih Sư đơ̆ng lôch păng Sư kư̆m ăn kơ inh pơm jơ̆ng 'bang Yêsu mơ̆n. Ưh kơ sĭ kon bơngai ăn kơ inh ôh. Ưh kơ sĭ kon bơngai pơtruh ăn kơ inh nơ̆r 'Bok Kei-Dei athei inh pơm jơ̆ng 'bang Yêsu ôh, inh kơtơ̆ng đơ̆ng Sư đĕch khan kơ inh."
"and all the brethren who are with me, To the churches of Galatia","Inh Pôl chih hơpong kơ lu bơngai lui tơ dêh char Galati. Jet gia 'nhŏng oh. Lu 'nhŏng oh bơngai lui tơ inh âu kư̆m đei nơ̆r jet gia kơ iĕm mơ̆n. Inh pơm jơ̆ng 'bang Yêsu Krist yua kơ Sư ăn inh pơm jơ̆ng 'bang Sư. 'Bă Sư 'Bok Kei-Dei tơiung arih Sư đơ̆ng lôch păng Sư kư̆m ăn kơ inh pơm jơ̆ng 'bang Yêsu mơ̆n. Ưh kơ sĭ kon bơngai ăn kơ inh ôh. Ưh kơ sĭ kon bơngai pơtruh ăn kơ inh nơ̆r 'Bok Kei-Dei athei inh pơm jơ̆ng 'bang Yêsu ôh, inh kơtơ̆ng đơ̆ng Sư đĕch khan kơ inh."
"Grace to you and peace from God the Father and our Lord Jesus Christ","Inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm Kră Yang bơ̆n Yêsu Krist wei-lăng iĕm tôm tơdrong wă kơ Sư ăn kơ iĕm hiôk-hian ling-lang."
"who gave Himself for our sins, that He might deliver us from this present evil age, according to the will of our God and Father","Kră Yang bơ̆n Yêsu Krist ăn akâu Sư kơdih wă lôch tang bơ̆n pơklaih bơ̆n đơ̆ng tơdrong yoch. Sư lôch tang bơ̆n wă iŏk bơ̆n đơ̆ng lu bơngai kơnê̆ ahrei âu. Sư pơm thoi noh wă kơ trŏ thoi 'Bă tơm bơ̆n 'Bok Kei-Dei wă."
"to whom be glory forever and ever. Amen.","Bĕ bơ̆n ư-ang 'Bok Kei-Dei ling-lang ling-lang ưh kơ layơ tôch. A-men."
"I marvel that you are turning away so soon from Him who called you in the grace of Christ, to a different gospel","Inh sơleng kơ đon yua kơ kiơ iĕm lui kơ nơ̆r đe pơlung wă achăng lê̆ nơ̆r 'Bok Kei-Dei 'bônh đĕch. 'Bok Kei-Dei krao bơ̆n wă kơ bơ̆n jing kon Sư, yua kơ Yêsu Krist lôch tang bơ̆n. Mă-lei dang ei iĕm wă kiơ̆ tơdrong 'nao 'lơ̆ng nai dơ̆ng."
"which is not another; but there are some who trouble you and want to pervert the gospel of Christ.","Mă tơpă đei minh tơdrong 'nao 'lơ̆ng đĕch, ưh kơ đei tơdrong 'nao 'lơ̆ng nai dơ̆ng ôh. Inh khan kơ iĕm thoi noh yua kơ đei lu bơngai nai pơtuah iĕm, lu sư wă hơmet ming pơthim tơdrong 'nao 'lơ̆ng Yêsu Krist."
"But even if we, or an angel from heaven, preach any other gospel to you than what we have preached to you, let him be accursed.","Sơ̆ nhôn bơtho ăn kơ iĕm tơdrong 'nao 'lơ̆ng trŏ tơpă, na dang ei mă bu bu, tơdah nhôn kơdih, dah linh jang 'lơ̆ng đơ̆ng plĕnh ti, bơtho ăn kơ iĕm tơdrong phara pơm wă pơhloh kơ nhôn bơtho iĕm sơ̆, ning-mônh 'Bok Kei-Dei gô phak sư tơpă."
"As we have said before, so now I say again, if anyone preaches any other gospel to you than what you have received, let him be accursed.","Inh wă khan kơ iĕm dơ̆ng, kư̆m thoi nhôn khan boih kơ iĕm: Bơngai bu bơtho ăn kơ iĕm tơdrong phara pơm wă pơhloh kơ nhôn bơtho iĕm sơ̆ na jing ưh kơ trŏ thoi iĕm lui sơ̆, 'Bok Kei-Dei gô phak tơpă bơngai 'noh ning-mônh."
"For do I now persuade men, or God? Or do I seek to please men? For if I still pleased men, I would not be a bondservant of Christ.","Inh pơma thoi noh kon bơngai ưh kơ lăp đon ôh. Mă-lei inh wă kơ 'Bok Kei-Dei lăp đon kơ tơdrong jang inh. Dah inh wă kơ kon bơngai lăp đon kơ inh đĕch lei ưh kơ sĭ inh jang tơdrong Yêsu Krist ôh."
