English, Bahnar
"The burden which the prophet Habakkuk saw.","Nơ̆r mă Kră Yang 'Bok Kei-Dei tơ'bôh kơ Habakuk bơngai khan lê̆ adrol."
"O LORD, how long shall I cry, And You will not hear? Even cry out to You, “Violence!” And You will not save.","Ơ Kră Yang inh ôr krao Ih mă Ih ưh kơ wă mơ̆ng Ih ngăn kơ inh dĭng dang yơ. Inh apinh krao Ih yua kơ tơdrong đe wă pơlôch, na Ih ưh kơ wă dŏng pơklaih."
"Why do You show me iniquity, And cause me to see trouble? For plundering and violence are before me; There is strife, and contention arises.","Kơlih kơ kiơ Ih ăn kơ inh 'bôh tơdrong đe pơm kơnê̆ păng yua kơ kiơ Ih kuăr ti lăng đĕch tơdrong ưh kơ trŏ noh? Tơdrong pơrăm 'bơ̆t anăp inh; đei tơdrong pơjah pơjăng băl."
"Therefore the law is powerless, And justice never goes forth. For the wicked surround the righteous; Therefore perverse judgment proceeds.","Thoi noh khôi juăt pă đei yua boih păng tơdrong tơpăt ưh pă pơdah. Lu bơngai kơnê̆ wang tăp dăr kơ lu bơngai tơpăt, yua kơ thoi noh na tơdrong sek tơlang jing ưh kơ hơnơ̆ng."
"“Look among the nations and watch— Be utterly astounded! For I will work a work in your days Which you would not believe, though it were told you.","“Lăng bĕ tơ lăm lu dêh char, na ih 'bôh hlĭch păng chrêu kơ đon! Yua kơ Inh oei gô đei wă pơm lăm chăl ih, mă khan đei bơngai roi kơ iĕm ră, Mă-lei iĕm ưh kơ lui."
"For indeed I am raising up the Chaldeans, A bitter and hasty nation Which marches through the breadth of the earth, To possess dwelling places that are not theirs.","'Nâu Inh ăn kơ lu bơngai Kalđê iung blah, sư jing minh adrĕch kơnê̆ pran kơtang năm tơ jơ̆p teh đak wă blah tơgar iŏk lu anih mă ưh kơ trŏ kơ teh đak lu sư."
"They are terrible and dreadful; Their judgment and their dignity proceed from themselves.","Lu sư trŏ kơ hli krưp dêh tơpă, tơdrong pơrŏ pơang păng tơdrong sek tơlang tă kơ lĕch đơ̆ng lu sư kơdih."
"Their horses also are swifter than leopards, And more fierce than evening wolves. Their chargers charge ahead; Their cavalry comes from afar; They fly as the eagle that hastens to eat.","Lu linh aseh sư kơdâu hơbal hloh kơ djrang păng nuih hloh kơ kŏ-so tơ kơmăng. Lu linh aseh sư năm tơ jơ̆p-jang anih hơbĕch hơbal truh đơ̆ng dêh ataih; lu păr hrĕnh thoi sem kring, hăt hot kơ chă sa."
"“They all come for violence; Their faces are set like the east wind. They gather captives like sand.","Đĭ lu sư noh truh wă pơm kơnê̆ ngăl, chă pơlôch đe linh lu sư nuih năm tơ anăp, thoi hơbŭt păng akŭm pơpôi lu bơnă lơ thoi chuơh dơsĭ."
"They scoff at kings, And princes are scorned by them. They deride every stronghold, For they heap up earthen mounds and seize it.","Lu sư hiĕk pơjăm lu pơtao, hiĕk ăr kơ lu kuan pơgơ̆r păng hiĕk pơjăm kơ lu kơđông kơjăp. Sư kôch teh bơ̆ kơjăp, wă tŏk blah iŏk."
"Then his mind changes, and he transgresses; He commits offense, Ascribing this power to his god.”","Đơ̆ng noh lu sư gô năm yoh tơ anăp thoi kial bah, lu sư pơm yoch tih kơkuh kơ jơhngơ̆m pran lu sư kơdih yua kơ lu sư.”"
