English, Bahnar
"In the second year of King Darius, in the sixth month, on the first day of the month, the word of the LORD came by Haggai the prophet to Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Jehozadak, the high priest, saying","Sơnăm mă 'bar chăl pơtao Đarius, năr mônh khei tơdrâu, đei nơ̆r Kră Yang yua Hagai 'bok khan lê̆ adrol roi tơbăt ăn kơ Sôrôbabel, kon drŏ-nglo Salathiel kră wei-lăng char Juđa păng ăn Jêhôsua, kon drŏ-nglo Jêhôsađak, 'bok soi tơm thoi âu"
"“Thus speaks the LORD of hosts, saying: ‘This people says, “The time has not come, the time that the LORD’s house should be built.” ’ ”","Kră Yang Tih Hloh đei khan thoi âu: “Kon pơlei đei khan; ‘jơ 'năr tam mă truh wă khan jơ 'năr wă pơjing đơ̆ng hnam Kră Yang.’ ”"
"Then the word of the LORD came by Haggai the prophet, saying","Thoi ei na đei nơ̆r đơ̆ng Kră Yang khan 'bơ̆t Hagai 'bok khan lê̆ adrol thoi âu."
"“Is it time for you yourselves to dwell in your paneled houses, and this temple to lie in ruins?”","“'Nâu hăm trŏ kơplah iĕm oei lăm hnam pĕng păng tơ̆r mă 'lơ̆ng na lê̆ hnam Kră Yang jing juơ rơhiăng."
"Now therefore, thus says the LORD of hosts: “Consider your ways!","Thoi noh dang ei Kră Yang Tih Hloh khan thoi âu: ‘Lăng bĕ trong iĕm năm."
"“You have sown much, and bring in little; You eat, but do not have enough; You drink, but you are not filled with drink; You clothe yourselves, but no one is warm; And he who earns wages, Earns wages to put into a bag with holes.”","Lu iĕm rei lơ mă-lei kĕch iŏk tŏ sĕt; sŏng sa ră mă-lei ưh kơ phĭ; nhă ră mă-lei ưh kơ hrăp; hrŭk mă ưh kơ tơtŏ. Păng lu mơ'nah jang chă jên; mong jên sư kơdih noh lăm kơdŭng hlôh.’"
"Thus says the LORD of hosts: “Consider your ways!","Kră Yang Tih Hloh khan: ‘Lu iĕm lăng lăng bĕ trong lu iĕm yak."
"Go up to the mountains and bring wood and build the temple, that I may take pleasure in it and be glorified,” says the LORD.","Tŏk bĕ tơ kơpal kông, chĕp ba tơ̆r brŏk păng pơjing hnam, Inh gô iŏk chhơp jơhngơ̆m păng Inh đei ư-ang,’ Kră Yang khan thoi noh."
"“You looked for much, but indeed it came to little; and when you brought it home, I blew it away. Why?” says the LORD of hosts. “Because of My house that is in ruins, while every one of you runs to his own house.","‘Lu iĕm pơtăm lơ mă-lei đei iŏk tŏ sĕt lu iĕm chĕp ba tơ hnam, na Inh dơhlu tŏk tơ kơpal.’ Kră Yang Tih Hloh khan: ‘Noh yua kơ kiơ? Noh yua kơ đơ̆ng hnam Inh jing juơ rơhiăng na lu iĕm băt kơ pơm hnam iĕm kơdih."
"Therefore the heavens above you withhold the dew, and the earth withholds its fruit.","Thoi noh yua kơ lu iĕm na plĕnh kư̆m pă tơjur tŭk păng teh kư̆m pă pơjing plei."
"For I called for a drought on the land and the mountains, on the grain and the new wine and the oil, on whatever the ground brings forth, on men and livestock, and on all the labor of your hands.”","Inh đei krao boih phang-ang kơpal teh đak, kơpal lu kông, tơ lu ba mi, tơ lu tơm hơmu tơ tơm ôliwơ păng tơ dêh mă pơjing lu tơmam plei sa tơ lu kon bơngai, tơ lu sem brem păng tơ dôm lu tơdrong jang mă ti ih đei pơm.’ ”"
"Then Zerubbabel the son of Shealtiel, and Joshua the son of Jehozadak, the high priest, with all the remnant of the people, obeyed the voice of the LORD their God, and the words of Haggai the prophet, as the LORD their God had sent him; and the people feared the presence of the LORD.","Thoi Sôrôbabel kon drŏ-nglo Salathiel păng Jôsua kon drŏ-nglo Jêhôsađak, 'bok soi tơm păng lu kon pơlei mă oei đei. Mơ̆ng kiơ̆ nơ̆r Kră Yang 'Bok Kei-Dei sư păng nơ̆r Hagai khan lê̆ adrol mă Kră Yang 'Bok Kei-Dei đei wơh, thoi noh đĭ-đăng kon pơlei tă hli yom 'bơ̆t anăp Kră Yang ngăl."
"Then Haggai, the LORD’s messenger, spoke the LORD’s message to the people, saying, “I am with you, says the LORD.”","Hagai bơngai Kră Yang wơh năm na khan tơbăt kơ kon pơlei kiơ̆ thoi nơ̆r Kră Yang bơtho tơbăt thoi âu: “Inh oei hơdai lu iĕm,” Kră Yang khan thoi noh."
"So the LORD stirred up the spirit of Zerubbabel the son of Shealtiel, governor of Judah, and the spirit of Joshua the son of Jehozadak, the high priest, and the spirit of all the remnant of the people; and they came and worked on the house of the LORD of hosts, their God","Đơ̆ng noh, Kră Yang pơtrŭt jơhngơ̆m Sôrôbabel, kon drŏ-nglo Salathiel, yŏng pơgơ̆r Juđa păng pơtrŭt jơhngơ̆m Jêhôsua kon drŏ-nglo Jêhôsađak 'bok soi tơm păng kư̆m pơtrŭt jơhngơ̆m kon pơlei mă oei oei; lu sư tă kơ năm bơ̆jang tơ anih hnam Kră Yang Tih Hloh noh jơ̆ Kră Yang sư."
"on the twenty-fourth day of the sixth month, in the second year of King Darius.","Noh năr 'bar-jĭt puăn khei tơdrâu gah sơnăm mă 'bar lăm chăl pơtao Đarius."
"In the seventh month, on the twenty-first of the month, the word of the LORD came by Haggai the prophet, saying","Năr 'bar-jĭt puăn khei tơpơh, đei nơ̆r Kră Yang đơ̆ng Hagai bơngai khan lê̆ adrol khan thoi âu"
"“Speak now to Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Jehozadak, the high priest, and to the remnant of the people, saying","“Dang ei athei roi kơ Sôrôbabel kon drŏ-nglo Salathiel, yŏng pơgơ̆r Juđa păng Jôsua kon drŏ-nglo Jêhôsađak 'bok soi tơm păng lu kon pơlei mă oei đei, khan kơ sư thoi âu"
"‘Who is left among you who saw this temple in its former glory? And how do you see it now? In comparison with it, is this not in your eyes as nothing?","‘Bơngai bu mă oei oei lăm lu iĕm mă đei 'bôh boih tơdrong ư-ang kơ hnam âu adrol sơ̆ păng dang ei iĕm 'bôh sư thoi yơ? Sư oei 'bơ̆t anăp hăm trŏ thoi răm đĭ?’"
"Yet now be strong, Zerubbabel,’ says the LORD; ‘and be strong, Joshua, son of Jehozadak, the high priest; and be strong, all you people of the land,’ says the LORD, ‘and work; for I am with you,’ says the LORD of hosts.","Dang ei Kră Yang khan: ‘Ơ Sôrôbabel ih athei nuih kơtang bĕ; ih Jôsua, kon drŏ-nglo Jêhôsađak, 'bok soi tơm, kư̆m athei nuih kơtang Kră Yang khan dơ̆ng: Đĭ-đăng kon pơlei kơpal teh, lu iĕm kư̆m athei nuih kơtang păng bơ̆jang bĕ; yua kơ Inh oei hăm iĕm,’ Kră Yang Tih Hloh khan thoi noh."
"‘According to the word that I covenanted with you when you came out of Egypt, so My Spirit remains among you; do not fear!’","‘Nơ̆r pơgơ̆p mă Inh đei pơkă hăm lu iĕm, kơplah iĕm lĕch hloi đơ̆ng dêh char Êyiptơ hăm Yang Bơhngol Inh oei hơdai iĕm. 'Nĕ kơ hli ôh.’"
"“For thus says the LORD of hosts: ‘Once more (it is a little while) I will shake heaven and earth, the sea and dry land","Yua kơ Kră Yang Tih Hloh khan thoi âu: ‘Oei pơma minh wơ̆t, ưh pă đunh dơ̆ng, Inh gô pơm kơ plĕnh păng teh tơdrŏ; đak dơsĭ păng teh gô hrĕng kro."
"and I will shake all nations, and they shall come to the Desire of All Nations, and I will fill this temple with glory,’ says the LORD of hosts.","Inh kơgŭ đĭ-đăng dêh char gô tơdrŏ păng dôm tơdrong hơpơi wă lu dêh char gô truh păng Inh gô pơm 'bĕnh blai kơ hnam âu,’ Kră Yang Tih Hloh khan thoi noh."
"‘The silver is Mine, and the gold is Mine,’ says the LORD of hosts.","‘Hu jơ̆ hu Inh, maih jơ̆ maih Inh, Kră Yang khan thoi noh."
"‘The glory of this latter temple shall be greater than the former,’ says the LORD of hosts. ‘And in this place I will give peace,’ says the LORD of hosts.”","Tơdrong ư-ang kơ hnam đơ̆ng rŏng âu, gô tih hloh kơ ư-ang hnam adrol ki sơ̆, Kră Yang khan thoi noh păng Inh gô ăn tơdrong rơnŭk rơnua lăm anih 'nâu.’ Kră Yang Tih Hloh khan thoi noh.”"
"On the twenty-fourth day of the ninth month, in the second year of Darius, the word of the LORD came by Haggai the prophet, saying","Năr 'bar-jĭt puăn khei tơsĭn gah sơnăm Đarius đei nơ̆r Kră Yang đơ̆ng Hagai 'bok khan lê̆ adrol khan thoi âu"
"“Thus says the LORD of hosts: ‘Now, ask the priests concerning the law, saying","“Kră Yang Tih Hloh khan: ‘Dang ei athei apinh lu 'bok soi gah khôi juăt khan thoi âu"
"“If one carries holy meat in the fold of his garment, and with the edge he touches bread or stew, wine or oil, or any food, will it become holy?” ’ ” Then the priests answered and said, “No.”","Tơdah đe 'nŭng 'nhĕm rơgoh lăm mum ao păng kơnhŏng ao sư 'bơm tơ 'bĕng, dah tơmam kiơ mă pai sĭn, đak sik, dah đak rơmă, dah tơmam sa kiơ, na dôm tơmam noh hăm pă rơgoh ưh?’ ” Lu 'bok soi tơl thoi âu. “Ưh.”"
"And Haggai said, “If one who is unclean because of a dead body touches any of these, will it be unclean?” So the priests answered and said, “It shall be unclean.”","Hagai khan dơ̆ng: “Tơdah bu mă 'mê̆-'mach yua kơ pel akâu bơngai lôch na hơtŭt 'bơm dôm tơmam noh, na dôm lu tơmam noh hăm tơ 'bơm hơpoh 'mê̆-'mach ưh?” Lu 'bok soi tơl thoi âu: “Lu tơmam noh gô kơnê̆ 'mê̆-'mach.”"
