English, Bahnar
"God, who at various times and in various ways spoke in time past to the fathers by the prophets","Chăl arih lu yă 'bok bơ̆n sơ̆, 'Bok Kei-Dei wơh lu 'bok khan lê̆ hơdrol năm pơtruh kơ lu yă 'bok bơ̆n gah tơdrong Sư lơ 'măng phara pha."
"has in these last days spoken to us by His Son, whom He has appointed heir of all things, through whom also He made the worlds","Mă-lei gah chăl arih lu bơ̆n ahrei, Sư wơh Kon Sư kơdih năm pơtruh kơ bơ̆n. Sư kư̆m ăn kơ Kon Sư gơh pơjing plĕnh pơjing teh păng pơgơ̆r tôm tơdrong."
"who being the brightness of His glory and the express image of His person, and upholding all things by the word of His power, when He had by Himself purged our sins, sat down at the right hand of the Majesty on high","'Bă Sư thoi lĕ kơ măt 'năr, Kon Sư thoi lĕ kơ hơdah. Tơdrong hơbŏ Sư kư̆m thoi lĕ kơ 'Bă Sư, Sư pơgơ̆r đĭ-đăng kơ plĕnh păng teh, yua kơ Sư Yang, Sư mơsêh tơpă. Păng Sư đei jur tơ teh âu ăn akâu Sư kơdih dŏng pơklaih kon bơngai đơ̆ng tơdrong yoch. Đang tơdrong 'noh boih na Sư tŏk oei gah 'ma kơ 'Bă Sư pơgơ̆r tơ kơpal plĕnh ti."
"having become so much better than the angels, as He has by inheritance obtained a more excellent name than they.","'Bă Sư ăn kơ Sư tih hloh kơ lu linh jang, thoi noh mă 'Bă Sư krao kơ Sư Kon. Sư tih hloh kơ lu linh jang tơpă."
"For to which of the angels did He ever say: “You are My Son, Today I have begotten You”? And again: “I will be to Him a Father, And He shall be to Me a Son”?","'Bok Kei-Dei ưh tam layơ khan kơ linh jang, dang Sư khan kơ Kon Sư sơ̆ khan: “Ih boih Kon Inh, năr âu Inh wă ăn kơ Ih pơgơ̆r.” Sư kư̆m khan dơ̆ng thoi âu: “Inh pơm 'Bă Ih, Ih pơm Kon Inh.”"
"But when He again brings the firstborn into the world, He says: “Let all the angels of God worship Him.”","Thoi noh na kơplah năr mă Sư ăn Kon Sư kơdih jur tơ teh âu sơ̆, Sư krao đĭ-đăng kơ lu linh jang Sư khan: “Ơ đĭ-đăng lu linh jang Inh, kơkuh kơ Sư bĕ.”"
"And of the angels He says: “Who makes His angels spirits And His ministers a flame of fire.”","Na Sư khan dơ̆ng gah lu linh jang Sư khan: “Inh ăn kơ lu linh jang mă pơm đam Inh, jang hơbĕch dang kial hơbal dang pla ŭnh.”"
"But to the Son He says: “Your throne, O God, is forever and ever; A scepter of righteousness is the scepter of Your kingdom.","Mă-lei gah Kon Sư kơdih khan thoi âu: “Ih Kră Yang tơoei kơpal tang-dŏ pơgơ̆r ling-lang ưh kơ layơ tôch; Ih pơgơ̆r 'lơ̆ng tơpăt."
"You have loved righteousness and hated lawlessness; Therefore God, Your God, has anointed You With the oil of gladness more than Your companions.”","Ih lăp đon kơ tơdrong 'lơ̆ng areh kơ tơdrong kơnê̆. Yua kơ thoi noh na 'Bok Kei-Dei Kră Yang Ih, pôk Ih oei tơ tang-dŏ păng pik kơ Ih đak pơgang 'bâu phu, ăn kơ Ih hiôk hloh, tih hloh kơ lu bôl buăl Ih.”"
"And: “You, LORD, in the beginning laid the foundation of the earth, And the heavens are the work of Your hands.","'Bok Kei-Dei khan dơ̆ng kơ Sư thoi âu: “Ơ Kră Yang, blŭng-a sơ̆ Ih pơjing plĕnh pơjing teh, Ih pơjing kơdih ưh kơ đei bu nai pơjing."
"They will perish, but You remain; And they will all grow old like a garment","Mă plĕnh teh gô hiong răm, gah Ih oei oei ling-lang. Plĕnh teh đĭ so dŏ so don thoi lĕ kơ hơbĕn ao so."
"Like a cloak You will fold them up, And they will be changed. But You are the same, And Your years will not fail.”","Mă-lei Ih gơh pơih tŭk thoi đe kuă kơ hrŭk hơbĕn ao so boih. Ih tơplih plĕnh teh 'nao kư̆m lei-lăi thoi đe tơplih hrŭk hơbĕn ao 'nao; Mă sơnăm Ih hơnơ̆ng lei-lăi ưh kơ layơ tôch.”"
"But to which of the angels has He ever said: “Sit at My right hand, Till I make Your enemies Your footstool”?","'Bok Kei-Dei tam layơ khan kơ linh jang thoi Sư khan kơ Kon Sư thoi âu: “Ih kư̆ oei gah 'ma kơ Inh pơgơ̆r, Tơ̆p Inh blah rôp lu bơngai mă ayăt kơ Ih thuơ tơ kơnơl jơ̆ng Ih.”"
"Are they not all ministering spirits sent forth to minister for those who will inherit salvation?","Đĭ-đăng kơ lu linh jang, 'Bok Kei-Dei wơh lu sư jur chă tơgŭm lu kon bơngai mă Sư pơklaih ăn oei hơdai hăm Sư ning-mônh."
"Therefore we must give the more earnest heed to the things we have heard, lest we drift away.","Kơlih kơ thoi noh na dang ei bơ̆n kơtơ̆ng kơtăi boih dôm tơdrong đe bơtho, bơ̆n athei kơchăng 'biơ̆ hli kơ bơ̆n jrok trong nai dơ̆ng."
"For if the word spoken through angels proved steadfast, and every transgression and disobedience received a just reward","Sơ̆ linh jang tơbăt ăn kơ Môis tơdrong juăt kơjăp dêh, na tôm tơdrong yoch kon bơngai pơm mă tih mă iĕ đei tơdrong phak ngăl. Đe phak kiơ̆ kơ tơdrong yoch sư pơm tih dah iĕ."
"how shall we escape if we neglect so great a salvation, which at the first began to be spoken by the Lord, and was confirmed to us by those who heard Him","Mă tơdrong Yêsu Kon 'Bok Kei-Dei kăl hloh kơ noh dơ̆ng. Thoi noh, tơ̆ng bu ưh kơ gơnang kơ Yêsu pơklaih sư, bơngai noh gô đei tơdrong phak tơpă. Tơdrong Kră Yang Yêsu Krist pơklaih bơ̆n, Sư kơdih tơbăt ăn kơ đe sơ̆ na đe tơbăt ăn kơ bơ̆n."
"God also bearing witness both with signs and wonders, with various miracles, and gifts of the Holy Spirit, according to His own will?","'Bok Kei-Dei ăn kơ lu bơngai noh gơh pơm lơ tơdrong mơsêh wă tơbăt kơ bơ̆n tơdrong noh sĭt tơpă. Păng Sư ăn kơ lu bơngai lui, Yang Bơhngol 'Lơ̆ng hơgei gơh pơm lơ tơdrong nai dơ̆ng, mă Sư ăn pơm kiơ̆ thoi Sư lăp đon."
"For He has not put the world to come, of which we speak, in subjection to angels.","Mă-lei gah tơdrong pơgơ̆r plĕnh păng teh ning-mônh, Sư ưh kơ ăn kơ lu linh jang pơgơ̆r ôh."
"But one testified in a certain place, saying: “What is man that You are mindful of him, Or the son of man that You take care of him?","Đe chih roi tơ lăm sơ̆p hla bơar 'Bok Kei-Dei khan: “Ơ Kră Yang, kon bơngai nhôn dang yơ na Ih mah tơchĕng dêh; kon bơngai nhôn yua kiơ kơ Ih na Ih mah 'mêm 'măi kơ nhôn?"
"You have made him a little lower than the angels; You have crowned him with glory and honor, And set him over the works of Your hands.","Ih ăn kơ nhôn kơđeh 'biơ̆ kơ lu linh jang, mă-lei ưh kơ mah kơđeh dêh. Ih kư̆m ăn kơ nhôn dang lĕ kơ pơm 'bok pơtao"
"You have put all things in subjection under his feet.” For in that He put all in subjection under him, He left nothing that is not put under him. But now we do not yet see all things put under him.","nhôn gơh pơgơ̆r tôm tơdrong.” Tơ̆ng thoi ei tơpă, ưh kơ đei tơdrong kiơ mă kon bơngai ưh kơ gơh pơgơ̆r. Mă-lei dang ei bơ̆n ưh tam 'bôh kon bơngai pơgơ̆r tôm tơdrong."
"But we see Jesus, who was made a little lower than the angels, for the suffering of death crowned with glory and honor, that He, by the grace of God, might taste death for everyone.","Bơ̆n 'bôh pôm Yêsu đĕch kơplah Sư oei tơ teh âu sơ̆ Sư dang lĕ kơ iĕ 'biơ̆ kơ lu linh jang, mă-lei lăp minh yuh đĕch. Pôm Sư đĕch bơ̆n 'bôh thoi lĕ kơ kon bơngai mă 'Bok Kei-Dei pôk Sư pơgơ̆r pơm Pơtao, yua kơ Sư chu iŏk tơdrong lôch pơmat tang đĭ rim 'nu bơngai, yua kơ 'Bok Kei-Dei 'mêm kơ bơ̆n."
"For it was fitting for Him, for whom are all things and by whom are all things, in bringing many sons to glory, to make the captain of their salvation perfect through sufferings.","'Bok Kei-Dei pơjing tôm tơdrong. Tôm tơdrong Sư pơjing, noh Sư wă kơ đe ư-ang kơ Sư. Thoi noh na trŏ kơ Sư ăn kơ Yêsu đei tơdrong pơmat-tat, wă kơ Yêsu iŏk tôm tơdrong thoi kon bơngai bơ̆n wă kơ Sư gơh anhăk ba lơ bơngai klaih đơ̆ng tơdrong yoch. Thoi noh na đĭ-đăng lu kon Sư nai kư̆m hiôk lei-lăi thoi Yêsu."
"For both He who sanctifies and those who are being sanctified are all of one, for which reason He is not ashamed to call them brethren","Yêsu pơklaih bơ̆n đơ̆ng tơdrong yoch păng pơyơ̆r bơ̆n kơ 'Bok Kei-Dei yua kơ Sư lăng bơ̆n thoi 'nhŏng oh pôm mĕ 'bă tơpă, 'Bă tơm bơ̆n lăp minh 'nu đĕch, Sư mă oei tơ plĕnh ti. Mă bơngai thoi bơ̆n, Sư kư̆m lăp đon kơ anăn bơ̆n 'nhŏng oh Sư."
"saying: “I will declare Your name to My brethren; In the midst of the assembly I will sing praise to You.”","Tơdrong noh kư̆m thoi Sư khan kơ 'Bă Sư sơ̆ thoi âu: “Inh gô pơư pơang anăn Ih kơ lu 'nhŏng oh Inh tơ anăp lu sư mă oei akŭm bôl lơ; păng inh hơri bơnê kơ Ih.”"
"And again: “I will put My trust in Him.” And again: “Here am I and the children whom God has given Me.”","Sư khan dơ̆ng thoi âu: “Inh gơnang kơ Ih tơpă.” Sư kư̆m khan dơ̆ng thoi âu: “Inh oei hơdai hăm lu kon Inh mă đơ̆ng Ih pơjao.”"
"Inasmuch then as the children have partaken of flesh and blood, He Himself likewise shared in the same, that through death He might destroy him who had the power of death, that is, the devil","Lu kon Sư noh wă khan kon bơngai bơ̆n, na Sư kư̆m jing thoi kon bơngai bơ̆n mơ̆n, wă kơ gơh lôch tang kon bơngai păng pơrăm yŏng pơgơ̆r yang sơmăt mă pơgơ̆r pơlôch kon bơngai."
"and release those who through fear of death were all their lifetime subject to bondage.","Sư pơklaih kon bơngai đơ̆ng pơm đĭch yang sơmăt. Sơ̆ kon bơngai đĭch yang sơmăt ling-lang, lu sư hli dêh kơ tơdrong lôch."
"For indeed He does not give aid to angels, but He does give aid to the seed of Abraham.","Lu linh jang, Yêsu ưh kơ đei tơdŏng ôh, Sư tơdŏng lu bơ̆n mă kon sâu Abraham đĕch."
"Therefore, in all things He had to be made like His brethren, that He might be a merciful and faithful High Priest in things pertaining to God, to make propitiation for the sins of the people.","Sư pơm tôm tơdrong dang kơ 'nhŏng oh tơpă. Sư jang tơdrong 'Bok Kei-Dei pơklaih yoch kon bơngai thoi 'bok soi tih mơnat kơ kon bơngai, na kon bơngai gơnang kơ Sư tơpă."
"For in that He Himself has suffered, being tempted, He is able to aid those who are tempted.","Yêsu đei tơdrong pơmat, tơdrong pơhlŭ, na Sư mơnat kơ lu bơ̆n dang ei kơplah mă bơ̆n đei tơdrong pơhlŭ."
"Therefore, holy brethren, partakers of the heavenly calling, consider the Apostle and High Priest of our confession, Christ Jesus","Ơ lu 'nhŏng oh, iĕm jing bơngai 'lơ̆ng tơpăt boih păng iĕm đei anăn 'Bok Kei-Dei wă krao tơmơ̆t tơ Pơlei 'Lơ̆ng Sư ning-mônh. Na inh wă kơ iĕm tơchĕng 'biơ̆ gah tơdrong Yêsu mă tơpă, yua kơ 'Bok Kei-Dei pôk Sư pơm jơ̆ng 'bang wă tơbăt ăn kơ bơ̆n tơdrong 'Bok Kei-Dei. Păng 'Bok Kei-Dei kư̆m pôk Sư pơm 'bok soi tơm jang tơdrong 'Bok Kei-Dei gah tơdrong lui bơ̆n."
"who was faithful to Him who appointed Him, as Moses also was faithful in all His house.","Na Yêsu jang 'lơ̆ng tơpă dôm tơdrong 'Bok Kei-Dei pơkă kơ Sư, kư̆m thoi Môis jang tơgŭm hnam dơnŏ 'Bok Kei-Dei sơ̆, sư jang kiơ̆ thoi 'Bok Kei-Dei pơkă tơpă."
"For this One has been counted worthy of more glory than Moses, inasmuch as He who built the house has more honor than the house.","Mă-lei gah Yêsu đe ư-ang hloh kơ Môis, yua kơ Sư tơ'ngla mă pơjing hnam dơnŏ noh. Gah Môis sư minh 'nu bơngai lơ̆m hnam noh đĕch."
"For every house is built by someone, but He who built all things is God.","Kơlih kơ rim hnam đei tơ'ngla pơm ngăl. Tơ'ngla mă pơm noh wă khan 'Bok Kei-Dei boih, yua kơ Sư pơjing tôm tơdrong."
"And Moses indeed was faithful in all His house as a servant, for a testimony of those things which would be spoken afterward","Môis sư pơm đĭch đam 'Bok Kei-Dei jang tơgŭm kơ đĭ-đăng hnam dơnŏ 'Bok Kei-Dei sơ̆. Sư jang tơnen dêh, sư jang kiơ̆ kơ 'Bok Kei-Dei pơkă hloi. Sư 'bok khan lê̆ hơdrol bơtho tơbăt kơ kon bơngai gah tơdrong ning-mônh."
"but Christ as a Son over His own house, whose house we are if we hold fast the confidence and the rejoicing of the hope firm to the end.","Mă Yêsu Krist Sư kư̆m jang trŏ thoi 'Bok Kei-Dei pơkă mơ̆n, mă Sư jang wei-lăng đĭ-đăng kơ hnam dơnŏ 'Bok Kei-Dei hloi, yua kơ Sư Kon 'Bok Kei-Dei. Lu bơ̆n, tơ̆ng bơ̆n oei lui kơjăp, bơ̆n kư̆m hnam dơnŏ Sư mơ̆n, dah bơ̆n oei gơnang kơ Sư tơgŭm bơ̆n khŏm khŏm."
"Therefore, as the Holy Spirit says: “Today, if you will hear His voice","Thoi noh na iĕm athei kiơ̆ kơ nơ̆r Yang Bơhngol 'Lơ̆ng khan sơ̆ thoi âu: “Đơ̆ng âu tơ anăp mưh iĕm kơtơ̆ng nơ̆r Inh pơma"
"Do not harden your hearts as in the rebellion, In the day of trial in the wilderness","iĕm 'nĕ pă arăng kơ̆l thoi lu yă 'bok iĕm mă oei tơ dêh glă sơ̆, lu sư kơchu dêh păng pơlong Inh lơ tơdrong tăm."
"Where your fathers tested Me, tried Me, And saw My works forty years.","Tơ anih âu boih lu yă 'bok iĕm pơlong Inh păng kơchu kơ Inh sơ̆. Lu sư 'bôh ră mơ̆n tơdrong Inh pơm 'lơ̆ng kơ lu sư kơplah lơ̆m puăn-jĭt sơnăm sơ̆."
"Therefore I was angry with that generation, And said, ‘They always go astray in their heart, And they have not known My ways.’","Kơlih kơ thoi noh na Inh hil kơ lu sư mah khan thoi âu: ‘Lơ̆m jơhngơ̆m đon iĕm ngăl 'maih chă tơdrong hơwơ̆l kuă kơ chu tơdrong Inh.’"
"So I swore in My wrath, ‘They shall not enter My rest.’ ”","Thoi noh na Inh hil kơ lu sư thoi âu: ‘Iĕm pơm thoi noh, iĕm ưh kơ gơh layơ wă mơ̆t pơdơh tơ dêh char Inh.’ ”"
"Beware, brethren, lest there be in any of you an evil heart of unbelief in departing from the living God","Ơ 'nhŏng oh, iĕm athei kơchăng hli kơ iĕm đei jơhngơ̆m kơnê̆ jing kuă kơ lui, achăng lê̆ 'Bok Kei-Dei Kră Yang mă arih ling-lang."
"but exhort one another daily, while it is called “Today,” lest any of you be hardened through the deceitfulness of sin.","Kơplah ahrei brei drâu oei tam mơ̆n, na rim năr iĕm athei pơlung dih băl, wă kơ đĭ-đăng kơ iĕm huay kơ lui kơ đe pơhlŭ pơlung iĕm pơm yoch jing arăng kơ̆l."
"For we have become partakers of Christ if we hold the beginning of our confidence steadfast to the end","Tơdah bơ̆n lui kơjăp khŏm khŏm truh năr tôch, bơ̆n gô oei hơdai hăm Yêsu Krist ling-lang. Tơdah bơ̆n ưh kơ kiơ̆ Sư khŏm khŏm, bơ̆n ưh kơ gơh oei hơdai hăm Sư ôh."
"while it is said: “Today, if you will hear His voice, Do not harden your hearts as in the rebellion.”","Thoi noh na 'Bok Kei-Dei khan sơ̆ thoi âu: “Đơ̆ng âu tơ anăp mưh iĕm kơtơ̆ng nơ̆r Inh pơma, iĕm 'nĕ pă arăng kơ̆l thoi lu yă 'bok iĕm mă oei tơ dêh glă sơ̆, lu sư kơchu dêh.”"
"For who, having heard, rebelled? Indeed, was it not all who came out of Egypt, led by Moses?","Kơplah noh sơ̆ đei lơ bơngai kơtơ̆ng nơ̆r 'Bok Kei-Dei boih, mă-lei lu sư ưh kơ chu. Lu bơngai noh boih Môis anhăk đơ̆ng dêh Êyiptơ."
"Now with whom was He angry forty years? Was it not with those who sinned, whose corpses fell in the wilderness?","Kơplah puăn-jĭt sơnăm noh sơ̆ 'Bok Kei-Dei hil kơ đe bu? Sư hil kơ lu bơngai Isơrael pơm yoch. 'Noh na lu sư lôch kơtă hloi tơ dêh glă."
"And to whom did He swear that they would not enter His rest, but to those who did not obey?","Bĭ Sư khan: Iĕm ưh kơ gơh layơ wă mơ̆t pơdơh tơ dêh char Inh, noh Sư hil kơ đe bu? Sư hil kơ lu bơngai mă ưh kơ chu Sư."
"So we see that they could not enter in because of unbelief.","'Noh bơ̆n băt nhên boih, lu sư ưh kơ gơh mơ̆t pơdơh tơ dêh char Sư, yua kơ lu bơngai noh ưh kơ đei đon lui."
"Therefore, since a promise remains of entering His rest, let us fear lest any of you seem to have come short of it.","'Bok Kei-Dei kư̆m pơkă kơ bơ̆n gơh mơ̆t pơdơh tơ dêh char Sư, thoi noh na bơ̆n athei kơchăng tơpă hli kơ bơ̆n lê̆ tơdrong lui, Sư ưh kơ ăn mơ̆t."
"For indeed the gospel was preached to us as well as to them; but the word which they heard did not profit them, not being mixed with faith in those who heard it.","Yua kơ bơ̆n kơtơ̆ng boih đe bơtho tơdrong 'nao 'lơ̆ng, thoi lu bơngai noh kơtơ̆ng sơ̆, mă ưh kơ yua kiơ kơ lu bơngai noh, kơlih kơ lu sư ưh kơ wă lui."
"For we who have believed do enter that rest, as He has said: “So I swore in My wrath, ‘They shall not enter My rest,’ ” although the works were finished from the foundation of the world.","Pôm bơ̆n bơngai lui gô mơ̆t pơdơh hăm Sư tơpă, yua kơ bơ̆n băt kơ Sư khan kơ lu bơngai noh sơ̆ khan: “Inh hil kơ lu sư thoi âu: ‘Iĕm pơm thoi noh, iĕm ưh kơ gơh layơ wă mơ̆t pơdơh tơ dêh char Inh.’ ” Lu bơngai noh ưh kơ gơh mơ̆t pơdơh hăm Sư, ưh kơ sĭ yua kơ anih hnam ưh kơ mah dah ưh kơ đei. Ưh ôh. Anih hnam hăm tôm tơdrong nai Sư hơmet lê̆ đơ̆ng blŭng-a Sư pơjing plĕnh păng teh sơ̆ boih."
"For He has spoken in a certain place of the seventh day in this way: “And God rested on the seventh day from all His works”","Yua kơ lăm hla bơar Sư kư̆m đei khan gah năr tơpơh noh sơ̆ thoi âu: “Truh năr tơpơh, 'Bok Kei-Dei pơdơh tôm kơ tơdrong jang Sư.”"
"and again in this place: “They shall not enter My rest.”","Na 'Bok Kei-Dei khan lu bơngai noh ưh kơ layơ gơh mơ̆t pơdơh hăm Sư tơ dêh char Sư, bơ̆n băt kơ Sư pơdơh boih gô kon bơngai pơdơh hơdai hăm Sư."
"Since therefore it remains that some must enter it, and those to whom it was first preached did not enter because of disobedience","Lu bơngai noh sơ̆ kơtơ̆ng boih đe bơtho tơdrong 'nao 'lơ̆ng, mă lu sư ưh kơ chu kuă kơ lui, noh na lu sư ưh kơ gơh mơ̆t pơdơh hăm Sư. Lu sư kuă lê̆, 'Bok Kei-Dei ăn kơ bơngai nai mơ̆t."
"again He designates a certain day, saying in David, “Today,” after such a long time, as it has been said: “Today, if you will hear His voice, Do not harden your hearts.”","Thoi noh đunh tơpă đơ̆ng rŏng kơ noh Sư athei Đawit pơma thoi nơ̆r inh roi kơ iĕm tơ kơpal noh hei, Sư khan: “Đơ̆ng âu tơ anăp mưh iĕm kơtơ̆ng nơ̆r Inh pơma, iĕm 'nĕ pă arăng kơ̆l.” Thoi noh na ahrei Sư ăn kơ kon bơngai mơ̆t pơdơh hăm Sư boih."
"For if Joshua had given them rest, then He would not afterward have spoken of another day.","Sơ̆ 'bok Jôsuê anhăk lu bôl sư bơngai Isơrael năm oei tơ minh pôm dêh 'Bok Kei-Dei ăn. Mă ưh kơ sĭ 'Bok Kei-Dei wă ăn kơ lu bơngai chăl Đawit sơ̆ oei pơdơh hơdai hăm Sư tơ dêh char noh ôh. Sư khan noh oei đunh tơpă ưh kơ băt dôm jơhnơr, Sư khan lê̆ kơ lu bơngai chăl Đawit wă kơ lu bơngai noh chu kơ Sư, Sư wă ăn mơ̆t oei tơ dêh char Sư tơ plĕnh."
"There remains therefore a rest for the people of God.","'Noh na ahrei Sư wă ăn kơ lu kon Sư mơ̆t pơdơh tơ Sư ling-lang, kư̆m thoi Sư pơdơh kơ tơdrong jang Sư năr tơpơh 'noh sơ̆."
"For he who has entered His rest has himself also ceased from his works as God did from His.","Bơngai bu pơdơh hăm 'Bok Kei-Dei, bơngai noh sư pơdơh kơ tơdrong jang Sư, thoi 'Bok Kei-Dei pơdơh kơ tơdrong jang Sư sơ̆."
"Let us therefore be diligent to enter that rest, lest anyone fall according to the same example of disobedience.","Kơlih kơ thoi noh na bơ̆n athei adrin lui mă tơpă wă kơ gơh mơ̆t pơdơh tơ 'Bok Kei-Dei păng wă kơ bơ̆n huay kơ đei bu hiong kơ tơdrong 'noh thoi lu bơngai arăng kơ̆l kuă kơ lui sơ̆."
"For the word of God is living and powerful, and sharper than any two-edged sword, piercing even to the division of soul and spirit, and of joints and marrow, and is a discerner of the thoughts and intents of the heart.","Yua kơ nơ̆r 'Bok Kei-Dei arih ling-lang, jăng dêh păng han hloh kơ đao 'bar pah măt, 'bet han klĕch tơ sĕch huan kơting, hrĕch kơtĕch jơhngơ̆m đơ̆ng bơhngol. Tơdrong Sư sek tơlang bơ̆n thoi noh. Sư băt tôm tơdrong đon tơchĕng kon bơngai 'maih pơm."
"And there is no creature hidden from His sight, but all things are naked and open to the eyes of Him to whom we must give account.","Ưh kơ đei tơdrong kiơ mă hlơp kơ 'Bok Kei-Dei tơ'ngla mă sek tơlang bơ̆n, Sư 'bôh nhên tôm tơdrong kon bơngai pơm."
"Seeing then that we have a great High Priest who has passed through the heavens, Jesus the Son of God, let us hold fast our confession.","Bơ̆n đei minh 'nu 'bok soi tih wei-lăng bơ̆n, Sư tŏk ưh kơ băt hơdôm tăl plĕnh, anăn Sư Yêsu Kon 'Bok Kei-Dei; noh na bơ̆n athei lui kơ Sư khŏm khŏm."
"For we do not have a High Priest who cannot sympathize with our weaknesses, but was in all points tempted as we are, yet without sin.","Sư ưh kơ sĭ 'bok soi mă ưh kơ băt mơnat kơ kon bơngai rơdu tơrăn ôh. Sư mơnat kơ bơ̆n tơpă, yua kơ Sư mơn kơdih hơdai đei tơdrong pơhlŭ thoi kon bơngai bơ̆n. Gah tơdrong pơm yoch, Sư ưh kơ đei pơm yoch kiơ ôh."
"Let us therefore come boldly to the throne of grace, that we may obtain mercy and find grace to help in time of need.","Thoi noh na bĕ bơ̆n năm jê̆ tơ anăp Sư. Huay kơ hli ôh, Sư mơnat kơ bơ̆n tơpă, Sư wă tơgŭm bơ̆n lơ̆m dôm tơdrong bơ̆n kăl yua."
"For every high priest taken from among men is appointed for men in things pertaining to God, that he may offer both gifts and sacrifices for sins.","Rim 'nu lu 'bok soi tih 'Bok Kei-Dei rơih iŏk sư đơ̆ng khŭl kon bơngai wă jang tang lu bôl sư lơ̆m tơdrong soi sơmah kơ 'Bok Kei-Dei, wă kơ 'Bok Kei-Dei huay kơ jô̆ yo kơ tơdrong yoch lu bôl sư."
"He can have compassion on those who are ignorant and going astray, since he himself is also subject to weakness.","Lu sư băt mơnat kơ lu bơngai mă kơhlôh kơwao, lu bơngai yoch, yua kơ lu sư kư̆m hơdai tơrăn lei-lăi thoi lu bôl buăl."
"Because of this he is required as for the people, so also for himself, to offer sacrifices for sins.","Ưh kơ sĭ lu sư pơyơ̆r tơmam soi yua kơ tơdrong yoch lu bôl buăl đĕch ôh, lu sư pơyơ̆r tơmam soi yua kơ tơdrong yoch lu sư kơdih hai."
"And no man takes this honor to himself, but he who is called by God, just as Aaron was.","Tơdrong pơm 'bok soi tih, tơ̆ng 'Bok Kei-Dei ưh kơ rơih iŏk, kon bơngai ưh kơ đei bu gơh pơm kơdih ôh; đơ̆ng 'Bok Kei-Dei rơih iŏk na kon bơngai gơh pơm. Thoi 'bok Arôn sơ̆ 'Bok Kei-Dei rơih iŏk 'mơ̆i na sư gơh pơm 'bok soi tih."
"So also Christ did not glorify Himself to become High Priest, but it was He who said to Him: “You are My Son, Today I have begotten You.”","Yêsu Krist kư̆m thoi noh, Sư ưh kơ gơh pôk akâu Sư kơdih pơm 'bok soi tih ôh, 'Bok Kei-Dei pôk Sư. 'Bok Kei-Dei khan kơ Sư thoi âu: “Ih boih Kon Inh, năr âu Inh wă ăn kơ Ih pơgơ̆r.”"
"As He also says in another place: “You are a priest forever According to the order of Melchizedek”","Tơ anih nai Sư kư̆m đei khan thoi âu: “Ih pơm 'bok soi ling-lang ưh kơ tôch, kiơ̆ kơ Ih adrĕch pơm tih thoi Mêlkisêdek.”"
"who, in the days of His flesh, when He had offered up prayers and supplications, with vehement cries and tears to Him who was able to save Him from death, and was heard because of His godly fear","Kơplah Yêsu oei tơ teh âu sơ̆, Sư krao pơret 'Bă Sư păng hmoi apơi kơ 'Bă Sư, yua kơ Sư băt kơ 'Bă Sư gơh tơdŏng Sư đơ̆ng tơdrong lôch. Na 'Bok Kei-Dei mơ̆ng Sư, yua kơ Sư chu yom kơ 'Bok Kei-Dei."
"though He was a Son, yet He learned obedience by the things which He suffered.","Mă khan Sư Kon 'Bok Kei-Dei, Sư kư̆m hơdai pơmat-tat, na Sư băt kơ adrin chu yom kơ 'Bok Kei-Dei."
"And having been perfected, He became the author of eternal salvation to all who obey Him","Sư pơm dôm tơdrong tơnen 'blep thoi 'Bok Kei-Dei, na 'Bok Kei-Dei ăn kơ Sư pơm tơm gah tơdrong dŏng pơklaih dôm lu bơngai mă băt chu kơ Kon Sư, đơ̆ng tơdrong phak ăn arih ling-lang"
"called by God as High Priest “according to the order of Melchizedek,”","yua kơ 'Bok Kei-Dei pôk Sư pơm 'bok soi tih kiơ̆ kơ Sư adrĕch tih Mêlkisêdek."
"of whom we have much to say, and hard to explain, since you have become dull of hearing.","Gah tơdrong 'bok 'noh inh 'maih roi tơblang kơ iĕm, mă inh gleh 'biơ̆ tơblang kơ iĕm, yua kơ iĕm ưh kơ gan hlôh."
