English, Bahnar
"The word of the LORD that came to Hosea the son of Beeri, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel.","Đei nơ̆r Kră Yang khan kơ Hôsia, kon drŏ-nglo Bêri, lăm chăl Usia Jôtham Ahas, Hesekia, lu pơtao đe Juđa. Lăm chăl Jêrôbôam, kon drŏ-nglo Jôas pơm pơtao đe Isơrael."
"When the LORD began to speak by Hosea, the LORD said to Hosea: “Go, take yourself a wife of harlotry And children of harlotry, For the land has committed great harlotry By departing from the LORD.”","Kơplah Kră Yang pơtơm khan kơ Hôsia, Kră Yang khan kơ sư: Năm bĕ, iŏk oei kơ akăn luĕl 'blal păng pơjing kon pơm kư̆ kă yua kơ lăm dêh char âu pơm pơyô kư̆ kă kơnê̆ dêh, đei achăng lê̆ Kră Yang."
"So he went and took Gomer the daughter of Diblaim, and she conceived and bore him a son.","Thoi noh Hôsia iŏk hĭ Gômer, kon adruh Diblaim, drŏ-kăn noh anăp na tơpŭ ăn minh 'nu kon drŏ-nglo."
"Then the LORD said to him: “Call his name Jezreel, For in a little while I will avenge the bloodshed of Jezreel on the house of Jehu, And bring an end to the kingdom of the house of Israel.","Na Kră Yang khan kơ sư: “Athei krao anăn sư Jêsreel, yua kơ ưh pă đunh dơ̆ng boih, Inh gô phak adrĕch Jêhu yua kơ pham lu bơngai sư pơlôch tơ Jêsreel păng Inh gô pơtôch lê̆ dêh char Isơrael."
"It shall come to pass in that day That I will break the bow of Israel in the Valley of Jezreel.”","Lăm năr noh Inh gô gơ̆ lê̆ hră lu bơngai Isơrael tơ lăm Thŭng Jêsreel.”"
"And she conceived again and bore a daughter. Then God said to him: “Call her name Lo-Ruhamah, For I will no longer have mercy on the house of Israel, But I will utterly take them away.","Akăn sư anăp dơ̆ng na tơpŭ ăn kơ sư minh 'nu kon drŏ-kăn, na Kră Yang khan kơ Hôsia: “Ih krao anăn sư Lôruhama, yua kơ Inh ưh pă đei 'mêm mơnat dơ̆ng boih kơ adrĕch Isơrael, wă kơ Inh kư̆m ưh pă mơnat pơklaih tơdrong yoch kơnê̆ lu sư dơ̆ng."
"Yet I will have mercy on the house of Judah, Will save them by the LORD their God, And will not save them by bow, Nor by sword or battle, By horses or horsemen.”","Mă-lei Inh gô 'mêm mơnat kơ adrĕch Juđa; Inh Kră Yang 'Bok Kei-Dei lu sư gô dŏng pơklaih lu sư, Inh ưh kơ pơklaih lu sư hăm hră dah hăm đao gưm ôh; dah tơdrong tơblah, hăm aseh, dah hăm bơngai hao aseh ôh."
"Now when she had weaned Lo-Ruhamah, she conceived and bore a son.","Truh tơ Lôruhama pă mŏm boih, mĕ sư anăp tơpŭ dơ̆ng minh 'nu kon drŏ-nglo."
"Then God said: “Call his name Lo-Ammi, For you are not My people, And I will not be your God.","Kră Yang khan kơ Hôsia: “Anăn bĕ sư Lôami, yua kơ lu iĕm ưh pă jing kon pơlei Inh dơ̆ng boih, noh wă khan Inh kư̆m ưh pă jing Kră Yang 'Bok Kei-Dei lu iĕm dơ̆ng.”"
"“Yet the number of the children of Israel Shall be as the sand of the sea, Which cannot be measured or numbered. And it shall come to pass In the place where it was said to them, ‘You are not My people,’ There it shall be said to them, ‘You are sons of the living God.’","Mă-lei ră kon sâu Isơrael gô jing lơ thoi chuơh cheng đak dơsĭ, ưh kơ kĕ kơ jô̆, pă kĕ tơng. Kơplah noh kơnh, ki Inh krao lu iĕm âu ưh pă trŏ kon pơlei Inh boih, na dang ei Inh gô krao lu iĕm jing kon Kră Yang 'Bok Kei-Dei mă arih ling-lang."
"Then the children of Judah and the children of Israel Shall be gathered together, And appoint for themselves one head; And they shall come up out of the land, For great will be the day of Jezreel!","Kon sâu Juđa păng kon sâu Isơrael gô pơgơ̆p băl; păng gô pơjing pôk minh 'nu pơm yŏng pơgơ̆r đĭ-đăng lu sư đơ̆ng noh lu sư gô rai lơ lăm teh đak noh, yua kơ năr Jêsreel noh năr tih tơpă."
"Say to your brethren, ‘My people,’ And to your sisters, ‘Mercy is shown.’","“Krao bĕ kơ 'nhŏng oh lu iĕm: Ami kon pơlei Inh păng mŏ oh lu iĕm: Ruhama, Inh đei mơnat boih."
"“Bring charges against your mother, bring charges; For she is not My wife, nor am I her Husband! Let her put away her harlotries from her sight, And her adulteries from between her breasts","Chrih bĕ kơ mĕ lu iĕm, chrih bĕ yua kơ sư noh ưh kơ sĭ akăn Inh, Inh kư̆m ưh kơ sĭ kơ klo sư! Sư athei hŭt lê̆ mă ataih tơdrong pơm pơyô kư̆ kă đơ̆ng sư tơdrong kơđang kơ̆l hơko đơ̆ng alam toh sư"
