English, Bahnar
"The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.","Êsai kon drŏ-nglo Amôt đei Kră Yang tơ'bôh kơ sư gah teh đak Juđa păng pơlei Jêrusalem, lăm chăl Usia, Jôtham, Ahas păng Hesekia lu pơtao teh đak Juđa."
"Hear, O heavens, and give ear, O earth! For the LORD has spoken: “I have nourished and brought up children, And they have rebelled against Me","Ơ lu tăl plĕnh mơ̆ng bĕ! Ơ teh pơgling đon mơ̆ng bĕ, yua kơ Kră Yang pơma khan: “Inh wei rong lu kon hơ'lơ̆p Inh, dĭng truh kơ 'lŏ mă-lei lu sư plơ̆ blah Inh."
"The ox knows its owner And the donkey its master’s crib; But Israel does not know, My people do not consider.”","Rơmo băt kơ tơ'ngla, aseh băt kơ bơng 'nhĕt tơ'ngla sư, mă-lei bơngai Isơrael ưh kơ băt, kon pơlei Inh ưh kơ hlôh ôh.”"
"Alas, sinful nation, A people laden with iniquity, A brood of evildoers, Children who are corrupters! They have forsaken the LORD, They have provoked to anger The Holy One of Israel, They have turned away backward.","Ô dêh char yoch kơnê̆ dêh, kon pơlei pơla pơm yoch kơnê̆ trăp dêh tơpă, Adrĕch adrung pơm kơnê̆ dêh, lu kon hơ'lơ̆p pơm kư̆ kă, lu sư achăng hŭt Kră Yang. Lu sư Pơjăm Kră Yang 'Lơ̆ng tơpăt Isơrael, lu sư weh tơklah ataih bơih."
"Why should you be stricken again? You will revolt more and more. The whole head is sick, And the whole heart faints.","Lơliơ lu iĕm wă kơ oei teh hơnơ̆ng? Yua kơ kiơ lu iĕm oei 'maih blah plơ̆ ling-lang? Rim kơ̆l lu iĕm đĭ rơka, jơhngơ̆m lu iĕm đĭ jĭ bơih."
"From the sole of the foot even to the head, There is no soundness in it, But wounds and bruises and putrefying sores; They have not been closed or bound up, Or soothed with ointment.","Đơ̆ng tơpang jơ̆ng truh tơ kơpal kơ̆l, ưh kơ đei 'bơ̆t yơ 'lơ̆ng. Tă kơ pơ'ngeh đêl teh păng rơka pham ro, tam mă ôp hăm pơ̆n hơmet păng tam mă pik đak pơgang rơmă ôliwơ mơ̆n."
"Your country is desolate, Your cities are burned with fire; Strangers devour your land in your presence; And it is desolate, as overthrown by strangers.","Dêh char lu iĕm jing juơ, lu pơlei tih iĕm ŭnh sa đĭ, lu bơngai tơmoi tơgar iŏk teh choh iĕm 'bơ̆t anăp lu iĕm, teh lu iĕm jing juơ rơhiăng thoi lĕ bơngai tơmoi pơrăm tơgar iŏk bơih."
"So the daughter of Zion is left as a booth in a vineyard, As a hut in a garden of cucumbers, As a besieged city.","Adruh Siôn ưh pă đei bu oei tơ noh, thoi đe tŭk lê̆ pơk mir hơmu, thoi pơk mir mơkai, thoi pơlei đe wang."
"Unless the LORD of hosts Had left to us a very small remnant, We would have become like Sodom, We would have been made like Gomorrah.","Tơdah Kră Yang Tih Hloh ưh kơ lê̆ bơ̆n arih hơya tŏ sĕt, lei lu bơ̆n kư̆m răm lei-lăi thoi pơlei Sôđôm păng thoi pơlei Gômôrơ mơ̆n."
"Hear the word of the LORD, You rulers of Sodom; Give ear to the law of our God, You people of Gomorrah","Ơ lu kră wei-lăng plei Sôđôm, mơ̆ng bĕ nơ̆r Kră Yang khan. Ơ kon pơlei Gômôrơ, pơgling đon iĕm mơ̆ng bĕ khôi juăt Kră Yang 'Bok Kei-Dei lu bơ̆n."
