English, Bahnar
"James, a bondservant of God and of the Lord Jesus Christ, To the twelve tribes which are scattered abroad: Greetings.","Inh Yakơ đĭch đam 'Bok Kei-Dei hăm đĭch đam Kră Yang bơ̆n Yêsu Krist chih hơpong kơ mơjĭt-'bar khŭl bơngai Isơrael đĭ tơklah tơklang, tơ kông minh hlak tơ đak minh găr jơ̆p kơ teh đak, kơkuh hmach tôm kơ iĕm."
"My brethren, count it all joy when you fall into various trials","Ơ lu 'nhŏng oh inh, mă iĕm đei tơdrong gleh kiơ truh kơ iĕm, iĕm athei hiôk đĕch hŏ"
"knowing that the testing of your faith produces patience.","yua kơ iĕm băt boih, tơ̆ng bơ̆n đei lơ tơdrong gleh, tơdrong gleh noh wă pơlong lăng tơdrong lui bơ̆n, kư̆m bưh mơ̆n, wă kơ bơ̆n lui kơjăp."
"But let patience have its perfect work, that you may be perfect and complete, lacking nothing.","Păng bơ̆n athei adrin lui kơjăp khŏm khŏm wă kơ bơ̆n jing bơngai tơpăt huay kơ'bah tơdrong kiơ."
"If any of you lacks wisdom, let him ask of God, who gives to all liberally and without reproach, and it will be given to him.","Tơ̆ng đei lăm lu iĕm bơngai bu ưh tam gan hlôh tơdrong 'Bok Kei-Dei, bơngai noh athei apinh 'Bok Kei-Dei ăn kơ sư hlôh. Na 'Bok Kei-Dei gô ăn kơ sư hlôh tơpă, yua kơ 'Bok Kei-Dei hơlăng dêh, Sư ưh kơ kret ôh kơ lu bơngai mă apinh Sư păng Sư huay kơ hil kơ lu bơngai mă apinh Sư noh."
"But let him ask in faith, with no doubting, for he who doubts is like a wave of the sea driven and tossed by the wind.","Mă-lei bơ̆n athei lui kơ tơdrong bơ̆n krao khan noh gô đei tơpă, na Sư 'maih tơgŭm. Tơ̆ng bơ̆n tơchĕng ưh kơ ngêh kơ đei, thoi noh 'Bok Kei-Dei ưh kơ wă tơgŭm bơ̆n ôh. Bơngai tơchĕng thoi noh sư dang lĕ kơ đak dơsĭ kial dơhlu"
"For let not that man suppose that he will receive anything from the Lord","mă pơm tơdrong kiơ kiơ sư kư̆m ưh kơ hơnơ̆ng 'mơ̆i, yua kơ sư tơchĕng đon 'bar pah, na 'Bok Kei-Dei ưh kơ wă tơgŭm ôh."
"he is a double-minded man, unstable in all his ways.","mă pơm tơdrong kiơ kiơ sư kư̆m ưh kơ hơnơ̆ng 'mơ̆i, yua kơ sư tơchĕng đon 'bar pah, na 'Bok Kei-Dei ưh kơ wă tơgŭm ôh."
"Let the lowly brother glory in his exaltation","Lăm lu 'nhŏng oh bơ̆n bơngai bu dơnuh hin, sư kư̆m hiôk bĕ yua kơ 'Bok Kei-Dei jô̆ jing kon Sư."
"but the rich in his humiliation, because as a flower of the field he will pass away.","Bơngai bu mơdrŏng jing dơnuh hin sư kư̆m hiôk bĕ, yua kơ tơdrong mơdrŏng sư ưh kơ kăl ôh. Lu bơngai mơdrŏng gô hiong hiach thoi pơkao 'long bri brah."
"For no sooner has the sun risen with a burning heat than it withers the grass; its flower falls, and its beautiful appearance perishes. So the rich man also will fade away in his pursuits.","Pơkao 'long bri brah, mưh truh kơ 'năr tŏ dêh, hla sư jing jô, pơkao sư hơlŭng hơliĕng, lăng sư ưh pă 'lơ̆ng rŏ thoi 'năr rơngơp boih. Bơngai mơdrŏng kư̆m lei-lăi, sư hăt dêh kơ chă mŭk tơmam wă kơ mơdrŏng, mă sư gô lôch hiong hloi."
"Blessed is the man who endures temptation; for when he has been approved, he will receive the crown of life which the Lord has promised to those who love Him.","Bơngai bu đei tơdrong đe pơlong lăng sư, tơdrong gleh truh kơ sư mă sư oei lui kơ 'Bok Kei-Dei kơjăp, bơngai noh hiôk rai loi; 'Bok Kei-Dei gô ăn kơ sư arih hiôk-hian ling-lang tơpă. Tơdrong 'noh Sư pơkă kơ rim 'nu bơngai, bơngai bu mă 'mêm kơ Sư."
"Let no one say when he is tempted, “I am tempted by God”; for God cannot be tempted by evil, nor does He Himself tempt anyone.","Tơ̆ng bơ̆n đei tơdrong pơhlŭ, pơm kơ bơ̆n yoch boih, bơ̆n 'nĕ khan 'Bok Kei-Dei pơhlŭ. Yua kơ ưh kơ đei bu gơh pơhlŭ 'Bok Kei-Dei pơm yoch păng 'Bok Kei-Dei ưh kơ đei layơ wă pơhlŭ kon bơngai pơm yoch."
"But each one is tempted when he is drawn away by his own desires and enticed.","Tơdrong 'noh lăm jơhngơ̆m bơ̆n hưch hanh 'maih pơm tơdrong âu tơdrong to, na pơhlŭ bơ̆n"
"Then, when desire has conceived, it gives birth to sin; and sin, when it is full-grown, brings forth death.","jing pơm yoch. Tơdrong yoch bơ̆n rai tih rai lơ boih, na bơ̆n gô truh kơ tơdrong lôch."
"Do not be deceived, my beloved brethren.","Ơ lu 'nhŏng oh mă inh 'mêm kơeng, dang ei iĕm băt boih tơdrong 'noh, na iĕm 'nĕ pă tơchĕng khan 'Bok Kei-Dei pơhlŭ bơ̆n pơm yoch."
"Every good gift and every perfect gift is from above, and comes down from the Father of lights, with whom there is no variation or shadow of turning.","Yua kơ tơdrong hiôk tơdrong 'lơ̆ng ưh kơ lĕch đơ̆ng nai ôh, tă lĕch đơ̆ng 'Bok Kei-Dei ngăl. Sư boih pơjing ăn kơ bơ̆n tôm tơdrong hơdah, thoi kơ măt 'năr, măt khei, lu sơnglŏng. Sư pơchrang hơdah kơ bơ̆n ling-lang ưh kơ tơplih kiơ phara ôh."
"Of His own will He brought us forth by the word of truth, that we might be a kind of firstfruits of His creatures.","'Bok Kei-Dei ăn kơ bơ̆n jing bơngai 'nao Sư wă kơdih đĕch, na Sư ăn kơ bơ̆n kơtơ̆ng tơdrong Sư, lu bơ̆n jing thoi 'ba hrôih kơ lu bơngai nai yua kơ bơ̆n lui hơdrol."
"So then, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath","Ơ lu 'nhŏng oh mă inh 'mêm kơeng, bơ̆n băt kơ thoi noh boih, na đĭ-đăng kơ bơ̆n athei adrin mơ̆ng tơdrong đe bơtho, mơ̆ng mă tơpă, 'nĕ hăt kơ pơma hil kơ đe bơtho."
"for the wrath of man does not produce the righteousness of God.","Bơngai bu hil kơ đe, bơngai noh ưh kơ băt pơm 'lơ̆ng tơpăt thoi 'Bok Kei-Dei wă ôh."
"Therefore lay aside all filthiness and overflow of wickedness, and receive with meekness the implanted word, which is able to save your souls.","Thoi noh na bơ̆n athei lê̆ đĭ dôm tơdrong kơnê̆ 'mê̆-'mach păng chu yom kơ 'Bok Kei-Dei. Bơ̆n athei lui kơ nơ̆r Sư na bơ̆n gơh klaih đơ̆ng tơdrong yoch."
"But be doers of the word, and not hearers only, deceiving yourselves.","Păng bơ̆n 'nĕ kơ mơ̆ng lăm đon đĕch, khan 'Bok Kei-Dei kư̆m iŏk. Ưh ôh, bơ̆n mơ̆ng păng pơm kiơ̆ hloi dôm tơdrong đe bơtho, noh na 'Bok Kei-Dei iŏk."
"For if anyone is a hearer of the word and not a doer, he is like a man observing his natural face in a mirror","Bơngai bu mơ̆ng đe bơtho tơdrong 'Bok Kei-Dei, mă mơ̆ng đĕch ưh kơ pơm kiơ̆, bơngai noh dang bơ̆n lăng muh măt bơ̆n tơ lăm amĭl."
"for he observes himself, goes away, and immediately forgets what kind of man he was.","Kơplah bơ̆n lăng muh măt bơ̆n tơ lăm amĭl, bơ̆n 'bôh nhên đĭ; mưh bơ̆n năm tơ nai, bơ̆n hiơt boih kơ muh măt bơ̆n thoi yơ."
"But he who looks into the perfect law of liberty and continues in it, and is not a forgetful hearer but a doer of the work, this one will be blessed in what he does.","Na gah tơdrong mơ̆ng đe bơtho tơdrong 'Bok Kei-Dei pơkă, bơngai bu mơ̆ng hăm pơm kiơ̆, ưh kơ hiơt dôm tơdrong đe bơtho, bơngai noh hiôk tơpă boih, yua kơ tơdrong 'Bok Kei-Dei 'lơ̆ng tơpă ăn kơ kon bơngai bơ̆n klaih rơngei đơ̆ng tơdrong yoch."
