English, Bahnar
"Now after the death of Joshua it came to pass that the children of Israel asked the LORD, saying, “Who shall be first to go up for us against the Canaanites to fight against them?”","Đơ̆ng rŏng kơ Jôsuê lôch, kon pơlei Isơrael krao apinh Kră Yang khan: Bơngai bu lăm lu nhôn athei năm blah păng kon pơlei Kanaan adrol?"
"And the LORD said, “Judah shall go up. Indeed I have delivered the land into his hand.”","Kră Yang tơl: Lu bơngai Juđa iĕm boih athei năm adrol; to Inh pơjao boih, dêh char lăm ti lu sư."
"So Judah said to Simeon his brother, “Come up with me to my allotted territory, that we may fight against the Canaanites; and I will likewise go with you to your allotted territory.” And Simeon went with him.","Bơngai Juđa pơma dơnuh hăm bơngai Simêôn, 'nhŏng oh lu sư, sư khan: Bĕ bơ̆n năm hơdai nhôn tơ teh đei hlang lăng trŏ kơ nhôn boih, na lu bơ̆n gô blah kon pơlei Kanaan; đơ̆ng noh nhôn gô năm hơdai lu 'nhŏng oh truh tơ dêh char mă đei hlang lăng boih trŏ kơ 'nhŏng oh. Bơngai Simêôn năm hơdai hăm lu sư."
"Then Judah went up, and the LORD delivered the Canaanites and the Perizzites into their hand; and they killed ten thousand men at Bezek.","Thoi noh lu bơngai Juđa năm, Kră Yang jao kon pơlei Kanaan păng kon pơlei Phêrêsit lăm ti lu sư; tơ Bêsek sư blah pơlôch mơjĭt-rơbâu 'nu bơngai."
"And they found Adoni-Bezek in Bezek, and fought against him; and they defeated the Canaanites and the Perizzites.","Tơ Bêsek kư̆m đei tơ'bơ̆p Ađôni Bêsek, na blah lu sư, păng kon pơlei Kanaan păng kon pơlei Phêrsit."
"Then Adoni-Bezek fled, and they pursued him and caught him and cut off his thumbs and big toes.","Ađôni Bêsek kơdâu ôn mă-lei lu sư druh 'moi đei rôp sư chơ̆ng lê̆ hơnglâu yŏng ti păng hơnglâu yŏng jơ̆ng sư."
"And Adoni-Bezek said, “Seventy kings with their thumbs and big toes cut off used to gather scraps under my table; as I have done, so God has repaid me.” Then they brought him to Jerusalem, and there he died.","Kơplah noh Ađôni Bêsek khan: Sơ̆ đei tơpơh-jĭt 'nu pơtao đe chơ̆ng hơnglâu yŏng ti păng hơnglâu Yŏng jơ̆ng boih, lu sư chă dônh sa tơmam sa huŏng ala kơ 'bang inh. Tơdrong mă đêl inh pơm Kră Yang 'Bok Kei-Dei pơm tơwih kơ inh. Lu sư chông ba sư truh tơ pơlei Jêrusalem păng sư lôch tơ noh."
"Now the children of Judah fought against Jerusalem and took it; they struck it with the edge of the sword and set the city on fire.","Bơngai Juđa blah iŏk pơlei Jêrusalem; lu sư yua đao pơlôch kon pơlei păng klơ̆m ŭnh soh pơlei."
"And afterward the children of Judah went down to fight against the Canaanites who dwelt in the mountains, in the South, and in the lowland.","Đơ̆ng noh lu bơngai Juđa jur năm blah kon pơlei Kanaan mă oei tơ kơpal groi kông, tơ gah gơal păng tơ anih dơhnă"
"Then Judah went against the Canaanites who dwelt in Hebron. (Now the name of Hebron was formerly Kirjath Arba.) And they killed Sheshai, Ahiman, and Talmai.","Đơ̆ng noh lu sư blah kon pơlei Kanaan oei tơ Hêbrôna păng blah Sêsai, Ahiman, hăm Tanmai."
"From there they went against the inhabitants of Debir. (The name of Debir was formerly Kirjath Sepher.)","Đơ̆ng noh bơngai Juđa năm blah kon pơlei oei tơ pơlei Đêbir.b"
"Then Caleb said, “Whoever attacks Kirjath Sepher and takes it, to him I will give my daughter Achsah as wife.”","Kalep khan: Bu năm blah iŏk đei Kirat Sêpher, na gô ăn sư oei kơ kon adruh inh Aksa."
"And Othniel the son of Kenaz, Caleb’s younger brother, took it; so he gave him his daughter Achsah as wife.","Kơplah noh, Ôtniêl kon tơdăm Kêna, oh Kalep blah iŏk pơlei noh na Kalep iŏk kon adruh sư anăn Aksa pơm akăn Ôtniêl."
