English, Bahnar
"The words of Jeremiah the son of Hilkiah, of the priests who were in Anathoth in the land of Benjamin","Nơ̆r Jêrêmi kon drŏ-nglo Hilkia. Sư minh lăm lu 'bok soi oei tơ pơlei Anathôt, lăm char Bênjamin."
"to whom the word of the LORD came in the days of Josiah the son of Amon, king of Judah, in the thirteenth year of his reign.","Kră Yang khan kơ sư lăm sơnăm mơjĭt-pêng kơplah Jôsia, kon drŏ-nglo Ammôn pơgơ̆r pơm pơtao đe Juđa."
"It came also in the days of Jehoiakim the son of Josiah, king of Judah, until the end of the eleventh year of Zedekiah the son of Josiah, king of Judah, until the carrying away of Jerusalem captive in the fifth month.","Kră Yang đei khan kơ sư dơ̆ng lăm chăl Jêhôiakim kon drŏ-nglo Jôsia pơm pơtao đe Juđa, dĭng truh tơ khei pơđăm sơnăm mơjĭt-mônh chăl pơtao Sêđekia kon drŏ-nglo Jôsia pơm pơtao đe Juđa, kơplah noh mă đe rôp kon pơlei Jêrusalem pơm bơnă."
"Then the word of the LORD came to me, saying","Kră Yang khan kơ inh thoi âu"
"“Before I formed you in the womb I knew you; Before you were born I sanctified you; I ordained you a prophet to the nations.”","“Inh băt kơ ih adrol kơ Inh pơjing ih lăm klak mĕ ih; adrol kơ đe tơpŭ kơ ih, Inh rơih iŏk ih, Inh wă ăn kơ ih jing bơngai khan lê̆ adrol kơ jơ̆p teh đak.”"
"Then said I: “Ah, Lord GOD! Behold, I cannot speak, for I am a youth.”","Inh tơl: “Ơ Kră Yang! Inh ưh kơ băt wă pơma kiơ, yua kơ inh oei 'lơ̆p."
"But the LORD said to me: “Do not say, ‘I am a youth,’ For you shall go to all to whom I send you, And whatever I command you, you shall speak.","Mă-lei Kră Yang khan kơ inh: 'Nĕ pơma khan inh oei 'lơ̆p;” yua kơ ih gô năm tơ jơ̆p-jang anih tơ yơ mă Inh wơh ih, ih gô pơma roi dôm nơ̆r mă Inh đei tơbăt ăn kơ ih pơma."
"Do not be afraid of their faces, For I am with you to deliver you,” says the LORD.","“'Nĕ hli kơ lu sư ôh, yua kơ Inh oei hơdai ih wă dŏng pơklaih ih.” Kră Yang khan."
"Then the LORD put forth His hand and touched my mouth, and the LORD said to me: “Behold, I have put My words in your mouth.","Kră Yang yơ̆r ti Sư pel 'bơ̆r inh, Kră Yang khan kơ inh: “Âu, Inh dan boih nơ̆r Inh lăm 'bơ̆r ih.”"
"See, I have this day set you over the nations and over the kingdoms, To root out and to pull down, To destroy and to throw down, To build and to plant.”","Năr 'nâu Inh pôk ih pơm yŏng kơ đĭ kon pơlei pơla păng đĭ kơ dêh char, ih gơh buch păng hŭt lê̆, dah pơrăm păng pơlôch dah man tơiung păng pơtăm ming."
"Moreover the word of the LORD came to me, saying, “Jeremiah, what do you see?” And I said, “I see a branch of an almond tree.”","Kră Yang khan kơ inh dơ̆ng: “Ơ Jêrêmi, ih 'bôh kiơ?” Inh tơl: “Inh 'bôh minh pôm dơng 'long hơđơ̆r.”"
"Then the LORD said to me, “You have seen well, for I am ready to perform My word.”","Kră Yang khan kơ inh: “Ih 'bôh trŏ boih, Inh hơđơ̆r wă pơsĭt nơ̆r Inh khan.”"
"And the word of the LORD came to me the second time, saying, “What do you see?” And I said, “I see a boiling pot, and it is facing away from the north.”","Kră Yang khan kơ inh wơ̆t mă 'bar: “Ih 'bôh kiơ?” Inh tơl: “Inh 'bôh minh pôm gŏ oei blôk 'bơ̆r sư grê đơ̆ng gah yă-nơ̆m."
"Then the LORD said to me: “Out of the north calamity shall break forth On all the inhabitants of the land.","Kră Yang khan kơ inh: “Đơ̆ng gah yă-nơ̆m gô đei tơdrong gleh truh kơ đĭ-đăng kon pơlei lăm teh âu.”"
"For behold, I am calling All the families of the kingdoms of the north,” says the LORD; “They shall come and each one set his throne At the entrance of the gates of Jerusalem, Against all its walls all around, And against all the cities of Judah.","'Nâu Kră Yang khan: “Inh gô krao lu adrĕch adrung đơ̆ng dêh char gah yă-nơ̆m,” Lu sư gô truh, rim 'nu lu sư kư̆m gô pơdơ̆ng anih pơtao lu sư tơ 'măng jang pơlei Jêrusalem; wă pơrăm dur tăp dăr kơ pơlei păng pơrăm đĭ lu pơlei lăm char Juđa."
"I will utter My judgments Against them concerning all their wickedness, Because they have forsaken Me, Burned incense to other gods, And worshiped the works of their own hands.","Inh gô sek tơlang kon pơlei Inh, yua kơ đơ̆ng tơdrong kơnê̆ lu sư pơm, lu sư achăng lê̆ Inh, soh 'long 'bâu phu ăn kơ yang nai păng kơkuh kơ yang mă đơ̆ng ti lu sư pơm kơdih."
"“Therefore prepare yourself and arise, And speak to them all that I command you. Do not be dismayed before their faces, Lest I dismay you before them.","Gah ih, tơ̆n bĕ tơlei tơ̆n, iung bĕ păng khan tơbăt ăn kơ lu sư dôm tơdrong mă Inh đei tơbăt ăn kơ ih boih. 'Nĕ kơ hli kơ lu sư, kơnh hli kơ Inh pơm kơ ih hli 'bơ̆t anăp lu sư."
"For behold, I have made you this day A fortified city and an iron pillar, And bronze walls against the whole land— Against the kings of Judah, Against its princes, Against its priests, And against the people of the land.","Âu, năr 'nâu, Inh ăn kơ ih thoi minh pôm pơlei kơjăp, jrăng hăm mam, man dur hăm kong, wă tơblah hăm đĭ-đăng lu dêh char, hăm lu pơtao dêh Juđa, hăm lu 'bok soi, hăm lu kon pơlei pơla."
"They will fight against you, But they shall not prevail against you. For I am with you,” says the LORD, “to deliver you.”","Lu sư gô tơblah hăm ih; mă-lei lu sư ưh kơ kĕ kơ ih ôh, yua kơ Inh oei hơdai ih, dŏng pơklaih ih, Kră Yang khan.a"
"Moreover the word of the LORD came to me, saying","Kră Yang khan kơ inh"
"“Go and cry in the hearing of Jerusalem, saying, ‘Thus says the LORD: “I remember you, The kindness of your youth, The love of your betrothal, When you went after Me in the wilderness, In a land not sown.","“Năm roi bĕ tơ lăm đon kon pơlei Jêrusalem: ‘Inh 'blŏk kơ iĕm kơplah iĕm oei 'lơ̆p sơ̆, iĕm oei hơyuh 'mêm kơ Inh kơjăp thoi mŏ mai iĕm kiơ̆ Inh lăm char 'blach, tơ teh mă ưh kơ đei rei pơtăm."
"Israel was holiness to the LORD, The firstfruits of His increase. All that devour him will offend; Disaster will come upon them,” says the LORD.’ ”","Isơrael boih minh adrĕch adrung 'lơ̆ng rơgoh 'măn kơ Kră Yang, plei blŭng-a đơ̆ng tơdrong jang Sư. Na bơngai bu mă luăn sa kon pơlei noh gô jô̆ yoch; tơdrong răm gô truh tơ lu sư.’ ” Noh Kră Yang khan."
"Hear the word of the LORD, O house of Jacob and all the families of the house of Israel.","“Ơ adrĕch Jakôp păng đĭ kon sâu Isơrael mơ̆ng bĕ nơ̆r Kră Yang khan”"
"Thus says the LORD: “What injustice have your fathers found in Me, That they have gone far from Me, Have followed idols, And have become idolaters?","Kră Yang khan: “Yă 'bok lu iĕm đei 'bôh tơdrong kiơ mă ưh kơ tơpăt lăm Inh dĭng mah lu sư weh ataih đơ̆ng Inh Kiơ̆ lu yang kơnê̆ păng jing bơngai ưh kơ yua kiơ?"
"Neither did they say, ‘Where is the LORD, Who brought us up out of the land of Egypt, Who led us through the wilderness, Through a land of deserts and pits, Through a land of drought and the shadow of death, Through a land that no one crossed And where no one dwelt?’","Lu sư ưh pă jet khan: ‘Tơ yơ Kră Yang Sư boih mă pơklaih tơlĕch bơ̆n đơ̆ng dêh char Êyiptơ păng chông ba bơ̆n rok lăm char glă, 'bĕnh-'bang kơ sơlŭng, lăm char teh hrĕng kro păng măng mu tơdrong lôch, lăm teh đak mă ưh kơ đei bu rok păng ưh kơ đei bu oei.’"
"I brought you into a bountiful country, To eat its fruit and its goodness. But when you entered, you defiled My land And made My heritage an abomination.","Inh chông ba iĕm mơ̆t lăm teh đak mơ̆r 'lơ̆ng, ăn kơ iĕm yua sa plei 'long păng yua iŏk lu tơmam sa 'lơ̆ng. Mă-lei lăp 'nao truh lu iĕm pơm pơ'mê̆ hloi kơ teh đak Inh, pơm kơ dôm tơdrong Inh pơjing đe lăng krưp."
"The priests did not say, ‘Where is the LORD?’ And those who handle the law did not know Me; The rulers also transgressed against Me; The prophets prophesied by Baal, And walked after things that do not profit.","Lu 'bok soi ưh pă jet: ‘Tơ yơ Kră Yang?’ Lu 'bok bơtho khôi juăt ưh pă băt kơ Inh dơ̆ng. Lu bơngai pơgơ̆r blah Inh. Lu 'bok khan lê̆ adrol yua anăn yang Baal na khan lê̆ adrol, kiơ̆ lu yang nai ưh kơ đei yua kiơ."
"“Therefore I will yet bring charges against you,” says the LORD, “And against your children’s children I will bring charges.","Kră Yang khan: “Thoi noh na Inh jô̆ lu iĕm yoch păng truh tơ sâu se lu iĕm mơ̆n."
"For pass beyond the coasts of Cyprus and see, Send to Kedar and consider diligently, And see if there has been such a thing.","Yak bĕ rok bŏl Kitim na lăng! Ăn bĕ kơ bơngai năm truh tơ Kêdar wă lăng hơlen, lăng lăng hăm đei layơ tơdrong truh trŏ 'blep thoi noh ưh."
"Has a nation changed its gods, Which are not gods? But My people have changed their Glory For what does not profit.","Hăm đei teh đak ayơ tơplih boih yang lu sư, mă khan yang noh ưh kơ trŏ kơ yang tơpă? Mă-lei kon pơlei Inh tơplih boih tơdrong ư-ang Inh hăm tơdrong ưh kơ yua kiơ!"
"Be astonished, O heavens, at this, And be horribly afraid; Be very desolate,” says the LORD.","Ơ lu tăl plĕnh lăng krưp bĕ kơ tơdrong 'nâu, hli tơtơ̆ păng hli krưp bĕ,” Kră Yang khan thoi noh."
"“For My people have committed two evils: They have forsaken Me, the fountain of living waters, And hewn themselves cisterns—broken cisterns that can hold no water.","“Kon pơlei Inh đei pơm boih 'bar tơdrong yoch kơnê̆. Lu sư achăng lê̆ Inh, jơ̆ tu đak tơdrong arih păng chă sir sơlŭng mong đak kơdih, tơpă sơlŭng noh hơđang, ưh kơ gơh mong đak."
"“Is Israel a servant? Is he a homeborn slave? Why is he plundered?","Isơrael hăm trŏ kơ đĭch đam dah bơngai jang mă tơpŭ lăm hnam yŏng tơ'ngla sư? Yua kơ kiơ lu sư jing tơmam đe plah iŏk?"
"The young lions roared at him, and growled; They made his land waste; His cities are burned, without inhabitant.","Dăm-brang ôr grĕnh, hơnganh bruh tơ sư. Pơm ăn kơ teh đak sư jing juơ. Lu pơlei tih sư đe soh pơrăm ưh pă đei bơngai oei."
"Also the people of Noph and Tahpanhes Have broken the crown of your head.","Kŭm đei lu bơngai Memphis păng Tahpanhes mă pơm kơ kơ̆l 'ngok iĕm pơchah boih."
"Have you not brought this on yourself, In that you have forsaken the LORD your God When He led you in the way?","Hăm trŏ lu iĕm pŭ iŏk kơdih dôm tơdrong noh, yua kơ iĕm achăng Kră Yang 'Bok Kei-Dei iĕm kơplah Sư oei chông iĕm rok trong sơ̆?"
"And now why take the road to Egypt, To drink the waters of Sihor? Or why take the road to Assyria, To drink the waters of the River?","Dang ei liơ iĕm jur tơ dêh Êyiptơ nhă đak Krong Nil. Iĕm năm tơ dêh Asiri nhă đak Krong Ơphrat, đei yua kiơ?"
"Your own wickedness will correct you, And your backslidings will rebuke you. Know therefore and see that it is an evil and bitter thing That you have forsaken the LORD your God, And the fear of Me is not in you,” Says the Lord GOD of hosts.","Tơdrong yoch iĕm gô phak bơtho iĕm, tơdrong ih achăng Kră Yang gô chrih kơ iĕm. Athei băt nhen. Achăng lê̆ Kră Yang 'Bok Kei-Dei ih păng ưh pă băt hli yom kơ Inh, noh boih minh tơdrong kơnê̆ tơpă păng răm dêh.” Kră Yang Tih Hloh khan thoi noh."
"“For of old I have broken your yoke and burst your bonds; And you said, ‘I will not transgress,’ When on every high hill and under every green tree You lay down, playing the harlot.","“Sơ̆ đunh boih iĕm gơ̆ lê̆ 'long ăt păng hrĕch lê̆ tơlei đơ̆ng chô̆ iĕm, Iĕm khan: ‘Nhôn ưh kơ wă chu kiơ̆ Ih.’ Tơpă, tơ rim groi kơjung, tơ ala tơm 'long iĕm drap kơkuh kơ rup yang thoi ngôi pơyô kư̆ kă."
"Yet I had planted you a noble vine, a seed of highest quality. How then have you turned before Me Into the degenerate plant of an alien vine?","Inh pơtăm boih thoi minh tơnơm hơmu 'lơ̆ng Inh rơih iŏk, tă kơ găr adrĕch 'lơ̆ng ngăl. Na liơ iĕm tơplih lê̆ jing tơm hơmu bri kơnê̆?"
"For though you wash yourself with lye, and use much soap, Yet your iniquity is marked before Me,” says the Lord GOD.","Mă iĕm yua 'bŏng 'bâu phu dah yua đak 'long Sôđa hum 'nhao akâu iĕm ră, mă-lei tơdrong mơgrĭ yoch iĕm oei klep đom 'bơ̆t anăp Inh,” Kră Yang Tih Hloh khan."
"“How can you say, ‘I am not polluted, I have not gone after the Baals’? See your way in the valley; Know what you have done: You are a swift dromedary breaking loose in her ways","“Liơ ih gơh khan: ‘Nhôn ưh kơ đei 'mê̆-'mach. Inh ưh kơlah kiơ̆ yang Baal ôh?’ Lăng lăng bĕ trong gơlong iĕm pơm lăm thŭng; ăn kơ iĕm băt iĕm đei pơm kiơ boih, iĕm thoi lăk-đa thông đai kư̆ kă tơ âu tơ to"
"A wild donkey used to the wilderness, That sniffs at the wind in her desire; In her time of mating, who can turn her away? All those who seek her will not weary themselves; In her month they will find her.","thoi aseh bri akăn juăt kơ tơ anih glă, chă 'bâu hiup tơno. Bu kĕ găn kơplah sư oei chhônh? Lu tơno ưh kơ ngĕ chơchă ôh truh bơyan sư gô đei tơ'bơ̆p akăn noh."
"Withhold your foot from being unshod, and your throat from thirst. But you said, ‘There is no hope. No! For I have loved aliens, and after them I will go.’","'Nĕ kơ pơlap jơ̆ng gleh păng dĭng hơlŏng iĕm rơhing! Mă-lei iĕm khan. ‘Măk ai kiơ̆ boih; nhôn hơyuh wă kơ yang nai păng nhôn gô kiơ̆ lu sư?’"
"“As the thief is ashamed when he is found out, So is the house of Israel ashamed; They and their kings and their princes, and their priests and their prophets","Kŭm thoi lu bơngai tơtông mưh đe rôp, mơlâu pă kĕ, na adrĕch Isơrael; mă pơtao mă yŏng pơgơ̆r, mă lu 'bok soi, mă lu bơngai khan lê̆ adrol kư̆m gô mơlâu thoi noh."
"Saying to a tree, ‘You are my father,’ And to a stone, ‘You gave birth to me.’ For they have turned their back to Me, and not their face. But in the time of their trouble They will say, ‘Arise and save us.’","Lu sư khan kơ 'long, ‘Ih boih 'bă inh,’ khan kơ tơmo, Ih boih pơjing kơ inh. Lu sư tơwih rŏng kơ Inh, ưh kơ tơwih gah muh măt; Mă-lei kơplah lu sư đei tơdrong rŭng răng, lu sư khan: ‘Iung na pơklaih nhôn bĕ!’"
"But where are your gods that you have made for yourselves? Let them arise, If they can save you in the time of your trouble; For according to the number of your cities Are your gods, O Judah.","Thoi noh na tơ yơ yang mă lu iĕm đei pơm kơdih noh? Lê̆ lu yang noh năm pơklaih iĕm bĕ, kơplah iĕm đei tơdrong gleh, yua kơ lu yang iĕm lơ kư̆m dang dôm pơlei iĕm, ơ Juđa."
"“Why will you plead with Me? You all have transgressed against Me,” says the LORD.","Yua kơ kiơ iĕm jŏk kơ Inh? Đĭ-đăng lu iĕm pơm yoch blơ̆ inh boih,” Kră Yang khan thoi noh."
"“In vain I have chastened your children; They received no correction. Your sword has devoured your prophets Like a destroying lion.","“Inh đei teh bơtho boih kon sâu lu iĕm ưh kơ yua kiơ. Lu sư kư̆m ưh kơ wă chu Inh bơtho hơmet. Đao lu iĕm kơdih đei pơlôch boih lu bơngai khan lê̆ adrol iĕm thoi dăm-brang oei kăp sa.”"
"“O generation, see the word of the LORD! Have I been a wilderness to Israel, Or a land of darkness? Why do My people say, ‘We are lords; We will come no more to You’?","Ơ lu iĕm lăm jơhnơr 'nâu mơ̆ng bĕ nơ̆r Kră Yang khan: “Inh hăm trŏ kơ char glă dah teh đak măng mu kơ bơngai Isơrael? Lei na liơ kon pơlei Inh khan: ‘Lu nhôn rơngei boih, lu nhôn ưh pă wă năm tơ Ih dơ̆ng.’"
"Can a virgin forget her ornaments, Or a bride her attire? Yet My people have forgotten Me days without number.","Kon adruh hăm hiơt kơ tơmam pơguăng sư, mŏ mai hle hăm trŏ kơ sư hiơt kơ hơbĕn ao pơkong sư? Mă-lei kon pơlei Inh hiơt kơ Inh đunh boih pă kĕ jô̆ dang yơ."
"“Why do you beautify your way to seek love? Therefore you have also taught The wicked women your ways.","Liơ lu iĕm hrăn chă trong wă chă lu bơngai iĕm hưch! Dĭng mah lu iĕm bơtho lu bơngai drŏ-kăn kơnê̆ kiơ̆ trong iĕm."
"Also on your skirts is found The blood of the lives of the poor innocents. I have not found it by secret search, But plainly on all these things.","Tơ tơdrơi ao lu iĕm đei 'bôh boih pham lu bơngai dơnuh hin ưh kơ yoch, Mă iĕm ưh kơ đei rôp lu sư teh 'măng wă mơ̆t tơtông, Mă khan đei hĭ tơdrong noh bưh."
"Yet you say, ‘Because I am innocent, Surely His anger shall turn from me.’ Behold, I will plead My case against you, Because you say, ‘I have not sinned.’","‘Lu iĕm oei khan nhôn ưh kơ đei yoch, Kră Yang huay hil kơ nhôn. 'Nâu yua kơ iĕm khan nhôn ưh kơ đei yoch kiơ.’ Inh gô sek tơlang kơ iĕm."
"Why do you gad about so much to change your way? Also you shall be ashamed of Egypt as you were ashamed of Assyria.","Liơ lu iĕm tơplih trong lu iĕm 'bônh dêh? Lu bơngai Êyiptơ pơm kơ iĕm mơlâu kư̆m thoi lu bơngai Asiri pơm kơ iĕm sơ̆."
"Indeed you will go forth from him With your hands on your head; For the LORD has rejected your trusted allies, And you will not prosper by them.","Lu iĕm gô mơlâu kuăr ti tơ kơ̆l, lĕch đơ̆ng char noh, Yua kơ Kră Yang achăng boih lu bơngai mă iĕm gơnang, Lu sư ưh pă đei tơgŭm kiơ boih kơ lu iĕm.”"
"“They say, ‘If a man divorces his wife, And she goes from him And becomes another man’s, May he return to her again?’ Would not that land be greatly polluted? But you have played the harlot with many lovers; Yet return to Me,” says the LORD.","Kră Yang khan: “Tơdah đei drŏ-nglo achăng lê̆ akăn sư, akăn sư weh đơ̆ng sư chă klo plơ̆ng, klo so sư hăm pă gơh hơlơ̆k oei kơ akăn so sư dơ̆ng? Teh đak noh ưh kơ kơnê̆ 'mê̆ krưp dêh tơpă hă? Mă-lei iĕm ngôi pơyô kư̆ kă hăm lơ bơngai mă ih hưch, Khan oei wă wih brŏk tơ Inh dơ̆ng hă?” Kră Yang khan."
"“Lift up your eyes to the desolate heights and see: Where have you not lain with men? By the road you have sat for them Like an Arabian in the wilderness; And you have polluted the land With your harlotries and your wickedness.","“Ngơk lăng bĕ tơ kơpal groi, hăm đei anih ayơ mă lu iĕm ưh kơ đei pơm pơyô? Iĕm ngôi cheng trong wă răp gô lu pơyô iĕm, thoi bơngai Arâpa chă răp lăm char glă; Iĕm đei pơm pơ'mê̆ boih kơ teh âu hăm tơdrong pơm pơyô krưp dêh."
"Therefore the showers have been withheld, And there has been no latter rain. You have had a harlot’s forehead; You refuse to be ashamed.","Thoi noh na Inh pơgăn lê̆ đak 'mi, đak 'mi kư̆m pă đei lăm bơyan rei pơtăm. Lei ră ih ưh kơ đei mơlâu pơm 'mơng thoi drŏ-kăn ngôi kư̆ kă."
"Will you not from this time cry to Me, ‘My Father, You are the guide of my youth?","Hăm trŏ iĕm oei krao Inh: ‘Ơ 'Bă nhôn, Ih boih buăl nhôn đơ̆ng nhôn oei 'lơ̆p sơ̆."
"Will He remain angry forever? Will He keep it to the end?’ Behold, you have spoken and done evil things, As you were able.”","Ih oei hil mĭl ling-lang hă? Ih oei blĕk khŏm khŏm hă?’ 'Nâu, mă iĕm pơma, mă-lei iĕm pơm boih tơdrong kơnê̆ kiơ̆ thoi iĕm wă.”"
"The LORD said also to me in the days of Josiah the king: “Have you seen what backsliding Israel has done? She has gone up on every high mountain and under every green tree, and there played the harlot.","Kră Yang khan kơ inh, lăm chăl Jôsia pơm pơtao: “Ih hăm 'bôh dôm tơdrong bơngai Isơrael đei pơm boih, lu sư chă tŏk tơ jơ̆p kơ groi păng jơ̆p kơ yơ̆p tơm 'long hla hơmŭl; na pơm pơyô kư̆ kă tơ noh."
"And I said, after she had done all these things, ‘Return to Me.’ But she did not return. And her treacherous sister Judah saw it.","Inh ngeh khan đơ̆ng rŏng kơ sư pơm đĭ dôm tơdrong noh sư gô wih tơ Inh. Mă-lei sư ưh kơ wih. Oh drŏ-kăn 'blal sư noh Juđa, 'bôh boih."
"Then I saw that for all the causes for which backsliding Israel had committed adultery, I had put her away and given her a certificate of divorce; yet her treacherous sister Judah did not fear, but went and played the harlot also.","Sư 'bôh boih yua kơ tơdrong luĕl 'blal lu bơngai Isơrael pơm pơyô ngôi kư̆ kă. Na Inh achăng lê̆ sư pơm hla bơar hrĕch păng puh tơweh sư. Mă-lei oh sư bơngai Juđa ưh kơ hli ôh, kư̆m wang pơm pơyô kư̆ kă noh."
"So it came to pass, through her casual harlotry, that she defiled the land and committed adultery with stones and trees.","Yua kơ lu sư tơchĕng khan pơm pơyô kư̆ kă huay kơ yoch kơnê̆, na pơm ăn kơ dêh char jing 'mê̆-'mach, ngôi kư̆ kă hăm tơmo hăm 'long."
"And yet for all this her treacherous sister Judah has not turned to Me with her whole heart, but in pretense,” says the LORD.","Mă-lei, đơ̆ng tơdrong noh, oh sư bơngai Juđa pơm kơnê̆, sư kư̆m ưh kơ wih brŏk tơ Inh đĭ jơhngơ̆m, chă hơlĕnh đĕch, Kră Yang khan."
"Then the LORD said to me, “Backsliding Israel has shown herself more righteous than treacherous Judah.","Kră Yang khan kơ inh: “Ih pơting lăng tơdrong Isơrael pơm kơnê̆ oei dă 'biơ̆ kơ Juđa"
"Go and proclaim these words toward the north, and say: ‘Return, backsliding Israel,’ says the LORD; ‘I will not cause My anger to fall on you. For I am merciful,’ says the LORD; ‘I will not remain angry forever.","Năm bĕ tơ gah yă-nơ̆m ră roi tơdrong 'nâu: Kră Yang khan: ‘Ơ Isơrael bơngai mă ưh kơ tơpăt, brŏk bĕ! Inh lăng tơ iĕm muh măt Inh huay pă thoi 'maih hil boih, yua kơ Inh băt 'mêm mơnat: Inh ưh pă hil ling-lang dơ̆ng boih,’ Kră Yang khan."
"Only acknowledge your iniquity, That you have transgressed against the LORD your God, And have scattered your charms To alien deities under every green tree, And you have not obeyed My voice,’ says the LORD.","‘Kư̆ mă ih chu pŭ iŏk tơdrong yoch. Tơdrong mă iĕm blah Kră Yang 'Bok Kei-Dei iĕm; iĕm chă hưch kơ lu yang nai ala tơm 'long hla hơmŭl, păng ưh pă chu yom kơ nơ̆r Inh,’ ” Kră Yang khan."
"“Return, O backsliding children,” says the LORD; “for I am married to you. I will take you, one from a city and two from a family, and I will bring you to Zion.","Kră Yang khan: “Wih brŏk bĕ! Ơ lu kon sâu ưh kơ tơpăt, yua kơ Inh boih yŏng lu iĕm. Inh gô rơih iŏk lu iĕm minh 'nu đơ̆ng rim pơlei 'bar 'nu đơ̆ng adrĕch păng Inh gô năm ba lu iĕm brŏk tơ pơlei Siôn!"
"And I will give you shepherds according to My heart, who will feed you with knowledge and understanding.","Inh gô ăn kơ iĕm lu bơngai wei-lăng kiơ̆ thoi Inh lăp; lu sư gô wei rong chông anhăk lu iĕm hăm tơdrong gơh hơgei hlôh wao.”"
