English, Bahnar
"There was a man in the land of Uz, whose name was Job; and that man was blameless and upright, and one who feared God and shunned evil.","Tơ lăm dêh char Usa đei minh 'nu bơngai drŏ-nglo anăn sư Jop, sư đei đon 'lơ̆ng tơpăt, băt hli yom kơ Kră Yang 'Bok Kei-Dei păng weh ataih đơ̆ng tơdrong kơnê̆."
"And seven sons and three daughters were born to him.","Sư pơjing tơpơh 'nu kon drŏ-nglo păng pêng 'nu kon drŏ-kăn."
"Also, his possessions were seven thousand sheep, three thousand camels, five hundred yoke of oxen, five hundred female donkeys, and a very large household, so that this man was the greatest of all the people of the East.","Jop đei tơpơh-rơbâu tŏ triu, pêng-rơbâu tŏ aseh lăk-đa, pơđăm-hrĕng hơgrop rơmo choh, pơđăm-hrĕng tŏ aseh iĕ akăn păng đei đĭch đam lơ; sư mơdrŏng hloh kơ đĭ-đăng bơngai lăm dêh char gah Hơlĕch."
"And his sons would go and feast in their houses, each on his appointed day, and would send and invite their three sisters to eat and drink with them.","Lu kon drŏ-nglo sư juăt kơ et sa, hơpong băl dăr tơ rim hnam lu sư; păng wơ̆n pêng 'nu mai oh drŏ-kăn sŏng sa hơdai lu sư."
"So it was, when the days of feasting had run their course, that Job would send and sanctify them, and he would rise early in the morning and offer burnt offerings according to the number of them all. For Job said, “It may be that my sons have sinned and cursed God in their hearts.” Thus Job did regularly.","Đơ̆ng rŏng kơ dôm năr et sa đang bơih, Jop wơh krao lu kon sư brŏk wă pơm giĕng ôp 'nhao rơgoh. Sư iung đơ̆ng hrôih, wă pơyơ̆r tơmam soi 'buh tôm kơ lu kon sư; sư tơchĕng khan: “Băt lu kon inh pơm yoch păng băt lăm jơhngơ̆m lu sư blei hiap Kră Yang 'Bok Kei-Dei.” Jop juăt kơ pơm thoi noh."
"Now there was a day when the sons of God came to present themselves before the LORD, and Satan also came among them.","Lăm minh năr ei lu linh jang năm akŭm 'bơ̆t anăp Kră Yang păng Satanb kư̆m năm hăm lu sư mơ̆n."
"And the LORD said to Satan, “From where do you come?” So Satan answered the LORD and said, “From going to and fro on the earth, and from walking back and forth on it.”","Kră Yang jet Satan: “E đơ̆ng yơ?” Satan tơl Kră Yang: “Inh chă nơnăm juang jơ̆p-jang kơ teh đak.”"
"Then the LORD said to Satan, “Have you considered My servant Job, that there is none like him on the earth, a blameless and upright man, one who fears God and shuns evil?”","Kră Yang jet dơ̆ng Satan, “E hăm 'bôh Jop bơngai hli yom kơ Inh? Lăm teh đak ưh kơ đei bu thoi sư, đei đon 'lơ̆ng tơpăt, băt hli yom kơ Inh Kră Yang 'Bok Kei-Dei păng weh ataih đơ̆ng tơdrong kơnê̆.”"
"So Satan answered the LORD and said, “Does Job fear God for nothing?","Satan tơl Kră Yang: “Jop hli yom kơ Kră Yang 'Bok Kei-Dei ưh kơ đei yua kiơ hă?”"
"Have You not made a hedge around him, around his household, and around all that he has on every side? You have blessed the work of his hands, and his possessions have increased in the land.","“Yua kơ Ih war dur tăp dăr wei-lăng sư, hnam dơnŏ sư păng dôm tơmam sư đei. Ih tuh ăn pŭn kơ tơdrong jang sư păng ăn kơ sư tơmam rai lơ lăm teh."
