English, Bahnar
"The word of the LORD that came to Joel the son of Pethuel.","'Nâu nơ̆r Kră Yang khan kơ Jôel, kon drŏ-nglo Pêthuel"
"Hear this, you elders, And give ear, all you inhabitants of the land! Has anything like this happened in your days, Or even in the days of your fathers?","Ơ lu bơngai kră mơ̆ng bĕ nơ̆r âu! Đĭ-đăng lu iĕm jing kon pơlei pơla lăm teh đak âu, mơ̆ng bĕ! Hăm tam đei tơdrong truh thoi noh lăm chăl lu iĕm, dah lăm chăl 'bok lu iĕm ưh?"
"Tell your children about it, Let your children tell their children, And their children another generation.","Ră roi bĕ tơdrong âu kơ lu kon sâu iĕm, na kon sâu iĕm gô roi kơ kon sâu lu sư, na kon sâu lu sư kư̆m roi kơ adrĕch adrung kon sâu lu sư đơ̆ng rŏng."
"What the chewing locust left, the swarming locust has eaten; What the swarming locust left, the crawling locust has eaten; And what the crawling locust left, the consuming locust has eaten.","Lu kiơ lep tih sa mă oei lê̆, lep 'ba sa; kiơ mă lep 'ba sa oei đei, lep iĕ sa, kiơ mă lep iĕ sa oei đei, lep tung-nut sa pơđĭ."
"Awake, you drunkards, and weep; And wail, all you drinkers of wine, Because of the new wine, For it has been cut off from your mouth.","Ơ lu bơngai juăt kơ suai, iung bĕ păng nhơ̆m hmoi! Ơ đĭ-đăng lu bơngai juăt kơ et sik athei sơ'ngon bĕ, yua kơ sik hơmu 'ngam đe pleh đơ̆ng 'bơ̆r iĕm boih!"
"For a nation has come up against My land, Strong, and without number; His teeth are the teeth of a lion, And he has the fangs of a fierce lion.","Đei adrĕch pran păng lơ; năm blah boih hăm teh đak Inh; hơnĕnh lu sư nhen hơnĕnh dăm-brang, păng tơ'ngam lu sư nhen tơ'ngam dăm-brang akăn. Lu sư kăp pơrăm bơih tơm hơmu Inh, păng kăp lŏng tơpăk bơih 'long hơra Inh."
"He has laid waste My vine, And ruined My fig tree; He has stripped it bare and thrown it away; Its branches are made white.","Lu sư kăp pơrăm bơih tơm 'long hơmu Inh, sư kăp tơpăk bơih tơm 'long hơra Inh. Sư lŏng lê̆ kơđoh sư, na pơrăm lê̆ dơng, truh dơng sư jing kok."
"Lament like a virgin girded with sackcloth For the husband of her youth.","Lu iĕm athei nhơ̆m hmoi bĕ thoi minh 'nu adruh 'lơ̆ng hrŭk ao 'bi oei nhơ̆m kơ klo sư mă iŏk đơ̆ng 'lơ̆p lôch boih!"
"The grain offering and the drink offering Have been cut off from the house of the LORD; The priests mourn, who minister to the LORD.","Tơmam soi pơyơ̆r huch, tơmam soi phe 'ba ưh pă đei boih lăm hnam Kră Yang; lu 'bok soi bơ̆jang soi kơ Kră Yang oei ơh sơ'ngon."
"The field is wasted, The land mourns; For the grain is ruined, The new wine is dried up, The oil fails.","Chŭn mir đĭ lê̆ bri, teh choh kư̆m pă lăng, yua kơ 'ba đĭ răm, sik 'nao đĭ bơih, đak rơmă đĭ pă đei."
"Be ashamed, you farmers, Wail, you vinedressers, For the wheat and the barley; Because the harvest of the field has perished.","Ơ lu bơngai choh mir, hơwơ̆l hơwang; ơ lu bơngai pơm mir hơmu, nhơ̆m hmoi bĕ, yua kơ 'ba păng 'ba tơ'bâu, đĭ hiong, ưh pă đei kĕch pă đei yuă."
"The vine has dried up, And the fig tree has withered; The pomegranate tree, The palm tree also, And the apple tree— All the trees of the field are withered; Surely joy has withered away from the sons of men.","Tơm hơmu đĭ jô, tơm hơra đĭ kro, tơm 'long gărnăt, 'long gol, dôm tơnơm 'long tơ mir đĭ jô kro boih; tơdrong chơt hiôk kon bơngai đĭ hiong boih."
