English, Bahnar
"Now the word of the LORD came to Jonah the son of Amittai, saying","Đei nơ̆r Kră Yang khan kơ Jôna kon drŏ-nglo Amitai thoi âu"
"“Arise, go to Nineveh, that great city, and cry out against it; for their wickedness has come up before Me.”","Ih iung bĕ! Năm tơ pơlei tih Niniwe, pơma khă lu sư, yua kơ tơdrong yoch lu sư tih kơtơ̆ng truh tơ Inh."
"But Jonah arose to flee to Tarshish from the presence of the LORD. He went down to Joppa, and found a ship going to Tarshish; so he paid the fare, and went down into it, to go with them to Tarshish from the presence of the LORD.","Mă-lei Jôna kơdâu năm tơ pơlei Tarisi, wă klĕnh đơ̆ng anăp Kră Yang. Sư jur truh tơ pơlei Jôpa, tơ'bơ̆p duk năm tơ pơlei Tarisi, wă klĕnh đơ̆ng anăp Kră Yang."
"But the LORD sent out a great wind on the sea, and there was a mighty tempest on the sea, so that the ship was about to be broken up.","Mă-lei Kră Yang ăn đei kial hơbŭt tih tơ đak dơsĭ, duk mah wă jê̆ pơchah."
"Then the mariners were afraid; and every man cried out to his god, and threw the cargo that was in the ship into the sea, to lighten the load. But Jonah had gone down into the lowest parts of the ship, had lain down, and was fast asleep.","Lu bơngai wơ̆r duk păng lu bơngai jang lăm duk hli tơpă, rim 'nu bơngai hao lăm duk krao chă yang lu sư kơdih. Đơ̆ng noh, lu sư hŭt lê̆ đĭ tơmam đơ̆ng lăm duk tơ đak dơsĭ, wă kơ duk phiơl 'biơ̆. Mă-lei Jôna sư oei 'bĭch tep tơ anih ala lăm duk."
"So the captain came to him, and said to him, “What do you mean, sleeper? Arise, call on your God; perhaps your God will consider us, so that we may not perish.”","'Bok yŏng tơ'ngla duk noh năm tơ sư păng râu sư khan: Ơ bơngai oei tep noh, pơm kiơ thoi noh? Iung bĕ! Krao khan apinh yang ih bĕ! Wă kơ Yang ih 'blŏk kơ bơ̆n, na lu bơ̆n huay kơ lôch."
"And they said to one another, “Come, let us cast lots, that we may know for whose cause this trouble has come upon us.” So they cast lots, and the lot fell on Jonah.","Đơ̆ng rŏng kơ noh, lu sư pơma tơduă lu sư khan: Lu bơ̆n athei hlang lăng wă kơ băt tơdrong truh kơ bơ̆n âu, yua kơ đơ̆ng bu. Na lu sư hlang lăng trŏ kơ Jôna."
"Then they said to him, “Please tell us! For whose cause is this trouble upon us? What is your occupation? And where do you come from? What is your country? And of what people are you?”","Na lu sư apinh Jôna: Apinh ih athei roi ăn kơ lu nhôn băt yua kơ kiơ đei tơdrong truh kơ lu bơ̆n âu. Ih bơngai jang kiơ? Păng ih đơ̆ng yơ? Tơring ih oei tơ yơ? Ih bơngai kiơ?"
"So he said to them, “I am a Hebrew; and I fear the LORD, the God of heaven, who made the sea and the dry land.”","Sư tơl thoi âu: Inh bơngai Hêbrơ păng inh bơngai hli yom kơ Kră Yang 'Bok Kei-Dei kơpal plĕnh, Sư Tơ'ngla pơjing kơ plĕnh teh păng đak dơsĭ. Inh klĕnh đơ̆ng Sư."
"Then the men were exceedingly afraid, and said to him, “Why have you done this?” For the men knew that he fled from the presence of the LORD, because he had told them.","Lu bơngai lăm duk đĭ-đăng lu sư hli păng khan kơ Jôna thoi âu: Liơ ih pơm thoi noh? Lu đe noh băt boih kơ sư bơngai kơdâu klĕnh đơ̆ng Kră Yang; kơtơ̆ng đơ̆ng sư roi."
"Then they said to him, “What shall we do to you that the sea may be calm for us?”—for the sea was growing more tempestuous.","Na lu sư khan: Lu bơ̆n pơm liơ wă kơ đak dơsĭ huay pă tơdrŏ, yua kơ đak dơsĭ poh-yă rai dêh."
"And he said to them, “Pick me up and throw me into the sea; then the sea will become calm for you. For I know that this great tempest is because of me.”","Jôna khan: Lu iĕm rôp klơ̆m lê̆ inh bĕ! Klơ̆m lê̆ tơ lăm đak dơsĭ, lei đak dơsĭ huay pă tơdrŏ. Inh băt boih yua kơ đơ̆ng inh na đei kial hơbŭt tih thoi âu"
"Nevertheless the men rowed hard to return to land, but they could not, for the sea continued to grow more tempestuous against them.","Lu sư adrin wơ̆r duk gơwĕch wă tŏk tơ kông ră, mă-lei ưh kơ kĕ, yua kơ đak dơsĭ poh-yă rai dêh pơm kơ lu sư."
"Therefore they cried out to the LORD and said, “We pray, O LORD, please do not let us perish for this man’s life, and do not charge us with innocent blood; for You, O LORD, have done as it pleased You.”","Lu sư krao khan kơ Kră Yang thoi âu: Ơ Kră Yang, lu nhôn apinh Ih 'nĕ ăn kơ lu nhôn lôch yua kơ bơngai âu, 'nĕ jô̆ kơ lu nhôn pơlôch bơngai âu. Ơ Kră Yang, yua kơ Ih boih Tơ'ngla pơm tơdrong kiơ kiơ̆ kơ Ih wă."
"So they picked up Jonah and threw him into the sea, and the sea ceased from its raging.","Đơ̆ng noh đe rôp Jôna klơ̆m hơtat lê̆ sư tơ lăm đak dơsĭ, na đak dơsĭ huay pă poh-yă hloi."
"Then the men feared the LORD exceedingly, and offered a sacrifice to the LORD and took vows.","Yua kơ thoi noh lu bơngai noh hli yom kơ Kră Yang lu sư pơyơ̆r tơmam soi ăn kơ Kră Yang păng pơkă hăm Kră Yang."
"Now the LORD had prepared a great fish to swallow Jonah. And Jonah was in the belly of the fish three days and three nights.","Mă-lei Kră Yang hơmet lê̆ ka tih luăn Jôna. Jôna oei lăm klak ka pêng năr pêng măng."
"Then Jonah prayed to the LORD his God from the fish’s belly.","Đơ̆ng lăm klak ka Jôna krao khan kơ Kră Yang 'Bok Kei-Dei."
"And he said: “I cried out to the LORD because of my affliction, And He answered me. “Out of the belly of Sheol I cried, And You heard my voice.","Sư khan: Năr inh tơ'bơ̆p tơdrong pơmat-tat inh krao khan kơ Kră Yang. Na sư đei tơl nơ̆r inh boih. Đơ̆ng lăm dêh atâu inh krao ôr, Sư kơtơ̆ng nơ̆r inh boih."
"For You cast me into the deep, Into the heart of the seas, And the floods surrounded me; All Your billows and Your waves passed over me.","Ih klơ̆m inh tơ tôch kơđĕl lăm đak dơsĭ jrŭ, đak poh-yă klơ̆p lôm ba inh. Đĭ-đăng dôm lu đak poh-yă đơ̆ng Ih klơ̆p kơpal inh."
"Then I said, ‘I have been cast out of Your sight; Yet I will look again toward Your holy temple.’","Inh đei khan thoi âu: Đe klơ̆m lê̆ inh đơ̆ng anăp Ih, mă-lei inh oei gơh 'bôh dơ̆ng hnam akŭm 'lơ̆ng rơgoh Ih."
"The waters surrounded me, even to my soul; The deep closed around me; Weeds were wrapped around my head.","Đak lơ̆p pơđĭ akâu păng Bơhngol inh. Hơlŭng dơsĭ jrŭ klơ̆p inh tăp dăr. Yă-yeng đak dơsĭ wăr tăp dăr kơ kơ̆l inh."
"I went down to the moorings of the mountains; The earth with its bars closed behind me forever; Yet You have brought up my life from the pit, O LORD, my God.","Inh jur truh tơ tôch jơ̆ng kông lăm đak dơsĭ, teh sư chơkăl găn lê̆ inh ling-lang. Ơ Kră Yang inh, mă-lei Ih hơtŏk boih tơdrong arih inh klaih đơ̆ng sơlŭng jrŭ."
"“When my soul fainted within me, I remembered the LORD; And my prayer went up to You, Into Your holy temple.","Kơplah inh wă lôch, na inh 'blŏk kơ Kră Yang, Păng nơ̆r inh krao khan truh boih tơ Ih; tơ anih rơgoh Ih"
