English, Bahnar
"After the death of Moses the servant of the LORD, it came to pass that the LORD spoke to Joshua the son of Nun, Moses’ assistant, saying","Đơ̆ng rŏng kơ Môis đĭch đam Kră Yang lôch boih, Kră Yang bơtho khan kơ Jôsuê đam kơiĕng Môis, kon drŏ-nglo Nun."
"“Moses My servant is dead. Now therefore, arise, go over this Jordan, you and all this people, to the land which I am giving to them—the children of Israel.","Môis đĭch đam Inh hlôi lôch, dang ei kon pơlei pơla ih iung bĕ, năm tŏk găn kơ đak Krong Jôrđăn, truh tơ teh đak mă Inh gô ăn kơ lu adrĕch adrung Isơrael."
"Every place that the sole of your foot will tread upon I have given you, as I said to Moses.","Anih ayơ tơpang jơ̆ng lu iĕm juă, Inh gô ăn kơ lu iĕm, thoi Inh đei pơkă bơih hăm Môis."
"From the wilderness and this Lebanon as far as the great river, the River Euphrates, all the land of the Hittites, and to the Great Sea toward the going down of the sun, shall be your territory.","Teh lu iĕm să iŏk đơ̆ng tơmăn glă păng kông Liban âu truh tơ đak Krong Tih, noh krong Ơphrat păng đĭ kơ dêh char kon pơlei Hêtit, truh tơ đak Dơsĭ Tih tơ gah 'năr mơ̆t."
"No man shall be able to stand before you all the days of your life; as I was with Moses, so I will be with you. I will not leave you nor forsake you.","Đĭ lăm chăl arih ih, ưh kơ đei bu kĕ blah ih, Inh gô oei hơdai hăm ih thoi Inh oei hơdai hăm Môis, Inh ưh kơ achăng ih păng ưh kơ lê̆ ih ôh."
"Be strong and of good courage, for to this people you shall divide as an inheritance the land which I swore to their fathers to give them.","Ih Athei chơ̆n jơhngơ̆m nuih pran yua kơ ih gô chông ba lu kon pơlei pơla năm iŏk dêh char mă Inh đei pơkă boih wă ăn kơ lu 'bok iĕm."
"Only be strong and very courageous, that you may observe to do according to all the law which Moses My servant commanded you; do not turn from it to the right hand or to the left, that you may prosper wherever you go.","Ih athei chơ̆n jơhngơ̆m nuih pran păng pơm kiơ̆ kơ khôi juăt Môis đĭch đam Inh, mă tơbăt kơ ih, 'nĕ kơ weh gah 'ma gah 'ngiĕo, lei na mă năm tơ yơ gô đei tơdrong kĕ jei ih."
"This Book of the Law shall not depart from your mouth, but you shall meditate in it day and night, that you may observe to do according to all that is written in it. For then you will make your way prosperous, and then you will have good success.","Sơ̆p hla bơar khôi juăt âu 'nĕ kơ ataih đơ̆ng 'bơ̆r ih, athei tơchĕng măng năr, lei athei pơ'lơ̆ng pơm kiơ̆ kơ nơ̆r đei chih lăm noh, thoi noh na lăm trong ih năm gô đei tơdrong pŭn hiôk."
"Have I not commanded you? Be strong and of good courage; do not be afraid, nor be dismayed, for the LORD your God is with you wherever you go.”","Hăm trŏ kơ Inh đei khan bơih kơ ih? Athei ih nuih kơtang păng chơ̆n jơhngơ̆m, nuih pran, 'nĕ kơ rơdu, yua kơ Kră Yang 'Bok Kei-Dei ih oei hơdai hăm ih lăm rim trong ih năm."
"Then Joshua commanded the officers of the people, saying","Thoi noh Jôsuê athei lu bơngai mă wei-lăng lu kon pơlei pơla"
"“Pass through the camp and command the people, saying, ‘Prepare provisions for yourselves, for within three days you will cross over this Jordan, to go in to possess the land which the LORD your God is giving you to possess.’ ”","“Lu iĕm athei năm jơ̆p tơ rim anih tơbăt ăn kơ kon pơlei: Hơmet bĕ tơmam sa lu iĕm, yua kơ pă pêng năr boih lu iĕm gô yak tŏk găn kơ đak Krong Jôrđăn, wă năm blah iŏk teh đak mă Kră Yang 'Bok Kei-Dei gô ăn kơ lu iĕm.”"
"And to the Reubenites, the Gadites, and half the tribe of Manasseh Joshua spoke, saying","Jôsuê khan kơ adrĕch Rubên adrĕch Gat păng minh puăt adrĕch Manase."
"“Remember the word which Moses the servant of the LORD commanded you, saying, ‘The LORD your God is giving you rest and is giving you this land.’","'Blŏk bĕ kơ nơ̆r Môis, đĭch đam Kră Yang đei pơkă kơ lu iĕm, sư khan: Kră Yang 'Bok Kei-Dei gô ăn kơ lu iĕm hiôk-hian păng đei pơkă ăn boih kơ lu iĕm teh đak âu."
"Your wives, your little ones, and your livestock shall remain in the land which Moses gave you on this side of the Jordan. But you shall pass before your brethren armed, all your mighty men of valor, and help them","Lu akăn iĕm, kon hơ'lơ̆p iĕm păng sem dơrong lu iĕm gô oei lăm teh mă Môis đei ăn boih kơ lu iĕm, tơ gah hơlĕch kơ đak Krong Jôrđăn, mă-lei đĭ-đăng lu drŏ-nglo nuih kơtang, chĕp tơmam tơblah, đao kơtuang hơlă, tŏk năm adrol kơ lu 'nhŏng oh lu iĕm păng tơgŭm lu sư"
"until the LORD has given your brethren rest, as He gave you, and they also have taken possession of the land which the LORD your God is giving them. Then you shall return to the land of your possession and enjoy it, which Moses the LORD’s servant gave you on this side of the Jordan toward the sunrise.”","dĭng dang yơ mă Kră Yang ăn tơdrong hiôk-hian kơ lu 'nhŏng oh iĕm thoi đei ăn boih kơ lu iĕm păng dĭng lu sư đei iŏk asong băl dêh char mă Kră Yang 'Bok Kei-Dei đei ăn kơ lu sư. Đơ̆ng noh lu iĕm gô wih tơ char lu iĕm kơdih, dêh char mă Môis đĭch đam Kră Yang đei ăn kơ lu iĕm gah âu kơ đak Krong Jôrđăn, gah măt 'năr lĕch, na lu iĕm gô iŏk teh noh pơm anih lu iĕm jang sa."
"So they answered Joshua, saying, “All that you command us we will do, and wherever you send us we will go.","Lu bơngai noh đei tơl Jôsuê: “Lu nhôn gô pơm kiơ̆ kơ ih pơkă athei păng năm jơ̆p-jang anih ayơ mă ih đei wơh."
"Just as we heeded Moses in all things, so we will heed you. Only the LORD your God be with you, as He was with Moses.","Lu nhôn chu kiơ̆ ih lăm tôm tơdrong jang, thoi chu kiơ̆ Môis, apinh Kră Yang 'Bok Kei-Dei oei hơdai ih, thoi Kră Yang oei hơdai Môis."
"Whoever rebels against your command and does not heed your words, in all that you command him, shall be put to death. Only be strong and of good courage.”","Bơngai bu ưh kơ chu pơm kiơ̆ nơ̆r ih bơtho pơkă păng dôm tơdrong jang kiơ ih athei, lu bơngai noh gô pơlôch sư, ih athei chơ̆n jơhngơ̆m nuih pran.”"
"Now Joshua the son of Nun sent out two men from Acacia Grove to spy secretly, saying, “Go, view the land, especially Jericho.” So they went, and came to the house of a harlot named Rahab, and lodged there.","Jôsuê kon drŏ-nglo Nun, đơ̆ng Sitim, wơh 'bar 'nu bơngai năm chop lăng char, sư khan: “Năm chop lăng char, mă loi pơlei Jêrikô, thoi noh 'bar 'nu bơngai noh năm truh tơ hnam minh 'nu bơngai drŏ-kăn pơm đi anăn sư Rahap, 'bĭch hloi tơ noh."
"And it was told the king of Jericho, saying, “Behold, men have come here tonight from the children of Israel to search out the country.”","Lu đe roi ăn kơ pơtao Jêrikô: Măng âu đei 'bar 'nu bơngai drŏ-nglo Isơrael năm chop lăng char bơ̆n.”"
"So the king of Jericho sent to Rahab, saying, “Bring out the men who have come to you, who have entered your house, for they have come to search out all the country.”","Pơtao pơlei Jêrikô wơh đe năm khan kơ Rahap: Tơlĕch bĕ bre 'bar 'nu bơngai drŏ-nglo mơ̆t lăm hnam ih, yua kơ 'bar 'nu bre noh năm tơ âu wă chop lăng teh đak bơ̆n."
"Then the woman took the two men and hid them. So she said, “Yes, the men came to me, but I did not know where they were from.","Mă-lei Rahap năm chông ôn lê̆ bre 'bar 'nu bơngai drŏ-nglo noh păng khan: Tơpă đei bre sư truh tơ hnam inh, mă-lei inh ưh kơ băt ôh bre sư đơ̆ng yơ."
"And it happened as the gate was being shut, when it was dark, that the men went out. Where the men went I do not know; pursue them quickly, for you may overtake them.”","Hiưp kơ măng, 'măng dur wă tang, 'bar 'nu bơngai noh lĕch, inh kư̆m ưh kơ băt trong ayơ, jah druh 'moi bre sư, druh 'moi bĕ băt kư̆m tam mơ̆n."
"(But she had brought them up to the roof and hidden them with the stalks of flax, which she had laid in order on the roof.)","Mă-lei Rahap athei bre sư tŏk hao kơpal bơbŭng hnam, ôn lê̆ bre sư lăm bơmreh brang mă sư đei sơ̆k dan lê̆ kơpal bơbŭng"
"Then the men pursued them by the road to the Jordan, to the fords. And as soon as those who pursued them had gone out, they shut the gate.","lu bơngai druh 'moi rok trong truh tơ đak Krong Jôrđăn anih đơng 'biơ̆. Lăp lu sư năm 'nao hlôi kơ pơlei, 'măng dur đe tang hloi."
"Now before they lay down, she came up to them on the roof","Adrol kơ 'bar 'nu chop lăng tam mă tep, Rahap tŏk tơ kơpal bơbŭng hnam"
"and said to the men: “I know that the LORD has given you the land, that the terror of you has fallen on us, and that all the inhabitants of the land are fainthearted because of you.","pơma khan: Inh băt Kră Yang ăn boih kơ lu iĕm dêh char âu, lu nhôn hli krưp dêh păng đĭ-đăng kon pơlei pơla lăm char âu jơhngơ̆m lu sư hli tơrơ dêh kơ lu iĕm tơpă."
"For we have heard how the LORD dried up the water of the Red Sea for you when you came out of Egypt, and what you did to the two kings of the Amorites who were on the other side of the Jordan, Sihon and Og, whom you utterly destroyed.","Lu nhôn kư̆m băt hơdah, lu iĕm lĕch đơ̆ng char Êyiptơ, Kră Yang pơm ăn kơ đak Dơsĭ 'Brê hrơ̆, tơ'bôh hơdah 'bơ̆t anăp lu iĕm păng lu iĕm đei pơm boih kơ Sihôn păng Ôk, 'bar 'nu pơtao Amôrit, gah to đak Krong Jôrđăn, mă lu iĕm đei pơlôch pơrăm đĭ boih."
"And as soon as we heard these things, our hearts melted; neither did there remain any more courage in anyone because of you, for the LORD your God, He is God in heaven above and on earth beneath.","Lu nhôn kư̆m hlôi băt tơdrong noh, jơhngơ̆m hli mah hach hiong thoi đak ro, ưh kơ đei bu lăm lu nhôn wă nuih blah lu iĕm dơ̆ng, yua kơ Kră Yang 'Bok Kei-Dei lu iĕm boih Kră Yang 'Bok Kei-Dei tih hloh, mă oei tơ kơpal plĕnh ti păng ala teh âu."
"Now therefore, I beg you, swear to me by the LORD, since I have shown you kindness, that you also will show kindness to my father’s house, and give me a true token","Dang ei inh bơngai pơm 'lơ̆ng bơih hăm măr iĕm, apinh măr iĕm kư̆m athei pơm 'lơ̆ng kơ hnam dơnŏ 'bă inh, yua anăn Kră Yang pơkă pơkăm bĕ hăm inh păng đei tơdra pơsĭt kơjăp."
"and spare my father, my mother, my brothers, my sisters, and all that they have, and deliver our lives from death.”","Thoi noh lu iĕm gô lê̆ mĕ 'bă, 'nhŏng oh, mai oh đĭ-đăng kon mon lu sư oei arih, pơklaih lu sư đơ̆ng tơdrong lôch."
"So the men answered her, “Our lives for yours, if none of you tell this business of ours. And it shall be, when the LORD has given us the land, that we will deal kindly and truly with you.”","Bre noh tơl: Yua kơ ih ăn kơ nhi oei arih, nhi kư̆m gô ăn kơ ih oei arih mơ̆n, tơdah ih ưh kơ roi kơ đe tơdrong jang lu nhôn âu, lei lu nhôn gô pơm 'lơ̆ng kơ ih păng gô pơm trŏ thoi nhôn pơkă, kơplah năr mă Kră Yang ăn dêh char âu kơ nhôn."
