English, Bahnar
"Jude, a bondservant of Jesus Christ, and brother of James, To those who are called, sanctified by God the Father, and preserved in Jesus Christ","Inh Jut, oh Yakơ, hăm đĭch đam Yêsu Krist, chih hơpong kơ lu bơngai mă 'Bă tơm bơ̆n 'Bok Kei-Dei 'mêm rơih iŏk sư boih, wă khan lu bơngai mă Yêsu Krist wei-lăng."
"Mercy, peace, and love be multiplied to you.","Inh krao khan apinh 'Bok Kei-Dei ăn kơ iĕm rai đunh rai băt tơdrong Sư 'mêm mơnat kơ iĕm, hăm ăn kơ iĕm rai đunh rai hiôk chơt."
"Beloved, while I was very diligent to write to you concerning our common salvation, I found it necessary to write to you exhorting you to contend earnestly for the faith which was once for all delivered to the saints.","Ơ 'nhŏng oh mă inh 'mêm kơeng, ki inh wă chih kơ iĕm kơthơ ră, chih hơpong gah tơdrong 'Bok Kei-Dei pơklaih bơ̆n jing hiôk chơt. Mă-lei dang ei inh kơtơ̆ng đei tơdrong khan đe wă pơhlŭ iĕm, na dang ei inh jing chih pơlung iĕm, wă kơ iĕm adrin 'biơ̆ păng lui mă kơjăp, kiơ̆ dôm tơdrong 'Bok Kei-Dei tơbăt ăn kơ lu bơ̆n kon Sư. Dôm tơdrong Sư tơbăt tôm boih, ưh kơ layơ tơplih dơ̆ng. Thoi noh na iĕm athei pơjah pơjăng păng lu bơngai mă pơhlŭ pơlung iĕm noh 'biơ̆."
"For certain men have crept in unnoticed, who long ago were marked out for this condemnation, ungodly men, who turn the grace of our God into lewdness and deny the only Lord God and our Lord Jesus Christ.","Lu bơngai mă wă pơhlŭ pơlung iĕm noh, lu sư pơm thoi bơngai lui. Lu sư mơ̆t akŭm hơdai iĕm, pơm chur oei tơ tŏk-bŏk lu iĕm. Lu bơngai thoi noh 'Bok Kei-Dei khan wă phak đơ̆ng sơ̆ 'mơ̆i. Lu sư bơngai kơnê̆ tơpă, lu sư khan kơlih kơ 'Bok Kei-Dei mơnat kơ tơdrong yoch bơ̆n, na bơ̆n pơm yoch kiơ kư̆m bưh, pơm tơdrong kơnê̆ kư̆ kă kư̆m bưh. Yŏng Tơ'ngla bơ̆n Yêsu Krist, mă lu sư kư̆m ưh kơ lui yom mơ̆n."
"But I want to remind you, though you once knew this, that the Lord, having saved the people out of the land of Egypt, afterward destroyed those who did not believe.","Dôm tơdrong lu kră sơ̆ iĕm băt boih, mă inh wă tơ'blŏk kơ iĕm dơ̆ng. Sơ̆ 'Bok Kei-Dei dŏng pơklaih lu bơngai Isơrael đơ̆ng dêh Êyiptơ, mă-lei đơ̆ng rŏng kơ noh, Sư kư̆m đei pơlôch lu bơngai Isơrael mơ'nah ưh kơ chu lui."
"And the angels who did not keep their proper domain, but left their own abode, He has reserved in everlasting chains under darkness for the judgment of the great day","Gah linh jang lu mơ'nah achăng lê̆ tơdrong jang đơ̆ng 'Bok Kei-Dei pơjao ăn pơgơ̆r, na jăk oei tơ nai, 'Bok Kei-Dei 'bôh, Sư rôp chô̆ phak tơ anih măng mu ling-lang truh tơ năr Sư wă sek tơlang tih-tin ning-mônh."
"as Sodom and Gomorrah, and the cities around them in a similar manner to these, having given themselves over to sexual immorality and gone after strange flesh, are set forth as an example, suffering the vengeance of eternal fire.","Kư̆m thoi noh mơ̆n lu kon Pơlei Sôđôm hăm Pơlei Gômôrơ hăm đĭ tơring lu sư kiơ̆ ei sơ̆, lu sư pơm kơnê̆ kư̆ kă. Lu bơngai drŏ-nglo pơm kư̆ kă tơduă lu sư drŏ-nglo. Na 'Bok Kei-Dei soh rông chhông hnam lu sư păng phak pơmat lu sư hăm ŭnh ling-lang măng năr pă pơdơh. 'Bok Kei-Dei tơ'bôh kơ bơ̆n tơdrong thoi noh, Sư wă kơ bơ̆n hli kuă kơ pơm thoi lu bơngai 'noh."
"Likewise also these dreamers defile the flesh, reject authority, and speak evil of dignitaries.","Na lu bơngai mă pơhlŭ iĕm noh, lu sư khan lu sư apo 'bôh tơdrong sĭt tơdrong trŏ khan pơm kư̆ kă kư̆m bưh, ưh kơ chu yom kơ yŏng bơ̆n kư̆m bưh, pơma kơnê̆ kơ lu linh jang kư̆m bưh."
"Yet Michael the archangel, in contending with the devil, when he disputed about the body of Moses, dared not bring against him a reviling accusation, but said, “The Lord rebuke you!”","'Bok Mikael, 'bok mă pơgơ̆r tơduă lu sư linh jang 'lơ̆ng, kơplah yŏng yang kơnê̆ wă pơjei iŏk atâu Môis, 'bok Mikael ưh kơ pơ̆n pơma jâu kơnê̆ kơ yang ei ôh. Sư pôm pơma thoi âu đĕch: “Inh gô mơ̆ng kơ 'Bok Kei-Dei đĕch khă e.”"
"But these speak evil of whatever they do not know; and whatever they know naturally, like brute beasts, in these things they corrupt themselves.","Na lu bơngai mă wă pơhlŭ iĕm noh, dôm tơdrong lu sư jơ̆l ưh kơ hlôh na lu sư pơma kơnê̆ thoi noh. Lu sư hưch hanh pơm kư̆ kă thoi sem brem ưh kơ băt mơlâu; tơdrong noh sư hlôh, tơdrong noh lu sư hăt dêh. Kơlih kơ lu sư pơm thoi noh, ning-mônh lu sư wă răm."
