English, Bahnar
"How lonely sits the city That was full of people! How like a widow is she, Who was great among the nations! The princess among the provinces Has become a slave!","Ơu, pơlei tih âu sơ̆ đei lơ kon pơlei dêh, to dang ei ngôi hơdrô̆! Sơ̆ pơm tih kơ lu kon pơlei, 'nâu dang ei thoi yă adro! Sơ̆ lu drŏ-kăn jing yŏng tơ'ngla kơ lu tơring, dang ei jing đĭch đam!"
"She weeps bitterly in the night, Her tears are on her cheeks; Among all her lovers She has none to comfort her. All her friends have dealt treacherously with her; They have become her enemies.","Sư nhơ̆m ơh ol kơmăng, đak măt lĕch 'bĕnh kơ tơ'bŏk. Dôm lu bơngai mă 'mêm kơ sư, ưh kơ đei bu pơlung sư. Buôl buăl sư pơm tơwih kơ sư, tă kơ jing ayăt ngăl."
"Judah has gone into captivity, Under affliction and hard servitude; She dwells among the nations, She finds no rest; All her persecutors overtake her in dire straits.","Juđa năm pơm bơnă, chu iŏk pơmat kư̆m chu đe wơh pơđep. Chă oei sa tơ kon pơlei ưh pă đei pơdơh ngôi. Lu bơngai mă pơm kơnê̆ druh sư, tam tơ anih kueng."
"The roads to Zion mourn Because no one comes to the set feasts. All her gates are desolate; Her priests sigh, Her virgins are afflicted, And she is in bitterness.","Lu trong năm tơ pơlei Siôn bơsĕl, yua kơ ưh kơ đei bu năm ngôi lăm năr giĕng tih. Rim 'măng jang đĭ juơ; lu 'bok soi tơtok tơtăm; Lu adruh hle pơmat-tat, lu sư bơih wă pŭ iŏk pơmat-tat dêh."
"Her adversaries have become the master, Her enemies prosper; For the LORD has afflicted her Because of the multitude of her transgressions. Her children have gone into captivity before the enemy.","Bơngai ayăt kơ sư jing yŏng, bơngai blah sư jing pŭn hiôk; Yua kơ 'Bok Kei-Dei pơmat sư, yua kơ tơdrong yoch sư lơ dêh. Lu kon hơ'lơ̆p sư lu ayăt rôp pơm bơnă."
"And from the daughter of Zion All her splendor has departed. Her princes have become like deer That find no pasture, That flee without strength Before the pursuer.","Kon adruh Siôn hiong đĭ boih dôm tơdrong mă đe ư-ang. Lu kră pơgơ̆r nhen thoi juei chă tơmăn 'nhĕt sa pă đei, Kơdâu pă kĕ đĭ jơhngơ̆m 'bơ̆t anăp lu bơngai druh sư."
"In the days of her affliction and roaming, Jerusalem remembers all her pleasant things That she had in the days of old. When her people fell into the hand of the enemy, With no one to help her, The adversaries saw her And mocked at her downfall.","Lăm năr pơmat-tat, Jêrusalem 'blŏk kơ đêl sư chơt hiôk; Kơplah kon pơlei sư huŏng lăm ti lu ayăt ưh pă đei bu năm dŏng sư dơ̆ng. Khŭl linh ayăt 'bôh sư thoi noh, na hiĕk ăr kơ sư yua kơ đĭ juơ juŏ!"
"Jerusalem has sinned gravely, Therefore she has become vile. All who honored her despise her Because they have seen her nakedness; Yes, she sighs and turns away.","Jêrusalem pơm yoch tih, yua kơ 'noh na mă jing kơnê̆ 'mê̆ brư̆. Dôm lu bơngai mă juăt kơ pơyom kơ sư dang ei pă đei boih, Yua kơ 'bôh sư hang-hông. Kơdih kâu lu sư tơtok, na kơdŭn tơ rŏng."
"Her uncleanness is in her skirts; She did not consider her destiny; Therefore her collapse was awesome; She had no comforter. “O LORD, behold my affliction, For the enemy is exalted!”","Hơbĕn ao lu sư mơgrĭ; sư ưh pă đei tơchĕng boih năr tôch wă truh kơ sư! Tơdrong rơdu sư phara, ưh pă đei bu pơlung sư! Ơ Kră Yang apinh Ih lăng tơdrong pơmat-tat inh, yua kơ lu ayăt pôk pơang lu sư kơdih pơm tih."
"The adversary has spread his hand Over all her pleasant things; For she has seen the nations enter her sanctuary, Those whom You commanded Not to enter Your assembly.","Lu bơngai ayăt yơ̆r ti boih wă iŏk dôm tơmam 'lơ̆ng sư; Yua kơ lu sư 'bôh boih lu kon pơlei tơmoi năm mơ̆t lăm anih rơgoh sư. Lu kon pơlei tơmoi noh Kră Yang đei khan: Ưh kơ gơh kơ mơ̆t ôh lăm khŭl sư"
"All her people sigh, They seek bread; They have given their valuables for food to restore life. “See, O LORD, and consider, For I am scorned.”","Đĭ kon pơlei chă tơmam sa păng tơtok rah; Tơplih đĭ tơdrong chơt hiôk iŏk tơmam sa, wă kơ chhơp hiôk lăm jơhngơ̆m sư kơdih. Ơ Kră Yang, apinh Ih 'blŏk kơ inh, yua kơ inh jing bơngai pă rơ-a boih"
"“Is it nothing to you, all you who pass by? Behold and see If there is any sorrow like my sorrow, Which has been brought on me, Which the LORD has inflicted In the day of His fierce anger.","Ơ lu bơngai chă yak drong găn, bơ̆n hăm pă tơ'bưh hah? Lăng bĕ hăm tơdrong kiơ ơh sơ'ngon; Hli kơ thoi inh đei ơh sơ'ngon. Mă? Kră Yang đei pơm pơmat inh boih; Lăm năr Sư hil."
"“From above He has sent fire into my bones, And it overpowered them; He has spread a net for my feet And turned me back; He has made me desolate And faint all the day.","Sư đei tơjur boih ŭnh đơ̆ng kơpal, mơ̆t lăm tơring inh na kĕ jei. Sư đei dăng boih hơnhuăl ala jơ̆ng inh, pơm kơ inh kơdŭn tơ rŏng. Sư đei pơm boih kơ inh rơdu rơmơ̆n, rim năr rai hiong hiach."
"“The yoke of my transgressions was bound; They were woven together by His hands, And thrust upon my neck. He made my strength fail; The Lord delivered me into the hands of those whom I am not able to withstand.","'Long ăt tơdrong yoch Sư chô̆ ti inh. Sư dan đĭ hơchô̆ trăp dêh, Sư pơm ăn tơdrong pran kơtang inh hiong đĭ. Kră Yang jao lăm ti lu sư boih, na inh pă kĕ blah dơ̆ng."
