English, Bahnar
"Now the LORD called to Moses, and spoke to him from the tabernacle of meeting, saying","Đơ̆ng lăm Bơsŭn Anih Akŭm, Kră Yang krao Môis khan"
"“Speak to the children of Israel, and say to them: ‘When any one of you brings an offering to the LORD, you shall bring your offering of the livestock—of the herd and of the flock.","Pơma roi bĕ kơ kon pơlei Isơrael thoi âu: Layơ bu lăm lu iĕm đei năm pơyơ̆r tơmam soi kơ Kră Yang athei rôp iŏk rơmo, triu dah bơbe đơ̆ng lăm khŭl sem dơrong na pơyơ̆r."
"‘If his offering is a burnt sacrifice of the herd, let him offer a male without blemish; he shall offer it of his own free will at the door of the tabernacle of meeting before the LORD.","Tơdah tơmam sư pơyơ̆r tơmam soi 'buh hăm rơmo, sư athei pơyơ̆r rơmo tơno ưh kơ đei tơdrong jĭ kiơ, ăn kơ sư pơyơ̆r tơ 'măng Bơsŭn Anih Akŭm, 'bơ̆t anăp Kră Yang wă kơ Sư lăp đon iŏk."
"Then he shall put his hand on the head of the burnt offering, and it will be accepted on his behalf to make atonement for him.","Na bơngai pơyơ̆r sư dan ti sư tơ kơpal kơ̆l sem dơrong wă soi 'buh noh na kon sem noh gô jing tơmam soi pơklaih tơdrong yoch sư."
"He shall kill the bull before the LORD; and the priests, Aaron’s sons, shall bring the blood and sprinkle the blood all around on the altar that is by the door of the tabernacle of meeting.","Sư gô 'bet pơlôch rơmo dăm noh 'bơ̆t anăp Kră Yang, na lu 'bok soi kon drŏ-nglo Arôn iŏk pham rơmo pơyơ̆r păng tơtreh tăp dăr kơ chơnang soi 'bơ̆t 'măng Bơsŭn Anih Akŭm."
"And he shall skin the burnt offering and cut it into its pieces.","Đơ̆ng noh lŏng akar rơmo păng kăt lơ kơnăt."
"The sons of Aaron the priest shall put fire on the altar, and lay the wood in order on the fire.","Lu kon drŏ-nglo Arôn gô iŏk 'long ŭnh tơkuh tơ kơpal chơnang soi."
"Then the priests, Aaron’s sons, shall lay the parts, the head, and the fat in order on the wood that is on the fire upon the altar","Klaih kơ noh lu 'bok soi kon drŏ-nglo Arôn săp lu kơnăt 'nhĕm, kơ̆l păng rơmă dan kơpal 'long ŭnh, mă ŭnh oei khơ̆ng kơpal chơnang soi."
"but he shall wash its entrails and its legs with water. And the priest shall burn all on the altar as a burnt sacrifice, an offering made by fire, a sweet aroma to the LORD.","Mă-lei sư gô iŏk đak ôp klak păng tơkong. Đơ̆ng noh lu 'bok soi gô 'buh dan đĭ tơmam soi tơ kơpal chơnang soi, noh boih tơmam soi 'buh, wă khan tơmam soi 'buh lăm ŭnh sa wă pơyơ̆r đei 'bâu phu 'lơ̆ng ăn kơ Kră Yang."
"‘If his offering is of the flocks—of the sheep or of the goats—as a burnt sacrifice, he shall bring a male without blemish.","Tơdah tơmam sư wă pơyơ̆r soi 'buh hăm triu dah bơbe sư athei rơih chă tơno mă ưh kơ đei jĭ kiơ"
