English, Bahnar
"Inasmuch as many have taken in hand to set in order a narrative of those things which have been fulfilled among us","Ơ Theophil, đơ̆ng sơ̆ khơ̆ dang ei đei lơ bơngai chă chih roi gah dôm tơdrong Yêsu oei hơdai păng bơ̆n tơ ala teh âu sơ̆."
"just as those who from the beginning were eyewitnesses and ministers of the word delivered them to us","Lu sư chih dôm tơdrong bơ̆n kơtơ̆ng đơ̆ng lu bơngai mă 'bôh tôm tơdrong Yêsu đơ̆ng tơm hmơm sơ̆, khơ̆ Sư tŏk tơ plĕnh. Lu bơngai 'bôh tơdrong Yêsu sơ̆ sư ră roi tơdrong noh kơ bơ̆n."
"it seemed good to me also, having had perfect understanding of all things from the very first, to write to you an orderly account, most excellent Theophilus","Na inh kư̆m chă jet pơnhên đe gah tơdrong Yêsu đơ̆ng tơm hmơm sơ̆, na inh kư̆m wă roi ăn kơ ih mă đơ̆ng tơm truh tơ wĕch"
"that you may know the certainty of those things in which you were instructed.","wă kơ ih băt mă tơpă gah tơdrong Yêsu."
"There was in the days of Herod, the king of Judea, a certain priest named Zacharias, of the division of Abijah. His wife was of the daughters of Aaron, and her name was Elizabeth.","Kơplah pơtao Hêrôt pơgơ̆r dêh char Juđê sơ̆ đei minh 'nu 'bok soi anăn sư Sachari. Sư khŭl 'bok soi mă đe anăn khŭl Abia. Anăn akăn sư Êlisabet. Akăn sư ei kon sâu Arôn mă pơm 'bok soi tơm hmơm sơ̆."
"And they were both righteous before God, walking in all the commandments and ordinances of the Lord blameless.","Bre sư pơm 'lơ̆ng tơpăt kơ 'Bok Kei-Dei păng rok kiơ̆ dôm tơdrong juăt 'Bok Kei-Dei pơkă."
"But they had no child, because Elizabeth was barren, and they were both well advanced in years.","Mă-lei bre sư ưh kơ đei hơ'lơ̆p yua kơ Êlisabet bơngai hơwŏng. Bre sư kư̆m kră ngăl boih."
"So it was, that while he was serving as priest before God in the order of his division","Minh năr ei 'bok Sachari jang tơdrong 'Bok Kei-Dei tơ hnam akŭm 'Bok Kei-Dei tơm tơ Pơlei Jêrusalem yua kơ trŏ năr lu khŭl sư jang tơ noh."
"according to the custom of the priesthood, his lot fell to burn incense when he went into the temple of the Lord.","Na lu 'bok soi juăt kơ pơpơn dih băl wă kơ băt bu gơh mơ̆t lăm hnam 'Bok Kei-Dei tơm noh soh 'long pơgang 'bâu phu yua wă kơkuh kơ 'Bok Kei-Dei. Na năr ei đe pơpơn dih băl na trŏ kơ 'bok Sachari gơh mơ̆t soh."
"And the whole multitude of the people was praying outside at the hour of incense.","Kơplah Sachari mơ̆t soh 'long pơgang lăm hnam 'Bok Kei-Dei na lu kon pơlei pơla oei krao khan tơ 'ngoaih."
"Then an angel of the Lord appeared to him, standing on the right side of the altar of incense.","Na blư 'bôh hloi linh jang 'lơ̆ng đơ̆ng 'Bok Kei-Dei jur dơ̆ng gah 'ma kơ chơnang soi soh 'long pơgang 'bâu phu ei."
"And when Zacharias saw him, he was troubled, and fear fell upon him.","Sachari 'bôh sư, na hli."
"But the angel said to him, “Do not be afraid, Zacharias, for your prayer is heard; and your wife Elizabeth will bear you a son, and you shall call his name John.","Mă-lei linh jang 'lơ̆ng ei khan kơ sư: “Ih 'nĕ kơ hli. 'Bok Kei-Dei kơtơ̆ng nơ̆r ih krao khan apinh sư wă kơ đei kon. Na akăn ih ning-mônh gô tơpŭ kơ minh 'nu kon drŏ-nglo. Na ih anăn sư Yôhan."
"And you will have joy and gladness, and many will rejoice at his birth.","Ih gô hiôk tơpă păng kư̆m đei lơ bơngai nai hiôk yua kơ đei sư."
"For he will be great in the sight of the Lord, and shall drink neither wine nor strong drink. He will also be filled with the Holy Spirit, even from his mother’s womb.","Yua kơ ning-mônh sư gô pơm tih 'bơ̆t anăp 'Bok Kei-Dei. Sư ưh kơ gơh et sik dah dôm tơmam kiơ pơm ăn suai. Sư 'bĕnh blai Yang Bơhngol 'Lơ̆ng mă đơ̆ng đe tơpŭ kơ sư truh tơ ning-mônh."
"And he will turn many of the children of Israel to the Lord their God.","Sư gô tơgŭm lơ bơngai Isơrael wih tơ Kră Yang bơ̆n 'Bok Kei-Dei."
