English, Bahnar
"The burden of the word of the LORD to Israel by Malachi.","Nơ̆r Kră Yang pơma kơ lu bơngai Isơrael đơ̆ng Malachi chih."
"“I have loved you,” says the LORD. “Yet you say, ‘In what way have You loved us?’ Was not Esau Jacob’s brother?” Says the LORD. “Yet Jacob I have loved","Kră Yang đei khan: “Inh 'mêm kơ lu iĕm;” păng lu iĕm đei khan: “Ih 'mêm kơ lu nhôn thoi yơ?” Kră Yang khan: “Êsâu hăm trŏ kơ 'nhŏng Jakôp dah ưh?"
"But Esau I have hated, And laid waste his mountains and his heritage For the jackals of the wilderness.”","Mă-lei Inh 'mêm kơ Jakôp areh kơ Êsâu, Inh pơm ăn kơ lu bri kông sư jing juơ păng jao mŭk tơmam sư ăn kơ lu kŏ bri tơ lăm char 'blach sa.”"
"Even though Edom has said, “We have been impoverished, But we will return and build the desolate places,” Thus says the LORD of hosts: “They may build, but I will throw down; They shall be called the Territory of Wickedness, And the people against whom the LORD will have indignation forever.","Tơdah bơngai Eđôm khan thoi âu: “Lu bơ̆n đe pơrăm đĭ boih, mă-lei lu bơ̆n gô brŏk pơjing dơ̆ng dôm lu anih đêl đe pơrăm,” thoi noh Kră Yang Tih Hloh khan: “Lu sư gô pơdơ̆ng ming, mă-lei Inh gô tơlơ̆ lê̆, dĭng mah đe krao anăn lu sư dêh char kơnê̆ păng jing kon pơlei pơla mă Kră Yang hil areh ling-lang.”"
"Your eyes shall see, And you shall say, ‘The LORD is magnified beyond the border of Israel.’","Lu iĕm gô 'bôh tơm măt păng lu iĕm gô khan thoi âu: “Ư-ang kơ Kră Yang Tih Hloh mơ̆n 'nguaih kơ lăm Isơrael!”"
"“A son honors his father, And a servant his master. If then I am the Father, Where is My honor? And if I am a Master, Where is My reverence? Says the LORD of hosts To you priests who despise My name. Yet you say, ‘In what way have we despised Your name?’","“Kon drŏ-nglo kơkuh pơyom kơ 'bă sư, đĭch đam hli yom kơ yŏng tơ'ngla sư. Thoi noh tơdah Inh jing 'Bă iĕm, lei tơdrong lu iĕm kơkuh pơyom kơ Inh? Păng tơdah Inh jing yŏng tơ'ngla, lei lu sư hli yom kơ Inh tơ yơ?” Kră Yang Tih Hloh khan kơ lu sư thoi noh. “Ơ lu 'bok soi pơdê anăn Inh!” Lu iĕm đei khan: “Tơ yơ nhôn đei pơdê anăn Ih?”"
"“You offer defiled food on My altar, But say, ‘In what way have we defiled You?’ By saying, ‘The table of the LORD is contemptible.’","“Lu iĕm pơyơ̆r tơmam 'mê̆-'mach tơ gơ'bang soi Inh, đơ̆ng noh lu iĕm khan: ‘Lu nhôn pơm kơnê̆ 'mê̆-'mach kơ Ih tơ yơ?’ Noh mă tơdrong lu sư khan: ‘Gơ'bang Kră Yang trŏ kơ pơdê.’"
"And when you offer the blind as a sacrifice, Is it not evil? And when you offer the lame and sick, Is it not evil? Offer it then to your governor! Would he be pleased with you? Would he accept you favorably?” Says the LORD of hosts.","Kơplah lu iĕm pơyơ̆r tơmam soi păng sem dơrong măt tol, tơdrong noh ưh kơ trŏ krưp dêh tơpă hă? Kơplah iĕm pơyơ̆r tơmam soi hăm sem dơrong jơ̆ng jo dah jĭ, tơdrong ưh kơ trŏ krưp dêh hă? Lu iĕm pơlong pơyơ̆r lăng kơ yŏng tơ'ngla iĕm thoi noh lăng sư hăm lăp đon kơ iĕm ưh?” Kră Yang Tih Hloh khan thoi noh."
"“But now entreat God’s favor, That He may be gracious to us. While this is being done by your hands, Will He accept you favorably?” Says the LORD of hosts.","“Lu iĕm đei pơm boih tơdrong noh, liơ Sư sơng iŏk minh 'nu lăm lu iĕm? 'Nâu dang ei Inh athei iĕm apinh bĕ tơdrong mơnat đơ̆ng Kră Yang 'Bok Kei-Dei, wă kơ Sư mơnat ăn,” Kră Yang Tih Hloh khan thoi noh."
"“Who is there even among you who would shut the doors, So that you would not kindle fire on My altar in vain? I have no pleasure in you,” Says the LORD of hosts, “Nor will I accept an offering from your hands.","“Hơpơi rŏ kơ đei minh 'nu lăm lu iĕm tang 'măng, wă kơ lu iĕm huay tơ̆k ŭnh tơdrong kơđei tơ kơpal gơ'bang soi Inh,” Kră Yang Tih Hloh khan thoi noh. “Inh ưh kơ đei jơhngơ̆m hiôk lăp đon kơ lu iĕm păng Inh ưh kơ wă đei iŏk minh tơmam soi pơyơ̆r kiơ đơ̆ng ti lu iĕm."
"For from the rising of the sun, even to its going down, My name shall be great among the Gentiles; In every place incense shall be offered to My name, And a pure offering; For My name shall be great among the nations,” Says the LORD of hosts.","Iŏk đơ̆ng măt 'năr lĕch truh tơ măt 'năr mơ̆t, yua kơ anăn Inh jing tih tơpă tơ lăm adrĕch adrung kon bơngai. Tơ lăm jơ̆p-jang anih, đe gô pơyơ̆r 'long 'bâu phu păng tơmam soi 'lơ̆ng rơgoh kơ anăn Inh; yua kơ anăn Inh gô jing tih tơpă tơ lăm adrĕch adrung nai.” Kră Yang Tih Hloh khan thoi noh."
"“But you profane it, In that you say, ‘The table of the LORD is defiled; And its fruit, its food, is contemptible.’","Mă-lei lu iĕm pơma kơnê̆ 'mê̆ brư̆ kơ anăn Inh boih khan: “Gơ'bang soi Kră Yang 'mê̆-'mach, tơmam soi kơpal gơ'bang noh trŏ kơ pơjăm.”"
"You also say, ‘Oh, what a weariness!’ And you sneer at it,” Says the LORD of hosts. “And you bring the stolen, the lame, and the sick; Thus you bring an offering! Should I accept this from your hand?” Says the LORD.","Lu iĕm đei khan dơ̆ng thoi âu: “Ô! Tơdrong jang gleh dêh pă băt dang yơ! Na lu iĕm pơdê sư.” Kră Yang Tih Hloh khan thoi noh. “Lu iĕm năm pơyơ̆r tơmam đơ̆ng iĕm tơtông păng lu kon sem dơrong jo, jĭ na mă năm pơyơ̆r kơ Inh. Inh hăm đei iŏk tơmam âu đơ̆ng ti lu iĕm ưh?” Kră Yang khan thoi noh."
"“But cursed be the deceiver Who has in his flock a male, And takes a vow, But sacrifices to the Lord what is blemished— For I am a great King,” Says the LORD of hosts, “And My name is to be feared among the nations.","“Lu bơngai hơlĕnh noh trŏ kơ hil mĭl păng hiap tơpă, lăm khŭl sem dơrong noh đei kon tơno 'lơ̆ng, mă-lei lu sư pơkă wă pơyơ̆r ăn kơ Kră Yang na iŏk kon sem jo jăn pơm tơmam soi. Yua kơ Inh Pơtao tih, anăn Inh trŏ kơ hli yom tơ lăm đĭ adrĕch adrung kon bơngai.” Kră Yang Tih Hloh khan thoi noh."
"“And now, O priests, this commandment is for you.","“Ơ lu 'bok soi, dang ei Inh tơtă ăn tơdrong âu kơ lu iĕm."
"If you will not hear, And if you will not take it to heart, To give glory to My name,” Says the LORD of hosts, “I will send a curse upon you, And I will curse your blessings. Yes, I have cursed them already, Because you do not take it to heart.","Tơdah lu iĕm ưh kơ mơ̆ng, tơdah iĕm ưh kơ đei răk lăm jơhngơ̆m ư-ang kơ anăn Inh,” lei Kră Yang Tih Hloh khan: “Inh gô tơjur tơdrong hiap pơtê̆ tơ kơpal lu iĕm păng Inh gô hiap pơtê̆ lu tơdrong 'lơ̆ng rŏ lu iĕm; păng Inh gô hiap boih, yua kơ lu iĕm ưh kơ đei răk lăm jơhngơ̆m iĕm."
"“Behold, I will rebuke your descendants And spread refuse on your faces, The refuse of your solemn feasts; And one will take you away with it.","Tơpă, Inh gô chrih kơ adrĕch lu iĕm rei, kon sâu iĕm păng Inh gô săi 'mê̆ tơ muh măt lu iĕm, wă khan 'mê̆ đơ̆ng ĭch đơ̆ng sem dơrong lu iĕm pơyơ̆r; na Inh gô puh tơweh lu iĕm đơ̆ng anăp Inh."
"Then you shall know that I have sent this commandment to you, That My covenant with Levi may continue,” Says the LORD of hosts.","Lu iĕm băt boih nơ̆r Inh âu khan kơ lu iĕm, wă kơ tơdrong pơgơ̆p Inh hăm Lêwi.” Kră Yang Tih Hloh khan thoi noh."
"“My covenant was with him, one of life and peace, And I gave them to him that he might fear Me; So he feared Me And was reverent before My name.","“Nơ̆r pơgơ̆p Inh hăm bơngai Lêwi oei ling-lang, tơdrong arih păng tơdrong rơnŭk rơnua mă Inh đei ăn boih kơ lu sư, wă kơ lu sư hli yom kơ Inh, thoi noh lu sư hli yom kơ Inh boih păng tơtơ̆ 'bơ̆t anăp anăn Inh."
"The law of truth was in his mouth, And injustice was not found on his lips. He walked with Me in peace and equity, And turned many away from iniquity.","Tơdrong khôi juăt tơdrong tơpăt oei boih tơ lăm 'bơ̆r lu sư bơtho, lăm hơkŭng lu sư ưh pă đei tơdrong kơnê̆ boih; lu sư yak hơdai hăm Inh lăm tơdrong hiôk-hian păng tơpăt, pơm ăn kơ lơ bơngai weh achăng đơ̆ng tơdrong kơnê̆."
"“For the lips of a priest should keep knowledge, And people should seek the law from his mouth; For he is the messenger of the LORD of hosts.","Yua kơ hơkŭng 'bơ̆r 'bok soi athei wei tơdrong hlôh wao, lu đe chă tơdrong juăt đơ̆ng lăm 'bơ̆r lu sư, yua kơ lu sư jơ̆ bơngai đơ̆ng Kră Yang Tih Hloh."
"But you have departed from the way; You have caused many to stumble at the law. You have corrupted the covenant of Levi,” Says the LORD of hosts.","Mă-lei, tơplơ̆ dơ̆ng, lu iĕm rok trong nai, pơm kơ lơ bơngai pơm glăi kơ khôi juăt păng lu iĕm pơm glăi boih kơ nơ̆r Inh pơgơ̆p hăm Lêwi.” Kră Yang Tih Hloh khan thoi noh."
"“Therefore I also have made you contemptible and base Before all the people, Because you have not kept My ways But have shown partiality in the law.”","“Yua kơ thoi noh na Inh kư̆m đei pơm ăn kơ lu iĕm rai iĕ jing pă rơ-a 'bơ̆t anăp đĭ kon pơlei pơla, yua kơ lu iĕm ưh kơ kiơ̆ trong Inh pơdah kơ đe khan lu iĕm oei lăm khôi juăt.”"
"Have we not all one Father? Has not one God created us? Why do we deal treacherously with one another By profaning the covenant of the fathers?","Đĭ-đăng lu bơ̆n ưh kơ trŏ minh pôm 'bă hă? Hăm trŏ lăp minh Kră Yang 'Bok Kei-Dei đĕch mă pơjing lu bơ̆n? Thoi ei boih liơ mă bơ̆n pơm ưh kơ tơpăt chă hơlĕnh băl tơduă lu bơ̆n, pơm glăi kơ tơdrong pơgơ̆p 'bok yă bơ̆n?"
"Judah has dealt treacherously, And an abomination has been committed in Israel and in Jerusalem, For Judah has profaned The LORD’s holy institution which He loves: He has married the daughter of a foreign god.","Lu bơngai Juđa oei sa ưh kơ tơpăt hơlĕnh pơdăr păng đei pơm minh tơdrong yoch kơnê̆ tih krưp tơpă lăm lu bơngai Isơrael păng lăm pơlei Jêrusalem; Juđa đei pơm boih tơdrong 'mê̆-'mach kơ tơdrong 'lơ̆ng rơgoh Kră Yang, yua kơ lu sư iŏk oei kơ drŏ-kăn yang tơmoi."
"May the LORD cut off from the tents of Jacob The man who does this, being awake and aware, Yet who brings an offering to the LORD of hosts!","Mă lu bơngai đei pơm tơdrong noh, mă lu bơngai oei hơđơ̆r, dah lu bơngai drơ̆ng nơ̆r, dah lu bơngai pơyơ̆r tơmam soi kơ Kră Yang Tih Hloh, Kră Yang gô chơ̆ng hŭt lê̆ lu sư đơ̆ng hnam Jakôp."
"And this is the second thing you do: You cover the altar of the LORD with tears, With weeping and crying; So He does not regard the offering anymore, Nor receive it with goodwill from your hands.","Lu iĕm kư̆m oei pơm tơdrong âu: Lu iĕm nhơ̆m hmoi, hơdrĭ hơdrôi, đak măt lĕch gom lê̆ gơ'bang soi Kră Yang, Sư ưh pă iŏk boih tơmam soi lu iĕm păng kư̆m ưh pă lăp đon iŏk tơmam pơyơ̆r đơ̆ng ti lu iĕm."
"Yet you say, “For what reason?” Because the LORD has been witness Between you and the wife of your youth, With whom you have dealt treacherously; Yet she is your companion And your wife by covenant.","Lu iĕm đei khan: “Yua kơ kiơ?” Yua kơ Kră Yang băt kơ măr iĕm ih hăm akăn ih mă iŏk oei đơ̆ng 'lơ̆p sơ̆, bơngai mă oei hơdai ih păng jing akăn ih đei pơgơ̆p hăm ih boih. Mă-lei ih kư̆m oei sa hơbĕch pơdăr hăm sư 'mơ̆i."
"But did He not make them one, Having a remnant of the Spirit? And why one? He seeks godly offspring. Therefore take heed to your spirit, And let none deal treacherously with the wife of his youth.","Đơ̆ng noh, mă khan tơdrong arih Kră Yang 'Bok Kei-Dei đei lơ rơkah rơkai ră, mă-lei Sư pơjing ăn kơ ih lăp minh 'nu drŏ-kăn đĕch. Mă-lei yua kơ kiơ Sư pơjing ăn kơ ih lăp minh 'nu bơngai drŏ-kăn đĕch? Noh yua kơ wă chă adrĕch adrung 'lơ̆ng rơgoh, thoi noh lu iĕm athei mă kơchăng lăm jơhngơ̆m bơ̆n kơdih, 'nĕ kơ oei sa hơlĕnh pơdăr hăm akăn bơ̆n kơdih mă iŏk oei đơ̆ng 'lơ̆p."
"“For the LORD God of Israel says That He hates divorce, For it covers one’s garment with violence,” Says the LORD of hosts. “Therefore take heed to your spirit, That you do not deal treacherously.”","Yua kơ Kră Yang 'Bok Kei-Dei Isơrael đei khan boih thoi âu: “Inh areh dêh kơ bơngai bu mă hrĕch achăng akăn păng bơngai bu mă gom lê̆ sư kơdih hăm tơdrong khĕnh hơwĕng thoi bơngai mă gom lê̆ akâu sư hăm hơbĕn ao sư.” Kră Yang Tih Hloh khan thoi noh: Thoi noh athei wei bĕ jơhngơ̆m lu iĕm kơdih, 'nĕ pă chă hơlĕnh pơdăr băl."
