English, Bahnar
"The book of the genealogy of Jesus Christ, the Son of David, the Son of Abraham","Yêsu Krist kon sâu pơtao Đawit, mă 'bok kơdră lu sư Abraham. Na tơ ala âu jô̆ tôm lu anăn 'bok kơdră Yêsu Krist sơ̆"
"Abraham begot Isaac, Isaac begot Jacob, and Jacob begot Judah and his brothers.","Abraham pơjing Isăk, Isăk pơjing Jakôp, Jakôp pơjing Juđa hăm lu 'nhŏng oh sư."
"Judah begot Perez and Zerah by Tamar, Perez begot Hezron, and Hezron begot Ram.","Juđa pơjing Pêres hăm Sêra, mĕ bre sư Tamar, Pêres sư pơjing Hêsrôn, Hêsrôn pơjing Ram"
"Ram begot Amminadab, Amminadab begot Nahshon, and Nahshon begot Salmon.","Ram pơjing Amminađap, Amminađap pơjing Nasôn, Nasôn pơjing Salmôn."
"Salmon begot Boaz by Rahab, Boaz begot Obed by Ruth, Obed begot Jesse","Salmôn hăm akăn sư Rahap pơjing đei kon drŏ-nglo, anăn sư Bôas. Bôas hăm akăn sư Rut kư̆m pơjing đei kon drŏ-nglo anăn sư Ôbêt, Ôbêt pơjing Jesê."
"and Jesse begot David the king. David the king begot Solomon by her who had been the wife of Uriah.","Jesê âu boih pơjing pơtao Đawit. Akăn Đawit đơ̆ng akăn Uri sơ̆ bre sư Đawit pơjing Sôlômôn."
"Solomon begot Rehoboam, Rehoboam begot Abijah, and Abijah begot Asa.","Sôlômôn pơjing Rôbôam, Rôbôam pơjing Abijah, Abijah pơjing Asa"
"Asa begot Jehoshaphat, Jehoshaphat begot Joram, and Joram begot Uzziah.","Asa pơjing Jêhôsaphat, Jêhôsaphat pơjing Jôhôram, Jôhôram pơjing Ussia"
"Uzziah begot Jotham, Jotham begot Ahaz, and Ahaz begot Hezekiah.","Ussia pơjing Jôtham, Jôtham pơjing Ahas, Ahas pơjing Hesekia"
"Hezekiah begot Manasseh, Manasseh begot Amon, and Amon begot Josiah.","Hesekia pơjing Manase, Manase pơjing Amôn, Amôn pơjing Jôsia"
"Josiah begot Jeconiah and his brothers about the time they were carried away to Babylon.","Jôsia pơjing Jekonia hăm lu 'nhŏng oh sư. Đơ̆ng noh boih lu bơngai Babilôn rôp anhăk lu bơngai Isơrael tơ dêh lu sư."
"And after they were brought to Babylon, Jeconiah begot Shealtiel, and Shealtiel begot Zerubbabel.","Kơplah lu sư oei tơ dêh Babilôn na Jekonia pơjing Sealtien, Sealtien pơjing Serupbabel"
"Zerubbabel begot Abiud, Abiud begot Eliakim, and Eliakim begot Azor.","Serupbabel pơjing Abiut, Abiut pơjing Êliakim, Êliakim pơjing Asôr"
"Azor begot Zadok, Zadok begot Achim, and Achim begot Eliud.","Asôr pơjing Satôk, Satôk pơjing Achim, Achim pơjing Êliut"
"Eliud begot Eleazar, Eleazar begot Matthan, and Matthan begot Jacob.","Êliut pơjing Êlêasar, Êlêasar pơjing Mathan, Mathan pơjing Jakôp"
"And Jacob begot Joseph the husband of Mary, of whom was born Jesus who is called Christ.","Jakôp pơjing Yôsep, Yôsep klo Mari. Mari pơjing Yêsu, mă đe anăn Krist. Yêsu Krist âu boih bơngai mă 'Bok Kei-Dei ăn wă pơm pơtao bơ̆n."
"So all the generations from Abraham to David are fourteen generations, from David until the captivity in Babylon are fourteen generations, and from the captivity in Babylon until the Christ are fourteen generations.","Đơ̆ng Abraham truh tơ Đawit đei mơjĭt-puăn jơhnơr, đơ̆ng Đawit truh tơ đe rôp anhăk lu bơngai Isơrael tơ dêh Babilôn đei mơjĭt-puăn jơhnơr, đơ̆ng đe rôp bơngai Isơrael truh tơ đe đei tơpŭ kơ nge Yêsu Krist đei mơjĭt-puăn jơhnơr mơ̆n."
