English, Bahnar
"The word of the LORD that came to Micah of Moresheth in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.","Nơ̆r Kră Yang khan kơ Mika bơngai Môresêt lăm chăl Jôtham, Ahas păng Hesekia, lu pơtao dêh char Juđa, tơdrong mă lu sư 'bôh noh trŏ kơ pơlei Samari păng pơlei Jêrusalem."
"Hear, all you peoples! Listen, O earth, and all that is in it! Let the Lord GOD be a witness against you, The Lord from His holy temple.","Ơ đĭ-đăng kon pơlei, mơ̆ng bĕ! Ơ teh păng đĭ-đăng tơmam mă oei kơpal teh pơgling đon mơ̆ng! Apinh Kră Yang đơ̆ng anih 'lơ̆ng rơgoh Sư. Ăn kơ Kră Yang pơm kơdranh blah lu iĕm."
"For behold, the LORD is coming out of His place; He will come down And tread on the high places of the earth.","Yua kơ âu, Kră Yang lĕch đơ̆ng anih Sư, jur kơpal juă tơ anih kơjung hloh."
"The mountains will melt under Him, And the valleys will split Like wax before the fire, Like waters poured down a steep place.","Lu kông gô lek hach ala jơ̆ng Sư, lu thŭng thong gô hơđang lek thoi jrĕnh dan jê̆ ŭnh, thoi đak ro jruh kơ kông krang."
"All this is for the transgression of Jacob And for the sins of the house of Israel. What is the transgression of Jacob? Is it not Samaria? And what are the high places of Judah? Are they not Jerusalem?","Đĭ-đăng tơdrong noh yua kơ đơ̆ng Jakôp pơm yoch păng yua kơ tơdrong yoch adrĕch bơngai Isơrael. Jakôp pơm tơdrong yoch glăi kiơ? Hăm trŏ kơ pơlei Samari? Lu anih kơjung Juđa noh kiơ? Hăm trŏ noh pơlei Jêrusalem?"
"“Therefore I will make Samaria a heap of ruins in the field, Places for planting a vineyard; I will pour down her stones into the valley, And I will uncover her foundations.","Thoi noh Inh gô pơm kơ pơlei Samari thoi hla đuih lăm bri, thoi anih mơ̆r đe pơtăm hơmu păng kư̆m gô pơm kơ lu tơmo đơ̆ng noh grŏl pơđĭ tơ lăm thŭng păng gô pơdră dôm hơnă sư tơ 'nguaih."
"All her carved images shall be beaten to pieces, And all her pay as a harlot shall be burned with the fire; All her idols I will lay desolate, For she gathered it from the pay of a harlot, And they shall return to the pay of a harlot.”","Đĭ-đăng lu rup man sư gô pơchah đĭ dôm lu tơmam lu sư iŏk sa pơgâm gô soh đĭ lăm ŭnh. Inh gô pơrăm lê̆ đĭ lu rup man lu sư; yua kơ mŭk tơmam lu sư mong 'măn noh đơ̆ng lu sư pơm đi, thoi noh lu sư yua tơmam noh apah ăn kơ lu bơngai pơm đi."
"Therefore I will wail and howl, I will go stripped and naked; I will make a wailing like the jackals And a mourning like the ostriches","Thoi noh Inh gô nhơ̆m hmoi păng ôr tơngưih, plôh ao năm jơ̆ng hoh. Inh gô ôr krao thoi kŏ bri păng ôr tơngưih pơmat-tat thoi sem bơrơ̆m."
"For her wounds are incurable. For it has come to Judah; It has come to the gate of My people— To Jerusalem.","Yua kơ rơka sư ming pă klaih boih. Sư kư̆m năm truh tơ char Juđa, truh boih tơ 'măng jang kon pơlei inh, wă khan truh tơ Jêrusalem."
"Tell it not in Gath, Weep not at all; In Beth Aphrah Roll yourself in the dust.","'Nĕ kơ roi tơdrong truh âu pơlei Gat! 'Nĕ kơ nhơ̆m hmoi! Tơ pơlei Bet Leaphra, 'bĭch tơgrŏl bĕ tơ teh rơpŭk."
"Pass by in naked shame, you inhabitant of Shaphir; The inhabitant of Zaanan does not go out. Beth Ezel mourns; Its place to stand is taken away from you.","Ơ kon pơlei Saphir yak năm hăm akâu hoh păng mơlâu! Kon pơlei Sanan ưh kơ pơ̆n lĕch. Kon pơlei Bet Esen nhơ̆m hmoi, yua kơ đe gô blah iŏk anih sư gơnang."
"For the inhabitant of Maroth pined for good, But disaster came down from the LORD To the gate of Jerusalem.","Kon pơlei Marôt đĭ rơmơ̆n rơmŏ chang gô tơdrong pŭn hiôk, tơdrong gleh đơ̆ng Kră Yang tơjruh boih tơ 'măng jang Jêrusalem."
