English, Bahnar
"The beginning of the gospel of Jesus Christ, the Son of God.","Âu boih roi gah tơm hmơm tơdrong 'nao 'lơ̆ng Yêsu Krist, Kon 'Bok Kei-Dei"
"As it is written in the Prophets: “Behold, I send My messenger before Your face, Who will prepare Your way before You.”","Êsai, bơngai pơtruh nơ̆r 'Bok Kei-Dei sơ̆, sư khan lê̆ hơdrol, na chih lăm sơ̆p hla bơar sư thoi âu: 'Bok Kei-Dei khan: “Âu Inh wơh minh 'nu bơngai pơtruh nơ̆r Inh hơdrol, wă kơ sư hơmet trong kơ Ih.”"
"“The voice of one crying in the wilderness: ‘Prepare the way of the LORD; Make His paths straight.’ ”","Bơngai ei bơtho tơ char glă thoi âu: “Bơ̆n tơbral kơdih tơdrong yoch wă khan bĕ hơmet trong kơ Kră Yang păng pơm trong Sư mă tơpăt.”"
"John came baptizing in the wilderness and preaching a baptism of repentance for the remission of sins.","Tơdrong 'noh 'blep tơpă: Yôhan năm pơm 'batem kơ đe tơ char glă chơngue, sư bơtho athei đe tơbral kơdih tơdrong yoch, na iŏk 'batem wă kơ 'Bok Kei-Dei pơklaih yoch sư."
"Then all the land of Judea, and those from Jerusalem, went out to him and were all baptized by him in the Jordan River, confessing their sins.","Đĭ-đăng bơngai đơ̆ng dêh Juđê hăm đĭ-đăng bơngai lăm Pơlei Jêrusalem năm tơ Yôhan. Lu sư roi kơ 'Bok Kei-Dei tơdrong yoch lu sư, na Yôhan pơm 'batem kơ lu sư tơ krong Jôrđăn."
"Now John was clothed with camel’s hair and with a leather belt around his waist, and he ate locusts and wild honey.","Yôhan hrŭk ao tanh păng sŏk aseh lăk-đa păng tah gơ'năm akar tơ bơnei sư. Tơmam sa sư lep păng đak sut bri đĕch."
"And he preached, saying, “There comes One after me who is mightier than I, whose sandal strap I am not worthy to stoop down and loose.","Sư bơtho đe khan: “Đei minh 'nu bơngai gô truh đơ̆ng rŏng kơ inh, Sư 'Bok tih tơpă. Mă khan Sư athei inh yaih ăn tơlei chơkhŏ Sư đĕch inh kư̆m ưh kơ hơnhŏ 'mơ̆i, inh ưh kơ pơ̆n ngơk lăng Sư ôh."
"I indeed baptized you with water, but He will baptize you with the Holy Spirit.”","Inh pơm kơ iĕm 'batem păng đak mă-lei Sư pơm kơ iĕm 'batem hăm Yang Bơhngol 'Lơ̆ng.”"
"It came to pass in those days that Jesus came from Nazareth of Galilee, and was baptized by John in the Jordan.","Kơplah noh Yêsu truh đơ̆ng Pơlei Nasaret dêh Galilê, na Yôhan pơm 'batem kơ Sư lăm đak krong Jôrđăn."
"And immediately, coming up from the water, He saw the heavens parting and the Spirit descending upon Him like a dove.","Lăp Yêsu tŏk đơ̆ng đak, Sư 'bôh hloi plĕnh tơpơih păng Yang Bơhngol 'Lơ̆ng thoi lĕ sem kơtơp jur oei tơ Sư."
"Then a voice came from heaven, “You are My beloved Son, in whom I am well pleased.”","Păng kư̆m đei nơ̆r pơma đơ̆ng plĕnh khan: “Ih boih Kon Inh mă 'mêm kơeng tơpă, Inh lăp đon kơ Ih tôm tơdrong.”"
"Immediately the Spirit drove Him into the wilderness.","Na Yang Bơhngol 'Lơ̆ng anhăk hloi Yêsu năm tơ char glă chơngue."
"And He was there in the wilderness forty days, tempted by Satan, and was with the wild beasts; and the angels ministered to Him.","Sư oei tơ char glă ei puăn-jĭt năr na yang Satan năm pơhlŭ Sư. Sư oei păng kon sem bri brah đĕch, linh jang 'lơ̆ng đơ̆ng 'Bok Kei-Dei chă awih awăn kơ Sư tơmam sa."
"Now after John was put in prison, Jesus came to Galilee, preaching the gospel of the kingdom of God","Lăp đơ̆ng rŏng kơ đe phak Yôhan, Yêsu năm tơ dêh Galilê chă bơtho đe tơdrong 'nao 'lơ̆ng 'Bok Kei-Dei."
"and saying, “The time is fulfilled, and the kingdom of God is at hand. Repent, and believe in the gospel.”","Sư khan: “Năr âu trŏ kơ năr 'Bok Kei-Dei wă pơgơ̆r iĕm boih. Iĕm athei tơbral kơdih tôm tơdrong yoch iĕm, na lui kiơ̆ tơdrong 'nao 'lơ̆ng Sư.”"
"And as He walked by the Sea of Galilee, He saw Simon and Andrew his brother casting a net into the sea; for they were fishermen.","Kơplah Sư năm kiơ̆ ter jih đak dơsĭ Galilê Sư 'bôh bre Simôn păng oh sư Andrê oei traih jal chă ka tơ đak dơsĭ, yua kơ bre sư bơngai juăt kơ chă ka ling-lang."
"Then Jesus said to them, “Follow Me, and I will make you become fishers of men.”","Na Yêsu khan kơ bre sư thoi âu: “Bĕ bơ̆n kiơ̆ Inh, na Inh pơchĕp ăn kơ biĕm tơdrong jang chă bơngai lui kơ 'Bok Kei-Dei.”"
"They immediately left their nets and followed Him.","Na bre sư 'blă achăng lê̆ jal bre sư, na kiơ̆ hloi Yêsu."
"When He had gone a little farther from there, He saw James the son of Zebedee, and John his brother, who also were in the boat mending their nets.","Lu sư yak ataih 'biơ̆ đơ̆ng noh, Sư 'bôh bre Yakơ păng oh sư Yôhan kon Sêbêđê. Bre sư oei hrăk ming jal tơ thŏng-nan."
"And immediately He called them, and they left their father Zebedee in the boat with the hired servants, and went after Him.","Yêsu krao bre sư, na bre sư kiơ̆ hloi Yêsu, lê̆ 'bă sư păng lu bơngai bơ̆jang kơ sư tơ thŏng-nan."
"Then they went into Capernaum, and immediately on the Sabbath He entered the synagogue and taught.","Đơ̆ng noh lu sư năm tơ Pơlei Kapernum. Kơplah năr pơdơh Sa'bat, Yêsu năm akŭm tơ hnam akŭm 'Bok Kei-Dei păng bơtho đe tơ noh."
"And they were astonished at His teaching, for He taught them as one having authority, and not as the scribes.","Đe mơ̆ng chrêu kơ đon, yua kơ dôm nơ̆r Sư bơtho gơh hơgei tơpă, ưh kơ thoi lu thây bơtho tơdrong juăt lu đe Juđê chă bơtho đe."
"Now there was a man in their synagogue with an unclean spirit. And he cried out","Kơplah ei đei minh 'nu bơngai yang kơnê̆ mơ̆t kư̆m mơ̆t tơ hnam ei. Sư pơma 'bơ̆r re khan"
"saying, “Let us alone! What have we to do with You, Jesus of Nazareth? Did You come to destroy us? I know who You are—the Holy One of God!”","“Ơ Yêsu đơ̆ng Pơlei Nasaret, Ih wă pơm kiơ kơ khŭl nhôn? Ih năm tơ âu wă pơrăm khŭl nhôn hă? Inh băt kơ Ih, Ih 'Bok 'Lơ̆ng Tơpăt đơ̆ng 'Bok Kei-Dei.”"
"But Jesus rebuked him, saying, “Be quiet, and come out of him!”","Na Yêsu khă yang kơnê̆ ei thoi âu: “E 'nĕ pă pơma, e jah lĕch đơ̆ng akâu sư âu wăi.”"
"And when the unclean spirit had convulsed him and cried out with a loud voice, he came out of him.","Na yang kơnê̆ ei pơm kơ sư pơtơ̆l, pơma pơret, na lĕch jăk hloi đơ̆ng bơngai ei."
"Then they were all amazed, so that they questioned among themselves, saying, “What is this? What new doctrine is this? For with authority He commands even the unclean spirits, and they obey Him.”","Thoi noh na đĭ-đăng bơngai 'bôh Sư pơm thoi noh, lu sư sơleng kơ đon na sư tơjet dih băl khan: “Sư bơtho tơdrong kiơ âu kih? Sư bơtho tơdrong 'nao dah kiơ, na Sư gơh pơpuh yang kơnê̆, na yang kơnê̆ chu Sư?”"
"And immediately His fame spread throughout all the region around Galilee.","Đơ̆ng Yêsu pơm thoi noh, na đe kơtơ̆ng ang tơdrong Sư jơ̆p-jang kơ dêh Galilê hloi."
"Now as soon as they had come out of the synagogue, they entered the house of Simon and Andrew, with James and John.","Yêsu lĕch đơ̆ng hnam akŭm ei năm tơ hnam bre Simôn păng Andrê. Bre Yakơ păng Yôhan kư̆m kiơ̆ Sư mơ̆n."
"But Simon’s wife’s mother lay sick with a fever, and they told Him about her at once.","Na tơnei Simôn oei păn kơ bơlŏ na đe khan kơ Yêsu."
"So He came and took her by the hand and lifted her up, and immediately the fever left her. And she served them.","Yêsu năm jê̆ sư hiot tơiung sư. Kơtă ei sư klaih hloi kơ bơlŏ, na sư chă awih awăn kơ đe Yêsu."
"At evening, when the sun had set, they brought to Him all who were sick and those who were demon-possessed.","Lăp 'năr mơ̆t adrơ̆m kơsơ̆ ei đe năm ba tơ sư dôm lu bơngai jĭ jăn păng lu bơngai yang mơ̆t."
"And the whole city was gathered together at the door.","Na đĭ-đăng lu bơngai lăm pơlei ei akŭm 'bơ̆t cham hnam Simôn păng Andrê."
"Then He healed many who were sick with various diseases, and cast out many demons; and He did not allow the demons to speak, because they knew Him.","Yêsu pơklaih lơ bơngai jĭ jăn păng pơpuh lu yang kơnê̆ mă mơ̆t lăm bơngai. Sư khă lu yang kơnê̆ pơma tơbăt Sư kơ đe kơlih kơ lu yang ei băt kơ Sư."
"Now in the morning, having risen a long while before daylight, He went out and departed to a solitary place; and there He prayed.","Lăp pơgê hrôih năr đơ̆ng rŏng, Yêsu lĕch hloi đơ̆ng pơlei ei năm tơ anih kueng kơdrô̆, Sư krao khan kơdrô̆ Sư tơ ei."
"And Simon and those who were with Him searched for Him.","Đe Simôn chă Sư."
