English, Bahnar
"The burden against Nineveh. The book of the vision of Nahum the Elkoshite.","Niniwe pŭ trăp sơ̆p hla bơar Nahum, bơngai pơlei Elkôs chih roi tơdrong sư 'bôh gah tơdrong wă phak Niniwe trăp tơpă."
"God is jealous, and the LORD avenges; The LORD avenges and is furious. The LORD will take vengeance on His adversaries, And He reserves wrath for His enemies","Kră Yang jơ̆ 'Bok Kei-Dei gar păng pơm 'mong; Kră Yang pơm tơwih păng 'bĕnh kơ tơdrong hil mĭl. Kră Yang pơm 'mong kơ bu mă blah Sư păng hil kơ lu đe bu mă ayăt kơ Sư."
"The LORD is slow to anger and great in power, And will not at all acquit the wicked. The LORD has His way In the whirlwind and in the storm, And the clouds are the dust of His feet.","Kră Yang hiơ̆ kơ hil păng đei mơsêh pran kơtang tih; mă-lei Sư kư̆m ưh kơ lê̆ phak lu bơngai pơm yoch. Kră Yang yak năm lăm kial phŭt păng hơbŭt hơbang, lu hơmơ̆l păng 'mui tơ ala jơ̆ng Sư."
"He rebukes the sea and makes it dry, And dries up all the rivers. Bashan and Carmel wither, And the flower of Lebanon wilts.","Sư chrih kơ đak dơsĭ, đak dơsĭ hrĕng kro hloi; păng pơhrơ̆ đĭ-đăng lu đak krong. Mir chŭn pơgar tơring Basan păng Karmel hrĕng kro, pơkao char Liban jô hơlŭng."
"The mountains quake before Him, The hills melt, And the earth heaves at His presence, Yes, the world and all who dwell in it.","Lu kông pơpơ̆ 'bơ̆t anăp Sư, lu groi gô hach hiong; teh đak păng lu kon bơngai oei kơpal teh đak, đĭ-đăng kon bơngai jơ̆p kơ teh đak rŭng răng."
"Who can stand before His indignation? And who can endure the fierceness of His anger? His fury is poured out like fire, And the rocks are thrown down by Him.","Bơngai bu kĕ dơ̆ng 'bơ̆t anăp Sư hil? Bu kĕ chơ̆n jơhngơ̆m kơ tơdrong Sư hil mĭl? Tơdrong blĕk Sư tuh thoi pla ŭnh, lu tơmo tih pơchah yua kơ đơ̆ng Sư."
"The LORD is good, A stronghold in the day of trouble; And He knows those who trust in Him.","Kră Yang 'lơ̆ng rŏ, jing kơđông kơ'nơp kơjăp lăm năr đei tơdrong gleh truh păng Sư băt kơ dôm lu bơngai kơ'nơp lăm Sư."
"But with an overflowing flood He will make an utter end of its place, And darkness will pursue His enemies.","Gah lu bơngai ayăt kơ Kră Yang đak lơ̆p pơrăm anih lu sư păng druh lu ayăt kơ Sư kơdâu mơ̆t lăm tơdrong măng mu."
"What do you conspire against the LORD? He will make an utter end of it. Affliction will not rise up a second time.","Lu sư chă đon liơ dơ̆ng wă ayăt hăm Kră Yang Sư gô pơrăm đĭ-đăng minh 'măng tăm ưh pă đei ăn tơdrong truh mă 'bar dơ̆ng."
"For while tangled like thorns, And while drunken like drunkards, They shall be devoured like stubble fully dried.","Yua kơ lu sư tơkuăr băl hơpunh thoi jơla suĕng păng hơleng thoi suai kơ sik, thoi noh gô soh lu sư sa đĭ thoi hơnong 'ba kro."
"From you comes forth one Who plots evil against the LORD, A wicked counselor.","Gô đei minh 'nu lĕch đơ̆ng lăm lu iĕm chă đon wă pơm kơnê̆ ayăt kơ Kră Yang."
"Thus says the LORD: “Though they are safe, and likewise many, Yet in this manner they will be cut down When he passes through. Though I have afflicted you, I will afflict you no more","Kră Yang khan thoi âu: Mă khan lu sư pran kơtang dêh păng kơdrâ̆m lơ kư̆m gô pơrăm pơtôch lê̆ đĭ ưh pă đei kiơ. Mă khan Inh đei pơmat lu iĕm dang ei na ning-mônh ưh kơ đei pơmat iĕm dơ̆ng boih."
"For now I will break off his yoke from you, And burst your bonds apart.”","Dang ei Inh gô gơ̆ 'long ăt pơm đĭch sư đơ̆ng lu iĕm păng hrĕch lê̆ tơlei glang đơ̆ng iĕm."
"The LORD has given a command concerning you: “Your name shall be perpetuated no longer. Out of the house of your gods I will cut off the carved image and the molded image. I will dig your grave, For you are vile.”","Kră Yang ăn boih tơdrong pơtă trŏ kơ ih, ih ưh pă đei kon hơ'lơ̆p wă pơtrơp iŏk anăn ih. Inh gô tơhiong pơrăm lê̆ lu rup yang iĕm man păng lu rup yang iĕm hling đơ̆ng lu hnam yang ih. Inh gô sir sơlŭng bơsat 'bŭ ih yua kơ ih yoch kơnê̆ dêh."
"Behold, on the mountains The feet of him who brings good tidings, Who proclaims peace! O Judah, keep your appointed feasts, Perform your vows. For the wicked one shall no more pass through you; He is utterly cut off.","To, tơ kơpal kông đei đêl jơ̆ng lu bơngai năm ba tơdrong 'nao 'lơ̆ng păng roi tơdrong hiôk-hian. Ơ Juđa, ih athei bơwei bĕ năr kơ̆m giĕng ih păng pơsĭt bĕ tơdrong ih đêl pơkă; yua kơ lu bơngai kơnê̆ ưh pă pơm kơnê̆ ayăt kơ iĕm dơ̆ng boih lu sư lôch đĭ-đăng boih."
"He who scatters has come up before your face. Man the fort! Watch the road! Strengthen your flanks! Fortify your power mightily.","Lu bơngai wă blah pơrăm ih truh boih; bơwei bĕ lu kơđông, gak găn lăng lu trong tih, tơ̆n gơhret kơiĕng ih păng pơpôi dôm linh pran kơtang ih."
"For the LORD will restore the excellence of Jacob Like the excellence of Israel, For the emptiers have emptied them out And ruined their vine branches.","Yua kơ Kră Yang gô tơiung dơ̆ng tơdrong ư-ang Jakôp, thoi tơdrong ư-ang Isơrael, đơ̆ng lu bơngai mă blah pơgŏ pơđep lu sư păng pơrăm lê̆ boih dơng hơmu sư."
"The shields of his mighty men are made red, The valiant men are in scarlet. The chariots come with flaming torches In the day of his preparation, And the spears are brandished.","Khêl lu bơngai kơtang tơhum đak 'brê, lu linh sư hrŭk ao đak gôh, lăm năr lu sư tơblah, bơsei gang gre aseh gô lĕch thoi pla ŭnh, đao hơlă gô pơpơ̆."
