English, Bahnar
"The words of Nehemiah the son of Hachaliah. It came to pass in the month of Chislev, in the twentieth year, as I was in Shushan the citadel","Nơ̆ra Nêhêmi kon drŏ-nglo Hakalia Sơnăm mă 'bar-jĭt lăm khei Kisle,b kơplah inh oei lăm pơlei tih Susan."
"that Hanani one of my brethren came with men from Judah; and I asked them concerning the Jews who had escaped, who had survived the captivity, and concerning Jerusalem.","Hanani minh 'nu bơngai lăm lu 'nhŏng oh inh năm hơdai hăm lu bơngai Juđa, inh apinh lu sư gah lu adrĕch Juđa gơh klaih wă khan bơngai mă đe rôp pơm bơnă boih oei đei păng apinh hloi gah pơlei Jêrusalem."
"And they said to me, “The survivors who are left from the captivity in the province are there in great distress and reproach. The wall of Jerusalem is also broken down, and its gates are burned with fire.”","Lu bơngai noh roi kơ inh thoi âu: Lu bơngai mă đe rôp pơm bơnă oei đei lăm pơlei, đei tơdrong truh păng mơlâu răm dêh, dur pơlei Jêrusalem pơchah răm păng lu 'măng jang sư ŭnh kư̆m sa đĭ boih."
"So it was, when I heard these words, that I sat down and wept, and mourned for many days; I was fasting and praying before the God of heaven.","Kơplah inh kơtơ̆ng dôm nơ̆r noh, inh hơ-oei na nhơ̆m grong lăm hơdôm năr; inh ơ̆t kơ sŏng sa păng krao khan kơ Kră Yang 'Bok Kei-Dei hơtăl plĕnh thoi âu"
"And I said: “I pray, LORD God of heaven, O great and awesome God, You who keep Your covenant and mercy with those who love You and observe Your commandments","Ơ Kră Yang 'Bok Kei-Dei kơ hơtăl plĕnh, wă khan Kră Yang 'Bok Kei-Dei tih hloh păng trŏ kơkuh tơ'ngla wei nơ̆r pơgơ̆p păng jơhngơ̆m 'mêm mơnat kơ lu bơngai mă kơkuh 'mêm kơ Sư păng wei răk dôm nơ̆r tơtă đơ̆ng Sư!"
"please let Your ear be attentive and Your eyes open, that You may hear the prayer of Your servant which I pray before You now, day and night, for the children of Israel Your servants, and confess the sins of the children of Israel which we have sinned against You. Both my father’s house and I have sinned.","Inh apinh Ih lăng păng đon Ih mơ̆ng nơ̆r krao khan inh bơngai đĭch đam Ih, dang ei inh oei krao khan rim năr rim măng yua kơ adrĕch Isơrael, lu đĭch đam Ih, oei 'bơ̆t anăp Ih păng roi tơbral dôm tơdrong yoch kon pơlei Isơrael mă lu nhôn pơm glăi boih hăm Ih, inh păng hnam dơnŏ 'bok inh kư̆m pơm yoch."
"We have acted very corruptly against You, and have not kept the commandments, the statutes, nor the ordinances which You commanded Your servant Moses.","Lu nhôn đei pơm yoch kơnê̆ dêh păng Ih, ưh kơ wei răk nơ̆r Ih tơtă păng tơdrong juăt Ih đei bơtho khan boih kơ 'bok Môis, đĭch đam Ih."
"Remember, I pray, the word that You commanded Your servant Moses, saying, ‘If you are unfaithful, I will scatter you among the nations","Apinh Ih 'blŏk bĕ kơ nơ̆r Ih bơtho khan boih kơ 'bok Môis đĭch đam Ih thoi âu: Tơdah lu iĕm pơm yoch, Inh gô tơraih lu iĕm tơ tŏk-bŏk lu adrĕch adrung, kon bơngai."
"but if you return to Me, and keep My commandments and do them, though some of you were cast out to the farthest part of the heavens, yet I will gather them from there, and bring them to the place which I have chosen as a dwelling for My name.’","Mă-lei tơdah lu iĕm wih brŏk tơ Inh, wei răk pơm kiơ̆ dôm tơdrong Inh tơtă, mă khan lu iĕm tơklah tơklang jrok oei tôch kơ plĕnh teh, Inh kư̆m gô krao akŭm lu sư brŏk păng inh gô chông anhăk lu sư truh tơ anih Inh mă hơmet lê̆ boih wă kơ Anăn Inh kư̆m oei tơ noh mơ̆n."
"Now these are Your servants and Your people, whom You have redeemed by Your great power, and by Your strong hand.","Đơ̆ng noh lu sư jing đĭch đam păng kon pơlei Ih mă Ih yua tơdrong mơsêh ti pran kơtang Ih dŏng pơklaih."
"O Lord, I pray, please let Your ear be attentive to the prayer of Your servant, and to the prayer of Your servants who desire to fear Your name; and let Your servant prosper this day, I pray, and grant him mercy in the sight of this man.” For I was the king’s cupbearer.","Ơ Kră Yang! Apinh Ih pơgling đon mơ̆ng nơ̆r lu đĭch đam Ih krao apinh păng krao chă, lu bơngai mă đĭ jơhngơ̆m hli yom kơ Anăn Ih, năr âu apinh Ih tơgŭm ăn gơh đei tơdrong pŭn hiôk păng ăn kơ lu sư gơh đei tơdrong mơnat 'bơ̆t anăp bơngai âu. Kơplah ei kơnh inh gô pôk glơng kơchŏk tơdrô ăn kơ pơtao."
"And it came to pass in the month of Nisan, in the twentieth year of King Artaxerxes, when wine was before him, that I took the wine and gave it to the king. Now I had never been sad in his presence before.","Lăm sơnăm mă 'bar-jĭt chăl pơtao Artaserses, khei Nisana đei boih sik hơmu 'bơ̆t anăp sư, inh iŏk pôk pơyơ̆r ăn kơ pơtao; inh ưh kơ đei sơ'ngon ôh 'bơ̆t anăp sư."
"Therefore the king said to me, “Why is your face sad, since you are not sick? This is nothing but sorrow of heart.” So I became dreadfully afraid","Pơtao jet inh: “Liơ muh măt ih sơ'ngon dêh thoi noh, ih huay kơ jĭ bơlŏ ră dah kiơ̆ tơdrong noh ưh kơ hiôk sơ'ngon lăm jơhngơ̆m đĕch, dang ei inh hli dêh"
"and said to the king, “May the king live forever! Why should my face not be sad, when the city, the place of my fathers’ tombs, lies waste, and its gates are burned with fire?”","Na khan: Kơ pơtao hơpơi kơ pơtao arih ling-lang! Liơ mă inh ưh kơ sơ'ngon"
"Then the king said to me, “What do you request?” So I prayed to the God of heaven.","Pơtao jet inh thoi âu: “Ih apinh kiơ?” Inh krao khan apinh hloi Kră Yang 'Bok Kei-Dei kơ dôm tăl plĕnh"
"And I said to the king, “If it pleases the king, and if your servant has found favor in your sight, I ask that you send me to Judah, to the city of my fathers’ tombs, that I may rebuild it.”","Na roi kơ pơtao thoi âu: “Tơdah ih 'bôh tơdrong noh 'lơ̆ng, tơdah ih mơnat kơ inh đĭch đam ih, apinh ih wơh inh brŏk tơ char Juđa, tơ pơlei mă đei bơsat lu 'bok inh, wă kơ inh man pơjing pơlei ei dơ̆ng.”"
"Then the king said to me (the queen also sitting beside him), “How long will your journey be? And when will you return?” So it pleased the king to send me; and I set him a time.","Kơplah noh đei yă pơtao oei ngôi 'bơ̆t cheng pơtao, na pơtao jet inh: “Ih năm đunh dang yơ păng layơ ih brŏk?” Thoi noh pơtao lăp đon wơh inh năm păng inh pơkă măng năr kơ sư."
"Furthermore I said to the king, “If it pleases the king, let letters be given to me for the governors of the region beyond the River, that they must permit me to pass through till I come to Judah","Inh kư̆m roi kơ pơtao thoi âu: “Tơdah tơdrong âu ih lăp đon, apinh ih pơjao kơ inh hla bơar kơthơ roi kơ lu pơm yŏng pơgơ̆r char pah to đak krong gơh ăn kơ inh yak năm hlôi truh tơ char Juđa"
"and a letter to Asaph the keeper of the king’s forest, that he must give me timber to make beams for the gates of the citadel which pertains to the temple, for the city wall, and for the house that I will occupy.” And the king granted them to me according to the good hand of my God upon me.","kư̆m chih tơjur ăn kơ Asap, bơngai mă wei bri kơdrơ̆ng pơtao, roi ăn kơ sư asong inh 'long wă pơm jrăng 'măng jang ming pơdơ̆ng, dur pơlei gah hnam Kră Yang păng hnam inh oei.” Na pơtao ăn kơ inh dôm tơdrong noh, kiơ̆ thoi tơpang ti 'lơ̆ng rơgoh đơ̆ng 'Bok Kei-Dei tơgŭm inh."
"Then I went to the governors in the region beyond the River, and gave them the king’s letters. Now the king had sent captains of the army and horsemen with me.","Thoi noh inh năm truh tơ lu yŏng pơgơ̆r char paih to đak krong, mơ̆t ăn kơ sư kơthơ đơ̆ng pơtao, đơ̆ng noh pơtao wơh lu yŏng linh păng lu linh hao aseh kư̆m năm hơdai inh."
"When Sanballat the Horonite and Tobiah the Ammonite official heard of it, they were deeply disturbed that a man had come to seek the well-being of the children of Israel.","Mă-lei kơplah noh Sanhalat bơngai Hôrôn păng Tôbia đĭch đam Ammôn, băt tơdrong noh, na ưh kơ hiôk yua kơ đei bơngai truh wă chă tơgŭm lu kon pơlei Isơrael."
"So I came to Jerusalem and was there three days.","Thoi noh inh truh tơ pơlei Jêrusalem păng oei tơ noh pêng năr."
"Then I arose in the night, I and a few men with me; I told no one what my God had put in my heart to do at Jerusalem; nor was there any animal with me, except the one on which I rode.","Inh păng lu bơngai kiơ̆ inh, lu nhôn iung yak kơmăng, inh ưh kơ đei roi kơ bu băt ôh tơdrong Kră Yang 'Bok Kei-Dei ăn lăm jơhngơ̆m inh, tơdrong jang tơ pơlei Jêrusalem, inh hao aseh lu bơngai kiơ̆ inh yak năm jơ̆ng hoh."
"And I went out by night through the Valley Gate to the Serpent Well and the Refuse Gate, and viewed the walls of Jerusalem which were broken down and its gates which were burned with fire.","Lăm măng noh inh lĕch trong 'măng jang Thŭng, tơklă đak sơlŭng Kŏ bri, truh tơ 'măng jang Râm nhôn chă lăng dur pơlei Jêrusalem pơchah răm păng lu 'măng jang kư̆m đĭ kơ ŭnh sa."
"Then I went on to the Fountain Gate and to the King’s Pool, but there was no room for the animal under me to pass.","Đơ̆ng noh năm truh tơ 'măng jang Tu đak sơlŭng păng truh tơ đak dơnâu anih pơtao, na aseh inh hao ưh kơ gơh wă yak năm hlôi kơ noh."
"So I went up in the night by the valley, and viewed the wall; then I turned back and entered by the Valley Gate, and so returned.","Thoi noh inh năm rok tơter đak glung, chă lăng dur pơlei đơ̆ng noh lu nhôn brŏk hơlơ̆k tơ rŏng mơ̆t trong 'măng jang Thŭng, kơplah noh 'năr tam mă hơdah."
"And the officials did not know where I had gone or what I had done; I had not yet told the Jews, the priests, the nobles, the officials, or the others who did the work.","Kơplah noh lu yŏng pơgơ̆r ưh kơ băt inh năm tơ yơ păng pơm kiơ lăm măng noh, yua kơ inh ưh kơ đei roi kơ bơngai Juđa, dah lu 'bok soi lu yŏng mơng dah lu bơngai pơgơ̆r, mă lu bơngai wă jang kư̆m ưh kơ băt mơ̆n."
