English, Bahnar
"Now the LORD spoke to Moses in the Wilderness of Sinai, in the tabernacle of meeting, on the first day of the second month, in the second year after they had come out of the land of Egypt, saying","Năr mônh khei 'bar, sơnăm mă 'bar, đơ̆ng rŏng kơ adrĕch bơngai Isơrael lĕch hlôi đơ̆ng char Êyiptơ, Kră Yang khan kơ Môis oei lăm Bơsŭn Anih Akŭm tơ Thŭng glă Sinai"
"“Take a census of all the congregation of the children of Israel, by their families, by their fathers’ houses, according to the number of names, every male individually","Ih athei chih jô̆ đĭ-đăng adrĕch adrung bơngai Isơrael, kiơ̆ kơ adrĕch, kơtum kơtŏng 'nhŏng oh gah 'bă, chih anăn rim 'nu lu kon drŏ-nglo"
"from twenty years old and above—all who are able to go to war in Israel. You and Aaron shall number them by their armies.","Ih păng Arôn gô chih jô̆ măt iŏk đơ̆ng 'bar-jĭt sơnăm tơ kơpal, wă khan đĭ-đăng kơ̆l bơngai lăm adrĕch Isơrael gơh kĕ năm tơblah."
"And with you there shall be a man from every tribe, each one the head of his father’s house.","Bơngai kơdră pơgơ̆r lu adrĕch sư kơdih. Kư̆ lăm minh adrĕch athei đei minh 'nu bơ̆jang tơgŭm ih păng Arôn."
"“These are the names of the men who shall stand with you: from Reuben, Elizur the son of Shedeur","'Nâu anăn lu bơngai wă jang hơdai păng tơgŭm lu iĕm: Gah adrĕch Rubên đei Êlisur kon drŏ-nglo Sêdur"
"from Simeon, Shelumiel the son of Zurishaddai","đơ̆ng adrĕch Simêôn đei Sêlumiel kon drŏ-nglo Surisadai"
"from Judah, Nahshon the son of Amminadab","đơ̆ng adrĕch Juđa đei Nahsôn kon drŏ-nglo Aminađap"
"from Issachar, Nethanel the son of Zuar","đơ̆ng adrĕch Isakar đei Nathanel kon drŏ-nglo Suar"
"from Zebulun, Eliab the son of Helon","đơ̆ng adrĕch Sabulôn đei Êliap kon drŏ-nglo Hêlôn"
"from the sons of Joseph: from Ephraim, Elishama the son of Ammihud; from Manasseh, Gamaliel the son of Pedahzur","đơ̆ng adrĕch kon drŏ-nglo Jôsep, adrĕch Êphraim đei Êlisama kon drŏ-nglo Amihut, đơ̆ng adrĕch Manase đei Gamaliel kon drŏ-nglo Pêdasur"
"from Benjamin, Abidan the son of Gideoni","đơ̆ng adrĕch Bênjamin đei Abidan kon drŏ-nglo Gideôni"
"from Dan, Ahiezer the son of Ammishaddai","đơ̆ng adrĕch Đan đei Ahiser kon drŏ-nglo Amisadai"
"from Asher, Pagiel the son of Ocran","Đơ̆ng adrĕch Aser đei Pagiel kon drŏ-nglo Ôkran"
"from Gad, Eliasaph the son of Deuel","đơ̆ng adrĕch Gat đei Êliasap kon drŏ-nglo Đêuel"
"from Naphtali, Ahira the son of Enan.”","đơ̆ng adrĕch Neptali đei Ahira kon drŏ-nglo Ênan."
"These were chosen from the congregation, leaders of their fathers’ tribes, heads of the divisions in Israel.","Lu đe âu đe rơih iŏk đơ̆ng lăm kon pơlei; lu sư âu boih lu kơdră pơgơ̆r adrĕch lu sư kơdih kiơ̆ kơ adrĕch 'bok lu sư păng jơ̆ yŏng pơgơ̆r linh bơngai Isơrael."
"Then Moses and Aaron took these men who had been mentioned by name","Môis păng Arôn sơng iŏk lu bơngai mă đe đei chih anăn"
"and they assembled all the congregation together on the first day of the second month; and they recited their ancestry by families, by their fathers’ houses, according to the number of names, from twenty years old and above, each one individually.","Truh năr mônh khei 'bar krao akŭm đĭ-đăng kon pơlei, chih anăn lu sư kơdih iŏk đơ̆ng 'bar-jĭt sơnăm tơ kơpal na chih tơmơ̆t lăm sơ̆p hla bơar kiơ̆ kơ adrĕch adrung kơtum kơtŏng lu sư."
"As the LORD commanded Moses, so he numbered them in the Wilderness of Sinai.","Thoi noh Môis chih jô̆ tơmơ̆t lăm sơ̆p hla bơar tơ Thŭng glă Sinai, thoi Kră Yang Isơrael đei pơkă khan kơ sư."
