English, Bahnar
"The vision of Obadiah. Thus says the Lord GOD concerning Edom (We have heard a report from the LORD, And a messenger has been sent among the nations, saying, “Arise, and let us rise up against her for battle”)","Tơdrong tơ'bôh kơ Ôbadia. Kră Yang khan gah Eđôm thoi âu: Lu bơ̆n đei kơtơ̆ng đơ̆ng nơ̆r Kră Yang păng đơ̆ng lu bơngai Sư wơh năm tơ jơ̆p kơ teh đak, thoi âu: Iung bĕ! Lu bơ̆n iung bĕ ayăt păng lu kon pơlei âu wă tơblah hăm sư!"
"“Behold, I will make you small among the nations; You shall be greatly despised.","Âu, Inh pơm ăn kơ iĕm jing iĕ hloh lăm lu teh đak âu. Đe lăng iĕm ưh kơ ai."
"The pride of your heart has deceived you, You who dwell in the clefts of the rock, Whose habitation is high; You who say in your heart, ‘Who will bring me down to the ground?’","Ơ lu khŭl bơngai oei lăm sơlam tơmo, lăm anih kơjung, lu iĕm đei khan lăm jơhngơ̆m iĕm thoi âu: Hăm đei bu kĕ tơlơ̆ inh huŏng tơ teh? Tơdrong pơang lăm jơhngơ̆m iĕm hơlĕnh kơdih akâu iĕm boih."
"Though you ascend as high as the eagle, And though you set your nest among the stars, From there I will bring you down,” says the LORD.","Mă iĕm păr kơjung thoi sem klang, mă ih pơm tơpu lăm lu sơnglŏng, Inh gô tơlơ̆ ih huŏng đơ̆ng noh tơ teh Kră Yang khan thoi noh!"
"“If thieves had come to you, If robbers by night— Oh, how you will be cut off!— Would they not have stolen till they had enough? If grape-gatherers had come to you, Would they not have left some gleanings?","Ô! Tơdrong răm tih gô truh kơ ih. Tơdah lu bơngai truh tơtông, tơgar đơ̆ng kơmăng, hăm trŏ lu sư tơtông iŏk lăp kơ mah đĕch? Tơdah lu bơngai phĕ plei hơmu năm truh tơ ih, hăm trŏ lu sư wơ̆l minh 'bar hơie?"
"“Oh, how Esau shall be searched out! How his hidden treasures shall be sought after!","Đe gô chă pơpơih iŏk tơmam Êsâu, dôm tơmam gĭt sư ôn hlơp ră mă-lei đe gô chă pơpơih iŏk."
"All the men in your confederacy Shall force you to the border; The men at peace with you Shall deceive you and prevail against you. Those who eat your bread shall lay a trap for you. No one is aware of it.","Khŭl đe pôm đon hăm ih pơpuh boih ih dĭng truh tơ anih tôch. Dôm lu bơngai lăp đon hăm ih, na hơlĕnh kơ ih, jei lu sư, gah lu bơngai sa 'bĕng ih; hơ'năk hơđong ala ih, na ih ưh kơ băt hloi."
"“Will I not in that day,” says the LORD, “Even destroy the wise men from Edom, And understanding from the mountains of Esau?","Kră Yang khan: Hăm trŏ lăm năr noh, inh gô pơlôch dôm lu bơngai hơgei đơ̆ng lăm pơlei Eđôm? Păng dôm lu bơngai hlôh wao đơ̆ng kông Êsâu?"
"Then your mighty men, O Teman, shall be dismayed, To the end that everyone from the mountains of Esau May be cut off by slaughter.","Ơ char Têman dôm lu linh nuih kơtang ih gô hơwơ̆l hơwang, thoi noh na đe gô pơlôch đĭ lu drŏ-nglo đơ̆ng kông Êsâu lăm ei."
"“For violence against your brother Jacob, Shame shall cover you, And you shall be cut off forever.","Noh yua kơ đơ̆ng tơdrong kơnê̆ ih pơm kơ oh ih Jakôp, mă ih gô pŭ iŏk mơlâu păng lôch hiong ling-lang hlong hloi!"
"In the day that you stood on the other side— In the day that strangers carried captive his forces, When foreigners entered his gates And cast lots for Jerusalem— Even you were as one of them.","Lăm năr đe tơmoi tơgar iŏk mŭk tơmam sư, lu kon pơlei tơmoi mơ̆t lăm 'măng jang pơlei sư păng wă hlang lăng iŏk teh pơlei Jêrusalem, na lăm năr noh ih dơ̆ng pah to, ih kư̆m thoi minh 'nu bơngai lăm lu sư"
"“But you should not have gazed on the day of your brother In the day of his captivity; Nor should you have rejoiced over the children of Judah In the day of their destruction; Nor should you have spoken proudly In the day of distress.","ô! Rŏ kơ ih lê̆ kơ lăng ră năr pơmat-tat truh kơ 'nhŏng oh ih, ih 'nĕ kơ chơt hiôk lăm năr đe pơlôch lu kon sâu Juđa; kư̆m 'nĕ pơma pơang lăm năr lu sư pơmat-tat."
"You should not have entered the gate of My people In the day of their calamity. Indeed, you should not have gazed on their affliction In the day of their calamity, Nor laid hands on their substance In the day of their calamity.","Trŏ kơ ih 'nĕ kơ mơ̆t tơ 'măng jang kon pơlei Inh kơplah lu sư đei tơdrong pơmat-tat; glăi boih ih pơang lăng tơ tơdrong gleh truh kơ lu sư, lăm năr lu sư pơmat-tat glăi boih ih iŏk mŭk tơmam lu sư, kơplah lu sư oei đei tơdrong gleh pơmat."
"You should not have stood at the crossroads To cut off those among them who escaped; Nor should you have delivered up those among them who remained In the day of distress.","Trŏ kơ ih 'nĕ kơ dơ̆ng găn 'bơ̆t trong tơklah pêng wă pơlôch lu bơngai mă kơdâu ôn păng kư̆m 'nĕ kơ rôp ăn kơ đe pơlôch lu bơngai mă klaih oei arih lăm năr gleh tih hli tơrơ."
"“For the day of the LORD upon all the nations is near; As you have done, it shall be done to you; Your reprisal shall return upon your own head.","Yua kơ năr Kră Yang wă jê̆ truh năr phak đĭ-đăng adrĕch kon bơngai boih năr ei kơnh đe gô pơm kơ ih kư̆m thoi ih đei pơm kơ đe dôm tơdrong jang ih gô tuh kơpal kơ̆l ih kơdih dơ̆ng."
"For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been.","Sĭt thoi ih đei huch tơdrong Inh phak tơ kông rơgoh Inh thoi yơ, na đĭ-đăng teh đak kư̆m gô huch thoi noh; sĭt, lu sư gô huch sa păng luăn hloi, huch ling-lang pă pơdơh đơ̆ng noh lu sư gô lôch hiong thoi ưh tam đei lu sư!"
"“But on Mount Zion there shall be deliverance, And there shall be holiness; The house of Jacob shall possess their possessions.","Mă-lei gô đei dôm lu bơngai gơh klaih oei tơ kông Siôn, kông noh jing 'lơ̆ng rơgoh pơm anih akŭm păng hnam Jakôp gô đei yua jang sa sư kơdih."
"The house of Jacob shall be a fire, And the house of Joseph a flame; But the house of Esau shall be stubble; They shall kindle them and devour them, And no survivor shall remain of the house of Esau,” For the LORD has spoken.","Hnam Jakôp gô thoi ŭnh păng hnam Jôsep gô thoi pla ŭnh; hnam Êsâu gô thoi hơnong 'ba, mă sư gô soh sa đĭ, hnam Êsâu gô ưh pă đei bu klaih kơ lôch; yua kơ Kră Yang đei khan thoi noh."
"The South shall possess the mountains of Esau, And the Lowland shall possess Philistia. They shall possess the fields of Ephraim And the fields of Samaria. Benjamin shall possess Gilead.","Lu bơngai oei tơ gah gơal gô blah iŏk đei kông Êsâu, dôm lu bơngai oei tơ teh thŭng dơnă gô tŏk oei tơ teh khŭl bơngai Philistin: Lu sư gô đei iŏk mir chŭn Êphraim păng mir chŭn Samari; lu bơngai Bênjamin gô đei iŏk Gileat."
"And the captives of this host of the children of Israel Shall possess the land of the Canaanites As far as Zarephath. The captives of Jerusalem who are in Sepharad Shall possess the cities of the South.","Dôm lu bơngai Isơrael pơm bơnă oei lăm dêh Kanaan, gô đei bri seh teh choh sư truh tơ Sarephat. Lu bơngai bơnă Jêrusalem oei char Sephahat gô đei iŏk pơlei gah gơal."
"Then saviors shall come to Mount Zion To judge the mountains of Esau, And the kingdom shall be the LORD’s.","Gô đei lu bơngai mă đei dŏng pơklaih tŏk tơ kơpal kông Siôn wă wei-lăng kông Êsâu; na teh đak noh gô jing gah Kră Yang."
