English, Bahnar
"Paul, a prisoner of Christ Jesus, and Timothy our brother, To Philemon our beloved friend and fellow laborer","Hmach bơnê kơ ih, Philêmôn. Anăn inh Pôl oei lăm hnam phak yua kơ inh lui kơ Kră Yang Yêsu Krist. Nhi oh bơ̆n Timôthê chih hơpong kơ ih Philêmôn. Nhôn 'mêm kơ ih tơpă yua kơ ih jang tơdrong 'Bok Kei-Dei thoi nhôn mơ̆n."
"to the beloved Apphia, Archippus our fellow soldier, and to the church in your house","Păng nhi kư̆m đei nơ̆r jet gia bre Abia hăm Achĭp. Bre sư oh nhôn yua kơ sư lui. Achĭp sư kư̆m jang tơdrong 'Bok Kei-Dei thoi bơ̆n mơ̆n. Păng nhi kư̆m jet gia đĭ-đăng 'nhŏng oh bơngai lui mă juăt năm akŭm tơ hnam iĕm."
"Grace to you and peace from God our Father and the Lord Jesus Christ.","Nhi krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm Kră Yang bơ̆n Yêsu Krist wei-lăng iĕm tôm tơdrong wă kơ Sư ăn kơ iĕm hiôk-hian ling-lang."
"I thank my God, making mention of you always in my prayers","Inh krao khan bơnê kơ 'Bă tơm bơ̆n 'Bok Kei-Dei ling-lang kơlih kơ inh kơtơ̆ng ang ih lui kơjăp kơ Kră Yang Yêsu Krist păng ih 'mêm kơ Sư hăm đĭ-đăng buăl lui mơ̆n."
"hearing of your love and faith which you have toward the Lord Jesus and toward all the saints","Inh krao khan bơnê kơ 'Bă tơm bơ̆n 'Bok Kei-Dei ling-lang kơlih kơ inh kơtơ̆ng ang ih lui kơjăp kơ Kră Yang Yêsu Krist păng ih 'mêm kơ Sư hăm đĭ-đăng buăl lui mơ̆n."
"that the sharing of your faith may become effective by the acknowledgment of every good thing which is in you in Christ Jesus.","Inh kư̆m ling-lang krao khan kơ 'Bok Kei-Dei ăn kơ ih đei đon gơh mơnat kơ đe tơdŏng đe wă kơ đe 'bôh dôm tơdrong Yêsu Krist ăn kơ ih băt mơnat kơ đe. Thoi noh na đe băt kơ ih lui kơjăp tơpă."
"For we have great joy and consolation in your love, because the hearts of the saints have been refreshed by you, brother.","Inh chơt hiôk tơpă kơlih kơ ih gơh 'mêm mơnat kơ 'nhŏng oh bơngai lui pơm kơ jơhngơ̆m lu sư hiôk hơiă hăm ih."
"Therefore, though I might be very bold in Christ to command you what is fitting","Na dang ei inh đei tơdrong wă apinh ih. Inh gơh athei ih năm hloi tơ tơdrong 'noh dah inh wă yua kơ inh jơ̆ng 'bang Yêsu Krist. Mă-lei inh ưh kơ wă athei ih ôh."
"yet for love’s sake I rather appeal to you—being such a one as Paul, the aged, and now also a prisoner of Jesus Christ","Kơlih inh băt kơ ih đei đon 'mêm mơnat kơ bôl buăl boih na inh roi kơ ih thoi noh đĕch. Mă-lei ih băt kơ inh kră boih păng inh oei lăm hnam phak yua kơ inh lui kơ Kră Yang Yêsu."
"I appeal to you for my son Onesimus, whom I have begotten while in my chains","Inh apinh ih gah Ônêsim. Sư pơm kon inh boih kơlih kơ sư lui kơ Kră Yang Yêsu Krist đơ̆ng inh bơtho oei lăm hnam phak."
"who once was unprofitable to you, but now is profitable to you and to me.","Sơ̆ sư đĭch ih tơpă mơ̆n, na đơ̆ng noh sư kơdâu jăk đơ̆ng ih jing ưh pă yua kơ ih. Na dang ei sư yua kơ inh păng wă yua kơ ih dơ̆ng."
"I am sending him back. You therefore receive him, that is, my own heart","Dang ei inh athei sư wih tơ ih dơ̆ng, mă-lei inh 'mêm kơ sư tơpă."
"whom I wished to keep with me, that on your behalf he might minister to me in my chains for the gospel.","Inh oei lăm hnam phak kơlih inh bơtho tơdrong 'nao 'lơ̆ng Yêsu. Inh wă ră kơ Ônêsim oei păng inh khŏm khŏm tơdŏng tơdrong jang inh, sư jang tang ih kư̆m dang ih jang mơ̆n."
"But without your consent I wanted to do nothing, that your good deed might not be by compulsion, as it were, but voluntary.","Mă-lei inh ưh kơ wă pơgŏ ih athei ih ăn kơ Ônêsim oei tơ âu khŏm khŏm wă bơ̆jang kơ inh ôh. Dah inh pơgŏ ih, na ih kư̆ kơ pơm kiơ̆ yua kơ ih lui yom kơ inh pơgŏ ih đĕch 'noh. Dah inh ưh kơ pơgŏ ih dah wơh ih, na ih tơdŏng hloi tơdrong jang inh, 'noh inh băt kơ ih đei đon 'mêm mơnat kơ inh tơpă, na ih tơdŏng."
"For perhaps he departed for a while for this purpose, that you might receive him forever","Ônêsim jăk đơ̆ng ih ưh kơ đunh ôh na rŏ lăng 'Bok Kei-Dei ăn thoi noh wă kơ sư tơ'bơ̆p inh na lui kơ Yêsu Krist. Yua kơ sư lui boih, na dang ei sư wă wih oei păng ih ling-lang."
"no longer as a slave but more than a slave—a beloved brother, especially to me but how much more to you, both in the flesh and in the Lord.","Thoi noh dang ei ih lăng sư 'nĕ mah dang sư đĭch ih mă adrol sơ̆ hŏ. Dang ei sư đĭch ih mơ̆n, mă-lei inh wă kơ ih lăng sư thoi lĕ kơ oh ih tơnơm. Sư jing oh ih boih, sư oh inh mơ̆n mă inh 'mêm kơdih tơpă. Mă-lei ih 'mêm mơnat kơ sư hloh kơ inh mơ̆n kơlih sư bơngai jang kơ ih păng sư kư̆m oh ih mơ̆n, yua kơ sư kư̆m lui kơ Kră Yang Yêsu Krist."
"If then you count me as a partner, receive him as you would me.","Inh buăl ih kư̆m jang tơdrong 'Bok Kei-Dei mơ̆n na dang ei inh wă kơ ih sơng iŏk Ônêsim hŏ, 'noh kư̆m thoi ih sơng iŏk inh mơ̆n."
"But if he has wronged you or owes anything, put that on my account.","Dah sư 'mơn iŏk tơmam ih, dah sư hre kơ ih tơmam kiơ, ih 'nĕ jô̆ kơ sư hŏ. Ih jô̆ tơdrong sư 'noh kơ inh đĕch."
"I, Paul, am writing with my own hand. I will repay—not to mention to you that you owe me even your own self besides.","Âu hŏ, tơ̆ng ih wă kơ sư duh kơ ih, dang ei inh chih hla bơar kơ ih păng ti inh kơdih, inh wă kơ ih băt kơ inh wă duh dŏng sư tơpă. Mă-lei ih kư̆m dang bơngai hre kơ inh mơ̆n kơlih kơ ih lui kơ Yêsu Krist đơ̆ng inh bơtho."
"Yes, brother, let me have joy from you in the Lord; refresh my heart in the Lord.","Ơ Philêmôn, ba 'nhŏng oh yua kơ ba lui kơ Kră Yang Yêsu Krist, na dang ei ih đih sơng Ônêsim hŏ. Thoi noh inh bơnê kơ Kră Yang Yêsu Krist tơpă, na jơhngơ̆m inh kư̆m chơt hiôk."
"Having confidence in your obedience, I write to you, knowing that you will do even more than I say.","Inh chih kơ ih kơthơ âu kơlih kơ inh băt kơ ih gô pơm kiơ̆ kơ dôm nơ̆r inh pơma kơ ih. Inh kư̆m băt kơ ih gô pơm 'lơ̆ng hloh kơ nơ̆r inh pơma kơ ih."
"But, meanwhile, also prepare a guest room for me, for I trust that through your prayers I shall be granted to you.","Ih hơmet lê̆ kơ inh anih tep hŏ. Rŏ lăng 'Bok Kei-Dei ăn kơ inh lĕch đơ̆ng hnam phak âu thâu kơlih kơ iĕm krao khan kơ Sư ling-lang. Dah inh lĕch inh năm tơ iĕm."
"Epaphras, my fellow prisoner in Christ Jesus, greets you","Âu Êpapra sư kư̆m oei lăm hnam phak thoi inh mơ̆n kơlih kơ sư lui kơ Kră Yang Yêsu Krist păng dôm lu bơngai rơngei jang hơdai păng inh, anăn sư Markôs, Aritak, Đêmas, Luka, dôm lu sư âu kư̆m đei nơ̆r jet gia ih mơ̆n."
