English, Bahnar
"Paul and Timothy, bondservants of Jesus Christ, To all the saints in Christ Jesus who are in Philippi, with the bishops and deacons","Inh Pôl, nhi Timôthê bơngai đĭch đam Yêsu Krist, chih hơpong kơ lu kon 'Bok Kei-Dei tơ Pơlei Philip, lu iĕm pôm đon hăm Yêsu Krist. Nhi chih hơpong kơ lu kră wei-lăng iĕm hăm lu bơngai jang lăm hnam 'Bok Kei-Dei."
"Grace to you and peace from God our Father and the Lord Jesus Christ.","Inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm Kră Yang bơ̆n Yêsu Krist wei-lăng iĕm tôm tơdrong wă kơ Sư ăn kơ iĕm hiôk-hian ling-lang."
"I thank my God upon every remembrance of you","Mưh đon inh 'blŏk kơ iĕm, inh bơnê kơ 'Bok Kei-Dei."
"always in every prayer of mine making request for you all with joy","Rim inh krao khan kơ 'Bok Kei-Dei, inh apinh Sư tơgŭm iĕm, na lăm jơhngơ̆m inh hiôk"
"for your fellowship in the gospel from the first day until now","yua kơ iĕm tơgŭm inh đơ̆ng inh lăp pơtơm jang tơ pơlei iĕm sơ̆ khơ̆ dang ei."
"being confident of this very thing, that He who has begun a good work in you will complete it until the day of Jesus Christ","'Bok Kei-Dei jô̆ iĕm jing bơngai 'lơ̆ng boih, na inh băt tơpă Sư gô tơgŭm iĕm ling-lang truh tơ năr Yêsu Krist jur ning-mônh."
"just as it is right for me to think this of you all, because I have you in my heart, inasmuch as both in my chains and in the defense and confirmation of the gospel, you all are partakers with me of grace.","Đon inh tơchĕng kơ iĕm ling-lang trŏ mơ̆n, yua kơ inh 'mêm kơ iĕm dêh. Inh 'mêm kơ iĕm yua kơ iĕm tơgŭm inh lăm tơdrong jang 'Bok Kei-Dei kơplah đe oei phak inh hăm kơplah inh oei pơjah pơjăng hăm đe gah tơdrong 'nao 'lơ̆ng."
"For God is my witness, how greatly I long for you all with the affection of Jesus Christ.","'Bok Kei-Dei băt mơ̆n inh 'mêm kơ iĕm, kư̆m thoi Yêsu Krist 'mêm kơ iĕm."
"And this I pray, that your love may abound still more and more in knowledge and all discernment","Inh krao khan apinh 'Bok Kei-Dei ăn kơ iĕm rai đunh rai băt 'mêm mơnat dih băl păng hlôh tôm tơdrong Sư, wă kơ iĕm băt kơ tơdrong trŏ iĕm sŏ iŏk, tơdrong glăi iĕm săi tŭk. Thoi noh na iĕm jing bơngai 'lơ̆ng tơpăt, huay kơ đei tơdrong yoch kơplah Yêsu Krist jur ning-mônh."
"that you may approve the things that are excellent, that you may be sincere and without offense till the day of Christ","Inh krao khan apinh 'Bok Kei-Dei ăn kơ iĕm rai đunh rai băt 'mêm mơnat dih băl păng hlôh tôm tơdrong Sư, wă kơ iĕm băt kơ tơdrong trŏ iĕm sŏ iŏk, tơdrong glăi iĕm săi tŭk. Thoi noh na iĕm jing bơngai 'lơ̆ng tơpăt, huay kơ đei tơdrong yoch kơplah Yêsu Krist jur ning-mônh."
"being filled with the fruits of righteousness which are by Jesus Christ, to the glory and praise of God.","Yua kơ iĕm pơm tôm tơdrong 'lơ̆ng tơpăt păng gơnang kơ Yêsu Krist đơ̆ng dang ei, na đĭ-đăng bơngai gô ư-ang kơ 'Bok Kei-Dei tơpă."
"But I want you to know, brethren, that the things which happened to me have actually turned out for the furtherance of the gospel","Ơ lu 'nhŏng oh, inh wă roi tơbăt kơ iĕm tơdrong âu: Mă dang ei đe oei phak inh, tơdrong 'nao 'lơ̆ng Yêsu Krist rai kơtơ̆ng lơ bơngai nai. Ưh kơ sĭ inh pă gơh bơtho boih ôh. Đe phak inh rai pơyua inh gơh bơtho lơ lu bơngai mă oei tăp dăr kơ inh."
"so that it has become evident to the whole palace guard, and to all the rest, that my chains are in Christ","Na dang ei đĭ-đăng lu linh gak hnam 'bok pơtao, lu bơngai nai tă băt kơ đe phak inh yua kơ inh jang tơdrong Yêsu Krist."
"and most of the brethren in the Lord, having become confident by my chains, are much more bold to speak the word without fear.","Lu 'nhŏng oh bơ̆n mă oei tơ pơlei nhôn tơ âu, lu sư 'bôh inh bơtho đe nuih tơpă mă khan inh bơngai đe phak, mă lu sư rai đunh kư̆m rai băt gơnang kơ Kră Yang Yêsu, kư̆m rai nuih kơ bơtho đe tơdrong 'Bok Kei-Dei huay pă hli boih."
"Some indeed preach Christ even from envy and strife, and some also from goodwill","Đei lu mơ'nah bơtho tơdrong Yêsu Krist kư̆m nuih mơ̆n, mă lu sư bơtho tơgar yua kơ lu sư 'nhĕng inh đei bơngai lui lơ. Đei lu mơ'nah bơtho kiơ̆ kơ jơhngơ̆m sư hiôk"
"The former preach Christ from selfish ambition, not sincerely, supposing to add affliction to my chains","sư bơtho tơpă mơ̆n yua kơ sư 'mêm kơ Yêsu tơpă păng sư kư̆m 'mêm kơ inh mơ̆n na sư bơtho tơgŭm inh. Lu sư băt kơ 'Bok Kei-Dei ăn kơ inh oei tơ hnam phak wă kơ inh pơjah pơjăng hăm đe gah tơdrong 'nao 'lơ̆ng."
"but the latter out of love, knowing that I am appointed for the defense of the gospel.","Mă gah lu bơngai bơtho tơgar noh, lu sư bơtho yua kơ lu sư 'nhĕng inh đĕch na lu sư bơtho. Ưh kơ sĭ lu sư wă bơtho tơpă ôh. Lu sư bơtho pơ'nhĕng inh wă kơ inh sơ'ngon rai dêh kơplah đe oei phak inh âu."
"What then? Only that in every way, whether in pretense or in truth, Christ is preached; and in this I rejoice, yes, and will rejoice.","Mă-lei huay ôh, mă lu sư bơtho tơpă dah lu sư wă bơtho pơ'nhĕng inh, kư̆ kơ lu sư bơtho tơdrong Yêsu Krist đĕch, inh kư̆m hiôk mơ̆n."
"For I know that this will turn out for my deliverance through your prayer and the supply of the Spirit of Jesus Christ","Mă đei tơdrong gleh truh kơ inh dang ei jơhngơ̆m inh oei hiôk ling-lang, yua kơ inh băt tơpă inh gô klaih yua kơ iĕm krao khan tơgŭm inh, na Yang Bơhngol 'Lơ̆ng Yêsu Krist gô tơgŭm inh tơpă."
