English, Bahnar
"The proverbs of Solomon the son of David, king of Israel","Tơdrong pơđơ̆k Sôlômôn pơtao đe Isơrael kon drŏ-nglo Đawit."
"To know wisdom and instruction, To perceive the words of understanding","Wă kơ băt hlôh tơdrong gơh hơgei păng tơdrong bơtho pơhrăm iŏk, wă kơ hlôh kơ nơ̆r hlôh wao."
"To receive the instruction of wisdom, Justice, judgment, and equity","Wă kơ đei iŏk nơ̆r bơtho gơh hơgei, tơdrong tơpăt, tơdrong trŏ, tơdrong hơnơ̆ng lăm chăl arih."
"To give prudence to the simple, To the young man knowledge and discretion","Wă ăn kơ lu bơngai kơtul kơwao gơh kơchăng, bơngai hơmuh hơmŏng băt hlôh păng băt tơchĕng."
"A wise man will hear and increase learning, And a man of understanding will attain wise counsel","Bơngai gơh hơgei gô mơ̆ng păng rai hŏk pơhrăm, Bơngai hlôh wao gô đei iŏk tơdrong bơtho tơ'bôh."
"To understand a proverb and an enigma, The words of the wise and their riddles.","Wă kơ hlôh tơdrong pơđơ̆k păng tơdrong pơtih, Lu nơ̆r bơngai gơh hơgei pơma, hăm nơ̆r lu sư pơpơn."
"The fear of the LORD is the beginning of knowledge, But fools despise wisdom and instruction.","Hli yom kơ Kră Yang jing tơm tơdrong hlôh wao. Lu bơngai kơtul areh kơ tơdrong gơh hơgei păng nơ̆r bơtho pơhrăm."
"My son, hear the instruction of your father, And do not forsake the law of your mother","Ơ dăm, mơ̆ng bĕ nơ̆r mĕ bơtho pơkă; păng 'nĕ hiơt kơ nơ̆r 'bă ih bơtho khan"
"For they will be a graceful ornament on your head, And chains about your neck.","Noh boih thoi hơgăl pơkao 'lơ̆ng kơpal kơ̆l ih, thoi rơbưn glang 'băk tơ hơko ih."
"My son, if sinners entice you, Do not consent.","Ơ dăm, tơdah lu bơngai yoch wă pơhlŭ ih, ih 'nĕ kơ chu hŏ."
"If they say, “Come with us, Let us lie in wait to shed blood; Let us lurk secretly for the innocent without cause","Tơdah lu sư khan, bĕ năm kiơ̆ nhôn; chă răp pơlôch đe. Chop pơlôch pơrăm lu bơngai ưh kơ đei yoch."
"Let us swallow them alive like Sheol, And whole, like those who go down to the Pit","Lu bơ̆n gô luăn lu sư oei arih thoi dêh hơtâu, Păng luăn oei akâu hơpôm thoi đe huŏng lăm sơlŭng bơsat."
"We shall find all kinds of precious possessions, We shall fill our houses with spoil","Lu bơ̆n gô iŏk đĭ dôm tơmam gĭt, Tah mong 'bĕnh kơ hnam lu bơ̆n tơmam đơ̆ng chă plah tơgar"
"Cast in your lot among us, Let us all have one purse”","Iŏk akŭm hơbĭ hăm nhôn, lu bơ̆n gô đei minh pôm kơdŭng jên đĕch."
"My son, do not walk in the way with them, Keep your foot from their path","Ơ dăm, 'nĕ kơ năm kiơ̆ lu sư ôh, Jơ̆ng ih weh bĕ, 'nĕ kơ yak kiơ̆ trong lu sư."
"For their feet run to evil, And they make haste to shed blood.","Yua kơ jơ̆ng lu sư kơdâu kiơ̆ trong pơm kơnê̆, hăt hot chă pơlôch đe."
"Surely, in vain the net is spread In the sight of any bird","Ưh kơ yua ôh dăng hơnhuăl 'bơ̆t anăp lu sem 'bôh, pih pang tơdrong kơđei."
"But they lie in wait for their own blood, They lurk secretly for their own lives.","Mă-lei lu sư wă chă pơlôch kơdih akâu, Păng răp wă pơrăm tơdrong arih kơdih."
"So are the ways of everyone who is greedy for gain; It takes away the life of its owners.","Noh boih trong lu bơngai ham kơ pơm kơnê̆ wă chă sa lơi; Tơdrong plah tơgar gô hiong tơdrong arih lu bơngai bu đei iŏk tơmam noh."
"Wisdom calls aloud outside; She raises her voice in the open squares.","Tơdrong gơh hơgei krao ôr tơ rok trong tih, Pơma re tơ lăm anih đe akŭm tih."
"She cries out in the chief concourses, At the openings of the gates in the city She speaks her words","Tơdrong gơh hơgei sư krao 'bơ̆t trong tơklah, sư pơma 'bơ̆t 'măng jang pơlei tih."
"“How long, you simple ones, will you love simplicity? For scorners delight in their scorning, And fools hate knowledge.","Ơ lu bơngai kơtul kơwao, Lu iĕm 'mêm kơ tơdrong kơtul kơwao dĭng dang yơ? Lu bơngai pơjăm pơjuă chơt hiôk pơjăm pơjuă dĭng dang yơ? Lu bơngai kơtul areh kơ tơdrong hơgei dĭng dang yơ?"
"Turn at my rebuke; Surely I will pour out my spirit on you; I will make my words known to you.","'Bơ̆t Inh chrih, lu iĕm wih mơ̆ng bĕ, 'nâu, Inh wă tuh jơhngơ̆m đon Inh tơ lu iĕm; Inh gô tơbăt ăn kơ iĕm nơ̆r Inh."
"Because I have called and you refused, I have stretched out my hand and no one regarded","Yua kơ Inh krao, mă-lei lu iĕm sơngah, Inh yơ̆r ti, kư̆m ưh kơ đei bơngai bu wă lăng"
"Because you disdained all my counsel, And would have none of my rebuke","Yua kơ lu iĕm sơngah boih đĭ-đăng dôm nơ̆r Inh bơtho khan, Ưh kơ chu iŏk tơdrong inh chrih hơmet"
"I also will laugh at your calamity; I will mock when your terror comes","Na dah lu iĕm đei tơdrong pơmat-tat, Inh gô hiĕk ăr, păng lu iĕm đei tơdrong hli tơrơ, Inh gô tơhuăi"
"When your terror comes like a storm, And your destruction comes like a whirlwind, When distress and anguish come upon you.","Kơplah tơdrong hli krưp truh tơ lu iĕm thoi kial hơbŭt, păng tơdrong pơmat-tat truh tơ lu iĕm thoi kial phŭt, Tơdrong jĭ jăn pơmat-tat truh tơ lu iĕm."
"“Then they will call on me, but I will not answer; They will seek me diligently, but they will not find me.","Kơplah noh kơnh lu sư gô krao apinh Inh, Mă-lei Inh ưh kơ tơl tơwih; Lu sư adrin chă Inh, Mă-lei ưh kơ đei tơ'bơ̆p."
"Because they hated knowledge And did not choose the fear of the LORD","Yua kơ đơ̆ng lu sư areh kơ tơdrong hlôh wao, Ưh kơ wă rơih chă tơdrong hli yom kơ Kră Yang."
"They would have none of my counsel And despised my every rebuke.","Ưh kơ wă chu tơdrong inh bơtho khan, Pơhơi kơ tơdrong Inh chrih"
"Therefore they shall eat the fruit of their own way, And be filled to the full with their own fancies.","Na lu sư gô luăn sa pŭ iŏk thoi trong lu sư kiơ̆, Păng phĭ hrăp lăm tơdrong lu sư hơlĕnh."
"For the turning away of the simple will slay them, And the complacency of fools will destroy them","Lu bơngai bơlŭk lôch yua kơ lu sư kiơ̆ trong kơnê̆ đŏng đĕo. Păng tơdrong lu sư mă ưh kơ hiơ̆k gô pơrăm lu sư."
"But whoever listens to me will dwell safely, And will be secure, without fear of evil.”","Mă-lei bơngai bu mơ̆ng kiơ̆ Inh gô oei hiôk-hian. Oei hơđơ̆ng ưh kơ đei hli kơ tơdrong kiơ truh."
"My son, if you receive my words, And treasure my commands within you","Ơ dăm tơdah ih chu iŏk nơ̆r Inh pơma, Wei răk nơ̆r Inh tơtă lăm jơhngơ̆m ih"
