English, Bahnar
"Blessed is the man Who walks not in the counsel of the ungodly, Nor stands in the path of sinners, Nor sits in the seat of the scornful","Pŭn dêh kơ bơngai bu, ưh kơ kiơ̆ trong lu bơngai kơnê̆, kư̆m ưh kơ oei lăm trong lu bơngai yoch, kư̆m ưh kơ ngôi hơdai hăm lu pơjăm đe"
"But his delight is in the law of the LORD, And in His law he meditates day and night.","Mă-lei chơt hiôk lăm tơdrong juăt Kră Yang, păng tơchĕng tơdrong juăt ei măng năr."
"He shall be like a tree Planted by the rivers of water, That brings forth its fruit in its season, Whose leaf also shall not wither; And whatever he does shall prosper.","Bơngai noh nhen thoi tơm 'long chăt cheng đak glung, Đei plei kiơ̆ kơ bơyan, Hla sư ưh kơ đei layơ jô kro, Rim tơdrong jang sư pơm jing ngăl."
"The ungodly are not so, But are like the chaff which the wind drives away.","Lu bơngai kơnê̆ ưh kơ đei thoi noh; Lu sư thoi hơnong 'ba kial pơđông."
"Therefore the ungodly shall not stand in the judgment, Nor sinners in the congregation of the righteous.","Yua kơ thoi noh lu bơngai kơnê̆ ưh kơ kĕ dơ̆ng ôh lăm năr sek tơlang, Lu bơngai kơnê̆ ưh kơ gơh mơ̆t lăm lu khŭl bơngai tơpăt."
"For the LORD knows the way of the righteous, But the way of the ungodly shall perish.","Yua kơ Kră Yang băt trong lu bơngai tơpăt, Mă-lei trong lu bơngai kơnê̆ gô hiong răm."
"Why do the nations rage, And the people plot a vain thing?","Yua kơ kiơ đei tơdrong iung blơ̆ lăm dêh char? Păng lu kon pơlei chă đon tơdrong hiong răm?"
"The kings of the earth set themselves, And the rulers take counsel together, Against the LORD and against His Anointed, saying","Lu pơtao lăm teh đak iung blah, Lu kră pơgơ̆r pơđâu chă đon wă blah Kră Yang, păng Tơ'ngla mă Kră Yang đei rơih tuh đak rơmă"
"“Let us break Their bonds in pieces And cast away Their cords from us.”","Lu sư khan: “Bĕ bơ̆n hrĕch lê̆ glang, păng pleh hŭt lê̆ ataih đơ̆ng bơ̆n”"
"He who sits in the heavens shall laugh; The Lord shall hold them in derision.","Kră Yang đơ̆ng plĕnh gô hiĕk, Kră Yang gô pơjăm lu sư."
"Then He shall speak to them in His wrath, And distress them in His deep displeasure","Dang ei Kră Yang hil mĭl kơ lu sư. Đơ̆ng noh pơrŭng lu sư hăm tơdrong hil kơtang."
"“Yet I have set My King On My holy hill of Zion.”","“Mă-lei, Inh pơjing boih Tang-dŏ Tang-dŏ pơtao Inh tơ kơpal kông Siôn rơgoh.”"
"“I will declare the decree: The LORD has said to Me, ‘You are My Son, Today I have begotten You.","Inh gô roi tơblang nơ̆r tơtă mă Kră Yang khan kơ inh: “Ih boih kon inh; Năr âu inh pơjing ih."
"Ask of Me, and I will give You The nations for Your inheritance, And the ends of the earth for Your possession.","Apinh bĕ Inh, Inh gô ăn kơ ih lu teh đak jing teh ih jang sa. Păng jơ̆p-jang kơ teh jing tơmam ih"
"You shall break them with a rod of iron; You shall dash them to pieces like a potter’s vessel.’ ”","Ih gô Pơgơ̆r lu sư hăm 'long jra mam; Ih gô teh pơchah lê̆ lu sư thoi gŏ teh.”"
"Now therefore, be wise, O kings; Be instructed, you judges of the earth.","Thoi noh, ơ lu pơtao, tơchĕng bĕ mă hơgei; Ơ kră Pơgơ̆r lăm teh đak, athei bơtho tơ'bôh bĕ."
"Serve the LORD with fear, And rejoice with trembling.","Athei bơ̆jang kơ Kră Yang hăm tơdrong hli yom, Păng chơt hiôk bĕ truh akâu pơpơ̆."
"Kiss the Son, lest He be angry, And you perish in the way, When His wrath is kindled but a little. Blessed are all those who put their trust in Him.","Chŭm Sư bĕ, hli kơ Sư hil, păng hli kơ iĕm lôch hiong lăm trong tôch; Yua kơ tơdrong sư hil rai tŏk. Pŭn hiôk dêh kơ bu mă kơ'nơp lăm Sư!"
"LORD, how they have increased who trouble me! Many are they who rise up against me.","Ơ Kră Yang! Lu ayăt kơ inh lơ dêh pă băt dôm yơ! Lu bơngai iung blah inh lơ dêh tơpă!"
"Many are they who say of me, “There is no help for him in God.” Selah","Lơ bơngai khan kơ bơhngol inh: “Kră Yang 'Bok Kei-Dei ưh kơ đei pơklaih sư ôh!” Sêla"
"But You, O LORD, are a shield for me, My glory and the One who lifts up my head.","Mă-lei, Ơ Kră Yang! Ih boih khêl pĕng tăp kơ inh; Ih jing tơdrong mă inh ư-ang, păng Ih ăn kơ inh gơh ngơk kơ̆l."
"I cried to the LORD with my voice, And He heard me from His holy hill. Selah","Inh krao ôr Kră Yang! Đơ̆ng kông rơgoh Sư tơl nơ̆r inh. Sêla"
"I lay down and slept; I awoke, for the LORD sustained me.","Inh 'bĭch đơ̆ng noh tep hiôk; Inh hơđơ̆r, yua kơ Kră Yang râu tơiung inh."
"I will not be afraid of ten thousands of people Who have set themselves against me all around.","Inh ưh kơ hli ôh kơ lơ rơbâu bơngai, Wang tăp dăr puăn pah."
"Arise, O LORD; Save me, O my God! For You have struck all my enemies on the cheekbone; You have broken the teeth of the ungodly.","Ơ Kră Yang, iung bĕ; Ơ Kră Yang 'Bok Kei-Dei, pơklaih inh bĕ! Yua kơ Kră Yang tap boih tơ'bŏk lu ayăt kơ inh, Păng gơ̆ lê̆ boih hơnĕnh lu bơngai kơnê̆."
"Salvation belongs to the LORD. Your blessing is upon Your people. Selah","Tơdrong dŏng pơklaih đơ̆ng Kră Yang, Apinh Ih ăn tơdrong pŭn hiôk tih kơ kon pơlei pơla Ih. Sêla"
"Hear me when I call, O God of my righteousness! You have relieved me in my distress; Have mercy on me, and hear my prayer.","Ơ Kră Yang 'Bok Kei-Dei inh, mă 'lơ̆ng tơpăt, Tơl tơwih nơ̆r inh, dah inh krao khan. Ih pơklaih inh boih, lăm năr inh oei pơmat, Apinh Ih mơnat kơ inh, păng tơl nơ̆r inh krao khan."
"How long, O you sons of men, Will you turn my glory to shame? How long will you love worthlessness And seek falsehood? Selah","Ơ kon bơngai! Tơdrong ư-ang inh, iĕm wă pơjăm dĭng dang yơ? Lu iĕm 'mêm kơ tơdrong kư̆ kă 'maih chă tơdrong hơlĕnh dĭng dang yơ dơ̆ng?"
"But know that the LORD has set apart for Himself him who is godly; The LORD will hear when I call to Him.","Athei băt Kră Yang 'măn lê̆ boih dôm lu bơngai mă chu yom kơ Sư. Dah inh krao khan kơ Kră Yang Sư gô mơ̆ng nơ̆r inh."
"Be angry, and do not sin. Meditate within your heart on your bed, and be still. Selah","Oei bĕ lăm tơdrong hli yom, 'nĕ pă pơm yoch; Tơchĕng bĕ lăm jơhngơ̆m, kơplah ih oei 'bĭch kơpal giơng păng ngăn bĕ. Sêla"
"Offer the sacrifices of righteousness, And put your trust in the LORD.","Pơyơ̆r bĕ tơmam soi mă 'lơ̆ng tơpăt, Păng lui gơnang kơ Kră Yang 'Bok Kei-Dei."
"There are many who say, “Who will show us any good?” LORD, lift up the light of Your countenance upon us.","Đei lơ bơngai apinh: “Bu gơh tơ'bôh ăn kơ bơ̆n tơdrong pŭn hiôk” Ơ Kră Yang, pơchrang bĕ tơdrong hơdah đơ̆ng muh măt Ih, tơ lu nhôn."
"You have put gladness in my heart, More than in the season that their grain and wine increased.","Kră Yang, Ih ăn boih kơ inh tơdrong chơt hiôk dêh. Hloh kơ lu sư chơt hiôk đei 'ba mi lơ, păng sik đak hơmu rơkah rơkai"
"I will both lie down in peace, and sleep; For You alone, O LORD, make me dwell in safety.","Ơ Kră Yang, inh gô 'bĭch păng tep hiôk-hian; Yua kơ lăp minh 'nu Ih đĕch ăn kơ inh oei hiôk rơnŭk."
"Give ear to my words, O LORD, Consider my meditation.","Ơ Kră Yang, apinh Ih pơgling đon mơ̆ng nơ̆r inh, lăng bĕ dôm tơdrong inh tơtok."
"Give heed to the voice of my cry, My King and my God, For to You I will pray.","Ơ Pơtao inh, Kră Yang 'Bok Kei-Dei inh, apinh mơ̆ng nơ̆r inh krao khan, Yua kơ inh krao apinh Ih."
"My voice You shall hear in the morning, O LORD; In the morning I will direct it to You, And I will look up.","Ơ Kră Yang! Pơgê hrôih Ih gô kơtơ̆ng nơ̆r inh; Pơgê hrôih inh gô roi dôm tơdrong kiơ 'bơ̆t anăp Ih păng chang gô."
"For You are not a God who takes pleasure in wickedness, Nor shall evil dwell with You.","Yua kơ Ih ưh kơ trŏ kơ Kră Yang 'Bok Kei-Dei mă lăp đon tơdrong kơnê̆, lu bơngai kơnê̆ ưh kơ gơh ôh oei hơdai Ih."
"The boastful shall not stand in Your sight; You hate all workers of iniquity.","Lu bơngai pơang ưh kơ kĕ dơ̆ng 'bơ̆t anăp Ih ôh; Ih areh kơ đĭ-đăng lu bơngai pơm kơnê̆."
"You shall destroy those who speak falsehood; The LORD abhors the bloodthirsty and deceitful man.","Ih gô pơrăm đĭ lu bơngai pơm pơma hơlĕnh, Ih areh kơ lu bơngai pơlôch đe, Hăm lu bơngai sa pơgâm."
"But as for me, I will come into Your house in the multitude of Your mercy; In fear of You I will worship toward Your holy temple.","Gah inh gơnang kơ tơdrong 'mêm tih Ih, inh gô mơ̆t tơ lăm hnam Ih. Iŏk jơhngơ̆m hli yom kơ Ih na drap kơkuh 'bơ̆t anih 'lơ̆ng rơgoh Ih."
"Lead me, O LORD, in Your righteousness because of my enemies; Make Your way straight before my face.","Ơ Kră Yang, yua kơ lu ayăt kơ inh, thoi noh iŏk tơdrong tơpăt Ih dui ba inh, Pơm mă tơhnă trong Ih 'bơ̆t anăp inh."
