English, Bahnar
"The Revelation of Jesus Christ, which God gave Him to show His servants—things which must shortly take place. And He sent and signified it by His angel to His servant John","Tơdrong âu, tơdrong 'Bok Kei-Dei ăn kơ Yêsu Krist tơ'bôh kơ lu đĭch đam Sư, tơdrong mă tĕnh truh mă gô 'bôh tơpă. Sư wơh linh jang 'lơ̆ng Sư năm tơ'bôh kơ Yôhan bơngai mă đĭch đam Sư."
"who bore witness to the word of God, and to the testimony of Jesus Christ, to all things that he saw.","Na Yôhan chih roi tơpă dôm tơdrong mă đêl sư 'bôh noh; 'nâu boih tơdrong mă 'Bok Kei-Dei ăn kơ Yêsu Krist tơ'bôh kơ sư."
"Blessed is he who reads and those who hear the words of this prophecy, and keep those things which are written in it; for the time is near.","Bơngai bu đŏk ăn kơ đe tơdrong 'Bok Kei-Dei âu, bơngai noh sư hiôk boih. Bơngai mă mơ̆ng păng răk dôm nơ̆r pơma lăm hla bơar âu sư kư̆m hiôk mơ̆n, yua kơ ưh pă đunh boih 'Bok Kei-Dei wă tơ'bôh kơ kon bơngai dôm tơdrong Sư mă khan lê̆ adrol âu."
"John, to the seven churches which are in Asia: Grace to you and peace from Him who is and who was and who is to come, and from the seven Spirits who are before His throne","Inh Yôhan chih kơthơ tơ'bôh kơ tơpơh tŏ hnam akŭm 'Bok Kei-Dei tơ dêh char Asi. Inh apinh Sư âu: 'Bok Kei-Dei mă bơ̆n ư-ang, Sư đei đơ̆ng sơ̆ khơ̆ dang ei mă gô jur ning-mônh; Yang Bơhngol 'Lơ̆ng, Sư minh 'nu đĕch, mă-lei Sư dang tơpơh 'nu, Sư dơ̆ng 'bơ̆t anăp 'Bok Kei-Dei"
"and from Jesus Christ, the faithful witness, the firstborn from the dead, and the ruler over the kings of the earth. To Him who loved us and washed us from our sins in His own blood","Yêsu Krist, Sư pơma tơpăt ling-lang, Sư iung arih đơ̆ng lôch adrol kơ đe, Sư pơgơ̆r đĭ-đăng lu 'bok pơtao oei tơ teh âu; na inh apinh Sư wei-lăng iĕm lăm tôm tơdrong wă kơ iĕm hiôk-hian ling-lang. Yêsu Krist 'mêm kơ bơ̆n tơpă na Sư pơklaih bơ̆n đơ̆ng tơdrong yoch hăm pham Sư."
"and has made us kings and priests to His God and Father, to Him be glory and dominion forever and ever. Amen.","Sư pơjao bơ̆n kơ 'Bok Kei-Dei wă wei-lăng bơ̆n păng pơgơ̆r bơ̆n, na lu bơ̆n jing bơngai jang kơ 'Bă Sư 'Bok Kei-Dei thoi lu 'bok soi. Thoi noh na bĕ bơ̆n ư-ang Yêsu Krist yua kơ Sư gô pơgơ̆r ling-lang ưh kơ đei layơ tôch. A-men."
"Behold, He is coming with clouds, and every eye will see Him, even they who pierced Him. And all the tribes of the earth will mourn because of Him. Even so, Amen.","Ning-mônh Sư wă jur tơ bơ̆n hăm hơmơ̆l. Đĭ-đăng kon bơngai gô 'bôh Sư. Lu bơngai mă pơ̆ng pơlôch Sư tơ 'long pơglang sơ̆ kư̆m 'bôh Sư mơ̆n. 'Bơ̆t noh kơnh đĭ-đăng khŭl kon bơngai jơ̆p kơ teh đak nhơ̆m hmoi 'bơ̆t anăp Sư; tơpă, trŏ kơ nhơ̆m hmoi tơpă mơ̆n. A-men."
"“I am the Alpha and the Omega, the Beginning and the End,” says the Lord, “who is and who was and who is to come, the Almighty.”","'Bok Kei-Dei Kră Yang tih hloh kơ đĭ-đăng păng pơgơ̆r tôm tĕch tơdrong, Sư đei đơ̆ng sơ̆ khơ̆ dang ei, mă gô jur ning-mônh, Sư khan thoi âu: “Inh thoi chư A, jĭ blŭng-a kơla chă hơdrol kơ đĭ-đăng lăm dôm tơdrong. Păng Inh kư̆m thoi chư Y, tuch-luch năr tôch kư̆m oei đei Inh.”"
"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the island that is called Patmos for the word of God and for the testimony of Jesus Christ.","Mă gah inh âu, anăn inh Yôhan 'nhŏng oh iĕm. Đĭ-đăng kơ bơ̆n pôm đon hăm Yêsu Krist, đĭ-đăng kơ bơ̆n mă iĕm mă inh tă ngăl đei tơdrong gleh truh, đĭ-đăng kơ bơ̆n đei minh 'nu Yêsu Krist pơgơ̆r wei-lăng. Bơ̆n adrin lui kơjăp mă khan đe areh kơ bơ̆n, thoi lĕ kơ inh đe phak oei tơ bŏl đak mă đe anăn bŏl đak Patmôs, yua kơ inh ră roi kơ đe nơ̆r 'Bok Kei-Dei păng tơdrong Yêsu."
"I was in the Spirit on the Lord’s Day, and I heard behind me a loud voice, as of a trumpet","Đei minh năr, mă năr giĕng kơkuh kơ Kră Yang, na Yang Bơhngol 'Lơ̆ng tơ'bôh kơ inh tơdrong hlĭch. Inh kơtơ̆ng tơ rŏng inh nhen đei nơ̆r pơma re jơwa thoi đe hlôm keng"
"saying, “I am the Alpha and the Omega, the First and the Last,” and, “What you see, write in a book and send it to the seven churches which are in Asia: to Ephesus, to Smyrna, to Pergamos, to Thyatira, to Sardis, to Philadelphia, and to Laodicea.”","khan kơ inh thoi âu: “Dôm tơdrong ih wă pơtơm 'bôh dang ei, ih chih răk tơ hla bơar. Hla bơar noh ih pơtruh kơ tơpơh tŏ hnam akŭm 'Bok Kei-Dei: Hnam akŭm Pơlei Êphêsô, hnam akŭm Pơlei Samina, hnam akŭm Pơlei Pêgam, hnam akŭm Pơlei Thiatir, hnam akŭm Pơlei Sadis, hnam akŭm Pơlei Philadêphi păng hnam akŭm Pơlei Laodisê.”"
"Then I turned to see the voice that spoke with me. And having turned I saw seven golden lampstands","Na inh hue lăng tơ rŏng wă kơ băt bu pơma kơ inh noh hei. Lăp inh hue lăng inh 'bôh tơpơh tŏ jơ̆ng kơđeng maih."
"and in the midst of the seven lampstands One like the Son of Man, clothed with a garment down to the feet and girded about the chest with a golden band.","'Bơ̆t tŏk-bŏk jơ̆ng kơđeng noh inh 'bôh minh 'nu hơbŏ Sư thoi Kon Bơngai. Sư hrŭk ao tai păng chô̆ gơ'năm maih tơ kơtơh Sư."
"His head and hair were white like wool, as white as snow, and His eyes like a flame of fire","Sŏk Sư kok hmông tôch tơdrong kok, măt Sư thoi pla ŭnh."
"His feet were like fine brass, as if refined in a furnace, and His voice as the sound of many waters","Jơ̆ng Sư hơdah 'brŭng dreng thoi mam ngơr đe 'buh tơ ŭnh, 'bơ̆r Sư pơma mơ̆ng thoi jơwa đak chơkơi."
"He had in His right hand seven stars, out of His mouth went a sharp two-edged sword, and His countenance was like the sun shining in its strength.","Tơpang ti Sư gah 'ma, Sư chĕp tơpơh tŏ sơnglŏng. Đei minh hlak đao han dêh, đao noh đei 'bar pah măt, lĕch đơ̆ng 'bơ̆r Sư pơma. Muh măt Sư rang hơdah dang măt 'năr pơchrang tŏk-bŏk 'năr dơ̆ng."
"And when I saw Him, I fell at His feet as dead. But He laid His right hand on me, saying to me, “Do not be afraid; I am the First and the Last.","Kơplah noh lăp inh 'bôh Sư, inh pơ̆k hloi 'bơ̆t jơ̆ng Sư, inh hli tơrơ kơmăp lăl pă băt kơ akâu. Mă-lei ti 'ma Sư pel inh păng khan: “Ih 'nĕ kơ hli, Inh 'Bok tơm rơh hăm Inh ưh kơ đei layơ tôch."
"I am He who lives, and was dead, and behold, I am alive forevermore. Amen. And I have the keys of Hades and of Death.","Inh arih ling-lang, Inh boih 'Bok mă lôch minh 'măng sơ̆, dang ei ưh pă layơ wă lôch dơ̆ng. Inh đei khuă gơh pơih 'măng lu bơngai lôch ăn kơ sư iung arih dơ̆ng."
"Write the things which you have seen, and the things which are, and the things which will take place after this.","Thoi noh na dang ei Inh wă kơ ih chih dôm tơdrong mă ih 'bôh dang ei, dôm tơdrong chăl arih dang ei păng dôm tơdrong mă Inh gô tơ'bôh kơ chăl arih ning-mônh."
"The mystery of the seven stars which you saw in My right hand, and the seven golden lampstands: The seven stars are the angels of the seven churches, and the seven lampstands which you saw are the seven churches.","Gah tơdrong tơpơh tŏ sơnglŏng mă ih 'bôh Inh chĕp tơ ti 'ma Inh 'noh hei păng tơpơh tŏ jơ̆ng kơđeng maih noh, na dang ei Inh wă roi tơblang ăn kơ ih. Tơpơh tŏ sơnglŏng noh wă khan tơpơh 'nu kră wei-lăng hnam akŭm 'Bok Kei-Dei. Tơpơh tŏ jơ̆ng kơđeng maih noh wă khan tơpơh tŏ hnam akŭm 'Bok Kei-Dei.”"
"“To the angel of the church of Ephesus write, ‘These things says He who holds the seven stars in His right hand, who walks in the midst of the seven golden lampstands","“Ih chih kơthơ âu kơ kră wei-lăng hnam akŭm 'Bok Kei-Dei tơ Pơlei Êphêsô thoi âu: 'Bok mă chĕp tơpơh tŏ sơnglŏng tơ ti 'ma Sư, mă Sư nơnăm lăm tŏk-bŏk jơ̆ng kơđeng maih noh Sư wă pơma kơ iĕm thoi âu"
"“I know your works, your labor, your patience, and that you cannot bear those who are evil. And you have tested those who say they are apostles and are not, and have found them liars","‘Inh băt mơ̆n tơdrong lui iĕm, Inh băt mơ̆n iĕm jang gleh, Inh băt mơ̆n đe areh kơ iĕm, iĕm oei lui kơjăp. Inh băt mơ̆n iĕm kuă kơ lu bơngai kơnê̆ oei hơdai iĕm. Lu sư hơlĕnh khan sư pơm jơ̆ng 'bang Inh mă-lei iĕm pơlong lăng lu sư boih, na iĕm băt boih kơ sư bơngai hơlĕnh."
"and you have persevered and have patience, and have labored for My name’s sake and have not become weary.","Inh băt mơ̆n iĕm đei tơdrong gleh truh yua kơ jang tơdrong Inh, iĕm oei adrin khŏm khŏm ưh kơ lê̆."
"Nevertheless I have this against you, that you have left your first love.","Mă-lei inh sơ'ngon kơ iĕm minh tơdrong âu: Iĕm ưh pă 'mêm kơ Inh hăm 'mêm kơ bôl buăl dang iĕm 'mêm tơm hmơm iĕm lui sơ̆."
"Remember therefore from where you have fallen; repent and do the first works, or else I will come to you quickly and remove your lampstand from its place—unless you repent.","Na dang ei iĕm 'blŏk hơdơ̆r kơ tơdrong iĕm 'mêm sơ̆ dang yơ, iĕm athei 'mêm dang noh, 'nĕ kơ pơhơi. Tơ̆ng iĕm ưh kơ 'mêm dang tơm hmơm iĕm lui sơ̆, lei Inh wă năm hloi pơdrĕo iŏk jơ̆ng kơđeng maih đơ̆ng pơlei iĕm."
"But this you have, that you hate the deeds of the Nicolaitans, which I also hate.","Mă-lei tơdrong âu Inh lăp đon kơ iĕm, Inh 'bôh iĕm ưh kơ lăp đon kơ đe bơtho tơdrong Nikôlat, Inh kư̆m ưh kơ lăp đon mơ̆n."
"“He who has an ear, let him hear what the Spirit says to the churches. To him who overcomes I will give to eat from the tree of life, which is in the midst of the Paradise of God.” ’","‘Bơngai bu đei đon, mơ̆ng bĕ dôm tơdrong Yang Bơhngol 'Lơ̆ng pơma kơ rim hnam akŭm 'Bok Kei-Dei. Tơdrong tơblah păng yang kơnê̆ jei bu, Inh ăn kơ sư sa plei 'long kon bơngai arih. 'Long 'noh 'Bok Kei-Dei pơtăm tơ pơgar Sư tơ Pơlei 'Lơ̆ng Sư.’ ”"
"“And to the angel of the church in Smyrna write, ‘These things says the First and the Last, who was dead, and came to life","“Dang ei ih chih kơ kră wei-lăng hnam akŭm tơ Pơlei Samina thoi âu: 'Bok tơm rơh mă ưh kơ đei layơ tôch, mă lôch iung arih dơ̆ng, Sư wă pơma kơ iĕm thoi âu"
"“I know your works, tribulation, and poverty (but you are rich); and I know the blasphemy of those who say they are Jews and are not, but are a synagogue of Satan.","‘Inh băt mơ̆n đe hil areh păng pơm kơnê̆ kơ iĕm. Inh băt mơ̆n iĕm bơngai dơnuh, mă-lei iĕm mơdrŏng tơdrong 'Bok Kei-Dei. Đei mơ'nah pơjăm pơjuă iĕm Inh kư̆m băt. Lu sư chă khan kơdih khan lu sư bơngai Juđê, mă tơpă ưh kơ bơngai Juđê ôh, lu sư hơlĕnh đĕch; lu sư khŭl yang Satan."
"Do not fear any of those things which you are about to suffer. Indeed, the devil is about to throw some of you into prison, that you may be tested, and you will have tribulation ten days. Be faithful until death, and I will give you the crown of life.","Iĕm 'nĕ hli mă tơdrong wă truh kơ iĕm kơnh pơgê, yua kơ yang kơnê̆ wă tah lu iĕm mơ'nah tơ lăm hnam phak, wă pơlong lăng tơdrong lui iĕm. Iĕm oei tơ lăm hnam phak dang mơjĭt năr đe đei pơm kơ iĕm pơmat-tat dêh, mă-lei apinh iĕm adrin bĕ truh lôch, đơ̆ng noh na Inh gô tơ'băk kơ iĕm agăl pơkao tơdrong arih ling-lang."
"“He who has an ear, let him hear what the Spirit says to the churches. He who overcomes shall not be hurt by the second death.” ’","‘Bơngai bu đei đon, mơ̆ng bĕ dôm tơdrong Yang Bơhngol 'Lơ̆ng pơma kơ rim hnam akŭm 'Bok Kei-Dei. Tơdrong tơblah păng yang kơnê̆ jei bu, Inh huay ăn kơ sư lôch mă 'bar.’ ”"
"“And to the angel of the church in Pergamos write, ‘These things says He who has the sharp two-edged sword","“Dang ei dơ̆ng ih chih kơ kră wei-lăng hnam akŭm tơ Pơlei Pêgam thoi âu: 'Bok mă đei minh hlak đao han đei 'bar pah măt noh Sư wă pơma kơ iĕm thoi âu"
"“I know your works, and where you dwell, where Satan’s throne is. And you hold fast to My name, and did not deny My faith even in the days in which Antipas was My faithful martyr, who was killed among you, where Satan dwells.","‘Inh băt mơ̆n tơ pơlei iĕm noh đei yang Satan pơgơ̆r pơm pơtao. Mă-lei iĕm oei lui kơ Inh khŏm khŏm ưh kơ đei sơngah khan ưh kơ lui kơ Inh ôh. Na sơ̆ đe pơlôch buăl iĕm Antipa tơ pơlei iĕm, pơlei mă Satan pơgơ̆r. Antipa sư bơngai ră roi kơ đe tơdrong Inh tơpăt ling-lang ưh kơ layơ achăng lê̆ Inh. Na kơplah đe mă pơlôch sư sơ̆, iĕm kư̆m ưh kơ sơngah kơ Inh."
"But I have a few things against you, because you have there those who hold the doctrine of Balaam, who taught Balak to put a stumbling block before the children of Israel, to eat things sacrificed to idols, and to commit sexual immorality.","Mă-lei Inh ưh kơ lăp đon kơ iĕm 'bar pêng tơdrong âu: Yua kơ đei lăm lu iĕm mơ'nah kiơ̆ tơdrong 'bok 'Balam. 'Bok 'Balam sơ̆ sư pơchŭt 'bok 'Balăk pơhlŭ lu bơngai Isơrael sa tơmam đe soi sơmah kơ rup yang păng wă kơ lu sư pơm pơyô kư̆ kă."
"Thus you also have those who hold the doctrine of the Nicolaitans, which thing I hate.","Na đei lăm lu iĕm mơ'nah kư̆m thoi noh mơ̆n, iĕm lui kơ đe bơtho tơdrong Nikôlat."
"Repent, or else I will come to you quickly and will fight against them with the sword of My mouth.","Na dang ei iĕm athei tơbral kơdih tơdrong yoch. Tơ̆ng iĕm ưh kơ tơbral, lei Inh ưh kơ anat ôh, Inh năm blah hloi dôm lu iĕm mă lui kơ tơdrong Nikôlat noh. Inh blah păng đao mă lĕch đơ̆ng 'bơ̆r Inh noh.’"
"“He who has an ear, let him hear what the Spirit says to the churches. To him who overcomes I will give some of the hidden manna to eat. And I will give him a white stone, and on the stone a new name written which no one knows except him who receives it.” ’","‘Bơngai bu đei đon, mơ̆ng bĕ dôm tơdrong Yang Bơhngol 'Lơ̆ng pơma kơ rim hnam akŭm 'Bok Kei-Dei. Tơdrong tơblah păng yang kơnê̆ jei bu, Inh gô ăn kơ bơngai noh 'bĕng mana mă kon bơngai tơ ala teh ưh tam đei sa ôh păng Inh gô pôk anăn sư 'nao, anăn 'nao noh Inh chih tơ tơmo kok lat, na ăn kơ sư. Anăn noh lu đe nai ưh kơ băt ôh, pôm sư kơdih đĕch băt.’ ”"
"“And to the angel of the church in Thyatira write, ‘These things says the Son of God, who has eyes like a flame of fire, and His feet like fine brass","“Dang ei dơ̆ng Inh wă kơ ih chih kơthơ kơ kră hnam akŭm 'Bok Kei-Dei tơ Pơlei Thiatir thoi âu: Âu boih Kon 'Bok Kei-Dei, 'Bok mă măt Sư thoi pla ŭnh, jơ̆ng Sư hơdah 'brŭng dreng thoi mam ngơr đe 'buh tơ ŭnh, na Sư wă pơma kơ iĕm thoi âu"
