English, Bahnar
"Paul, a bondservant of Jesus Christ, called to be an apostle, separated to the gospel of God","Inh Pôl chih hơpong kơ iĕm bơngai Rôm. Inh bơngai đĭch đam Yêsu Krist. 'Bok Kei-Dei krao inh pơm jơ̆ng 'bang Sư, wă kơ inh năm chă bơtho kơ đe tơdrong 'nao 'lơ̆ng Sư."
"which He promised before through His prophets in the Holy Scriptures","Hơdrol kơ Yêsu jur sơ̆ 'Bok Kei-Dei ăn kơ lu bơngai pơtruh nơ̆r Sư chih roi lê̆ hơdrol tơdrong noh tơ lăm sơ̆p hla bơar Sư."
"concerning His Son Jesus Christ our Lord, who was born of the seed of David according to the flesh","Tơdrong 'nao 'lơ̆ng noh roi gah Kon Sư Yêsu Krist mă pơm Yŏng bơ̆n. Yêsu Krist jur jing kon bơngai Sư lĕch đơ̆ng adrĕch pơtao Đawit sơ̆."
"and declared to be the Son of God with power according to the Spirit of holiness, by the resurrection from the dead.","Yang Bơhngol 'Lơ̆ng tơbăt ăn kơ bơ̆n Yêsu Yang, Kon 'Bok Kei-Dei. Sư tơbăt ăn kơ bơ̆n tơdrong Yêsu Kon 'Bok Kei-Dei, Sư tơ'bôh kơ bơ̆n 'bôh Sư mơsêh mơyang gơh iung arih đơ̆ng lôch. 'Noh bơ̆n băt kơ Yêsu Sư Yang tơpă."
"Through Him we have received grace and apostleship for obedience to the faith among all nations for His name","Na Kră Yang Yêsu Krist mơnat kơ inh, ăn kơ inh pơm jơ̆ng 'bang Sư, wă kơ inh năm bơtho kơ đĭ-đăng khŭl bơngai jơ̆p kơ teh đak, wă kơ đĭ-đăng bơngai lui kơ Sư păng ư-ang kơ Sư ling-lang."
"among whom you also are the called of Jesus Christ","Na 'Bok Kei-Dei krao iŏk iĕm bơngai Rôm, wă kơ iĕm lui kơ Yêsu Krist mơ̆n."
"To all who are in Rome, beloved of God, called to be saints: Grace to you and peace from God our Father and the Lord Jesus Christ.","Na dang ei inh chih kơthơ ăn kơ iĕm bơngai Rôm mă 'Bok Kei-Dei 'mêm kơeng. Iĕm boih 'Bok Kei-Dei krao wă kơ iĕm jing kon Sư. Inh krao khan apinh Sư 'Bă tơm bơ̆n hăm Kră Yang bơ̆n Yêsu Krist wei-lăng iĕm tôm tơdrong wă kơ Sư ăn kơ iĕm hiôk-hian ling-lang."
"First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world.","Hơdrol kơ inh wă pơma, inh đei tơdrong bơnê kơ 'Bok Kei-Dei hơdrol 'mơ̆i. Yua kơ Yêsu Krist lôch tang bơ̆n na bơ̆n băt krao khan bơnê kơ 'Bok Kei-Dei. Inh bơnê kơ Sư yua kơ Sư ăn kơ iĕm lui kơjăp. Đĭ kơ bơngai lui jơ̆p kơ teh đak kư̆m băt kơ iĕm lui kơjăp tơpă."
"For God is my witness, whom I serve with my spirit in the gospel of His Son, that without ceasing I make mention of you always in my prayers","Inh adrin jang tơdrong 'Bok Kei-Dei, bơtho tơdrong 'nao 'lơ̆ng Kon Sư Yêsu Krist, na 'Bok Kei-Dei Sư 'bôh inh krao khan kơ Sư, Sư băt kơ inh krao khan tơgŭm iĕm ling-lang tơpă."
"making request if, by some means, now at last I may find a way in the will of God to come to you.","Inh krao khan apinh Sư pơchoh kơ inh trong wă kơ inh gơh năm ngôi hơpong hăm iĕm."
"For I long to see you, that I may impart to you some spiritual gift, so that you may be established","Inh 'maih năm tơ iĕm dêh, wă kơ inh gơh tơgŭm iĕm lui kơ 'Bok Kei-Dei rai kơjăp hloh."
"that is, that I may be encouraged together with you by the mutual faith both of you and me.","Inh wă kơ bơ̆n pơm thoi âu: Inh 'maih năm tơ iĕm wă kơ bơ̆n gơh tơgŭm dih băl, wă kơ inh 'bôh tơdrong lui iĕm, iĕm 'bôh tơdrong lui inh, noh na bơ̆n lui rai kơjăp hloh."
"Now I do not want you to be unaware, brethren, that I often planned to come to you (but was hindered until now), that I might have some fruit among you also, just as among the other Gentiles.","Ơ 'nhŏng oh, inh khan tơbăt ăn kơ iĕm tơdrong inh khan wă năm ngôi hơpong tơ iĕm lơ 'măng boih mă ưh kơ yĕng. Inh 'maih bơtho 'biơ̆ pơlei iĕm, wă kơ đei bơngai lui rai lơ thoi lu kon pơlei nai mă ưh kơ khŭl Juđê, lu sư lui đơ̆ng inh bơtho."
"I am a debtor both to Greeks and to barbarians, both to wise and to unwise.","Inh oei hre kơ rim khŭl bơngai mă inh ưh tam năm chă bơtho tơdrong 'nao 'lơ̆ng Yêsu Krist, mă bơngai Grĕk, mă bơngai nai, mă bơngai kơtul, mă bơngai hơgei, inh oei tă hre kơ sư ngăl."
"So, as much as is in me, I am ready to preach the gospel to you who are in Rome also.","Yua kơ thoi noh na inh hưch hanh hmăng dah truh tơ iĕm wă bơtho tơdrong 'nao 'lơ̆ng sư."
