English, Bahnar
"Now it came to pass, in the days when the judges ruled, that there was a famine in the land. And a certain man of Bethlehem, Judah, went to dwell in the country of Moab, he and his wife and his two sons.","Lăm chăl lu kră sek tơlang pơgơ̆r đei pơngot rơwĕt tih lăm dêh char Juđê, đei minh 'nu bơngai đơ̆ng pơlei Betlehem dêh Juđê, sư chông ba akăn păng 'bar 'nu kon năm truh tơ dêh Môap na lu sư oei tơ noh."
"The name of the man was Elimelech, the name of his wife was Naomi, and the names of his two sons were Mahlon and Chilion—Ephrathites of Bethlehem, Judah. And they went to the country of Moab and remained there.","Bơngai drŏ-nglo anăn Êlimêlek, akăn sư anăn Naômi, 'bar 'nu kon drŏ-nglo anăn Makhlôn păng Kiliôn. Lu sư đơ̆ng bơngai Êphrat, pơlei Betlehem, dêh Juđê. Lu sư năm tơ teh đak Môap păng oei tơ noh."
"Then Elimelech, Naomi’s husband, died; and she was left, and her two sons.","Mă-lei Êlimêlek klo Naômi lôch, achăng akăn sư păng 'bar 'nu kon tơdăm sư."
"Now they took wives of the women of Moab: the name of the one was Orpah, and the name of the other Ruth. And they dwelt there about ten years.","Bre kon sư chă akăn oei kơ adruh Môap; minh 'nu anăn Orpa, minh 'nu noh anăn sư Rut; lu sư oei tơ noh dang mơjĭt sơnăm."
"Then both Mahlon and Chilion also died; so the woman survived her two sons and her husband.","Đơ̆ng rŏng kơ noh Mahlơn păng Kiliôn bre sư kư̆m lôch, achăng lê̆ mĕ sư Naômi pă đei klo pă đei kon."
"Then she arose with her daughters-in-law that she might return from the country of Moab, for she had heard in the country of Moab that the LORD had visited His people by giving them bread.","Kơplah noh Naômi kơtơ̆ng khan Kră Yang đei tơgŭm kon pơlei sư, tơmam sa phĭ mah, na sư hăm bre mŏ mai sư iung lĕch đơ̆ng dêh Môap wih brŏk tơ dêh char sư kơdih."
"Therefore she went out from the place where she was, and her two daughters-in-law with her; and they went on the way to return to the land of Judah.","Thoi noh na sư achăng lê̆ pơlei mă sư oei noh na wih brŏk tơ dêh char Juđê hăm bre mŏ mai sư."
"And Naomi said to her two daughters-in-law, “Go, return each to her mother’s house. The LORD deal kindly with you, as you have dealt with the dead and with me.","Naômi khan kơ bre mŏ mai sư thoi âu: Năm bĕ măr iĕm wih brŏk tơ hnam mĕ iĕm kơdih. Apinh Kră Yang ăn kơ măr iĕm pŭn hiôk, kư̆m thoi măr iĕm đei pơm 'lơ̆ng kơ inh hăm lu bơngai lôch noh."
"The LORD grant that you may find rest, each in the house of her husband.” So she kissed them, and they lifted up their voices and wept.","Hơpơi kơ Kră Yang ăn kơ măr iĕm tơdrong chơt hiôk hăm klo hle. Đơ̆ng noh sư kuăr chŭm bre mŏ mai sư na bre mŏ mai sư nhơ̆m."
"And they said to her, “Surely we will return with you to your people.”","Bre mŏ mai sư khan: Ưh ôh nhi gô brŏk kiơ̆ tơ dêh char ih."
