English, Bahnar
"The song of songs, which is Solomon’s.","Tơdrong hơri hiôk hloh lăm lu 'bai hơri mă Sôlômôn đei pơm"
"Let him kiss me with the kisses of his mouth— For your love is better than wine.","Ơ wă kơ ih chŭm inh hăm hơkŭng ih! Tơdrong hơyuh ih 'ngam hloh kơ sik hơmu."
"Because of the fragrance of your good ointments, Your name is ointment poured forth; Therefore the virgins love you.","Đak pơgang ih 'bâu phu, Đe ư-ang kơ ih thoi đak pơgang 'bâu phu; Thoi noh na lu adruh 'nao iung hưch kơ ih."
"Draw me away! We will run after you. The king has brought me into his chambers. We will be glad and rejoice in you. We will remember your love more than wine. Rightly do they love you.","Chông ba inh kiơ̆ ih bĕ kơdâu mă hrĕnh. Pơtao chông inh boih mơ̆t tơ anih sư."
"I am dark, but lovely, O daughters of Jerusalem, Like the tents of Kedar, Like the curtains of Solomon.","Lu adruh 'nao iung hưch kơ ih trŏ bơih Ơ lu đe adruh pơlei Jêrusalem, Inh jơmăng ră, mă-lei 'lơ̆ng hơbŏ, Thoi lu hnam khăn Kêđar, Thoi che pĕng anih Sôlômôn."
"Do not look upon me, because I am dark, Because the sun has tanned me. My mother’s sons were angry with me; They made me the keeper of the vineyards, But my own vineyard I have not kept.","'Nĕ kơ pơglăn tơ inh, yua kơ inh jơmăng, Yua kơ đơ̆ng tŏ sa. Lu kon tơdăm mĕ inh areh kơ inh, Jao inh wei-lăng pơgar hơmu lu sư; Na pră lê̆ pơgar hơmu inh ưh kơ đei bu wei-lăng!"
"Tell me, O you whom I love, Where you feed your flock, Where you make it rest at noon. For why should I be as one who veils herself By the flocks of your companions?","Ơ bơngai mă inh hưch, roi tơpăt bĕ kơ inh ih wei triu tơ yơ? Anih ayơ kơplah 'năr dơ̆ng ih ăn kơ lu sư drum pơdơh; Yua kơ kiơ inh thoi lĕ adruh gom lê̆ muh măt, Dơ̆ng 'bơ̆t cheng lu khŭl triu buăl ih?"
"If you do not know, O fairest among women, Follow in the footsteps of the flock, And feed your little goats Beside the shepherds’ tents.","Ơ bơngai 'lơ̆ng hloh kơ đĭ-đăng lăm đe adruh, Tơdah ih ưh kơ băt ih athei 'moi bĕ đêl jơ̆ng triu, Păng wei kon bơbe ih 'bơ̆t cheng anih đe wei triu."
"I have compared you, my love, To my filly among Pharaoh’s chariots.","Ơ bơngai mă inh hơyuh, inh lăng ih thoi aseh adruh dui gre Hơiă."
"Your cheeks are lovely with ornaments, Your neck with chains of gold.","Meng ih 'lơ̆ng 'breo Thoi le, Hơko ih kư̆m 'lơ̆ng yua kơ ih 'băk hơnam tơmo rang."
"We will make you ornaments of gold With studs of silver.","Nhôn gô pơguăng kơ ih hăm găp maih."
"While the king is at his table, My spikenard sends forth its fragrance.","Kơplah pơtao oei 'bơ̆t tang-dŏ wă sŏng sa, 'Bâu phu jơ̆p-jang pơgang đơ̆ng inh pik."
"A bundle of myrrh is my beloved to me, That lies all night between my breasts.","Bơngai mă inh hơyuh nhen thoi minh hơchô̆ pơgang 'bâu phu dan sơlam toh inh"
"My beloved is to me a cluster of henna blooms In the vineyards of En Gedi.","Bơngai inh hơyuh nhen thoi minh hơchô̆ pơkao hêna, Lăm pơgar hơmu Êngêđi."
"Behold, you are fair, my love! Behold, you are fair! You have dove’s eyes.","Bơngai mă inh hưch ih 'lơ̆ng hơiă dêh, ih 'lơ̆ng tơpă! Măt ih nhen măt sem kơtơp."
"Behold, you are handsome, my beloved! Yes, pleasant! Also our bed is green.","Ơ bơngai mă inh hơyuh ih tơdăm 'lơ̆ng hơbŏ; Lăp kơ jơhngơ̆m inh dêh! Anih tep ba dreng hơdrih 'lơ̆ng."
"The beams of our houses are cedar, And our rafters of fir.","Jrăng hnam ba pơm păng 'long Hơngo bri, 'Long pơbŭng hnam ba pơm păng 'long hơngo."
"I am the rose of Sharon, And the lily of the valleys.","Inh thoi pơkao gôh tơ tơmăn Sarôn, Thoi pơkao kok jơk tơ lăm thŭng"
"Like a lily among thorns, So is my love among the daughters.","Pơyô inh oei tŏk-bŏk lu bơngai adruh, Thoi pơkao kok jơk oei tŏk-bŏk tơm jơla."
"Like an apple tree among the trees of the woods, So is my beloved among the sons. I sat down in his shade with great delight, And his fruit was sweet to my taste.","Bơngai mă inh hơyuh oei tŏk-bŏk lu tơdăm, Thoi tơm 'long hơra mi chăt tŏk-bŏk bri brah. Inh lăp đon tơpă wă pơdơh ngôi ala yơ̆p sư; Plei sư 'ngam bơngơi lăp kơ hơlŏng inh."
"He brought me to the banqueting house, And his banner over me was love.","Sư chông ba inh tơ anih sŏng sa tih. Jơhngơ̆m hơyuh sư thoi hla klơ̆p kơpal inh."
"Sustain me with cakes of raisins, Refresh me with apples, For I am lovesick.","Iŏk bĕ plei hơmu kro na pơlung jơhngơ̆m inh; Iŏk bĕ plei hơra mi tơgŭm wă kơ inh pran; Yua kơ inh đei jĭ đơ̆ng tơdrong hơyuh."
"His left hand is under my head, And his right hand embraces me.","Ti gah 'ngiĕo sư hơgơn ala kơ̆l inh. Păng ti gah 'ma sư kuăr inh!"
"I charge you, O daughters of Jerusalem, By the gazelles or by the does of the field, Do not stir up nor awaken love Until it pleases.","Ơ lu adruh Jêrusalem inh apinh lu iĕm pơkă, Hăm anăn lu kơtŏng dah lu juei lăm bri. 'Nĕ kơ hơtŭt 'bơm păng 'nĕ kơ râu tơdrong hơyuh hơđơ̆r mưh tam mă trŏ kơ jơ."
"The voice of my beloved! Behold, he comes Leaping upon the mountains, Skipping upon the hills.","Ei nơ̆r pơyô inh! To, sư truh boih. Sư pơplŏng kơ kông dơhrông kơ groi."
"My beloved is like a gazelle or a young stag. Behold, he stands behind our wall; He is looking through the windows, Gazing through the lattice.","Bơngai mă inh hơyuh nhen thoi kơtŏng. Dah thoi juei dăm. To sư dơ̆ng tơ rŏng tơnăr hnam nhôn. Sư tơmang đơ̆ng 'măng-'mŏk, Sư gŏk lăng đơ̆ng 'măng hơdrao."
"My beloved spoke, and said to me: “Rise up, my love, my fair one, And come away.","Pơyô inh pơma păng khan kơ inh!"
"For lo, the winter is past, The rain is over and gone.","Yua kơ bơyan tơngiĕt kư̆m đĭ hloh, Đơ̆ng noh bơyan 'mi hlôi."
"The flowers appear on the earth; The time of singing has come, And the voice of the turtledove Is heard in our land.","Pơkao lăm teh đĭ tơlang. Bơyan sem kơtơp asi, Bơyan hơri chơt hiôk truh bơih, Jơ̆p lăm tơring bơ̆n."
