English, Bahnar
"Paul, a bondservant of God and an apostle of Jesus Christ, according to the faith of God’s elect and the acknowledgment of the truth which accords with godliness","Pôl chih hơpong kơ Tĭt. Hmach kơ ih, dăm. Ih kon inh tơpă kơlih kơ ih lui kơ Kră Yang Yêsu đơ̆ng inh bơtho ih sơ̆. Inh boih đĭch đam 'Bok Kei-Dei păng jơ̆ng 'bang Yêsu Krist. 'Bok Kei-Dei wơh inh bơtho kon bơngai đêl Sư rơih iŏk wă kơ lu sư lui kơ Sư păng wă tơbăt ăn kơ lu sư tơdrong Sư, na lu sư gơh pơm tơdrong 'lơ̆ng tơpăt. Thoi noh na lu sư gô arih ling-lang. 'Bok Kei-Dei ưh kơ hơlĕnh ôh. Đơ̆ng blŭng-a sơ̆, đơ̆ng Sư tam mă pơjing plĕnh teh, đơ̆ng noh boih Sư pơkă khan gô ăn kơ bơ̆n arih ling-lang. Na truh sơnăm Sư boih, na Sư pơtruh ăn kơ bơ̆n tơdrong 'nao 'lơ̆ng Sư wă ăn kơ bơ̆n arih ling-lang. Thoi noh boih 'Bok Kei-Dei dŏng pơklaih bơ̆n. Kư̆m Sư boih athei inh bơtho tơdrong 'nao 'lơ̆ng Sư. Ơ dăm, inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm 'Bok Dŏng Pơklaih bơ̆n Yêsu Krist wei-lăng ih tôm tơdrong wă kơ Sư ăn kơ ih hiôk-hian ling-lang."
"in hope of eternal life which God, who cannot lie, promised before time began","Pôl chih hơpong kơ Tĭt. Hmach kơ ih, dăm. Ih kon inh tơpă kơlih kơ ih lui kơ Kră Yang Yêsu đơ̆ng inh bơtho ih sơ̆. Inh boih đĭch đam 'Bok Kei-Dei păng jơ̆ng 'bang Yêsu Krist. 'Bok Kei-Dei wơh inh bơtho kon bơngai đêl Sư rơih iŏk wă kơ lu sư lui kơ Sư păng wă tơbăt ăn kơ lu sư tơdrong Sư, na lu sư gơh pơm tơdrong 'lơ̆ng tơpăt. Thoi noh na lu sư gô arih ling-lang. 'Bok Kei-Dei ưh kơ hơlĕnh ôh. Đơ̆ng blŭng-a sơ̆, đơ̆ng Sư tam mă pơjing plĕnh teh, đơ̆ng noh boih Sư pơkă khan gô ăn kơ bơ̆n arih ling-lang. Na truh sơnăm Sư boih, na Sư pơtruh ăn kơ bơ̆n tơdrong 'nao 'lơ̆ng Sư wă ăn kơ bơ̆n arih ling-lang. Thoi noh boih 'Bok Kei-Dei dŏng pơklaih bơ̆n. Kư̆m Sư boih athei inh bơtho tơdrong 'nao 'lơ̆ng Sư. Ơ dăm, inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm 'Bok Dŏng Pơklaih bơ̆n Yêsu Krist wei-lăng ih tôm tơdrong wă kơ Sư ăn kơ ih hiôk-hian ling-lang."
"but has in due time manifested His word through preaching, which was committed to me according to the commandment of God our Savior","Pôl chih hơpong kơ Tĭt. Hmach kơ ih, dăm. Ih kon inh tơpă kơlih kơ ih lui kơ Kră Yang Yêsu đơ̆ng inh bơtho ih sơ̆. Inh boih đĭch đam 'Bok Kei-Dei păng jơ̆ng 'bang Yêsu Krist. 'Bok Kei-Dei wơh inh bơtho kon bơngai đêl Sư rơih iŏk wă kơ lu sư lui kơ Sư păng wă tơbăt ăn kơ lu sư tơdrong Sư, na lu sư gơh pơm tơdrong 'lơ̆ng tơpăt. Thoi noh na lu sư gô arih ling-lang. 'Bok Kei-Dei ưh kơ hơlĕnh ôh. Đơ̆ng blŭng-a sơ̆, đơ̆ng Sư tam mă pơjing plĕnh teh, đơ̆ng noh boih Sư pơkă khan gô ăn kơ bơ̆n arih ling-lang. Na truh sơnăm Sư boih, na Sư pơtruh ăn kơ bơ̆n tơdrong 'nao 'lơ̆ng Sư wă ăn kơ bơ̆n arih ling-lang. Thoi noh boih 'Bok Kei-Dei dŏng pơklaih bơ̆n. Kư̆m Sư boih athei inh bơtho tơdrong 'nao 'lơ̆ng Sư. Ơ dăm, inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm 'Bok Dŏng Pơklaih bơ̆n Yêsu Krist wei-lăng ih tôm tơdrong wă kơ Sư ăn kơ ih hiôk-hian ling-lang."
"To Titus, a true son in our common faith: Grace, mercy, and peace from God the Father and the Lord Jesus Christ our Savior.","Pôl chih hơpong kơ Tĭt. Hmach kơ ih, dăm. Ih kon inh tơpă kơlih kơ ih lui kơ Kră Yang Yêsu đơ̆ng inh bơtho ih sơ̆. Inh boih đĭch đam 'Bok Kei-Dei păng jơ̆ng 'bang Yêsu Krist. 'Bok Kei-Dei wơh inh bơtho kon bơngai đêl Sư rơih iŏk wă kơ lu sư lui kơ Sư păng wă tơbăt ăn kơ lu sư tơdrong Sư, na lu sư gơh pơm tơdrong 'lơ̆ng tơpăt. Thoi noh na lu sư gô arih ling-lang. 'Bok Kei-Dei ưh kơ hơlĕnh ôh. Đơ̆ng blŭng-a sơ̆, đơ̆ng Sư tam mă pơjing plĕnh teh, đơ̆ng noh boih Sư pơkă khan gô ăn kơ bơ̆n arih ling-lang. Na truh sơnăm Sư boih, na Sư pơtruh ăn kơ bơ̆n tơdrong 'nao 'lơ̆ng Sư wă ăn kơ bơ̆n arih ling-lang. Thoi noh boih 'Bok Kei-Dei dŏng pơklaih bơ̆n. Kư̆m Sư boih athei inh bơtho tơdrong 'nao 'lơ̆ng Sư. Ơ dăm, inh krao khan apinh 'Bă tơm bơ̆n 'Bok Kei-Dei hăm 'Bok Dŏng Pơklaih bơ̆n Yêsu Krist wei-lăng ih tôm tơdrong wă kơ Sư ăn kơ ih hiôk-hian ling-lang."
"For this reason I left you in Crete, that you should set in order the things that are lacking, and appoint elders in every city as I commanded you","Lăp ba tơklah băl đơ̆ng bŏl đak Kret ki, inh pơkă kơ ih kư̆ kơ oei tơ noh wă kơ ih jang mă keh dôm tơdrong inh jang ưh kơ tam keh. Inh wă kơ ih rơih chă lu bơngai lui wă pơm kră wei-lăng bơngai lui tơ rim pơlei, kư̆m thoi inh pơkă kơ ih ki."
"if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination.","Inh wă kơ ih rơih chă lu bơngai lui trŏ thoi âu: Bơngai bu đon 'lơ̆ng tơpăt mă đe ưh kơ lah bâu roi sư; păng sư bơngai iŏk akăn minh, kon sư kư̆m lui kơ 'Bok Kei-Dei mơ̆n; lu kon sư mă ưh kơ pơm kư̆ kă, sư băt chu yom kơ mĕ 'bă sư, hăm chu yom kơ 'Bok Kei-Dei đĕch."
"For a bishop must be blameless, as a steward of God, not self-willed, not quick-tempered, not given to wine, not violent, not greedy for money","Bơngai bu mă pơm kră wei-lăng lu bơngai lui sư athei pơm mă 'lơ̆ng 'nĕ kơ pơm yoch hŏ, kơlih kơ sư pơm kră wei-lăng tơdrong 'Bok Kei-Dei. Lu bơngai pơang akâu kơdih, lu bơngai khĕnh, lu bơngai et sik suai, dah lu bơngai tôn teh đe, dah sư hưch hanh kơ sa jên lơ păng trŏ tơdrong jang sư mă-lei pơgŏ athei iŏk jên đe, lu bơngai thoi noh ưh kơ gơh pơm kră wei-lăng lu bơngai lui ôh."
"but hospitable, a lover of what is good, sober-minded, just, holy, self-controlled","Bơngai bu pơm kră bơngai lui, năr tơmoi truh tơ sư, sư tơkan sơng iŏk atŏk tơ hnam sư. Păng sư lăp đon kơ tơdrong 'lơ̆ng tơdrong kiơ̆ trŏ. Sư pơm đon chơ̆n. Sư đei đon 'lơ̆ng tơpăt păng 'Bok Kei-Dei hăm bôl buăl mơ̆n"
"holding fast the faithful word as he has been taught, that he may be able, by sound doctrine, both to exhort and convict those who contradict.","sư bơtho tơdrong 'Bok Kei-Dei 'blep trŏ nơ̆r 'Bok Kei-Dei tơpă. Thoi noh đe anăn sư gơh bơtho trŏ tơdrong 'Bok Kei-Dei păng sư gơh pơjah pơjăng păng lu bơngai mă ưh kơ lui ayăt tơdrong sư bơtho."
"For there are many insubordinate, both idle talkers and deceivers, especially those of the circumcision","Đei lơ bơngai ưh kơ chu lui tơdrong bơ̆n bơtho. Lu sư pơma bơtho ưh kơ yua kiơ, sư pơma pơsôm kơ đe đĕch. Mă loi bơngai Juđê boih mơ'nah, sư khan sư lui kơ Kră Yang Yêsu Krist boih mă sư oei pơm thoi noh."
"whose mouths must be stopped, who subvert whole households, teaching things which they ought not, for the sake of dishonest gain.","Ih athei khă lu sư 'nĕ pă pơm thoi noh dơ̆ng. Đei hnam dơnŏ mơ'nah mơ̆ng sư bơtho na đĭ kơ hnam dơnŏ sư jing hơwơ̆l kơ tơdrong 'Bok Kei-Dei na achăng lê̆ tơdrong lui sư. Lu đe ei sư bơtho tơdrong ưh kơ trŏ kơ tơdrong bơtho. Lu sư bơtho thoi noh, lu sư wă kơ gơh iŏk jên đe đĕch."
"One of them, a prophet of their own, said, “Cretans are always liars, evil beasts, lazy gluttons.”","Âu minh 'nu 'bok thây 'lơ̆ng oei tơ bŏl đak Kret sơ̆, sư bơtho pơhil kơ lu buăl sư kơlih kơ lu buăl sư bơngai kơchu, sư khan: “Nhôn bơngai tơring đak Kret hơlĕnh plơ̆ plĕch kơ đe. Nhôn 'maih chă tơdrong blah 'bet đe. Nhôn bơngai sa dư păng alah kơ jang.”"
"This testimony is true. Therefore rebuke them sharply, that they may be sound in the faith","Sư bơtho khan thoi noh trŏ tơpă. Na ih athei khă lu sư 'nĕ pă bơtho tơdrong kư̆ kă, wă kơ lu sư jah lui mă kơjăp."
"But as for you, speak the things which are proper for sound doctrine","Mă-lei gah ih, athei bơtho tơdrong 'Bok Kei-Dei mă trŏ hŏ."
"that the older men be sober, reverent, temperate, sound in faith, in love, in patience","Ih athei bơtho khan kơ lu 'bok kră 'nĕ pă et sik suai, 'nĕ kơ pơm kư̆ kă. Athei sư iŏk đon iơ̆m dim păng ih athei sư lui mă kơjăp, băt 'mêm kơ 'Bok Kei-Dei hăm bôl buăl. Mă đei tơdrong gleh pơmat dang yơ athei sư adrin khŏm khŏm đĕch."
"the older women likewise, that they be reverent in behavior, not slanderers, not given to much wine, teachers of good things","Păng ih bơtho khan kơ lu yă kră athei sư iŏk đon tơpăt, khă lu sư 'nĕ pă bâu roi đe, 'nĕ kơ et sik suai. Păng athei lu sư bơtho lu drŏ-kăn oei moh mă trŏ wă kơ lu sư 'mêm mơnat kơ lu kon klo sư."
"that they admonish the young women to love their husbands, to love their children","Păng ih bơtho khan kơ lu yă kră athei sư iŏk đon tơpăt, khă lu sư 'nĕ pă bâu roi đe, 'nĕ kơ et sik suai. Păng athei lu sư bơtho lu drŏ-kăn oei moh mă trŏ wă kơ lu sư 'mêm mơnat kơ lu kon klo sư."
"to be discreet, chaste, homemakers, good, obedient to their own husbands, that the word of God may not be blasphemed.","Lu sư bơtho lu drŏ-kăn oei moh 'nĕ pơm đon kư̆ kă athei tơchĕng đon 'lơ̆ng tơpăt ling-lang păng athei tơchĕng tơdrong bơ̆jang lăm hnam dơnŏ sư kơdih. Jơhngơ̆m sư athei 'lơ̆ng păng klo sư, lui yom kơ klo sư păng pơm jơhngơ̆m 'lơ̆ng hăm lu bôl buăl mơ̆n. Sư athei răk đon thoi âu mă tơpă na lu bơngai ưh tam mă lui, sư huay kơ bâu roi tơdrong 'Bok Kei-Dei."
"Likewise, exhort the young men to be sober-minded","Bơtho lu bơngai drŏ-nglo oei moh 'nĕ kơ pơm kư̆ kă."
"in all things showing yourself to be a pattern of good works; in doctrine showing integrity, reverence, incorruptibility","Păng ih kơdih athei pơm 'lơ̆ng tơpăt lăm tôm tơdrong wă kơ lu bơngai lui pơm kiơ̆ thoi ih. Ih bơtho đe mă trŏ pơm mă khuơ̆ khuơ̆ wă kơ đe lăng bơ̆n bơtho tơpă."
"sound speech that cannot be condemned, that one who is an opponent may be ashamed, having nothing evil to say of you.","Dah ih bơtho trŏ đe ưh kơ gơh bâu roi ih ôh. Thoi noh na lu bơngai mă ayăt kơ bơ̆n, sư wă bâu roi pơjăm bơ̆n ră mă sư ưh kơ pơ̆n kơlih kơ bơ̆n tơpăt. Dah sư bâu roi bơ̆n mă bơ̆n ưh kơ đei pơm tơdrong yoch kiơ, noh sư mơlâu kơ đe hơ'măng."
"Exhort bondservants to be obedient to their own masters, to be well pleasing in all things, not answering back","Gah bơngai đĭch, lu bơngai khŭl iĕm lu mơ'nah đĭch đe, sư athei lui yom kơ yŏng tơ'ngla sư, bơ̆jang mă 'lơ̆ng wă kơ yŏng sư lăp đon, 'nĕ hil tơplơ̆ kơ yŏng sư. Păng 'nĕ kơ tơtông tơmam yŏng sư. Sư athei pơm 'lơ̆ng tơpăt păng yŏng tơ'ngla sư ling-lang, na lu bơngai ưh kơ lui, sư 'bôh lu bơngai mă đĭch đe, lui pơm 'lơ̆ng thoi noh, na sư khan tơdrong bơ̆n bơtho tơdrong 'Bok Kei-Dei 'lơ̆ng tơpă, tơdrong 'Bok Kei-Dei wă pơklaih đĭ-đăng bơngai đơ̆ng tơdrong yoch."
"not pilfering, but showing all good fidelity, that they may adorn the doctrine of God our Savior in all things.","Gah bơngai đĭch, lu bơngai khŭl iĕm lu mơ'nah đĭch đe, sư athei lui yom kơ yŏng tơ'ngla sư, bơ̆jang mă 'lơ̆ng wă kơ yŏng sư lăp đon, 'nĕ hil tơplơ̆ kơ yŏng sư. Păng 'nĕ kơ tơtông tơmam yŏng sư. Sư athei pơm 'lơ̆ng tơpăt păng yŏng tơ'ngla sư ling-lang, na lu bơngai ưh kơ lui, sư 'bôh lu bơngai mă đĭch đe, lui pơm 'lơ̆ng thoi noh, na sư khan tơdrong bơ̆n bơtho tơdrong 'Bok Kei-Dei 'lơ̆ng tơpă, tơdrong 'Bok Kei-Dei wă pơklaih đĭ-đăng bơngai đơ̆ng tơdrong yoch."
"For the grace of God that brings salvation has appeared to all men","'Bok Kei-Dei khan tơbăt ăn kơ bơ̆n băt kơ Sư 'mêm mơnat kơ bơ̆n tơpă wă pơklaih đĭ-đăng bơngai đơ̆ng tơdrong yoch."
"teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly in the present age","Thoi noh na 'Bok Kei-Dei athei bơ̆n hŭt đĭ dôm tơdrong kơnê̆, 'nĕ pă kiơ̆ đon lu bơngai ưh kơ lui. Đon lu bơngai ưh kơ lui sư 'maih pơm lơ tơdrong kư̆ kă đĕch. 'Bok Kei-Dei athei bơ̆n pơm jơhngơ̆m đon dim 'lơ̆ng tơpăt kơ Sư hăm bôl buăl ala teh âu mơ̆n"
"looking for the blessed hope and glorious appearing of our great God and Savior Jesus Christ","kơplah bơ̆n chang gô Kră Yang Yêsu Krist mă tih hloh. Sư boih 'Bok Dŏng Pơklaih bơ̆n, Sư wă jur tơ ala teh dơ̆ng. Năr ei kơnh bơ̆n gô 'bôh Sư hlĭch tơpă, akâu Sư 'bak 'lơ̆ng rŏ hloh kơ đĭ-đăng bơngai ala teh, na jơhngơ̆m bơ̆n hiôk chơt păng Sư."
"Remind them to be subject to rulers and authorities, to obey, to be ready for every good work","Ih tơ'blŏk ăn kơ lu buăl lui athei sư lui yom kơ dôm lu kră pơgơ̆r; păng dôm tơdrong 'lơ̆ng sư wơh wă kơ bơ̆n pơm, bơ̆n athei pơm mă tơpă."
"to speak evil of no one, to be peaceable, gentle, showing all humility to all men.","Khan kơ lu sư 'nĕ bâu roi pơjăm đe, 'nĕ kơ hơwĕng kơ đe, bơ̆n pơm jơhngơ̆m dim păng đe."
"For we ourselves were also once foolish, disobedient, deceived, serving various lusts and pleasures, living in malice and envy, hateful and hating one another.","Sơ̆ bơ̆n ưh kơ băt tơpă tơdrong 'Bok Kei-Dei, na bơ̆n ưh kơ chu Sư. Bơ̆n tơchĕng akâu kơdih khan pơm trŏ, mă bơ̆n pơm ưh kơ trŏ ôh. Bơ̆n hưch hanh lơ tơdrong kư̆ kă ưh kơ băt pơm tơdrong 'lơ̆ng thoi yơ. Bơ̆n 'maih chă tơdrong tơhil păng đe. Bơ̆n 'nhĕng đe, areh kơ đe păng đe areh kơ bơ̆n mơ̆n."
"But when the kindness and the love of God our Savior toward man appeared","Mă-lei 'Bok Kei-Dei khan tơbăt ăn kơ bơ̆n Sư 'mêm mơnat tơpă kơ bơ̆n na Sư wă pơklaih bơ̆n đơ̆ng tơdrong yoch."
