English, Bahnar
"In the eighth month of the second year of Darius, the word of the LORD came to Zechariah the son of Berechiah, the son of Iddo the prophet, saying","Khei tơhngam sơnăm mă 'bar lăm chăl Đarius pơgơ̆r. Đei nơ̆r Kră Yang pơma hăm Sachari, 'bok khan lê̆ adrol, kon drŏ-nglo Bêrekia, sâu Iđô, thoi âu"
"“The LORD has been very angry with your fathers.","“Kră Yang ưh kơ lăp đon kơ yă 'bok iĕm."
"Therefore say to them, ‘Thus says the LORD of hosts: “Return to Me,” says the LORD of hosts, “and I will return to you,” says the LORD of hosts.","Thoi noh na ih khŏm roi kơ kon pơlei pơla thoi âu: Kră Yang Tih Hloh khan: ‘Wih tơ Inh bĕ, na Inh gô wih tơ lu iĕm dơ̆ng,’ Kră Yang Tih Hloh khan thoi noh."
"“Do not be like your fathers, to whom the former prophets preached, saying, ‘Thus says the LORD of hosts: “Turn now from your evil ways and your evil deeds.” ’ But they did not hear nor heed Me,” says the LORD.","'Nĕ kơ pơm thoi 'bok yă lu iĕm sơ̆ thoi lu 'bok khan lê̆ adrol sơ̆ đei krao lu sư. Kră Yang Tih Hloh đei khan: ‘Dang ei weh bĕ đơ̆ng trong kơnê̆ păng đơ̆ng lu tơdrong pơm kơnê̆.’ Mă-lei lu sư ưh kơ mơ̆ng, kuă kơ mơ̆ng Inh, Kră Yang khan thoi noh."
"“Your fathers, where are they? And the prophets, do they live forever?","Bê̆ tơ yơ 'bok yă lu iĕm dang ei? Păng lu 'bok khan lê̆ adrol noh hăm đei arih ling-lang ưh?"
"Yet surely My words and My statutes, Which I commanded My servants the prophets, Did they not overtake your fathers? “So they returned and said: ‘Just as the LORD of hosts determined to do to us, According to our ways and according to our deeds, So He has dealt with us.’ ” ’ ”","Na dôm nơ̆r Inh pơma păng khôi juăt Inh đei tơtă kơ lu đĭch đam inh bơngai khan lê̆ adrol ưh tam mă truh tơ lu 'bok yă iĕm hă? Na lu yă 'bok iĕm wih tơbral khan thoi âu: ‘Bơ̆n pơm ưh kơ lăp kơ Kră Yang Tih Hloh na Sư phak bơ̆n boih kư̆m kiơ̆ thoi Sư đei pơkă.’ ”"
"On the twenty-fourth day of the eleventh month, which is the month Shebat, in the second year of Darius, the word of the LORD came to Zechariah the son of Berechiah, the son of Iddo the prophet","Năr 'bar-jĭt puăn khei mơjĭt-mônh, noh khei Sa'bat, lăm sơnăm mă 'bar chăl Đarius, đei Kră Yang tơ'bôh ăn kơ Sachari 'bok khan lê̆ adrol, sư kon drŏ-nglo Bêrekia, sâu Iđô, thoi âu"
"I saw by night, and behold, a man riding on a red horse, and it stood among the myrtle trees in the hollow; and behind him were horses: red, sorrel, and white.","Kơmăng inh 'bôh; thoi 'nâu đei minh 'nu bơngai hao aseh hŭng dơ̆ng 'bơ̆t tơm 'long pơgang tơ anih ala sŭng păng đơ̆ng rŏng kơ sư đei lu aseh hŭng, aseh hơi, aseh hak."
"Then I said, “My lord, what are these?” So the angel who talked with me said to me, “I will show you what they are.”","Inh khan thoi âu: “Ơ yŏng inh, lu aseh noh wă khan kiơ?” Na linh jang mă oei pơma hăm inh khan kơ inh thoi âu: “Inh gô tơ'bôh ăn kơ ih dôm lu aseh âu wă khan kiơ.”"
"And the man who stood among the myrtle trees answered and said, “These are the ones whom the LORD has sent to walk to and fro throughout the earth.”","Bơngai mă dơ̆ng tŏk-bŏk lu 'long pơgang noh tơlang: “'Nâu mă lu bơngai Kră Yang wơh năm tơ jơ̆p-jang teh đak.”"
