English, Bahnar
"The word of the LORD which came to Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hezekiah, in the days of Josiah the son of Amon, king of Judah.","'Nâu boih nơ̆r Kră Yang khan kơ Jêphania, kon drŏ-nglo Kusi, sâu Gêđalia, sâu Amaria, Hesekia. Lăm chăl Jôsia, kon drŏ-nglo Ammôn pơm pơtao đe Juđa"
"“I will utterly consume everything From the face of the land,” Says the LORD","“Inh gô pơlôch pơrăm đĭ tơmam kơpal teh,” Kră Yang khan thoi noh."
"“I will consume man and beast; I will consume the birds of the heavens, The fish of the sea, And the stumbling blocks along with the wicked. I will cut off man from the face of the land,” Says the LORD.","“Inh wă pơlôch kon bơngai păng kon sem brem, sem păr păng ka lăm đak dơsĭ, Inh gô tơhuŏng lê̆ lu bơngai pơm kơnê̆; păng Inh gô tơhuŏng lê̆ kon bơngai đơ̆ng kơpal teh.” Kră Yang khan thoi noh."
"“I will stretch out My hand against Judah, And against all the inhabitants of Jerusalem. I will cut off every trace of Baal from this place, The names of the idolatrous priests with the pagan priests","“Inh gô yơ̆r ti pơm kơ Juđa păng đĭ-đăng kon pơlei oei lăm Jêrusalem; Inh gô tơhiong pơgoh lu yang Baal mă oei oei, dôm lu thây tơm păng 'bok soi lu sư đơ̆ng anih 'nâu."
"Those who worship the host of heaven on the housetops; Those who worship and swear oaths by the LORD, But who also swear by Milcom","Inh gô pơlôch lu bơngai kơkuh kơ tơmam kơpal plĕnh tơ bơbŭng hnam; păng lu bơngai đei pơkă pơkăm hăm Kră Yang păng kư̆m đei pơkă pơkăm dơ̆ng hăm lu pơtao lu sư kơdih"
"Those who have turned back from following the LORD, And have not sought the LORD, nor inquired of Him.”","hăm lu bơngai mă weh achăng lê̆ đơ̆ng Kră Yang păng lu bơngai mă ưh kơ chơchă Kră Yang, ưh kơ krao apinh Sư."
"Be silent in the presence of the Lord GOD; For the day of the LORD is at hand, For the LORD has prepared a sacrifice; He has invited His guests.","Hreh bĕ 'bơ̆t anăp Kră Yang 'Bok Kei-Dei! Yua kơ năr Kră Yang wă jê̆ boih. Kră Yang đei hơmet boih tơmam soi, Sư đei 'măn klah lê̆ pha boih lu bơngai tơmoi mă Sư krao."
"“And it shall be, In the day of the LORD’s sacrifice, That I will punish the princes and the king’s children, And all such as are clothed with foreign apparel.","Lăm năr soi sơmah kơ Kră Yang, Inh gô phak lu Kuan pơgơ̆r păng lu kon drŏ-nglo pơtao păng đĭ-đăng lu bơngai hrŭk hơbĕn ao tơmoi."
"In the same day I will punish All those who leap over the threshold, Who fill their masters’ houses with violence and deceit.","Lăm năr noh, Inh gô phak pơđĭ lu bơngai pơplŏng trong bơlôh 'măng cheng păng lu bơngai pơm tơ'bĕnh tơdrong kư̆ kă păng tơdrong kơnê̆ 'bĕnh-'bang kơ hnam yŏng tơ'ngla sư.”"
"“And there shall be on that day,” says the LORD, “The sound of a mournful cry from the Fish Gate, A wailing from the Second Quarter, And a loud crashing from the hills.","Kră Yang khan: “Năr noh kơnh, gô đei nơ̆r krao ôr đơ̆ng 'măng jang ka, đei nơ̆r nhơ̆m hmoi tơ lăm pơlei tih anih tăl mă 'bar, nơ̆r jơwa re dêh đơ̆ng lu kông groi hơlih."
"Wail, you inhabitants of Maktesh! For all the merchant people are cut down; All those who handle money are cut off.","Ơ lu kon pơlei mă oei lăm pơlei tih gah ala sŭng, nhơ̆m hmoi bĕ; yua kơ lu bơngai mơdro mơchan pơrăm đĭ boih păng lu bơngai mă chĕp jên hu lôch đĭ boih."
